lang,system,score
cs-pl,gpt3,0.8621
cs-pl,gpt4,0.8416
cs-pl,llama,0.7260
cs-pl,nmt,0.8167
de-en,gpt3,0.8221
de-en,gpt4,0.8215
de-en,llama,0.7952
de-en,nmt,0.8079
de-en_news,gpt3,0.8738
de-en_news,gpt4,0.8763
de-en_news,llama,0.8587
de-en_news,nmt,0.8761
de-ja,gpt3,0.8993
de-ja,gpt4,0.8945
de-ja,llama,0.8661
de-ja,nmt,0.8848
de-pl,gpt3,0.8170
de-pl,gpt4,0.8140
de-pl,llama,0.7152
de-pl,nmt,0.7967
en-de_news,gpt3,0.8580
en-de_news,gpt4,0.8651
en-de_news,llama,0.8135
en-de_news,nmt,0.8689
en-ja,gpt3,0.7939
en-ja,gpt4,0.8009
en-ja,llama,0.7503
en-ja,nmt,0.7964
en-pl,gpt3,0.7733
en-pl,gpt4,0.7575
en-pl,llama,0.6981
en-pl,nmt,0.7804
fr-en,gpt3,0.7914
fr-en,gpt4,0.7841
fr-en,llama,0.7781
fr-en,nmt,0.7651
fr-ja,gpt3,0.7840
fr-ja,gpt4,0.7996
fr-ja,llama,0.7031
fr-ja,nmt,0.7812
fr-pl,gpt3,0.4986
fr-pl,gpt4,0.4699
fr-pl,llama,0.4354
fr-pl,nmt,0.4638
ja-en,gpt3,0.8203
ja-en,gpt4,0.8041
ja-en,llama,0.7773
ja-en,nmt,0.8159
ja-pl,gpt3,0.8540
ja-pl,gpt4,0.7945
ja-pl,llama,0.7047
ja-pl,nmt,0.7977
pl-en,gpt3,0.7993
pl-en,gpt4,0.7974
pl-en,llama,0.7690
pl-en,nmt,0.7937
pl-ja,gpt3,0.7410
pl-ja,gpt4,0.7581
pl-ja,llama,0.6595
pl-ja,nmt,0.7371
ru-en,gpt3,0.7703
ru-en,gpt4,0.7653
ru-en,llama,0.7541
ru-en,nmt,0.7517
ru-ja,gpt3,0.7918
ru-ja,gpt4,0.7850
ru-ja,llama,0.7208
ru-ja,nmt,0.7539
ru-pl,gpt3,0.8501
ru-pl,gpt4,0.8600
ru-pl,llama,0.7785
ru-pl,nmt,0.8494
zh-en,gpt3,0.8159
zh-en,gpt4,0.7900
zh-en,llama,0.7847
zh-en,nmt,0.8005
zh-ja,gpt3,0.8594
zh-ja,gpt4,0.8708
zh-ja,llama,0.7439
zh-ja,nmt,0.8487
