lang,system,all_alignments,cross_alignments,xwr_mean,xwr_std,xwr_observations
cs-pl,gpt3,1092,386,0.36607601832291786,0.20535036446341828,10
cs-pl,nmt,1001,641,0.6033273305342665,0.4490719518286085,10
de-en_news,nmt,27129,24333,0.6181874963098278,0.688009279290886,549
de-en,gpt3,1392,1262,0.8988164617979155,0.3571503220756308,10
de-en,nmt,1382,1187,0.8434401809893469,0.37146928089781306,10
de-ja,gpt3,859,2483,2.580258689888299,1.0932809327901087,10
de-ja,nmt,841,2708,2.938453932125035,1.2002194746943977,10
de-pl,gpt3,1289,1135,0.8396219029467865,0.42568064091951546,10
de-pl,nmt,1221,1004,0.7787541690526533,0.19233316706958387,10
en-de_news,nmt,36344,34055,0.6785569181118812,0.6188186655828012,557
en-ja,gpt3,537,470,0.9130342413369361,0.3158788773377583,10
en-ja,nmt,574,697,1.2508843856482221,0.5451901273196976,10
en-pl,gpt3,641,347,0.5097163530887774,0.3797737841910056,10
en-pl,nmt,651,229,0.3483903084868527,0.18022989541980391,10
fr-en,gpt3,1315,1247,0.8779442258147624,0.5443265411927738,10
fr-en,nmt,1403,1085,0.6604499579867513,0.44976803666833,10
fr-ja,gpt3,592,600,0.9041303200816563,0.4666854786305057,10
fr-ja,nmt,602,968,1.3770295889500177,0.9046358615897268,10
fr-pl,gpt3,1140,687,0.6387298863936409,0.3189705155439766,10
fr-pl,nmt,1142,883,0.7480245658141312,0.39749890910405433,10
ja-en,gpt3,595,813,1.3779697178332042,0.2800480711718754,10
ja-en,nmt,573,802,1.4444673124265264,0.29272687898158534,10
ja-pl,gpt3,566,830,1.5194787674933927,0.26105492631142513,10
ja-pl,nmt,529,887,1.6247993494447566,0.40351214981338757,10
pl-en,gpt3,1231,958,0.7429506996774131,0.3284461811272231,10
pl-en,nmt,1276,891,0.6809206528666231,0.30984631577491045,10
pl-ja,gpt3,680,812,1.203719628512869,0.44194692619277737,10
pl-ja,nmt,672,1014,1.5369952840266152,0.6558226233367208,10
ru-en,gpt3,933,652,0.6664468405686684,0.32888415908939844,10
ru-en,nmt,977,720,0.6989430508221522,0.2883400315200942,10
ru-ja,gpt3,903,943,1.0729609360848258,0.43555945127344287,10
ru-ja,nmt,854,1079,1.2042155794439038,0.5490767715942385,10
ru-pl,gpt3,1587,700,0.34784088398992646,0.26581461572493315,10
ru-pl,nmt,1509,1215,0.7206739992063492,0.321959991993921,10
zh-en,gpt3,594,608,0.8962207328776604,0.6960202244695635,10
zh-en,nmt,628,520,0.7567930573536673,0.439207316982749,10
zh-ja,gpt3,902,933,1.0558445035147819,0.4959881302963949,10
zh-ja,nmt,825,936,1.134205487903847,0.39326387021683457,10
en-de_news,llama,33273,32741,0.6686393651108614,0.8062843964951227,551
en-de_news,gpt4,34607,33971,0.6891828671522169,0.777290732771723,552
en-de_news,gpt3,33846,36561,0.728113151067253,0.9101755631891636,552
cs-pl,llama,987,864,0.8366467094503918,0.7361647468788081,10
cs-pl,gpt4,1079,301,0.2842015979684728,0.14940328201699413,10
de-en,llama,1366,1235,0.9078703744143437,0.4222020872211244,10
de-en,gpt4,1442,1444,0.962523913329286,0.49795561643095415,10
de-en_news,llama,22641,31131,0.8567005417626583,1.1742016720371131,523
de-en_news,gpt4,23587,28456,0.7641579368287478,1.086889564775609,523
de-en_news,gpt3,23463,30999,0.8204451571191098,1.326340564769185,523
de-ja,llama,742,2468,3.190438166912865,1.3712772778872322,10
de-ja,gpt4,844,1735,2.2315776787635246,1.1108673637430972,10
de-pl,llama,1236,983,0.8101677947627473,0.702752457632342,10
de-pl,gpt4,1380,1300,0.9666737089358151,0.5491842393709839,10
en-ja,llama,523,543,1.0848051284656617,0.44069267472072005,10
en-ja,gpt4,538,627,1.2055664827051868,0.40437149753270263,10
en-pl,llama,664,249,0.31761240356067943,0.4364226805765477,10
en-pl,gpt4,669,268,0.40891731893926364,0.2522325505840296,10
fr-en,llama,1296,1426,1.0192728183681117,0.6148520900462522,10
fr-en,gpt4,1334,1149,0.7618798511592713,0.45239852956479004,10
fr-ja,llama,543,690,1.1599361496460774,0.6170201434635015,10
fr-ja,gpt4,678,791,1.0175849795099854,0.46556862675479016,10
fr-pl,llama,1148,1202,0.8898357426520175,0.8928054624077485,10
fr-pl,gpt4,1217,727,0.5928582902783435,0.2267088155710196,10
ja-en,llama,534,795,1.558305123564797,0.7653334864763724,10
ja-en,gpt4,614,737,1.2333169708292069,0.3356927504737042,10
ja-pl,llama,484,790,1.5499889227404027,0.48330283245641464,10
ja-pl,gpt4,574,936,1.5860047092289968,0.5266533766674047,10
pl-en,llama,1138,894,0.7331503161784889,0.47675042659528133,10
pl-en,gpt4,1258,831,0.6152947990470535,0.2974806474545293,10
pl-ja,llama,549,728,1.2704648888432837,0.6032234384783234,10
pl-ja,gpt4,702,952,1.3909799713156565,0.36582328610892234,10
ru-en,llama,940,609,0.6523547813943502,0.19245822051930378,10
ru-en,gpt4,976,609,0.6022158059579574,0.3510420415782589,10
ru-ja,llama,766,1048,1.2806358801993383,0.5943648624562462,10
ru-ja,gpt4,937,908,0.9543618602588234,0.2247194211973242,10
ru-pl,llama,1599,734,0.3832619806386564,0.3007516409097813,10
ru-pl,gpt4,1592,1072,0.5520082530708132,0.35991758958439696,10
zh-en,llama,577,730,1.0557970691226644,0.9321198360997492,10
zh-en,gpt4,619,558,0.8246069849470088,0.44163454985052053,10
zh-ja,llama,796,1143,1.4409185383214598,0.6773011983787756,10
zh-ja,gpt4,862,1046,1.233907835415442,0.5045485845892533,10
