"Language","System","Level","Cohen_d"
"cs-pl","gpt3","Paragraph",-1.07531123901748
"cs-pl","gpt3","Sentence",-1.16471842717285
"cs-pl","gpt4","Paragraph",-0.271659075400906
"cs-pl","gpt4","Sentence",-1.7128501524646
"cs-pl","llama2","Paragraph",-1.43507461708413
"cs-pl","llama2","Sentence",0.267811872996793
"cs-pl","nmt","Sentence",-0.061939789802186
"de-en","gpt3","Paragraph",0.000746173395041574
"de-en","gpt3","Sentence",-0.102446429815587
"de-en","gpt4","Paragraph",-0.42567991121788
"de-en","gpt4","Sentence",0.0505507104834802
"de-en","llama2","Paragraph",0.41057523757673
"de-en","llama2","Sentence",-0.0736123902202589
"de-en","nmt","Sentence",-0.239285907044587
"de-en_news","gpt3","Paragraph",-0.162086634663316
"de-en_news","gpt3","Sentence",0.00460643942148802
"de-en_news","gpt4","Paragraph",-0.233098680138721
"de-en_news","gpt4","Sentence",-0.0480145937222901
"de-en_news","llama2","Paragraph",-0.0713596933123011
"de-en_news","llama2","Sentence",0.0365405930919082
"de-en_news","nmt","Sentence",-0.22474051424194
"de-ja","gpt3","Paragraph",0.883197865562228
"de-ja","gpt3","Sentence",0.72192724915148
"de-ja","gpt4","Paragraph",0.883761137361922
"de-ja","gpt4","Sentence",0.321545301764662
"de-ja","llama2","Paragraph",1.1653205236921
"de-ja","llama2","Sentence",1.17854188612664
"de-ja","nmt","Sentence",1.04905266635048
"de-pl","gpt3","Paragraph",0.0573162142848013
"de-pl","gpt3","Sentence",-0.898686831303067
"de-pl","gpt4","Paragraph",-0.719083599950187
"de-pl","gpt4","Sentence",-0.514692126533518
"de-pl","llama2","Paragraph",0.160511734787987
"de-pl","llama2","Sentence",-0.566859090681382
"de-pl","nmt","Sentence",-1.35749559610057
"en-de_news","gpt3","Paragraph",-0.0393036771300303
"en-de_news","gpt3","Sentence",0.181960735608622
"en-de_news","gpt4","Paragraph",-0.11613284813998
"en-de_news","gpt4","Sentence",0.0113434709838448
"en-de_news","llama2","Paragraph",-0.105006681533532
"en-de_news","llama2","Sentence",-0.0506811586195203
"en-de_news","nmt","Sentence",-0.00630090297398896
"en-ja","gpt3","Paragraph",-0.351968526635516
"en-ja","gpt3","Sentence",-0.45648750244767
"en-ja","gpt4","Paragraph",-0.217366310056739
"en-ja","gpt4","Sentence",0.0999103886068273
"en-ja","llama2","Paragraph",-0.388453395222341
"en-ja","llama2","Sentence",-0.116662011197713
"en-ja","nmt","Sentence",0.164968947449562
"en-pl","gpt3","Paragraph",-1.05000313373088
"en-pl","gpt3","Sentence",-0.854257377539536
"en-pl","gpt4","Paragraph",-0.992160655834684
"en-pl","gpt4","Sentence",-1.12346763234053
"en-pl","llama2","Paragraph",-1.12147764229745
"en-pl","llama2","Sentence",-1.19044273273563
"en-pl","nmt","Sentence",-1.28603008494713
"fr-en","gpt3","Paragraph",-0.440189529288878
"fr-en","gpt3","Sentence",-0.76828123821263
"fr-en","gpt4","Paragraph",-0.47366946805434
"fr-en","gpt4","Sentence",-0.953813906658695
"fr-en","llama2","Paragraph",-0.17083883080436
"fr-en","llama2","Sentence",-0.568198794874637
"fr-en","nmt","Sentence",-1.09027197709678
"fr-ja","gpt3","Paragraph",-0.22212029038776
"fr-ja","gpt3","Sentence",-0.55526015941242
"fr-ja","gpt4","Paragraph",-0.403960765311654
"fr-ja","gpt4","Sentence",-0.322190616170044
"fr-ja","llama2","Paragraph",0.130500401036668
"fr-ja","llama2","Sentence",-0.0249712238846068
"fr-ja","nmt","Sentence",0.277166678077465
"fr-pl","gpt3","Paragraph",-1.86621930351932
"fr-pl","gpt3","Sentence",-1.91563540786811
"fr-pl","gpt4","Paragraph",-1.92834253053562
"fr-pl","gpt4","Sentence",-1.93429777719795
"fr-pl","llama2","Paragraph",-1.82253711896592
"fr-pl","llama2","Sentence",-1.78101107310749
"fr-pl","nmt","Sentence",-1.87492102564054
"ja-en","gpt3","Paragraph",-0.582195801982024
"ja-en","gpt3","Sentence",-0.236734569388215
"ja-en","gpt4","Paragraph",-0.27315977384798
"ja-en","gpt4","Sentence",-0.445043217947471
"ja-en","llama2","Paragraph",-0.564138852855484
"ja-en","llama2","Sentence",0.026764487356536
"ja-en","nmt","Sentence",-0.136519495760916
"ja-pl","gpt3","Paragraph",-0.70786096156395
"ja-pl","gpt3","Sentence",-0.59700776756861
"ja-pl","gpt4","Paragraph",-0.796476047735929
"ja-pl","gpt4","Sentence",-0.346882107520503
"ja-pl","llama2","Paragraph",-0.483026331135383
"ja-pl","llama2","Sentence",-0.432157894795249
"ja-pl","nmt","Sentence",-0.306729506709353
"pl-en","gpt3","Paragraph",-0.132018226907485
"pl-en","gpt3","Sentence",0.0588065134813588
"pl-en","gpt4","Paragraph",-0.171255435137748
"pl-en","gpt4","Sentence",-0.373342312572056
"pl-en","llama2","Paragraph",0.0362943627517047
"pl-en","llama2","Sentence",-0.0254960949798019
"pl-en","nmt","Sentence",-0.103472949238419
"pl-ja","gpt3","Paragraph",0.392387217702351
"pl-ja","gpt3","Sentence",-0.195735511348599
"pl-ja","gpt4","Paragraph",-0.0809316118531113
"pl-ja","gpt4","Sentence",0.296601075637511
"pl-ja","llama2","Paragraph",0.909389667982765
"pl-ja","llama2","Sentence",-0.0249431909384017
"pl-ja","nmt","Sentence",0.479402601506786
"ru-en","gpt3","Paragraph",-0.933067923161466
"ru-en","gpt3","Sentence",-1.27877687693199
"ru-en","gpt4","Paragraph",-1.28366095617826
"ru-en","gpt4","Sentence",-1.40073024323806
"ru-en","llama2","Paragraph",-0.812277565727525
"ru-en","llama2","Sentence",-1.47198384486047
"ru-en","nmt","Sentence",-1.24621751287885
"ru-ja","gpt3","Paragraph",-0.760174779217463
"ru-ja","gpt3","Sentence",-0.983748767342009
"ru-ja","gpt4","Paragraph",-0.945278942082045
"ru-ja","gpt4","Sentence",-1.31586404975841
"ru-ja","llama2","Paragraph",-0.239595090486182
"ru-ja","llama2","Sentence",-0.57523226233295
"ru-ja","nmt","Sentence",-0.711482343443152
"ru-pl","gpt3","Paragraph",-1.79317111469949
"ru-pl","gpt3","Sentence",-1.1583372377853
"ru-pl","gpt4","Paragraph",0.251158991317369
"ru-pl","gpt4","Sentence",-0.415579779748704
"ru-pl","llama2","Paragraph",-1.2053493539369
"ru-pl","llama2","Sentence",-1.21018116093454
"ru-pl","nmt","Sentence",0.0762455625823678
"zh-en","gpt3","Paragraph",0.429531076864705
"zh-en","gpt3","Sentence",0.272145860762954
"zh-en","gpt4","Paragraph",-0.349781025781569
"zh-en","gpt4","Sentence",0.196570348605635
"zh-en","llama2","Paragraph",0.45079765277972
"zh-en","llama2","Sentence",0.433063372543743
"zh-en","nmt","Sentence",0.031276793689451
"zh-ja","gpt3","Paragraph",-1.50303211743115
"zh-ja","gpt3","Sentence",-0.76198630064174
"zh-ja","gpt4","Paragraph",-0.513427467766065
"zh-ja","gpt4","Sentence",-0.437728588254641
"zh-ja","llama2","Paragraph",-1.03506375767345
"zh-ja","llama2","Sentence",-0.0580317485357089
"zh-ja","nmt","Sentence",-0.672623985606995
