lang,system,total_src_sents,n2m,n2mR,length_var,merges,splits,mergesRatio,splitsRatio
ru-pl,gpt3,108,1,0.009259259259259259,0.11277321974986566,1,0,0.009259259259259259,0.0
ru-pl,human,108,1,0.009259259259259259,0.13682484827342115,1,0,0.009259259259259259,0.0
ru-pl,gpt4,106,3,0.02830188679245283,0.14715745869993133,3,0,0.02830188679245283,0.0
ru-pl,llama,99,5,0.050505050505050504,0.10249176832705549,5,0,0.050505050505050504,0.0
de-en_news,gpt4,1723,145,0.08415554265815438,0.14064596232484416,24,121,0.013929193267556587,0.0702263493905978
de-en_news,human,1727,146,0.08453966415749856,0.1409574411202528,22,124,0.012738853503184714,0.07180081065431385
de-en_news,gpt3,1701,176,0.10346854791299236,0.13749305101477052,41,135,0.024103468547912992,0.07936507936507936
de-en_news,llama,1649,191,0.11582777440873257,0.15911209088470848,80,111,0.04851425106124924,0.06731352334748332
zh-en,gpt3,62,10,0.16129032258064516,0.1181772215109716,3,7,0.04838709677419355,0.11290322580645161
zh-en,human,55,12,0.21818181818181817,0.16679381573736665,8,4,0.14545454545454545,0.07272727272727272
zh-en,gpt4,60,5,0.08333333333333333,0.1314555295644474,3,2,0.05,0.03333333333333333
zh-en,llama,60,8,0.13333333333333333,0.13770241265604477,4,4,0.06666666666666667,0.06666666666666667
en-ja,gpt3,70,10,0.14285714285714285,0.3255755937333402,3,7,0.04285714285714286,0.1
en-ja,human,66,17,0.25757575757575757,0.4030413624531673,5,12,0.07575757575757576,0.18181818181818182
en-ja,gpt4,66,7,0.10606060606060606,0.4535607424835772,4,3,0.06060606060606061,0.045454545454545456
en-ja,llama,57,12,0.21052631578947367,0.3104338399019251,10,2,0.17543859649122806,0.03508771929824561
fr-ja,gpt3,77,17,0.22077922077922077,0.24115071915673705,9,8,0.11688311688311688,0.1038961038961039
fr-ja,human,78,15,0.19230769230769232,0.30632109986080647,8,7,0.10256410256410256,0.08974358974358974
fr-ja,gpt4,83,10,0.12048192771084337,0.32339072597834073,4,6,0.04819277108433735,0.07228915662650602
fr-ja,llama,70,15,0.21428571428571427,0.297835914945864,9,6,0.12857142857142856,0.08571428571428572
fr-pl,gpt3,57,2,0.03508771929824561,0.15138210839023744,0,2,0.0,0.03508771929824561
fr-pl,human,56,4,0.07142857142857142,0.21168480647399796,0,4,0.0,0.07142857142857142
fr-pl,gpt4,57,0,0.0,0.14773157977078566,0,0,0.0,0.0
fr-pl,llama,56,1,0.017857142857142856,0.15267688212256525,1,0,0.017857142857142856,0.0
de-en,gpt3,72,18,0.25,0.10508786851784088,2,16,0.027777777777777776,0.2222222222222222
de-en,human,74,21,0.28378378378378377,0.12046402116290389,1,20,0.013513513513513514,0.2702702702702703
de-en,gpt4,66,7,0.10606060606060606,0.1294273385500469,5,2,0.07575757575757576,0.030303030303030304
de-en,llama,72,12,0.16666666666666666,0.16712372115977184,3,9,0.041666666666666664,0.125
en-pl,gpt3,61,2,0.03278688524590164,0.3144312891757129,1,1,0.01639344262295082,0.01639344262295082
en-pl,human,61,3,0.04918032786885246,0.36740076772193914,1,2,0.01639344262295082,0.03278688524590164
en-pl,gpt4,60,2,0.03333333333333333,0.3364118163647001,1,1,0.016666666666666666,0.016666666666666666
en-pl,llama,57,5,0.08771929824561403,0.2839824642668523,4,1,0.07017543859649122,0.017543859649122806
de-ja,gpt3,38,21,0.5526315789473685,0.09652102735489615,2,19,0.05263157894736842,0.5
