lang,system,all_alignments,cross_alignments,xwr_mean,xwr_std,xwr_observation,total_src_sents,n2m,n2mR,length_var,merges,splits,mergesRatio,splitsRatio
cs-pl,gpt4,1079,301,0.2842015979684728,0.1494032820169941,10,50,1,0.02,0.0979038470057365,0,1,0.0,0.02
cs-pl,llama2,982,810,0.7807479644410726,0.7835854712114548,10,50,2,0.04,0.1063447909203784,0,2,0.0,0.04
de-en_news,gpt3,23450,30986,0.82055646312996,1.326251769587249,523,1606,137,0.085305105853051,0.1391203818232714,24,113,0.0149439601494396,0.0703611457036114
de-en_news,gpt4,23572,28400,0.7642102857725006,1.0879572496186591,523,1605,138,0.0859813084112149,0.1315080428876342,23,115,0.0143302180685358,0.0716510903426791
de-en_news,llama2,22627,30992,0.8554291286926788,1.1730845359004085,523,1605,125,0.0778816199376947,0.1552492915461663,28,97,0.0174454828660436,0.060436137071651
de-en,gpt4,1442,1444,0.962523913329286,0.4979556164309541,10,74,9,0.1216216216216216,0.1146304844094089,0,9,0.0,0.1216216216216216
de-en,llama2,1366,1235,0.9078703744143436,0.4222020872211244,10,73,8,0.1095890410958904,0.1404143994563727,1,7,0.0136986301369863,0.0958904109589041
de-ja,gpt4,844,1735,2.2315776787635246,1.1108673637430972,10,34,18,0.5294117647058824,0.1379632497509679,2,16,0.0588235294117647,0.4705882352941176
de-ja,llama2,742,2468,3.190438166912865,1.3712772778872322,10,36,14,0.3888888888888889,0.1220841174404654,2,12,0.0555555555555555,0.3333333333333333
de-pl,gpt4,1380,1300,0.9666737089358152,0.5491842393709839,10,69,5,0.072463768115942,0.1778230970565584,2,3,0.0289855072463768,0.0434782608695652
de-pl,llama2,1236,1015,0.8484869970817426,0.820821536902271,10,67,4,0.0597014925373134,0.1668838219070118,2,2,0.0298507462686567,0.0298507462686567
en-de_news,gpt3,34734,40963,0.8448843938946136,1.0587730157427282,557,2124,246,0.115819209039548,0.2068013813210944,72,174,0.0338983050847457,0.0819209039548022
en-de_news,gpt4,35711,34829,0.6913739488325572,0.8423359582062341,556,2034,193,0.0948869223205506,0.2002423749986045,106,87,0.0521140609636184,0.0427728613569321
en-de_news,llama2,34401,31428,0.6476342485108453,0.6979753547342853,554,2137,139,0.0650444548432381,0.1964539783300396,60,79,0.0280767430978006,0.0369677117454375
en-ja,gpt4,538,627,1.2055664827051868,0.4043714975327026,10,72,5,0.0694444444444444,0.4553377918262316,1,4,0.0138888888888888,0.0555555555555555
en-ja,llama2,523,543,1.0848051284656617,0.44069267472072,10,62,12,0.1935483870967742,0.2723938114860075,7,5,0.1129032258064516,0.0806451612903225
en-pl,gpt4,669,268,0.4089173189392636,0.2522325505840296,10,62,1,0.0161290322580645,0.3567628292899829,0,1,0.0,0.0161290322580645
en-pl,llama2,662,235,0.3070905554324483,0.4299022561473622,10,60,2,0.0333333333333333,0.296059921100171,1,1,0.0166666666666666,0.0166666666666666
fr-en,gpt4,1334,1149,0.7618798511592713,0.45239852956479,10,57,0,0.0,0.1533665552618522,0,0,0.0,0.0
fr-en,llama2,1296,1426,1.0192728183681117,0.6148520900462522,10,57,0,0.0,0.1632125473186206,0,0,0.0,0.0
fr-ja,gpt4,678,791,1.0175849795099854,0.4655686267547901,10,77,15,0.1948051948051948,0.2902683593298175,10,5,0.1298701298701298,0.0649350649350649
fr-ja,llama2,543,690,1.1599361496460774,0.6170201434635015,10,66,21,0.3181818181818182,0.1931202586349455,15,6,0.2272727272727272,0.0909090909090909
fr-pl,gpt4,1217,727,0.5928582902783435,0.2267088155710196,10,57,1,0.0175438596491228,0.1590256014176755,0,1,0.0,0.0175438596491228
fr-pl,llama2,1149,1247,0.9193218614238504,0.9125158664432842,10,57,1,0.0175438596491228,0.1370125691924001,0,1,0.0,0.0175438596491228
ja-en,gpt4,614,737,1.2333169708292069,0.3356927504737042,10,43,10,0.2325581395348837,0.1415724398389075,0,10,0.0,0.2325581395348837
ja-en,llama2,534,795,1.558305123564797,0.7653334864763724,10,43,3,0.0697674418604651,0.1932904570567243,0,3,0.0,0.0697674418604651
ja-pl,gpt4,574,936,1.5860047092289968,0.5266533766674047,10,43,8,0.1860465116279069,0.1335973847947869,0,8,0.0,0.1860465116279069
ja-pl,llama2,484,790,1.549988922740403,0.4833028324564146,10,43,6,0.1395348837209302,0.1659508917448875,0,6,0.0,0.1395348837209302
pl-en,gpt4,1256,796,0.5821276424996633,0.2855435633271363,10,69,4,0.0579710144927536,0.1755404843680336,0,4,0.0,0.0579710144927536
pl-en,llama2,1139,870,0.7087073491151612,0.4616954875469747,10,69,2,0.0289855072463768,0.2185998055643425,0,2,0.0,0.0289855072463768
pl-ja,gpt4,702,952,1.3909799713156563,0.3658232861089223,10,81,6,0.074074074074074,0.2045588717866555,3,3,0.037037037037037,0.037037037037037
pl-ja,llama2,549,728,1.2704648888432837,0.6032234384783234,10,60,19,0.3166666666666666,0.1203368428563372,12,7,0.2,0.1166666666666666
ru-en,gpt4,976,609,0.6022158059579574,0.3510420415782589,10,70,1,0.0142857142857142,0.1799846178740604,0,1,0.0,0.0142857142857142
ru-en,llama2,935,601,0.6492539031923483,0.1913624944774576,10,70,0,0.0,0.1946987422981462,0,0,0.0,0.0
ru-ja,gpt4,937,908,0.9543618602588234,0.2247194211973242,10,89,7,0.0786516853932584,0.249385466343516,3,4,0.0337078651685393,0.0449438202247191
ru-ja,llama2,766,1048,1.2806358801993385,0.5943648624562462,10,69,25,0.3623188405797101,0.1812515909901778,17,8,0.2463768115942029,0.1159420289855072
ru-pl,gpt4,1592,1072,0.5520082530708132,0.3599175895843969,10,109,0,0.0,0.1199980933257437,0,0,0.0,0.0
ru-pl,llama2,1597,635,0.3436304843154307,0.2440364349327806,10,109,0,0.0,0.1158043219535044,0,0,0.0,0.0
zh-en,gpt4,619,558,0.8246069849470088,0.4416345498505205,10,65,3,0.0461538461538461,0.1341798036597905,0,3,0.0,0.0461538461538461
zh-en,llama2,577,728,1.0518755004952134,0.9325112375900196,10,64,3,0.046875,0.143989597211882,1,2,0.015625,0.03125
zh-ja,gpt4,862,1046,1.233907835415442,0.5045485845892533,10,84,17,0.2023809523809523,0.2621091046754549,4,13,0.0476190476190476,0.1547619047619047
zh-ja,llama2,796,1143,1.4409185383214598,0.6773011983787756,10,85,17,0.2,0.203092256656366,3,14,0.0352941176470588,0.1647058823529411
cs-pl,gpt3,1092,386,0.3660760183229178,0.2053503644634182,10,50,0,0.0,0.0996840186221612,0,0,0.0,0.0
cs-pl,nmt,1001,641,0.6033273305342665,0.4490719518286085,10,50,2,0.04,0.0980281965821924,0,2,0.0,0.04
de-en_news,nmt,27129,24333,0.6181874963098278,0.688009279290886,549,1722,151,0.0876887340301974,0.1329085261213788,23,128,0.0133565621370499,0.0743321718931475
de-en,gpt3,1392,1262,0.8988164617979155,0.3571503220756308,10,74,15,0.2027027027027027,0.1056429529866787,1,14,0.0135135135135135,0.1891891891891892
de-en,nmt,1382,1187,0.8434401809893469,0.371469280897813,10,74,8,0.1081081081081081,0.1283570936021173,1,7,0.0135135135135135,0.0945945945945946
de-ja,gpt3,859,2483,2.580258689888299,1.0932809327901087,10,38,16,0.4210526315789473,0.1304686528235375,1,15,0.0263157894736842,0.3947368421052631
de-ja,nmt,841,2708,2.938453932125035,1.2002194746943975,10,39,16,0.4102564102564102,0.1307324459583773,0,16,0.0,0.4102564102564102
de-pl,gpt3,1289,1135,0.8396219029467865,0.4256806409195154,10,68,9,0.1323529411764706,0.1377556743206673,2,7,0.0294117647058823,0.1029411764705882
de-pl,nmt,1221,1004,0.7787541690526533,0.1923331670695838,10,65,7,0.1076923076923077,0.1319523012317869,4,3,0.0615384615384615,0.0461538461538461
en-de_news,nmt,36344,34055,0.6785569181118812,0.6188186655828012,557,2098,243,0.1158245948522402,0.188765288818929,113,130,0.053860819828408,0.0619637750238322
en-ja,gpt3,537,470,0.913034241336936,0.3158788773377583,10,66,12,0.1818181818181818,0.3588438808423836,6,6,0.0909090909090909,0.0909090909090909
en-ja,nmt,574,697,1.250884385648222,0.5451901273196976,10,66,11,0.1666666666666666,0.4017240769259445,7,4,0.106060606060606,0.0606060606060606
en-pl,gpt3,641,347,0.5097163530887774,0.3797737841910056,10,62,1,0.0161290322580645,0.378463630650639,0,1,0.0,0.0161290322580645
en-pl,nmt,651,229,0.3483903084868527,0.1802298954198039,10,62,1,0.0161290322580645,0.3375702167962481,0,1,0.0,0.0161290322580645
fr-en,gpt3,1315,1247,0.8779442258147624,0.5443265411927738,10,57,0,0.0,0.1412558671405242,0,0,0.0,0.0
fr-en,nmt,1403,1085,0.6604499579867513,0.44976803666833,10,57,1,0.0175438596491228,0.1630379510088437,0,1,0.0,0.0175438596491228
fr-ja,gpt3,592,600,0.9041303200816564,0.4666854786305057,10,80,19,0.2375,0.2918001559368541,9,10,0.1125,0.125
fr-ja,nmt,602,968,1.3770295889500177,0.9046358615897268,10,81,6,0.074074074074074,0.230266806211682,4,2,0.0493827160493827,0.0246913580246913
fr-pl,gpt3,1140,687,0.6387298863936409,0.3189705155439766,10,57,0,0.0,0.1720712185613811,0,0,0.0,0.0
fr-pl,nmt,1142,883,0.7480245658141312,0.3974989091040543,10,57,2,0.0350877192982456,0.1306925081128324,0,2,0.0,0.0350877192982456
ja-en,gpt3,595,813,1.3779697178332042,0.2800480711718754,10,42,5,0.119047619047619,0.1676678748079848,0,5,0.0,0.119047619047619
ja-en,nmt,573,802,1.4444673124265264,0.2927268789815853,10,43,7,0.1627906976744186,0.1982520257464097,0,7,0.0,0.1627906976744186
ja-pl,gpt3,566,830,1.5194787674933927,0.2610549263114251,10,43,6,0.1395348837209302,0.144182100045865,0,6,0.0,0.1395348837209302
ja-pl,nmt,529,887,1.6247993494447566,0.4035121498133875,10,43,5,0.1162790697674418,0.1465231550611455,0,5,0.0,0.1162790697674418
pl-en,gpt3,1231,958,0.7429506996774131,0.3284461811272231,10,69,2,0.0289855072463768,0.1983965446889641,0,2,0.0,0.0289855072463768
pl-en,nmt,1276,891,0.6809206528666231,0.3098463157749104,10,69,2,0.0289855072463768,0.1904257044936502,0,2,0.0,0.0289855072463768
pl-ja,gpt3,680,812,1.203719628512869,0.4419469261927773,10,74,15,0.2027027027027027,0.185594303900612,7,8,0.0945945945945946,0.1081081081081081
pl-ja,nmt,672,1014,1.5369952840266152,0.6558226233367208,10,83,11,0.1325301204819277,0.1723130344065868,1,10,0.0120481927710843,0.1204819277108433
ru-en,gpt3,933,652,0.6664468405686684,0.3288841590893984,10,69,2,0.0289855072463768,0.1774812325689845,1,1,0.0144927536231884,0.0144927536231884
ru-en,nmt,977,720,0.6989430508221522,0.2883400315200942,10,69,1,0.0144927536231884,0.1895257711253858,1,0,0.0144927536231884,0.0
ru-ja,gpt3,903,943,1.0729609360848258,0.4355594512734428,10,82,13,0.1585365853658536,0.2204968739623234,7,6,0.0853658536585365,0.073170731707317
ru-ja,nmt,854,1079,1.2042155794439038,0.5490767715942385,10,90,6,0.0666666666666666,0.2741251199450445,0,6,0.0,0.0666666666666666
ru-pl,gpt3,1587,700,0.3478408839899264,0.2658146157249331,10,108,1,0.0092592592592592,0.124395770813615,1,0,0.0092592592592592,0.0
ru-pl,nmt,1509,1215,0.7206739992063492,0.321959991993921,10,109,0,0.0,0.1312142152239399,0,0,0.0,0.0
zh-en,gpt3,594,608,0.8962207328776604,0.6960202244695635,10,63,6,0.0952380952380952,0.1305903038620058,2,4,0.0317460317460317,0.0634920634920634
zh-en,nmt,628,520,0.7567930573536673,0.439207316982749,10,63,3,0.0476190476190476,0.1378310134958195,2,1,0.0317460317460317,0.0158730158730158
zh-ja,gpt3,902,933,1.055844503514782,0.4959881302963949,10,90,18,0.2,0.1949017796680699,1,17,0.0111111111111111,0.1888888888888888
zh-ja,nmt,825,936,1.134205487903847,0.3932638702168345,10,89,13,0.146067415730337,0.2198101317526661,3,10,0.0337078651685393,0.1123595505617977
