Source,GoogleTranslate,human1,human2
"—Eh bien, dans un petit quart d'heure nous sommes à vous.","“Well, in a quarter of an hour we'll be with you.","‘Well, then; we shall join you in a quarter of an hour.’","""Well, in a quarter of an hour he shall be with you."""
"Monte-Cristo s'inclina sans répondre, mais le geste pouvait passer pour un assentiment.","Monte-Cristo bowed without answering, but the gesture could pass for assent.","Monte Cristo bowed, without replying; but the gesture could be taken for one of assent.","Monte Cristo inclined himself without answering, but the gesture might pass for assent."
"Mais cette saillie ne fit même pas sourire Mme de Villefort, tant les esprits étaient préoccupés, tant la situation paraissait solennelle.","But this sally did not even make Madame de Villefort smile, so preoccupied were people's minds, so solemn did the situation seem.","But Mme de Villefort did not even laugh at this quip, so much was everyone preoccupied and so solemn did the occasion seem.","However, his remark did not make Madame de Villefort even smile, so much was every mind engaged, and so solemn was the situation."
—De sorte que sans ce mariage elle serait votre héritière?,"""So that without this marriage she would be your heiress?""","‘Meaning that, without this marriage, she would be your heir?’","""So that, but for this marriage, she would have been your heir?"""
"«Ainsi, monsieur, dit Monte-Cristo, vous habitiez Lucques, vous étiez riche, vous êtes noble, vous jouissiez de la considération générale, vous aviez tout ce qui peut rendre un homme heureux.","“So, sir,” said Monte Cristo, “you lived in Lucca, you were rich, you are noble, you enjoyed general consideration, you had everything that can make a man happy.","‘So, Monsieur,’ Monte Cristo said, ‘you live in Lucca , you are rich, you are noble, you enjoy universal respect: you have everything that might make a man happy.’","""So, sir, you lived at Lucca, did you? You were rich, noble, held in great esteem — had all that could render a man happy?"""
"—C’est facile, M. Danglars a dîné chez moi.","""That's easy, M. Danglars dined with me.""",‘Easy. Monsieur Danglars had dinner with me.’,"""Willingly. M. Danglars dined with me."""
"«Et il tira d'une de ses poches une poignée d'or qu'il fit briller aux yeux éblouis de l'aubergiste, et, de l'autre, un paquet de billets de banque.","“And he drew from one of his pockets a handful of gold which he shone in the dazzled eyes of the innkeeper, and from the other a bundle of banknotes.","And he took a handful of gold from one pocket and held it, shining, before the dazzled eyes of the innkeeper, and a bundle of banknotes from the other.","And he drew from his pocket a handful of gold, and held it sparkling before the dazzled eyes of the innkeeper, and in the other hand he held a packet of bank-notes."
«Signé: ABBÉ BUSONI.»,“Signed: ABBÉ BUSONI.”,Signed: ABBÉ BUSONI,"(Signed) ""Abbe Busoni."""
—Au n°28.,—At No. 28.,‘What number?’ ‘Number twenty-eight.’,"""No. 28."""
—Que vous disait cette lettre?,"""What did this letter tell you?""",‘What did your letter say?’,"""What did he say in the letter?"""
"Mme Danglars, dont la beauté pouvait encore être citée, malgré ses trente-six ans, était à son piano, petit chef-d'œuvre de marqueterie, tandis que Lucien Debray, assis devant une table à ouvrage, feuilletait un album.","Mme Danglars, whose beauty could still be quoted, despite her thirty-six years, was at her piano, a little masterpiece of marquetry, while Lucien Debray, seated at a work table, leafed through an album.","Mme Danglars, who could still be described as beautiful despite her thirty-six years, was at the piano, a little masterpiece of cabinet-making, while Lucien Debray was sitting at an embroidery table, leafing through an album.","Madame Danglars (who, although past the first bloom of youth, was still strikingly handsome) was now seated at the piano, a most elaborate piece of cabinet and inlaid work, while Lucien Debray, standing before a small work-table, was turning over the pages of an album."
—Pour quinze mille francs?,"""For fifteen thousand francs?""",‘For fifteen thousand francs?’,"""For fifteen thousand francs?"""
"«Que voulez-vous, monsieur? demanda Morrel, que je vous renouvelle ma promesse de ne rien faire?»","""What do you want sir? asked Morrel, ""may I renew my promise to you to do nothing?""","‘What do you want, Monsieur?’ Morrel asked. ‘That I should repeat my promise to do nothing?’","""What do you wish, sir?"" asked Morrel; ""that I should renew my promise of remaining tranquil?"
«De temps en temps Caderousse lançait sur elle un regard rapide comme un éclair.,“From time to time Caderousse cast a rapid glance at her like lightning.,From time to time Caderousse gave her a rapid glance.,"""From time to time Caderousse darted on his wife keen, searching glances, but rapid as the lightning flash."
