Source,GoogleTranslate,human1,human2,human3
― Vrai ? vous l’emmenez ?,- True ? are you taking him?,You’ll take her away?’,You will take her away?”,“Really! you will take her away?”
CHAPITRE OU L’ON S’ADORE,CHAPTER WHERE WE LOVE EACH OTHER,Chapter in which Lovers Adore,A CHAPTER IN WHICH THEY ADORE EACH OTHER,A CHAPTER OF SELF-ADMIRATION
"C’est que, phénomène étrange et qui n’était possible que dans la situation où il était, en volant cet argent à cet enfant, il avait fait une chose dont il n’était déjà plus capable.","It is that, strange phenomenon and which was only possible in the situation where he was, by stealing this money from this child, he had done something of which he was already no longer capable.",This was because by stealing money from that child he had done something of which he was no longer capable – a strange phenomenon that was possible only in his present situation.,"It was because,—strange phenomenon, and one which was possible only in the situation in which he found himself,—in stealing the money from that child, he had done a thing of which he was no longer capable.","It was a strange phenomenon, possible only in the condition in which he then was, but the fact is, that in stealing this money from that child, he had done a thing of which he was no longer capable."
"Il crut se voir lui-même, vieilli, non pas sans doute absolument semblable de visage, mais tout pareil d’attitude et d’aspect, avec ces cheveux hérissés, avec cette prunelle fauve et inquiète, avec cette blouse, tel qu’il était le jour où il entrait à Digne, plein de haine et cachant dans son âme ce hideux trésor de pensées affreuses qu’il avait mis dix-neuf ans à ramasser sur le pavé du bagne.","He thought he saw himself, aged, not doubtless absolutely similar in face, but just the same in attitude and aspect, with that bristling hair, with that tawny, worried pupil, with that blouse, just as he was the day he entered Digne, full of hatred and hiding in his soul that hideous treasure of dreadful thoughts which he had taken nineteen years to pick up on the pavement of the prison.","He thought he saw himself, aged, with not exactly the same features, to be sure, but identical in attitude and appearance, with that bristling hair, those wary brown eyes, that smock, just as he was the day he arrived at Digne, full of hatred and concealing in his heart that hideous hoard of dreadful thoughts he had spent nineteen years accumulating in the chain gang.","He thought he was looking at himself, grown old; not absolutely the same in face, of course, but exactly similar in attitude and aspect, with his bristling hair, with that wild and uneasy eye, with that blouse, just as it was on the day when he entered D——, full of hatred, concealing his soul in that hideous mass of frightful thoughts which he had spent nineteen years in collecting on the floor of the prison.","He thought he saw himself, older, doubtless, not precisely the same in features, but alike in attitude and appearance, with that bristling hair, with those wild and restless eyeballs, with that blouse—just as he was on the day he entered D——, full of hatred, and concealing in his soul that hideous hoard of frightful thoughts which he had spent nineteen years in gathering upon the floor of the galleys."
"Puis, regardant fixement M. Madeleine, il poursuivit en appuyant sur chacun des mots qu’il prononçait :","Then, staring fixedly at M. Madeleine, he went on emphasizing each of the words he uttered:","Then, staring intently at Monsieur Madeleine, he went on, dwelling on every word he uttered, ‘Monsieur Madeleine, I’ve never known but one man capable of doing what you ask.’","Then, gazing fixedly at M. Madeleine, he went on, emphasizing every word that he uttered:—","Then, looking fixedly at Monsieur Madeleine, he went on emphasising every word that he uttered:"
― Cosette !,―Cosette!,"He called to her in a low voice, ‘Cosette!’",“Cosette!”,“Cosette!”
"Les cuirassiers n’avaient point réussi, en ce sens que le centre n’était pas enfoncé. Tout le monde ayant le plateau, personne ne l’avait, et en somme il restait pour la grande part aux anglais. Wellington avait le village et la plaine culminante ; Ney n’avait que la crête et la pente. Des deux côtés on semblait enraciné dans ce sol funèbre.","The cuirassiers had not succeeded, in the sense that the center was not sunk. Everyone having the tray, no one had it, and in short it remained for the most part with the English. Wellington had the village and the high plain; Ney only had the ridge and the slope. Both sides seemed rooted in this funereal soil.","The cuirassiers had not succeeded, in the sense that there had been no breakthrough in the centre. With everyone holding the plateau, no one held it, and in short it remained for the most part with the English. Wellington had the village and the flat ground above, Ney had only the ridge and the slope. On both sides they seemed rooted in that lugubrious soil.","The cuirassiers had not succeeded, since the centre was not broken through. As every one was in possession of the plateau, no one held it, and in fact it remained, to a great extent, with the English. Wellington held the village and the culminating plain; Ney had only the crest and the slope. They seemed rooted in that fatal soil on both sides.","The cuirassiers had not succeeded, in this sense, that the centre was not broken. All holding the plateau, nobody held it, and in fact it remained for the most part with the English. Wellington held the village and the crowning plain; Ney held only the crest and the slope. On both sides they seemed rooted in this funebral soil."
"Bizarre coïncidence numérique, vingt-six bataillons allaient recevoir ces vingt-six escadrons. Derrière la crête du plateau, à l’ombre de la batterie masquée, l’infanterie anglaise, formée en treize carrés, deux bataillons par carré, et sur deux lignes, sept sur la première, six sur la seconde, la crosse à l’épaule, couchant en joue ce qui allait venir, calme, muette, immobile, attendait. Elle ne voyait pas les cuirassiers et les cuirassiers ne la voyaient pas. Elle écoutait monter cette marée d’hommes. Elle entendait le grossissement du bruit des trois mille chevaux, le frappement alternatif et symétrique des sabots au grand trot, le froissement des cuirasses, le cliquetis des sabres, et une sorte de grand souffle farouche. Il y eut un silence redoutable, puis, subitement, une longue file de bras levés brandissant des sabres apparut au-dessus de la crête, et les casques, et les trompettes, et les étendards, et trois mille têtes à moustaches grises criant : vive l’empereur ! Toute cette cavalerie déboucha sur le plateau, et ce fut comme l’entrée d’un tremblement de terre.","Strange numerical coincidence, twenty-six battalions were going to receive these twenty-six squadrons. Behind the crest of the plateau, in the shadow of the masked battery, the English infantry, formed into thirteen squares, two battalions per square, and in two lines, seven on the first, six on the second, the butt at the shoulder, aiming at what was to come, calm, mute, motionless, waiting. She did not see the cuirassiers and the cuirassiers did not see her. She listened to this rising tide of men. She heard the growing sound of the three thousand horses, the alternating and symmetrical tapping of hooves at a brisk trot, the rustling of breastplates, the clanking of sabers, and a kind of great wild breath. There was a dreadful silence, then suddenly a long line of raised arms brandishing sabers appeared above the ridge, and the helmets, and the trumpets, and the standards, and three thousand gray-moustached heads crying: Long live the emperor ! All this cavalry debouched on the plateau, and it was like the entry of an earthquake.","By a bizarre numerical coincidence, twenty-six battalions were to meet these twenty-six squadrons. Calm, silent, motionless, behind the crest of the plateau, in the shadow of their concealed battery, in thirteen square formations, two battalions to a square, arranged in two lines, seven in the first, six in the second, with rifle butts to their shoulders, aiming at what was about to appear, the English infantry lay in wait. They could not see the cuirassiers and the cuirassiers could not see them. They listened to this rising tide of men. They heard the swelling sound of the three thousand horse, the alternate and symmetric beat of their cantering hoofs, the rattle of the cuirasses, the clinking of the sabres and a kind of mighty fierce breathing. There was a terrible silence, then suddenly a long row of raised arms brandishing sabres appeared over the ridge, and helmets and trumpets and standards, and three thousand grey-mustachioed heads shouting, ‘Long live the emperor!’ All this cavalry surged on to the plateau, and it was like the arrival of an earthquake.","Odd numerical coincidence,—twenty-six battalions rode to meet twenty-six battalions. Behind the crest of the plateau, in the shadow of the masked battery, the English infantry, formed into thirteen squares, two battalions to the square, in two lines, with seven in the first line, six in the second, the stocks of their guns to their shoulders, taking aim at that which was on the point of appearing, waited, calm, mute, motionless. They did not see the cuirassiers, and the cuirassiers did not see them. They listened to the rise of this flood of men. They heard the swelling noise of three thousand horse, the alternate and symmetrical tramp of their hoofs at full trot, the jingling of the cuirasses, the clang of the sabres and a sort of grand and savage breathing. There ensued a most terrible silence; then, all at once, a long file of uplifted arms, brandishing sabres, appeared above the crest, and casques, trumpets, and standards, and three thousand heads with gray moustaches, shouting, “Vive l’Empereur!” All this cavalry debouched on the plateau, and it was like the appearance of an earthquake.","An odd numerical coincidence, twenty-six battalions were to receive these twenty-six squadrons. Behind the crest of the plateau under cover of the masked battery, the English infantry, formed in thirteen squares, two battalions to the square, and upon two lines—seven on the first, and six on the second—with musket to the shoulder, and eye upon their sights, waiting calm, silent, and immovable. They could not see the cuirassiers, and the cuirassiers could not see them. They listened to the rising of this tide of men. They heard the increasing sound of three thousand horses, the alternate and measured striking of their hoofs at full trot, the rattling of the cuirasses, the clicking of the sabres, and a sort of fierce roar of the coming host. There was a moment of fearful silence, then, suddenly, a long line of raised arms brandishing sabres appeared above the crest, with casques, trumpets, and standards, and three thousand faces with grey moustaches, crying, Vive l’empereur! All this cavalry debouched on the plateau, and it was like the beginning of an earthquake."
"La réponse était dure, mais elle allait au but avec la rigidité d’une pointe d’acier. L’évêque en tressaillit, il ne lui vint aucune riposte ; mais il était froissé de cette façon de nommer Bossuet. Les meilleurs esprits ont leurs fétiches, et parfois se sentent vaguement meurtris des manques de respect de la logique.","The answer was harsh, but it got to the point with the rigidity of a steel point. The bishop was startled, no answer came to him; but he was offended by this way of naming Bossuet. The best minds have their fetishes, and sometimes feel vaguely bruised by lack of respect for logic.","The retort was a harsh one, but it found its mark with the sureness of a steel-tipped blade. The bishop winced. He had no answer but he was offended by this reference to Bossuet. The best of minds have their idols and sometimes feel vaguely hurt by logic’s want of respect.","The retort was a harsh one, but it attained its mark with the directness of a point of steel. The Bishop quivered under it; no reply occurred to him; but he was offended by this mode of alluding to Bossuet. The best of minds will have their fetiches, and they sometimes feel vaguely wounded by the want of respect of logic.","The answer was severe, but it reached its aim with the keenness of a dagger. The bishop was staggered, no reply presented itself; but it shocked him to hear Bossuet spoken of in that manner. The best men have their fetishes, and sometimes they feel almost crushed at the little respect that logic shows them."
"Vers neuf heures du soir, les deux femmes se retiraient et montaient à leurs chambres au premier, le laissant jusqu’au matin seul au rez-de-chaussée.","About nine o'clock in the evening, the two women retired and went up to their rooms on the first floor, leaving him alone until morning on the ground floor.","About nine o’clock in the evening the two women would retire and go up to their rooms on the first floor, leaving him alone on the ground floor until morning.","Toward nine o’clock in the evening the two women retired and betook themselves to their chambers on the first floor, leaving him alone until morning on the ground floor.","Towards nine o’clock in the evening the two women were accustomed to retire to their chambers in the second story, leaving him until morning alone upon the lower floor."
