Source,GoogleTranslate,human1,human2,human3
"52. Le plus prestigieux des prix courus à Longchamp, fondé par le duc de Morny, qui lança les courses de chevaux en France.","52. The most prestigious of the prizes run at Longchamp, founded by the Duc de Morny, who launched horse racing in France.","As soon as the landau had taken up its position, Nana put herself at her ease, as though at home.","Meanwhile the young woman, without troubling about the people near her, talked at the top of her voice with Georges and Philippe Hugon, who were seated opposite on the front seat among such a mountain of bouquets of white roses and blue myosotis that they were buried up to their shoulders.","the extensive public enclosure gradually filling up with carriages and people on foot or horseback; the track itself, still deserted, with its judge’s box, the winning-post, the pole to display the horses’ numbers on; and the five symmetrical grandstands opposite, with their brick-and-timber balconies one above the other, set in the middle of the private enclosure."
Le bruit d’une querelle les fit se lever. C'était Georges qui défendait Vandeuvres contre les rumeurs vagues courant dans les groupes.,The sound of a quarrel made them get up. It was Georges who defended Vandeuvres against the vague rumors current in the groups.,The sounds of a quarrel caused them to stand up. It was George who was defending Vandeuvres against several vague rumours that were passing from group to group.,The noise of a quarrel caused them to rise. It was Georges in the act of defending Vandeuvres against certain vague rumors which were circulating among the various groups.,The sound of quarrelling brought them to their feet. It was Georges defending Vandeuvres against the vague rumours that were circulating among certain groups in the crowd.
« Puisque je vous invite ! Ça suffit. »,“Because I invite you! That's enough. »,But I invite you! That is quite sufficient.”,"""Since I invite you that's enough!""","‘The invitation’s coming from me, there’s no need to worry!’"
Nana avait oublié.,Nana had forgotten.,Nana had forgotten all about them.,Nana had not remembered.,Nana had forgotten.
"Puis, quand il se pencha pour la baiser sur les cheveux, elle s’attendrit, elle lui parla de l’enfant, de bonne foi, comme s’il en était le père.","Then, when he bent down to kiss her hair, she softened, she spoke to him of the child, in good faith, as if he were the father.","Then when he bent forward to kiss her on her hair, she was moved, and spoke to him of the child, in good faith, as though he had been the father.","Then as he leaned forward to kiss her on the hair, she grew tender toward him and spoke frankly about the child, as though he were its father.","Then, when he bent down to kiss her, she became affectionate and spoke of their child, in all sincerity, as if he were the father."
"« Un aventurier, disait madame Du Joncquoy. Moi, je ne l’ai jamais vu.","""An adventurer,"" said Madame Du Joncquoy. Me, I've never seen him.",“An adventurer!” Madame du Joncquoy was saying. “I have never seen him.”,"""An adventurer,"" Mme du Joncquoy was saying. ""For my part, I've never seen him.""",‘An adventurer!’ Madame Du Joncquoy was commenting. ‘I’ve never met him myself.’
"« Jamais ! déclara Nana, révoltée. Eh bien, ils sont propres, les fournisseurs ! Est-ce qu’ils croient que je suis à vendre, pour acquitter leurs mémoires 8 !... Vois-tu, j’aimerais mieux mourir de faim que de tromper Fontan.",""" Never ! declared Nana, revolted. Well, they are clean, the suppliers! Do they think I'm for sale, to pay off their memoirs!... You see, I'd rather die of hunger than deceive Fontan.","“Never!” declared Nana indignantly. “Well! they’re a dirty lot—those tradespeople! Do they think that I’m going to sell myself, just for the sake of seeing their bills paid? Listen to me now, I’d sooner die of hunger than deceive Fontan.”","""I'll never consent! "" declared Nana in great disgust. "" Ah, they're a pretty lot those tradesmen! Do they think I'm to be sold so that they can get their bills paid? Why, look here, I'd rather die of hunger than deceive Fontan.""","‘Never!’ Nana exclaimed in disgust. ‘What a lousy lot those tradesmen are! Do they think I’m going to sell myself just to settle their accounts? … I tell you, I’d sooner starve than be unfaithful to Fontan!’"
"Le rideau tombait, lorsque, dominant les bravos, des voix crièrent violemment :","The curtain fell, when, dominating the bravos, voices shouted violently:","The curtain fell, and above the applause rose some voices shouting loudly, “All!","The curtain was falling, when certain voices, rising above the storm of bravos, cried uproariously:","As the curtain fell, there were deafening calls for the whole cast, even louder than the cheers."
"Elle ne nommait pas Fontan. D’ailleurs, elle se calma tout de suite. Jamais elle ne rentrerait au théâtre. Sans doute, Labordette n’était pas convaincu, car il insistait avec un sourire.","She did not name Fontan. In fact, she calmed down immediately. She would never go back to the theatre. No doubt Labordette was not convinced, for he persisted with a smile.","She did not name Fontan. Besides, she became calm again almost directly. She would never return to the stage. No doubt Labordette was not convinced, for he insisted with a smile.","She did not mention Fontan by name. However, she grew calm again directly and declared that she would never go on the stage again. Labordette doubtless remained unconvinced, for he continued with smiling insistence.","She didn’t mention Fontan’s name and quickly regained her composure. She’d no intention of ever going back to the stage. But Labordette must have remained unconvinced because he persisted, with a smile:"
"Fauchery arrivait, en effet. En habitué de la maison, il avait fait le tour de la salle à manger, pour éviter l’encombrement des portes. Repris par Rose, au commencement de l’hiver, il se partageait entre la chanteuse et la comtesse, très las, ne sachant comment lâcher l’une des deux. Sabine flattait sa vanité, mais Rose l’amusait davantage. C'était, d’ailleurs, de la part de cette dernière une passion vraie, une tendresse d’une fidélité conjugale, qui désolait Mignon.","Fauchery was indeed arriving. As a regular in the house, he had gone around the dining room, to avoid the clutter of the doors. Taken back by Rose, at the beginning of winter, he was divided between the singer and the Countess, very weary, not knowing how to let go of either of them. Sabine flattered her vanity, but Rose amused her more. It was, moreover, on the part of the latter a real passion, a tenderness of conjugal fidelity, which distressed Mignon.","Fauchery was indeed just arriving. As an intimate friend of the house, he had passed through the dining-room so as to avoid the crush at the doors. Taken up again by Rose at the beginning of the winter, he now divided himself between the singer and the countess, feeling very wearied, not knowing how to break off with one of the two. Sabine flattered his vanity, but Rose amused him more. The latter, too, entertained a genuine affection for him, a tenderness of really conjugal fidelity, which grieved Mignon immensely.","Fauchery did indeed come up. As became a constant inmate of the house, he had gone round by the dining room in order to avoid the crowded doors. Rose had taken him up again at the beginning of the winter, and he was now dividing himself between the singer and the countess, but he was extremely fatigued and did not know how to get rid of one of them. Sabine flattered his vanity, but Rose amused him more than she. Besides, the passion Rose felt was a real one: her tenderness for him was marked by a conjugal fidelity which drove Mignon to despair.","Fauchery was just making his way over to them. As an intimate friend of the family, he’d come in via the dining-room to avoid the crush. However, at the beginning of the winter Rose had managed to lure him back, and as a result he found himself sharing his favours between the singer and the countess; he was a very tired man and unable to devise a way of dumping one or other of them. Sabine flattered his vanity but Rose was more fun. Moreover, the latter was passionately in love with him, and so constant in her affections that Mignon was in despair."
