Source,GoogleTranslate,human1,human2
"« Joannetti, fermez les portes et les fenêtres. – Je ne veux plus voir la lumière ; qu’aucun homme n’entre dans ma chambre ; – mettez mon sabre à la portée de ma main ; – sortez vous-même, et ne reparaissez plus devant moi !","“Joannetti, close the doors and windows. “I no longer want to see the light; let no man enter my room; – put my saber within reach of my hand; – come out yourself, and do not appear before me again!","Joannetti! shut the door and windows! I do not wish to see the light! Let no one enter my room. Put my sword within reach. Go out yourself, and keep away from me.","* “Joanetti! Shut all the doors and windows.—I no longer wish to see the light of day; let no man enter my room;—place my sabre within my reach;—you too, leave, and never show your face again.”"
Chapitre 15,Chapter 15,XV.,CHAPTER XV
"Comment et pourquoi cette rose sèche se trouve sur une tablette de mon bureau, c’est ce que je ne dirai certainement pas, parce que j’ai déclaré qu’une rose sèche ne mérite pas un chapitre.","How and why this dry rose is on a shelf in my office, I will certainly not say, because I have declared that a dry rose does not deserve a chapter.","Why and wherefore that rose is upon my shelf, I shall certainly not explain, for, as I said before, a withered rose does not deserve a chapter.","How and why this withered rose happens to be on a shelf over my desk, I certainly shall never tell, for I said that a withered rose did not merit a chapter."
Chapitre 34,Chapter 34,XXXIV. Correspondence.,CHAPTER XXXIV
"J’avais couché mes pincettes sur la braise pour faire griller mon pain ; et, quelque temps après, tandis que mon âme voyageait, voilà qu’une souche enflammée roule sur le foyer : – ma pauvre bête porta la main aux pincettes, et je me brûlai les doigts.","I had laid my tongs on the coals to toast my bread; and, some time later, while my soul was traveling, behold, a flaming stump rolls over the hearth: – my poor beast put his hand to the tongs, and I burned my fingers.","I had rested my tongs on the embers to toast my bread, and some little time afterwards, while my soul was travelling, a burning stick fell on the hearth: my poor animal seized the tongs, and I burnt my fingers. IX.","I had laid my tongs down on the embers, to toast the bread, and a little while later, as my soul was traveling, a flaming log suddenly rolled onto the hearth—my poor beast set his hand to the tongs, and I burned my fingers."
"L’agitation de la plus noble partie de moi-même se communiquait à l’autre, et celle-ci à son tour agissait puissamment sur mon âme. – J’étais parvenu tout entier à un état difficile à décrire, lorsque enfin mon âme, soit par sagacité, soit par hasard, trouva la manière de se délivrer des gazes qui la suffoquaient. Je ne sais si elle rencontra une ouverture, ou si elle s’avisa tout simplement de les relever, ce qui est plus naturel ; le fait est qu’elle trouva l’issue du labyrinthe. Les tresses de cheveux en désordre étaient toujours là ; mais ce n’était plus un obstacle, c’était plutôt un moyen : mon âme le saisit, comme un homme qui se noie s’accroche aux herbes du rivage ; mais le collier de perles se rompit dans l’action, et les perles se défilant roulèrent sur le sofa et de là sur le parquet de Mme de Hautcastel : car mon âme, par une bizarrerie dont il serait difficile de rendre raison, s’imaginait être chez cette dame ; un gros bouquet de violettes tomba par terre, et mon âme, s’éveillant alors, rentra chez elle, amenant à sa suite la raison et la réalité. Comme on l’imagine, elle désapprouva fortement tout ce qui s’était passé en son absence, et c’est ici que commence le dialogue qui fait l’objet de ce chapitre.","The agitation of the noblest part of myself was communicated to the other, and this in its turn acted powerfully on my soul. – I had completely arrived at a state difficult to describe, when at last my soul, either by sagacity or by chance, found the way to free itself from the gauzes which were suffocating it. I don't know if she encountered an opening, or if she simply took it into her head to pick them up, which is more natural; the fact is that she found the exit from the labyrinth. The messy hair braids were still there; but it was no longer an obstacle, it was rather a means: my soul seized it, as a drowning man clings to the grass of the shore; but the string of pearls broke in the action, and the unraveling pearls rolled onto the sofa and thence onto Madame de Hautcastel's floor: for my soul, by some oddity for which it would be difficult to explain, imagined to be with this lady; a large bouquet of violets fell to the ground, and my soul, waking then, returned home, bringing reason and reality in its wake. As one can imagine, she strongly disapproved of everything that had happened in her absence, and this is where the dialogue that is the subject of this chapter begins.","The agitation of the nobler part of myself communicated itself to the OTHER; and the latter, in its turn, reacted powerfully upon my soul. I worked myself, at last, into a state which it would be hard to describe, while my soul, either sagaciously or by chance, hit upon a way of escaping from the gauzes by which it was being suffocated. I know not whether she discovered an outlet, or whether, which is a more natural conclusion, it occurred to her to raise them: at all events, she found a means of egress from the labyrinth. The tresses of disheveled hair were still there; but they were now rather help than hindrance; my soul seized them, as a drowning man clutches the sedge on a river’s bank, but the pearl necklace broke in the act, and the unstrung pearls rolled on the sofa, and from the sofa to Madame Hautcastel’s floor (for my soul, by an eccentricity for which it would be difficult to give a reason, fancied she was at that lady’s house); then a great bunch of violets fell to the ground, and my soul, which then awoke, returned home, bringing with her common sense and reality. She strongly disapproved, as you will readily imagine, of all that had passed in her absence; and here it is that the dialogue begins which forms the subject of this chapter.","The agitation of the noblest part of myself was imparted to the other, and then he, in turn, exerted his own powerful influence upon my soul.—I had fully reached a state difficult to describe, when my soul, either by cleverness or by chance, suddenly discovered the way to free herself from the veils that were suffocating her. I do not know whether she found an opening or simply took it upon herself to remove them, which would have been more natural; in any event, she found her way out of the labyrinth. The tangled braids of hair were still there, but they were no longer an obstacle; they were, rather, a means of escape: my soul seized them as a drowning man fastens on to the grasses of the riverbank, but the pearl necklace broke in the process, and the pearls came unstrung, rolling onto the sofa and thence onto the parquet of Mme de Hautcastel;—for my soul, in an extravagance that would be difficult to explain, imagined she was at that Lady’s home: a large bouquet of violets fell to the floor, and my soul, then waking, returned home, bringing reason and reality with her. As one may imagine, she strongly disapproved of all that had happened in her absence; and here begins the dialogue that is the subject of this chapter."
"Est-il en effet d’être assez malheureux, assez abandonné, pour n’avoir pas de réduit où il puisse se retirer et se cacher à tout le monde ? Voilà tous les apprêts du voyage.","Is it indeed to be unhappy enough, abandoned enough, not to have a retreat where he can withdraw and hide from everyone? Here are all the preparations for the trip.",Surely there is no being so miserable as to be without a retreat to which he can withdraw and hide himself from the world. Such a hiding-place will contain all the preparations our journey requires.,"Indeed, is there anyone so wretched, so forlorn as not to have some sort of garret in which to withdraw and hide from the world? For such is all that is required for travel."
"Lorsque j’ai assez pleuré et fait l’amour, je cherche quelque poète, et je pars de nouveau pour un autre monde.","When I have cried and made love enough, I look for some poet, and I leave again for another world.","When I have had enough of tears and love, I turn to some poet, and set out again for a new world.","When, on the other hand, I have had enough of weeping and wooing, I seek out some poet and depart anew for another world."
Chapitre 8,Chapter 8,VIII.,CHAPTER VIII
"Le soir, le docteur Ranson lui trouvait le pouls concentré, et ordonnait la saignée pour le lendemain. Si le service avait duré un mois de plus, c’en était fait du malade.","In the evening, Dr. Ranson found his pulse concentrated, and ordered bloodletting for the next day. If the service had lasted another month, the patient was over.","In the evening Dr. Ranson[11] found his pulse hard and feverish, and ordered him to be bled next day. If the campaign had lasted a month longer, the sick man’s case would have been past cure.","In the evening, Doctor Ranson* found his pulse to be somewhat concentrated, and ordered that he be bled the following day. Had his tour of duty lasted more than a month, that would have been the end of the patient."
