Source,GoogleTranslate,human1,human2,human3
"Oui, elle avait des éraflures; on était parvenu à «l'étoiler», malgré sa solidité et cela me prouvait, à n'en pouvoir douter, que la chambre des supplices dans laquelle nous nous trouvions, avait déjà servi!","Yes, she had scratches; we had succeeded in ""starring"" it, despite its solidity, and that proved to me beyond any doubt that the torture chamber in which we found ourselves had already been used!",The glass was damaged here and there: I could see scratch marks and it was even scarred in places despite its thickness – which proved to me that the torture chamber in which we now found ourselves had been used already.,"Tough though it was, there were scratches and even some ‘starring’. It proved beyond doubt that the torture chamber in which we were trapped had already been put to use!","Yes, they were marked and scratched; they had been “starred,” in spite of their solidity; and this proved to me that the torture-chamber in which we now were had already served a purpose."
"Qu'est-ce qu'un duel avec le plus terrible des bretteurs à côté d'un combat avec le plus génial des prestidigitateurs? Moi-même, je me faisais difficilement à cette pensée que j'allais entrer en lutte avec un homme qui n'est visible au fond que lorsqu'il le veut et qui, en revanche, voit tout autour de lui, quand toute chose pour vous reste obscure!... Avec un homme dont la science bizarre, la subtilité, l'imagination et l'adresse lui permettent de disposer de toutes les forces naturelles, combinées pour créer à vos yeux ou à vos oreilles l'illusion qui vous perd!... Et cela, dans les dessous de l'Opéra, c'est-à-dire au pays même de la fantasmagorie! Peut-on imaginer cela sans frémir? Peut-on seulement avoir une idée de ce qui pourrait arriver aux yeux ou aux oreilles d'un habitant de l'Opéra, si on avait enfermé dans l'Opéra—dans ses cinq dessous et ses vingt-cinq dessus—un Robert-Houdin féroce et «rigolo», tantôt qui se moque et tantôt qui hait! tantôt qui vide les poches et tantôt qui tue!... Pensez-vous à cela: «Combattre l'amateur de trappes?»—Mon Dieu! en a-t-il fabriqué chez nous, dans tous nos palais, de ces étonnantes trappes pivotantes qui sont les meilleures des trappes!—Combattre l'amateur de trappes au pays des trappes!...","What is a duel with the most terrible of swordsmen next to a fight with the most brilliant of conjurers? Myself, I had difficulty getting used to this thought that I was going to enter into a struggle with a man who is only visible deep down when he wants to and who, on the other hand, sees everything around him, when everything for remains obscure to you!... With a man whose bizarre science, subtlety, imagination and address allow him to dispose of all the natural forces, combined to create in your eyes or in your ears the illusion that lose!... And that, in the underbelly of the Opera, that is to say in the very land of phantasmagoria! Can we imagine that without shuddering? Can we even have an idea of what could happen to the eyes or the ears of an inhabitant of the Opera, if we had locked up in the Opera—in his five underwear and his twenty-five tops—a Robert-Houdin ferocious and ""funny"", sometimes mocking and sometimes hating! sometimes who empties the pockets and sometimes who kills!... Do you think of that: ""To fight the amateur of traps?""—My God! has he made among us, in all our palaces, those astonishing swinging traps which are the best of traps!—Fight the amateur of traps in the land of traps!...","Fighting a duel with the most reckless desperado was nothing compared to battling with one of the world’s greatest illusionists! I myself was daunted by the prospect of fighting a man who was only visible when he so wished, but saw everything while you yourself remained in the dark – a man whose uncanny science, cleverness, imagination and skill enabled him to draw upon all the resources of nature to deceive your eyes and ears, and lure you to your death – and all this beneath the stage of the Paris Opera House, the very home of phantasmagoria! How could one contemplate such a prospect without trembling to the core? Imagine pitting yourself against someone as talented as Robert-Houdin, but who mocks and hates by turns – empties pockets one minute only to kill the next – in a theatre with no fewer than five levels under the stage and twenty-five above!5 I was about to fight the Master of the Traps! I remembered all those pivoting trap doors – so effective, so deadly – he had installed in the palaces of Persia. And now it was in a world of traps that I was to confront the Master of the Traps!","What is a duel with the most fearsome bully compared with going up against the most brilliant of illusionists? Even I was unnerved by the thought of doing battle with a man who was visible only when he wanted to be but could see everything around him whereas you couldn’t see your hand in front of your face!… a man whose fantastic knowledge of science, subtle mind, imagination and sheer skill enabled him to exploit the forces of nature and combine them in ways that confuse the eyes and ears with deadly trickery!… And where better to do this than in the bowels of the Opera House, that land of dreams and make-believe! Can you imagine it without quaking? Can you have any idea of the effect on the eyes and ears of anyone sallying forth to do battle on the home territory—the Opera, with its five lower levels and twenty-five upper levels—of a kind of diabolical Robert-Houdin with a twisted sense of humour who would joke and hate by turns and steal and kill at will!… Ask yourself this: ‘How would I fight the King of Traps?’ By God! Did he not come to Persia and build inside our palaces astounding swivelling walls and trapdoors which have never been bettered? … How could anyone expect to beat the King of Traps in the Kingdom of Traps?","The little viscount is a brave fellow, but he knew hardly anything about his adversary; and it was so much the better. My great fear was that he was already somewhere near us, preparing the Punjab lasso. No one knows better than he how to throw the Punjab lasso, for he is the king of stranglers even as he is the prince of conjurors."
—Pardon! M. le comte n'était-il pas opposé à votre mariage avec Mlle Daaé?,-Sorry! Wasn't the Count opposed to your marriage to Mlle. Daaé?,‘I beg your pardon. Was the Count not opposed to your marriage with Christine Daaé?’,‘Excuse me! Wasn’t the Count opposed to your marriage with Mlle Daaé?’,“I beg your pardon. Was not M. le Comte opposed to your marriage with Mlle. Daaé?”
LE VIOLON ENCHANTÉ,THE ENCHANTED VIOLIN,The Magic Fiddle1,The Magic Violin,THE ENCHANTED VIOLIN
"Il pensa tout de suite: c'est elle! Et son cœur se prit à frapper à grand coups sourds, comme ceux qu'il avait déjà entendus dans sa poitrine quand il écoutait la voix d'homme derrière la porte de la loge... Mon Dieu! comme il l'aimait!","He immediately thought: it's her! And his heart began to beat with great dull thumps, like those he had already heard in his chest when he listened to the voice of a man behind the door of the dressing room... My God! how he loved her!","He thought at once: ‘It’s Christine!’ And his heart began to race. He could feel it pounding in his chest as it had done when he heard the voice through the door of her dressing-room. Dear God, how he loved her!",His first thought was: ‘It’s her!’ and his heart started thumping as loudly as it had on the night he heard the man’s voice through the door of Christine’s dressing room… Dear God! How he loved her!,"He had been indulging in this healthy exercise for half an hour or so, when a carriage turned the corner of the road and came quietly in his direction, at a walking pace. As it approached, he saw that a woman was leaning her head from the window."
—Bah!... Et il ajouta tout de suite: Allons! Allons!,"""Bah!..."" And he immediately added: Come on! Let's go!","‘If we must,’ he said, adding quickly: ‘Come then, let’s go!’","‘Very well,’ he said, adding: ‘Come on then!’",They were soon at the door leading from the house to the stage. Numbers of subscribers were slowly making their way through.
Mais l'inspecteur était maintenant incapable de dire un mot. Il fit entendre par une mimique désespérée qu'il n'en savait rien ou plutôt qu'il n'en voulait rien savoir.,"But the inspector was now unable to say a word. He gave it to be understood by a desperate expression that he didn't know anything about it, or rather that he didn't want to know anything about it.","But by now the house manager was quite incapable of opening his mouth. He made a despairing gesture suggesting that he knew nothing, or rather that he wished to know nothing.",By this time the officer was incapable of speech. He managed to convey by a desperate dumb-show that he knew nothing and moreover didn’t want to know.,"But the inspector was by this time incapable of speaking a word. He managed to convey, by a despairing gesture, that he knew nothing about it, or rather that he did not wish to know."
"—Évidemment, réplique le régisseur, qui se passe avec frénésie les mains dans une toison rebelle. Évidemment! Mais peut-être que s'il y avait quelqu'un au jeu d'orgue, ce quelqu'un pourrait nous expliquer comment l'obscurité a été faite tout à coup sur la scène. Or, Mauclair n'est nulle part, comprenez-vous?","“Of course,” replies the manager, frantically running his hands through a rebellious fleece. Obviously! But maybe if there was someone playing the organ, that someone could explain to us how darkness was suddenly made on the stage. Now, Mauclair is nowhere, do you understand?","said the stage manager, frantically raking his fingers through his unruly hair. ‘Nothing! All the same, if someone had been there, that person might have been able to tell us why the stage was suddenly plunged into darkness and how it happened. But Mauclair cannot be found.’","replied the stage manager frantically running his hands through his tousled hair. ‘You’re right! But if there had been someone there, they’d have been able to explain how the lights suddenly cut out on stage. But there’s no sign of Mauclair anywhere!’","“You’re right!” said the stage-manager, frantically pushing his hands through his rebellious hair. “You’re right! But there might be some one at the organ who could tell us how the stage came to be suddenly darkened. Now Mauclair is nowhere to be found. Do you understand that?”"
Le comte avait constaté que la fenêtre avait été traversée d'une balle à hauteur d'homme. Raoul était penché sur le balcon avec sa bougie.,The count had noticed that the window had been shot through at the height of a man. Raoul was leaning on the balcony with his candle.,"While the Count inspected the glass, which had been shot through at a man’s height, Raoul bent down with his candle.",The Count noticed the clean hole in the glass made by a bullet. It was head high. Raoul leaned over the balcony with his candle.,The count saw that the window had been pierced by a bullet at a man’s height. Raoul was leaning over the balcony with his candle:
"Bientôt le gémissement qui accompagnait cette sorte de litanie d'amour, grandit, grandit. Je n'ai jamais rien entendu de plus désespéré et M. de Chagny et moi reconnûmes que cette effrayante lamentation appartenait à Erik lui-même. Quant à Christine, elle devait, quelque part, peut-être de l'autre côté du mur que nous avions devant nous, se tenir, muette d'horreur, n'ayant plus la force de crier, avec le monstre à ses genoux.","Soon the groan that accompanied this sort of litany of love grows, grows. I have never heard anything more desperate, and M. de Chagny and I recognized that this frightful lament belonged to Erik himself. As for Christine, she must have stood somewhere, perhaps on the other side of the wall in front of us, mute with horror, no longer having the strength to cry out, with the monster at her knees.","Soon the moans that punctuated this litany of love grew in intensity. Never in my life had I heard such despair. The Viscount and I then realized that this terrible lament came from Erik himself. As for Christine, she must have been simply standing there – perhaps on the other side of the wall in front of us – dumbstruck, with the hideous freak pleading at her feet.","The groans which punctuated this litany of love grew louder and louder. I have never heard such a disturbing sound and the Viscount and I quickly realized that this keening jeremiad was the expression of Erik’s despair. As for Christine, she couldn’t be far away, perhaps she was there, on the other side of the wall facing us, dumb with horror, with the monster at her feet, not having the strength to cry out.","Soon the moans that accompanied this sort of love’s litany increased and increased. I have never heard anything more despairing ; and M. de Chagny and I recognized that this terrible lamentation came from Erik himself. Christine seemed to be standing dumb with horror, without the strength to cry out, while the monster was on his knees before her."
