id,source,translation
1,"The mother was speaking from the breakfast room, out of my field of view.","Matka mówiła z jadalni, poza moim polem widzenia."
2,"I liked that room a lot, with its long, oaken table and glass walls on three sides.","Bardzo mi się podobał ten pokój, z długim dębowym stołem i szklanymi ścianami z trzech stron."
3,"You could see the bright sparkle of the lake through the glass walls, and sunlight shifted through the moving branches of an ancient willow that shaded the house.","Przez szklane ściany widziałeś błyszczące srebrzystymi iskrami jezioro, a słońce przebijające się przez gałęzie starej wierzby rzucało na dom cień."
4,"We had a system of accounting, a chart on a wall.","Mieliśmy system księgowości, wykres na ścianie."
5,There were merits and demerits.,Były zalety i wady.
6,"A merit was for an outrage success­fully committed, a demerit for an act that should bring on humiliation.","Zasługą był skutecznie dokonany akt przemocy, a punktem ujemnym taki, który powinien sprowadzić upokorzenie."
7,"Juicy got merits for drooling into cocktails undetected, while Low got demerits for kissing up to a father.","Juicy zdobył punkty za niezauważone oblanie drinków, podczas gdy Low stracił je za podlizywanie się ojcu."
8,Probably not his own—Low's parentage was a well-kept secret.,Prawdopodobnie nie był jego — rodowód Lowa był dobrze strzeżoną tajemnicą.
9,But he'd been spotted asking a guy with male-pattern baldness for wardrobe advice.,"Ale zauważono go, jak prosi o porady dotyczące garderoby faceta z męskim typem łysienia."
10,"We had to hide the running, though, in case our haste betrayed us, so truer to say we slipped out quietly.","Musielismy ukryć bieg, aby nasza pośpiech nas nie zdradził, więc prawdziwiej byłoby powiedzieć, że wyszliśmy cicho."
11,"When one of my parents appeared, my technique was: pretend to catch sight of someone in the next room.","Kiedy pojawiał się któryś z moich rodziców, stosowałem taktykę: udawałem, że dostrzegam kogoś w sąsiednim pokoju."
12,"Move in a natural manner toward this figment of my imagination, making a purposeful face.","Poruszaj się naturalnie w kierunku tego tworu mojej wyobraźni, zachowując zdecydowaną minę."
13,Go through the door.,Przejdź przez drzwi.
14,And fade away.,I zniknąć.
15,"As the evenings wore on, some parents got it into their heads to dance.","Jak wieczory mijały, niektórym rodzicom przyszło do głowy zatańczyć."
16,A flash of life would move their lumpen bodies.,Błysk życia poruszyłby ich ciężkie ciała.
17,Sad spectacle.,Smutny widok.
18,"They flopped, blasting their old-time music.","Upadli, rozbrzmiewając swoją staromodną muzyką."
19,"""Beat on the brat, beat on the brat, beat on the brat with a baseball bat, oh yeah.""","""Bij brzdąca, bij brzdąca, bij brzdąca baseballowym kijem, oh tak."""
20,Later the talk grew louder.,Później rozmowa stała się głośniejsza.
21,"Freed of our influence, some of them emitted sudden, harsh barks.","Uwolnione spod naszego wpływu, niektóre z nich nagle i gwałtownie zaczęły szczekać."
22,"Apparently, laughing.","Wydaje się, że śmieje."
23,"From the wrap­around porch, with its bamboo torches and hanging ferns and porch swings, moth-eaten armchairs and blue-light bug zappers, the barks of laughter carried.","Z werandy obejmującej dom dookoła, z bambusowymi pochodniami, wiszącymi paprociami, huśtawkami na werandzie, omszałymi fotelami i niebieskimi lampami owadobójczymi, dobiegały dźwięki śmiechu."
24,"We heard them from the treehouses and tennis courts and from the field of beehives a slow neighbor woman tended in the daytime, muttering under the veil of her beekeeping hat.","Słyszeliśmy je z domków na drzewach i kortów tenisowych, a także z pól pełnych uli, którymi wolno poruszająca się sąsiadka opiekowała się w dzień, mamrocząc coś pod welonem swojego kapelusza pszczelarskiego."
25,"We heard them from behind the cracked panes of the dilapidated greenhouse or on the cool black water of the lake, where we floated in our underwear at midnight.","Słyszeliśmy je zza pękniętych szyb, w ruinującej się szklarni, bądź na chłodnych czarnych wodach jeziora, po którym o północy unosiliśmy się tylko w bieliźnie."
26,"THE GREAT HOUSE had been built by robber barons in the nineteenth century, a palatial retreat for the green months.","WIELKI DOM został zbudowany przez rozbójników baronów w dziewiętnastym wieku, jako pałacowy azyl na zielone miesiące."
27,"Our parents, those so-called figures of authority, roamed its rooms in vague circuits beneath the broad beams, their objectives murky.","Nasi rodzice, te tak zwane autorytety, krążyli wzdłuż i wszerz po pokojach pod grubymi belkami, z niejasno określonymi celami."
28,And of no general interest.,I bez większego znaczenia dla ogółu.
29,The lady urinated.,Pani załatwiła swoje potrzeby.
30,"""Oh, poor old thing, she has a nervous bladder!"" exclaimed someone's chubby mother.","""Ach, biedaczka, ma nerwowy pęcherz!"" zawołała matka jednego z okrąglutkich dzieci."
31,"""Is that a Persian rug?""","""Czy to dywan perski?"""
32,Whose mother was it? Unclear.,Czyja to była matka? Niejasne.
33,"No one would cop to it, of course.","Oczywiście, nikt się do tego nie przyznał."
34,We canceled the performance.,Odwołaliśmy przedstawienie.
35,"""Admit it, that was your mother,"" said a kid named Rafe to a kid named Sukey, when the parents had filed out.","""Przyznaj, to była twoja matka,"" powiedział chłopiec o imieniu Rafe do dziewczyny o imieniu Sukey, kiedy rodzice opuścili pokój."
36,"Some of their goblets, highball glasses, and beer bottles were completely empty.","Niektóre z ich kielichów, szklanek do whisky i butelek po piwie były całkowicie puste."
37,Drained.,Wyczerpany.
38,"Those parents were in a hurry, then.",Czyli ci rodzice byli wtedy w pośpiechu.
39,"""No way,"" said Sukey firmly, and shook her head.","""Nie ma mowy,"" powiedziała stanowczo Sukey, potrząsając głową."
40,"""Then who is your mother?","""To kto jest twoją matką?"
