id,source,translation
1,"Nie wyjdzie stamtąd, mówię wam powiedział pryszczaty, z przekonaniem kiwając głową.",「あそこから出てくることはない。言ったとおりだよ」と、にきびがある彼は確信を持って頷いた。
2,"Już godzina i ćwierć, jak tam wlazł.",もう1時間15分、彼が入ってきていた。
3,Już po nim.,もう彼の後ろだった。
4,"Mieszczanie, stłoczeni wśród ruin, milczeli wpatrzeni w ziejący w rumowisku czarny otwór, w zagruzowane wejście do podziemi.",町の住民たちは、廃墟の中で押し寄せて黙って、がれきの中に広がる黒い穴や地下へ通じる重荷を負った入り口を見つめていた。
5,"Grubas w żółtym kubraku przestąpił z nogi na nogę, chrząknął, zdjął z głowy wymięty beret.",ふくよかな黄色の上着を着た男が足を踏み出し、咳払いをして、しわくちゃのベレー帽を頭から取った。
6,"Poczekajmy jeszcze powiedział, ocierając pot z rzadkich brwi.",「もう少し待とう」と彼は言い、希薄な眉の汗を拭き取った。
7,Na co? prychnął pryszczaty.,「なんのことだ？」とニキビ面はしゃぶった。
8,"Tam, w lochach, siedzi bazyliszek, zapomnieliście, wójcie?",「あそこの地下牢でバジュリスクが座っているよ、おじさん忘れたの？」
9,"Kto tam wchodzi, ten już przepadł.",入ってくる者はもうダメだ。
10,Mało to ludzi tam poginęło?,あんなにたくさんの人々がそこで亡くなりましたよね？
11,Na co tedy czekać?,それでは何を待てばいいのか？
12,Umawialiśmy się przecie mruknął niepewnie grubas.,「でも、予定を立てたじゃないか」と不安そうに太っちょがつぶやいた。
13,Jakże tak?,どうしてそんなことができるの？
14,"Z żywym się umawialiście, wójcie rzekł towarzysz pryszczatego, olbrzym w skórzanym, rzeźnickim fartuchu.",「生者と予定を立てていたというのか？」皮製の屠殺用エプロンを身にまとう、ニキビのある巨漢が言った。
15,"A nynie on martwy, pewne to jak słońce na niebie.",今では彼は死んでいる、それは太陽が空にあるのと同じくらい確かだ。
16,"Z góry było wiadomo, że na zgubę idzie, jako i inni przed nim.",予め分かっていたことだが、彼も他の人々と同じく滅びに向かっている。
17,"Przecie on nawet bez zwierciadła polazł, z mieczem tylko.",彼は鏡なんて使わずに、ただ剣だけを手にしていったんだよ。
18,"A bez zwierciadła bazyliszka nie da się zabić, każdy to wie.",バジリスクの鏡なしには、誰でも彼を殺すことはできない。誰でもそれを知っている。
