id,source,translation
1,ミホは、今では結婚して地元に中古の一戸建てを買っていて、そこに友達がよく集まっている。,"Maho poślubiła i kupiła używany dom w swoim rodzinnym mieście, gdzie często spotykają się jej przyjaciele."
2,明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の「普通の三十代女性」と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。,"Często myślę, że to męczące, ponieważ następnego dnia mam pracę dorywczą. Jednak to jest jedyna okazja by mieć kontakt z kimś spoza sklepu i miło spędzić czas z innymi trzydziestolatkami kobietami. Dlatego staram się jak najbardziej odpowiadać na zaproszenia Mihy."
3,今日も、ミホと、まだ小さい子供を連れたユカリ、結婚しているが子供はまだのサツキと私、というメンバーで、ミホの家にケーキを持ち寄ってお茶をしていた。,"Dzisiaj również byliśmy u Mihoko - ja, Yukari, która przyszła ze swoim małym dzieckiem, Satsumi, ale nie miała jeszcze męża - i spożywaliśmy herbatę przy okazji składając jej tort."
4,そのとき、私は、初めて、世界の部品になることができたのだった。,"Wtedy po raz pierwszy poczułem, że stałem się częścią składnika tego świata."
5,私は、今、自分が生まれたと思った。,"Teraz przekonałem się, że takie coś jak narodziny jest możliwe."
6,世界の正常な部品としての私が、この日、確かに誕生したのだった。,W tym dniu na świat przyszłam jako normalny element świata.
7,オープンまでの二週間、二人組になったり、社員を相手にしながら、架空の客に向かって、ひたすら練習が続いた。,"Przez dwie kolejne tygodnie, podczas treningów trwających bez przerwy, z partnerem i innymi pracownikami udawaliśmy klientów."
8,「お客様」の目を見て微笑んで一礼すること、生理用品は紙袋に入れること、温かい物は冷たい物と分けて入れること、ファーストフードを頼まれたら手をアルコールで消毒すること。,"Patrząc w oczy ""klienta"", uśmiechając się i kłaniając, wkładanie produktów higienicznych do papierowej torby, rozdzielenie ciepłych i zimnych przedmiotów przy pakowaniu, dezynfekcja rąk alkoholem po podaniu fast foodu."
9,お金に慣れるためにとレジの中には本物のお金が入っていたが、レシートには「トレーニング」と大きく印字されていたし、相手は同じ制服を着たアルバイト仲間だし、なんとなくお買いものごっこをしているようだった。,"W kasie były prawdziwe pieniądze, żeby się przyzwyczajać do obsługiwania kasy, ale na paragonie było wielkimi literami napisane ""trening"", a przeciwnik był koleżanką z pracy w tej samej firmie i jakoś tak udawaliśmy zakupy."
10,二つ年下の妹は、私と違って、「普通」の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。,"Młodsza o dwa lata siostra była ""normalnym"" dzieckiem, ale nie unikała mnie i raczej tęskniła za mną."
11,妹が私と異なり普通のことで母に叱られているとき、母に私は近づいて「どうして怒っているの？」と理由を尋ねた。,"Kiedy moja siostra zostawała skarcona przez matkę za coś zwykłego, podszedłem do niej i zapytałem: ""Dlaczego się gniewasz?"""
12,私が母に質問したせいでお説教が終わると、庇かばわれたと思うのか、妹はいつも私に「ありがとう」と言った。,"Po skończeniu kazania matki, moja siostra zawsze mówiła mi ""dziękuję"", czy uważała, że ją osłoniłem?"
13,お菓子や玩具にあまり興味がなかった私は、それらを妹にあげることも多かった。,"Mając niewielkie zainteresowanie słodyczami i zabawkami, często dawałam je mojej siostrze."
14,そのため、妹はいつも私についてまわっていた。,Dlatego moja siostra zawsze chodziła ze mną wszędzie.
15,「お父さん、焼き鳥好きだから、今日、これを焼いて食べよう」 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"""Tato, bardzo lubisz yakitori, więc dzisiaj upieczemy i zjemy."" Matka zdziwiła się, kiedy powtórzyłem to głośniej, być może nie usłyszała dobrze. Obok siedząca inna mama również była zaskoczona i wzruszyły się jednocześnie jej oczy, nozdrza i usta."
16,変な顔だったので笑いそうになったが、その人が私の手元を凝視しているのを見て、そうか、一羽じゃ足りないなと思った。,"Miał dziwną twarz, aż chciałem się zaśmiać, ale kiedy zobaczyłem, że ta osoba skupia się na moich rękach, pomyślałem: ""Ach tak, nie wystarczy tylko jedno""."
17,「もっととってきたほうがいい？」 近くで二、三羽並んで歩いている雀にちらりと視線をやると、やっと我に返った母が、「恵子！」ととがめるような声で、必死に叫んだ。,"""Czy powinnam przynieść więcej?"" - kiedy zerknąłem na kilka wróbli, które szły razem w pobliżu, wreszcie moja matka odzyskała przytomność i krzyknęła desperackim głosem: ""Keiko!"""
18,「小鳥さんはね、お墓をつくって埋めてあげよう。,"""Pomożemy ptaszkom, budując i zakopując dla nich groby."
19,ほら、皆も泣いてるよ。,"Widzisz, wszyscy też płaczą."
20,お友達が死んじゃって寂しいね。,"Smutno, gdy przyjaciel umiera."
21,ね、かわいそうでしょう？」,Nie jest mu ich szkoda?
22,「なんで？　せっかく死んでるのに」 私の疑問に、母は絶句した。,"""Dlaczego? Przecież umarłem się na śmierć."" Matka milczała na mój pytanie."
