Source,GoogleTranslate,human1,human2
"Io stavo a guardarlo, stupito. O che poteva importare a quell'uomo in quello stato, a due passi ormai dalla tomba (morì difatti quattro mesi dopo la mia nomina a bibliotecario), che poteva importargli che Birnbaum Giovanni Abramo avesse fatto stampare a Lipsia nel 1738 un opuscolo in-8°? E non gli fosse almeno costata tutto quello stento la lettura! Bisognava proprio riconoscere che non potesse farne a meno di quelle date lì e di quelle notizie di musicisti (lui, così sordo!) e artisti e amatori, morti e viventi fino al 1758. O credeva forse che un bibliotecario, essendo la biblioteca fatta per leggervi, fosse obbligato a legger lui, posto che non aveva veduto mai apparirvi anima viva; e aveva preso quel libro, come avrebbe potuto prenderne un altro? Era tanto imbecillito, che anche questa supposizione è possibile, e anzi molto più probabile della prima.","I was looking at him, amazed. Or that it might have mattered to that man in that state, just a stone's throw from the grave (in fact he died four months after my appointment as librarian), that it might have mattered to him that Birnbaum Giovanni Abramo had had an in-8 pamphlet printed in Leipzig in 1738 °? And at least it hadn't cost him all that hard reading! It was really necessary to recognize that he could not do without those given there and those news of musicians (he, so deaf!) And artists and amateurs, dead and living until 1758. Or perhaps he believed that a librarian, being the library made for to read it, he was obliged to read it, since he had never seen a living soul appear there; and he had taken that book, how could he have taken another? He was so stupid that even this supposition is possible, and indeed much more probable than the first.","I would go on watching him, astonished. What could it matter to a man reduced to that state, with one foot in the grave (in fact he died four months after I was appointed librarian) , what could it matter to him that Birnbaum (John Abraham) had a pamphlet printed in octavo in Leipzig in 1738? And besides, it cost him so much effort to read. He must have decided that he needed those dates and details about musicians (deaf as he was), artists and amateurs, alive and dead, up to 1758. Or perhaps he thought that as a library is created for reading in, he, as librarian, was obliged to read, since he had never seen another living soul in there. He had selected that book and now was unable to pick another. He was so senile that this supposition is possible and actually more probable than the first.","I used to watch him in amazement. Why should a man in his condition, on the brink of the grave (in fact he died four months after my appointment as librarian), care what Birnbaum Giovanni Abramo had had printed in Leipzig in 1738 in octavo? If only this reading hadn't cost him such an effort! Apparently he was unable to do without those dates and those pieces of information about musicians (and he himself, so deaf!) and artists and amateurs, living and dead before the year 1758. Or did he perhaps think that, since a library is made for reading, and since no other living soul ever turned up there, the librarian himself was obliged to read? Perhaps he had just picked that book up at random, and he might as easily have chosen another. He was so senile that this supposition is possible, indeed much more probable than the first."
"Ma troppo tardi. Romilda, col busto slacciato, la poppante al seno, tutta in disordine, come se - alle grida - si fosse levata di letto in fretta e in furia, si fece innanzi, m'intravide:","But too late. Romilda, with the bust undone, the suckling at the breast, all in disorder, as if - at the cries - she had got out of bed in a hurry and in fury, came forward, glimpsed me:","But it was too late. Romilda, her dress undone, the child at her breast, and all in disarray as if the shouting had brought her from her bed in a panic, stood before me, then suddenly noticed it was me.","But it was too late. Her blouse unbuttoned, the infant at her breast, Romilda came forward, all disheveled as if she had got up in a hurry."
Scrollai le spalle.,I shrugged.,“I don’t know …” I shrugged my shoulders.,I shrugged.
- Com'è? - riprese a domandar Berto che piangeva anche lui. - Com'è? com'è?,"- Such as? Berto began to ask again, who was also crying. - Such as? such as?",I started to weep like a child. “How can it be?”,"“How can this be?"" Berto started asking again, weeping as I was. “How did this happen?"" “Here I am . . ."
"- Che cos'è? - domandò il marchese, notando il nostro fare aggressivo.","- What is that? asked the Marquis, noting our aggressive behavior.","“What is going on?” asked the Marchese, noticing our aggressive manner.","“What's this?"" the Marchese asked, noticing our aggressive attitudes."
"Il signor Anselmo restò un tratto a guardare, come se improvvisamente gli fosse caduto un macigno innanzi ai piedi.","Signor Anselmo stood looking for a while, as if suddenly a boulder had fallen in front of his feet.",Signor Anselmo stared down for a moment as if a lump of rock had suddenly dropped at his feet.,"Signor Anselmo sat staring for a moment, as if a boulder had suddenly fallen at his feet."
"- Ma anche lei, - rimbeccò Pomino, - non essendo più mia moglie…","- But she too, - retorted Pomino, - since she is no longer my wife ...","“But it’s hard for her as well,” rebutted Pomino, “not being my real wife.”","“But Romilda, too,” Pomino replied, “since she's no longer my wife . . .”"
"Domandai, per distrarmi, al vetturino, se ci fosse ad Alenga un'agenzia giornalistica:","To distract myself, I asked the driver if there was a news agency in Alenga:","To take my mind off my fears, I asked the driver whether there was a newsagent in Alenga.",To think about something else I asked the driver if there was a news agent in Alenga.
"- Lei non deve aver molto cuore, - mi disse una volta la Caporale, - se è vero ciò che dice e che io non credo, d'esser passato finora incolume per la vita.","""You mustn't have much heart,"" the Corporal once said to me, ""if what she says is true and what I don't believe, that I have so far passed unscathed for life.""","“You can’t have much heart,” said Miss Caporale one day “if it really is true, as you claim, and which I don’t believe, that so far you have passed through life unscathed.”","“You would have to be heartless,” the Signorina said to me once, “if what you say is true, about your going through life untouched ."
- A chi? - domandò.,- To who? he asked.,he asked.,"He stared at me and asked: ""Frighten what?"""
"- Bene; non vedi? Va' da tua moglie, va'; soffre, poverina.","- Good; you do not see? Go to your wife, go; suffer, poor thing.","“I’m fine, surely you can see that? Attend to your wife, she really is suffering, poor thing.”","She would make a fleeting gesture towards me and answer: “I'm all right, can't you see? Go to your wife. Go on. She's suffering, poor girl.”"
"Avrei preferito il vermouth. Bevvi il rosolio. Ne bevvero anche il Malagna e la madre. Romilda, no.","I would have preferred the vermouth. I drank the rosolio. The Malagna and the mother also drank. Romilda, no.","I would have preferred vermouth, but I drank the liqueur. So did Malagna and the mother, but not Romilda.","I would have preferred the vermouth, but I drank the cordial. Malagna and the widow also drank some. Romilda didn’t."
"Per qual misterioso suggerimento seguivo così infallibilmente la variabilità imprevedibile nei numeri e nei colori? Era solo prodigiosa divinazione nell'incoscienza, la mia? E come si spiegano allora certe ostinazioni pazze, addirittura pazze, il cui ricordo mi desta i brividi ancora, considerando ch'io cimentavo tutto, tutto, la vita fors'anche, in quei colpi ch'eran vere e proprie sfide alla sorte? No, no: io ebbi proprio il sentimento di una forza quasi diabolica in me, in quei momenti, per cui domavo, affascinavo la fortuna, legavo al mio il suo capriccio. E non era soltanto in me questa convinzione; s'era anche propagata negli altri, rapidamente; e ormai quasi tutti seguivano il mio giuoco rischiosissimo. Non so per quante volte passò il rosso, su cui mi ostinavo a puntare: puntavo su lo zero, e sortiva lo zero. Finanche quel giovinetto, che tirava i luigi dalla tasca dei calzoni, s'era scosso e infervorato; quel grosso signore bruno arrangolava più che mai. L'agitazione cresceva di momento in momento attorno al tavoliere; eran fremiti d'impazienza, scatti di brevi gesti nervosi, un furor contenuto a stento, angoscioso e terribile. Gli stessi croupiers avevano perduto la loro rigida impassibilità.","For what mysterious suggestion did I so infallibly follow the unpredictable variability in numbers and colors? Was mine only prodigious divination in unconsciousness? And how can we explain then certain crazy obstinations, even crazy ones, the memory of which still awakens me shivers, considering that I tried everything, everything, even my life, in those blows that were real challenges to fate? No, no: I really had the feeling of an almost diabolical strength in me, in those moments, for which I tamed, fascinated luck, tied his whim to mine. And this conviction was not only in me; it had also spread rapidly to others; and by now almost everyone was following my very risky game. I don't know how many times the red passed, on which I insisted on betting: I aimed at zero, and zero came out. Even that young man, who pulled the louis from the pocket of his trousers, was shaken and fervent; that big brown gentleman was struggling more than ever. Agitation grew from moment to moment around the board; they were quivers of impatience, bursts of short nervous gestures, a fury barely contained, anguished and terrible. The croupiers themselves had lost their rigid impassivity.","I do not know what mysterious force guided me to follow so infallibly the unpredictable variability of the numbers and colours. Was I merely subconsciously guessing prodigiously successfully? How then, can certain wild fixations be explained, the memory of which still make me tremble, when I sealed my fate, staked everything I had on those bets which were really challenges to fate? No, I really felt that I had an almost diabolic power in me at those moments, by means of which I tamed and charmed Fortune and harnessed her whims to mine. I was not the only one convinced of this: it rapidly spread to others and now almost everyone was following my very risky game. Red came up an incredible number of times and I had determined to keep betting on it. I betted on zero and zero came up. Even the young man pulling money out of his trouser-pocket was startled and impressed. The large, dark gentleman gasped more than ever. The tension grew by the minute around the table. There were tremors of impatience, sudden, brief nervous gestures, a painful, and terrible passion, contained only with difficulty. Even the croupiers had lost their rigid air of impassivity.","What was the mysterious prompting that guided me infallibly through the unpredictable shifts of the numbers and colors? Was this simply a miracle of unconscious guesswork? If so, how can you explain certain mad, yes mad, fits of obstinacy which, when I think about them, still make me shiver, since I was staking everything, my whole life perhaps, on those spins which were outright challenges to fate? No, no, I felt profoundly an almost diabolical force within me, and thanks to it, I could charm and master Chance, bind it to my whim. I wasn't the only one who felt this, the same conviction spread rapidly to the others, and by now nearly all of them were following my extremely risky play. I don't know how many times red came up, as I kept obstinately betting on it. If I put my money on zero, zero came up. Even the young man who pulled the louises out of his trouser pocket was stirred and excited; the dark heavy-set man was coughing louder than ever. The excitement around the table increased from moment to moment: everyone was trembling with impatience, making brief nervous gestures, in a barely controlled hysteria, anguished and terrible. The croupiers themselves had lost their rigid impassivity."
"La vedova Pescatore stava quella mattina, a fare il pane, sbracciata, con la gonnella tirata sù e arrotolata intorno alla vita, per non sporcarsela. Si voltò appena, vedendo entrare la zia e seguitò ad abburattare, come se nulla fossa. La zia non ci fece caso; del resto, ella era entrata senza salutar nessuno; diviata a mia madre, come se in quella casa non ci fosse altri che lei.","The widow Pescatore was that morning, making bread, with her arms outstretched, with her skirt pulled up and rolled up around her waist, so as not to get dirty. He turned slightly, seeing his aunt enter and continued to sift, as if nothing had happened. The aunt paid no attention to it; besides, she had entered without greeting anyone; diviata from my mother, as if there were none other than her in that house.","That morning, the widow was making bread, her sleeves rolled back, her skirt hitched up and looped round her waist, so as not to get dirty. She glanced over her shoulder and saw my aunt enter but continued to sieve the flour, unconcerned. My aunt was not bothered either; apart from anything else, she had come in without announcing her arrival to anyone. She made straight for my mother, as if there were no-one else in the house but her.","That morning the widow Pescatore was making bread, her arms bared, her skirt drawn up and tied around her waist so it wouldn't be soiled. She barely turned around when she saw my aunt come in and she went on sifting as if nothing had happened. My aunt didn't notice; for that matter she came in without greeting anybody, and went straight to my mother as if she were alone in that house."
E additò Pomino.,And he pointed to Pomino.,She pointed at Pomino.,And she pointed to Pomino.
"Ho messo circa sei mesi a scrivere questa mia strana storia, ajutato da lui. Di quanto è scritto qui egli serberà il segreto, come se l'avesse saputo sotto il sigillo della confessione.","It took me about six months to write this strange story of mine, helped by him. He will keep the secret of what is written here, as if he had known it under the seal of confession.","It took me about six months to write out this strange story of mine, with his help. He will keep secret everything that is written here as if he had been told it under the seal of the confessional.","It’s taken me about six months to write this strange story, with his help. He will keep the secret of everything written here, as if he had heard it all in the confessional."
"- Io? - esclamai. - E dàlli! Ma se non ti volle lei! Lo vuoi dunque ripetuto che le sembravi proprio uno sciocco? Diglielo tu, Romilda, per favore: vedi, m'accusa di tradimento… Ora, che c'entra! è tuo marito, e non se ne parla più; ma io non ci ho colpa… Sù, sù. Ci andrò io domani da quel povero morto, abbandonato là, senza un fiore, senza una lacrima… Di', c'è almeno una lapide su la fossa?","- The? - I exclaimed. - And give them! But if she didn't want you! Do you want it repeated, then, that you seemed really a fool to her? You tell him, Romilda, please: see, he accuses me of treason ... Now, what's that got to do with it! he is your husband, and he is no longer talked about; but I'm not to blame ... Up, up. I'll go there tomorrow to that poor dead man, abandoned there, without a flower, without a tear ... Say, is there at least one tombstone on the grave?","I exclaimed. “Well, that is the limit. She didn’t want you! So you really are determined to make me repeat that she thought you looked a fool? Tell him yourself please Romilda. Look, he’s accusing me of betraying him. Anyway, what does it matter now? He’s your husband and we’ll say no more about it; but I’m not guilty in the matter, come on now. Tomorrow I’ll go over and visit that poor dead man abandoned there without even a flower, without a tear. That’s a point: is there a tombstone?”","I cried. “Now, now! She was the one who didn't want you! Do I have to repeat the fact that she considered you an idiot? You tell him, Romilda, please. You see? He's accusing me of treachery . . . Now what does that have to do with the situation. He's your husband, and what's past is past . . . Don't worry. Tomorrow I'll go to that poor man's grave, abandoned there without a flower, without a tear . . . Tell me something, though: Is there a tombstone at least?"""
"- Perché per me è veleno! Me ne vedi versare un dito nel bicchiere? Toglimelo, e va' a buttarlo dalla finestra, come ho fatto io, capisci?","- Because it's poison to me! Do you see me pour a finger in the glass? Take it off me, and go throw it out the window, like I did, you know?","“Because as far as I am concerned it is poison! Do you ever see me pour a drop into my glass? If you ever do, you must take it from me and throw it out of the window, as I have just done. Do you understand?”","And his wife answered: ""Because wine is poison to me! When you see me pour a drop into my glass, take it from me and pour it out of the window, just as I've done. Can't you understand?”"
"- Ma certo! - raffermò Berto, mentre sbalordito lo guardavo io, ora, a mia volta. - Il secondo matrimonio s'annulla, e tu sei obbligato a riprendertela.","- Of course! - Berto affirmed, while amazed I looked at him, now, in my turn. - The second marriage is canceled, and you are obliged to take it back.","“Well, of course,” Berto assured me, whilst I stared at him, stunned in my turn. “The second marriage will be annulled and you will be obliged to take her back.”","Berto insisted, as I looked at him, now amazed in my turn. “The second marriage is annulled, and you’re obliged to take her back.”"
"- Che bella invenzione! - mi aveva detto. - Con due soldini, in pochi minuti, mi giro mezza Milano.","- What a beautiful invention! - he told me. - With two pennies, in a few minutes, I turn around half of Milan.",“Marvellous invention!” he said. “Just a couple of coins and in two minutes I can get round half Milan.”,"“What a splendid invention!” he said to me. “With two pennies, in the space of a few minutes, I can cover half of Milan.”"
"- No, figliuola mia, guarda: si fa cosi!","- No, my daughter, look: that's how it is done!","“No, never my dear, Look, do it like this.”","Watch!"""
"Notando il mio improvviso turbamento, Adriana era diventata pallidissima. La guardai, e:","Noticing my sudden upset, Adriana had turned very pale. I looked at her, and:","Noticing my sudden air of concern, Adriana had become very pale. I looked at her and said,","Noticing my sudden concern, Adriana became very pale. I looked at her and said: “But look . . ."
- Ch'io me ne vada?,- That I go away?,“For me to go?”,“She doesn't want me to leave?''
"Un pugno! La signorina Caporale aveva ricevuto un pugno su la bocca, formidabile: le sanguinavano le gengive.",A fist! Miss Corporal had received a terrific punch in the mouth: her gums were bleeding.,Miss Caporale had been punched in the mouth! And it was an amazing punch: her gums were bleeding.,A fist? Signorina Caporale had been struck in the mouth by a fist. Hard. Her gums were bleeding.
"E rise, rise, facendo sobbalzare il pancione; m'invitò a sedere; mi presentò alle donne.","And he laughed, laughed, making his belly jump; he invited me to sit down; introduced me to the women.","He laughed and laughed, his belly rippling, and asked me to sit down, and introduced me to the woman.","He laughed and laughed, making his paunch shake. Then he invited me to sit down and introduced me to the women."
"Lo lasciai lì, e ritornai nell'altra sala, al tavoliere dove dianzi avevo vinto.","I left it there, and went back to the other room, to the board where I had previously won.","I left him there and went back into the other room, to the table where I had won before.","I left him there and went back to the other room, to the table where I had won before."
"- Berto! - gli gridai, aprendo le braccia. - Non mi riconosci?","- Berto! - I shouted, opening my arms. - Do not you recognise me?","“Berto!” I cried, opening my arms. “Don’t you recognise me?”","“Berto!"" I shouted at him, opening my amis. “Don't you recognize me?"""
"Io e Berto, giovinetti, eravamo qualche volta invitati a pranzo dal Malagna. Era uno spasso sentirgli fare, coi dovuti riguardi, una predica alla moglie su la continenza, mentre lui mangiava, divorava con tanta voluttà i cibi più succulenti:","Berto and I, youngsters, were sometimes invited to lunch at Malagna's. It was amusing to hear him give, with due regard, a sermon to his wife about continence, while he ate, devoured with so much pleasure the most succulent foods:","When Berto and I were children, we were occasionally invited to supper at Malagna’s house. It was hilarious to listen to him preaching self-control to his wife, with all due concern, whilst he devoured the most succulent foods with such enjoyment.","Berto and I, as young boys, were sometimes invited to dinner at the Malagna home. It was great fun to hear Batta, with all due respect, preach a sermon to his wife on continence, while she ate, or rather devoured, with downright voluptuousness, the most succulent dishes."
"Sbarrò tanto d'occhi, e:","He opened a lot of eyes, and:",“Give what a fright?”,"He stared at me and asked: ""Frighten what?"""
"Mi morì contemporaneamente alla mamma mia, nello stesso giorno e quasi alla stess'ora. Non sapevo più come spartire le mie cure e la mia pena. Lasciavo la piccina mia che riposava, e scappavo dalla mamma, che non si curava di sé, della sua morte, e mi domandava di lei, della nipotina, struggendosi di non poterla più rivedere, baciare per l'ultima volta. E durò nove giorni, questo strazio! Ebbene, dopo nove giorni e nove notti di veglia assidua, senza chiuder occhio neanche per un minuto… debbo dirlo? - molti forse avrebbero ritegno a confessarlo; ma è pure umano, umano, umano - io non sentii pena, no, sul momento: rimasi un pezzo in una tetraggine attonita, spaventevole, e mi addormentai. Sicuro. Dovetti prima dormire. Poi, sì, quando mi destai, il dolore m'assalì rabbioso, feroce, per la figlietta mia, per la mamma mia, che non erano più… E fui quasi per impazzire. Un'intera notte vagai per il paese e per le campagne; non so con che idee per la mente; so che, alla fine, mi ritrovai nel podere della Stìa, presso alla gora del molino, e che un tal Filippo, vecchio mugnajo, lì di guardia, mi prese con sé, mi fece sedere più là, sotto gli alberi, e mi parlò a lungo, a lungo della mamma e anche di mio padre e de' bei tempi lontani; e mi disse che non dovevo piangere e disperarmi cosi, perché per attendere alla figlioletta mia, nel mondo di là, era accorsa la nonna, la nonnina buona, che la avrebbe tenuta sulle ginocchia e le avrebbe parlato di me sempre e non me la avrebbe lasciata mai sola, mai.","I died at the same time as my mother, on the same day and almost at the same time. I no longer knew how to share my care and my pain. I left my little girl who was resting, and I ran away from her mother, who didn't care about herself, about her death, and asked me about her, about her granddaughter, pining for not being able to see her again, to kiss for the last time. And this torment lasted nine days! Well, after nine days and nine nights of constant vigil, without closing an eye even for a minute ... must I say it? - many perhaps would be reluctant to confess it; but he is also human, human, human - I felt no pain, no, at the moment: I stood for a while in an astonished, terrifying gloom, and fell asleep. Safe. I had to sleep first. Then, yes, when I woke up, the pain assailed me angry, ferocious, for my little daughter, for my mother, who were no longer ... And I was almost going crazy. A whole night I wandered through the town and the countryside; I don't know with what ideas for the mind; I know that, in the end, I found myself in the Stìa farm, near the mill gora, and that a certain Filippo, an old miller, there on guard, took me with him, made me sit further there, under the trees, and spoke to me long, long of my mother and also of my father and of the good old days; and he told me that I should not cry and despair like this, because to attend to my little daughter, in the world beyond, my grandmother had come, the good grandmother, who would have kept her on her knees and would always talk to her about me and would not have her never left alone, never.","She died along with my mother, on the same day and virtually at the same hour. I was desperate how to divide my attention and my sorrow. I would leave my little one resting, and rush to see my mother, who cared nothing about herself and her impending death, but asked about her grand-daughter, suffering because she would not see her again, would not kiss her one last time. This torture lasted nine days. So, after nine days and nights keeping constant vigil, without closing my eyes even for a moment, I must admit, and many would perhaps be too ashamed, but it is only human: at the time I felt no sorrow. For an appalling, brief while, I was stunned, bleak, then I slept. Of course, I had to sleep first. Then, when I awoke, sorrow attacked me, a vicious, fierce pain for my little child and my mother, who were both gone. I thought I would go mad. For a whole night I wandered through the village and the countryside, my mind full of vague ideas; all I know is that eventually I found myself at La Stia. near the millstream, and that Filippo, the old miller and caretaker, took me aside and made me sit under the trees, away from the water, and spoke to me for a long while, about my mother and father, and the happy times in the past. He said I should not weep and despair like that, because in the other world my daughter was being looked after by her grandmother, her kindhearted granny, who had hurried over and would hold her in her lap and talk to her about me, and never ever let her be lonely.","She and my mother died at the same time, the same day, almost the same hour. I didn't know how to divide my attentions and my grief. If the baby fell asleep, I would leave her and rush off to my mother, who cared nothing for herself, her own death, but asked about the baby, her grandchild, in torment that she couldn't see the little one again, kiss her for a last time. And it went on for nine days, this torment! Then after nine days and nine nights of constant vigil, never closing my eyes even for a moment—must I say it? Many would be ashamed to confess, and yet it's only human, utterly, utterly human ... No, I felt no grief, not at that moment. For a long time I was in a frightful, dazed gloom, and I went to sleep. Of course I did. I had to sleep first. Then, oh yes, when I woke, grief assaulted me: angry, ferocious grief for my little daughter, for my mother, who were no more . . . And I almost went mad. A whole night I wandered about the town and the countryside, with God knows what thoughts in my mind. I know that, at the end, I found myself at our farm, the Hen Coop, near the millrace, and a certain Filippo, an old miller who was the caretaker, took me with him, made me sit down there under the trees and talked to me a long time about Mamma and about my father and about the happy days of the past, and he said that I wasn't to weep or to feel so desperate, because the baby's granny had hurried into the other world to take care of my little girl, the good granny, who would hold my .baby on her lap and talk to her about me always and never leave her alone, never."
"Ritornò dopo circa mezz'ora, molto contrariato: insieme con la Pantogada e la governante era venuto un certo pittore spagnuolo, che mi fu presentato a denti stretti come amico di casa Giglio. Si chiamava Manuel Bernaldez e parlava correttamente l'italiano; non ci fu verso però di fargli pronunciare l'esse del mio cognome: pareva che ogni volta, nell'atto di proferirla, avesse paura che la lingua gliene restasse ferita.","He returned after about half an hour, very upset: a certain Spanish painter had come together with Pantogada and the housekeeper, who was introduced to me through gritted teeth as a friend of the Giglio house. His name was Manuel Bernaldez and he spoke Italian correctly; There was no way, however, of making him pronounce the ess of my surname: it seemed that every time, in the act of uttering it, he was afraid that his tongue would be hurt.","He returned about half an hour later, very annoyed: a certain Spanish painter had come along with Miss Pantogada and her governess. He was introduced to me through gritted teeth as a friend of the Gigli family. He was called Manuel Bernaldez and spoke Italian correctly; however there was no question of getting him to pronounce the ‘s’ of my surname; it seemed as if every time he was about to utter it, he was afraid it would injure his tongue.","He came back about half an hour later, extremely cross: in addition to Signorina Pantogada and her housekeeper, a certain Spanish painter had come. He was introduced to me, through gritted teeth, as a friend of the Giglio household. His name was Manuel Bernaldez and he spoke correct Italian, though there was no making him pronounce the s in my last name. Every time he had to say it, it was as if he were afraid that s might hurt his tongue."
