Source,GoogleTranslate,human1,human2
— Mas então?,'But then?',“But how? Why?”,“But how? Why?”
"Sebastião Freitas, o vereador dissidente, tinha o dom da palavra e falou ainda por algum tempo com prudência, mas com firmeza. Os colegas estavam atônitos; o presidente pediu-lhe que, ao menos, desse o exemplo da ordem e do respeito à lei, não aventasse as suas ideias na rua, para não dar corpo e alma à rebelião, que era por ora um turbilhão de átomos dispersos. Esta figura corrigiu um pouco o efeito da outra: Sebastião Freitas prometeu suspender qualquer ação, reservando-se o direito de pedir pelos meios legais a redução da Casa Verde. E repetia consigo, namorado: — Bastilha da razão humana!","Sebastião Freitas, the dissident councilor, had the gift of speech and spoke prudently but firmly for some time. Colleagues were astonished; the president asked him to, at least, set an example of order and respect for the law, not to vent his ideas in the street, so as not to give body and soul to the rebellion, which was for now a whirlwind of dispersed atoms. This figure corrected the effect of the other a little: Sebastião Freitas promised to suspend any action, reserving the right to ask for the reduction of Casa Verde through legal means. And he repeated to himself, boyfriend: — Bastille of human reason!","This Councilman, a highly articulate fellow named Sebastião Freitas, spoke at some length. He presented the case against the Green House with restraint but with firm conviction. His colleagues were dumbfounded. The President begged him at least to help preserve law and order by not expressing his opinions in the street, where they might give body and soul to what was so far merely a whirlwind of uncoordinated atoms. This figure of speech counterbalanced to some extent the one about the Bastille. Sebastião Freitas promised to take no action for the present but reserved the right to seek the elimination of the Green House by legal means. And he murmured to himself lovingly: “That Bastille of the human reason!”","Sebastião Freitas, the dissident councilman, had a gift for words, and he continued to speak for some time with firmness, prudence, and good sense. His colleagues were dumfounded, and the president of the town council begged him, at least, to set an example of respect for law and order by not repeating such things in the street, where his ideas would “give body and soul to the whirlwind.” The effect of this phrase was to counterbalance, somewhat, the effect of the other. Sebastião Freitas promised to do nothing more, for the moment, but reserved the right to demand legal measures against the Casa Verde. “That Bastille of human reason,” he repeated under his breath, shaking his head in admiration."
"Outro da mesma espécie era um escrivão, que se vendia por mordomo do rei; outro era um boiadeiro de Minas, cuja mania era distribuir boiadas a toda a gente, dava trezentas cabeças a um, seiscentas a outro, mil e duzentas a outro, e não acabava mais. Não falo dos casos de monomania religiosa; apenas citarei um sujeito que, chamando-se João de Deus, dizia agora ser o deus João, e prometia o reino dos céus a quem o adorasse, e as penas do inferno aos outros; e depois desse, o licenciado Garcia, que não dizia nada, porque imaginava que no dia em que chegasse a proferir uma só palavra, todas as estrelas se despegariam do céu e abrasariam a terra; tal era o poder que recebera de Deus. Assim o escrevia ele no papel que o alienista lhe mandava dar, menos por caridade do que por interesse científico.","Another of the same kind was a clerk, who sold himself as a butler to the king; another was a cattleman from Minas, whose mania was to distribute cattle to everyone, he would give three hundred heads to one, six hundred to another, twelve hundred to another, and he never stopped. I am not talking about cases of religious monomania; I will only quote a fellow who, calling himself John of God, now claimed to be the god John, and promised the kingdom of heaven to those who worshiped him, and the pains of hell to others; and after that, the licentiate Garcia, who said nothing, because he imagined that the day he managed to utter a single word, all the stars would detach themselves from the sky and scorch the earth; such was the power he had received from God. So he wrote it on the paper that the alienist had sent him, less out of charity than out of scientific interest.","Beginning with the proposition that he was a child of God, which even the Vicar would not have denied, he reasoned that, as the species of the child is the same as that of the parent, he himself must be a god. This conclusion, derived from two irrefutable premises—one Biblical, the other scientific—placed him far above the lunatics who identified themselves with Caesar, Alexander, or other mere mortals.","As a first organizational measure (recommended by his friend Crispim Soares), he hired a staff of two young men (also recommended by Soares, their uncle) to keep the records of the asylum and handle its daily administration, such as the distribution of food and clothing as approved and funded by the town council. The alienist could thus concentrate his full attention on alienism."
"— Há coisa, pensavam os mais desconfiados.","— There is something, thought the most suspicious.","“There’s something very strange going on,” thought the towns-people.","“Something is going on,” suspected the townsfolk."
— Todos.,- All.,“All of them.”,“All of them.”
"— Nada tenho que ver com a ciência; mas se tantos homens em quem supomos juízo são reclusos por dementes, quem nos afirma que o alienado não é o alienista?","'I have nothing to do with science; but if so many men in whom we assume judgment are recluses for being insane, who can tell us that the alienated is not the alienist?","“I know nothing about science, but if so many men whom we considered sane are locked up as madmen, how do we know that the real madman is not the alienist himself?”","“I know nothing of Science, but if he has locked up so many people who are apparently sane, who’s to say that the alienist isn’t insane himself?”"
"E levou-a aos livros. D. Evarista ficou deslumbrada. Era uma via láctea de algarismos. E depois levou-a às arcas, onde estava o dinheiro. Deus! eram montes de ouro, eram mil cruzados sobre mil cruzados, dobrões sobre dobrões; era a opulência. Enquanto ela comia o ouro com os seus olhos negros, o alienista fitava-a, e dizia-lhe ao ouvido com a mais pérfida das alusões:","And took her to the books. Dona Evarista was dazzled. It was a milky way of digits. And then he took her to the chests, where the money was. God! they were heaps of gold, a thousand cruzados upon a thousand cruzados, doubloons upon doubloons; it was opulence. As she ate the gold with her black eyes, the alienist looked at her, and said in her ear with the most perfidious of allusions:","He brought her the books of account. Dona Evarista, although impressed by the quantity of the figures, was not quite sure what they signified, so her husband took her to the chest where the money was kept. Good heavens! There were mountains of gold, thousands upon thousands of cruzados and doubloons. A fortune! While she was drinking it in with her black eyes, the alienist placed his mouth close to her and whispered mischievously:","He took her to see the account books, but Dona Evarista found the myriad of numbers bewildering, so he led her to the money chest and, Good Heavens , there were piles of gold coins, a fortune! As she devoured the sight, the alienist spoke roguishly in her ear:"
"— Vejamos, pensava ele; vejamos se chego enfim à última verdade.","— Let's see, he thought; Let's see if I finally arrive at the ultimate truth.","“Let us see,” he said to himself, “if I can discover the ultimate, underlying truth.”","“Let us see,” he said to himself, “if I can discover the ultimate truth.”"
"— Com a definição atual, que é a de todos os tempos, acrescentou, a loucura e a razão estão perfeitamente delimitadas. Sabe-se onde uma acaba e onde a outra começa. Para que transpor a cerca?","— With the current definition, which is the one of all times, he added, madness and reason are perfectly delimited. You know where one ends and the other begins. Why cross the fence?","“Under the present definition of insanity, which has always been accepted,” he added, “the fence around the area is perfectly clear and satisfactory. Why not stay within it?”","“The current definition has always served to distinguish sanity from insanity well enough. One knows who is mad and who isn’t,” he said. “Why open up a new box of worms?”"
"A vereança de Itaguaí, entre outros pecados de que é arguida pelos cronistas, tinha o de não fazer caso dos dementes. Assim é que cada louco furioso era trancado em uma alcova, na própria casa, e, não curado, mas descurado, até que a morte o vinha defraudar do benefício da vida; os mansos andavam à solta pela rua. Simão Bacamarte entendeu desde logo reformar tão ruim costume; pediu licença à câmara para agasalhar e tratar no edifício que ia construir todos os loucos de Itaguaí e das demais vilas e cidades, mediante um estipêndio, que a câmara lhe daria quando a família do enfermo o não pudesse fazer. A proposta excitou a curiosidade de toda a vila, e encontrou grande resistência, tão certo é que dificilmente se desarraigam hábitos absurdos, ou ainda maus. A ideia de meter os loucos na mesma casa, vivendo em comum, pareceu em si mesma um sintoma de demência, e não faltou quem o insinuasse à própria mulher do médico.","The council of Itaguaí, among other sins that the chroniclers argue, had to ignore the insane. So it was that each mad madman was shut up in an alcove, in his own house, and, not cured, but neglected, until death came to defraud him of the benefit of life; the meek were roaming the street. Simão Bacamarte immediately decided to reform such a bad habit; he asked the council for permission to bundle up and treat in the building that was going to build all the insane in Itaguaí and other towns and cities, through a stipend, which the council would give him when the sick man's family could not do so. The proposal aroused the curiosity of the whole town, and met with great resistance, so certain is it that it is difficult to uproot absurd habits, or even bad ones. The idea of putting the insane in the same house, living together, seemed in itself to be a symptom of dementia, and there was no shortage of people who insinuated it to the doctor's wife.","The chroniclers chide the Itaguai Town Council for its neglect of the mentally ill. Violent madmen were locked up at home; peaceable lunatics were simply left at large; and none, violent or peaceable, received care of any sort. Simão Bacamarte proposed to change all this. He decided to build an asylum and he asked the Council for authority to receive and treat all the mentally ill of Itaguai and the surrounding area. He would be paid by the patient’s family or, if the family was very poor, by the Council. The proposal aroused excitement and curiosity throughout the town. There was considerable opposition, for it is always difficult to uproot the established way of doing things, however absurd or evil it may be. The idea of having madmen live together in the same house seemed itself to be a symptom of madness, as many intimated even to the doctor’s wife.","Among the defects that local chroniclers attribute to the Itaguaí town council of those years was inattention to the needs of lunatics. Violent lunatics were locked away at home by their families, ignored and untreated, until death finally came for them, while the nonviolent ones wandered loose in the streets. Simão Bacamarte set out to remedy this situation. He informed the town council of his intention to house and treat the insane of Itaguaí and all the surrounding area in a specially constructed building, and he requested public funding to defray the costs of patients whose families could not afford treatment. His proposal raised the curiosity of everyone in town and provoked great opposition, showing how difficult it is to eliminate deeply rooted habits, even absurd or pernicious ones. The idea of gathering the town’s lunatics to live in one house seemed itself a symptom of dementia, as someone even dared insinuate to the doctor’s wife."
