id,source,translation
1,ミホは、今では結婚して地元に中古の一戸建てを買っていて、そこに友達がよく集まっている。,"Miho jest teraz zamężna, kupiła używany dom jednorodzinny w swoim rodzinnym mieście i często spotyka się tam ze znajomymi."
2,明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の「普通の三十代女性」と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。,"Czasem zdarza mi się marudzić, ponieważ następnego dnia muszę iść do pracy, ale jest to moje jedyne połączenie ze światem poza sklepem i cenną okazją do nawiązania kontaktów z „przeciętnymi trzydziestoletnimi kobietami”, dlatego staram się jak najczęściej odpowiadać na zaproszenia Miho."
3,今日も、ミホと、まだ小さい子供を連れたユカリ、結婚しているが子供はまだのサツキと私、というメンバーで、ミホの家にケーキを持ち寄ってお茶をしていた。,"Dzisiaj, jak zwykle, byłam na herbatę u Miho razem z Yukari, która przyprowadziła swoje małe dzieci, oraz Satsuki – mężatką bez dzieci. Wszystkie przynieśliśmy ciastka do domu Miho."
4,そのとき、私は、初めて、世界の部品になることができたのだった。,Wtedy po raz pierwszy stałam się częścią tego świata.
5,私は、今、自分が生まれたと思った。,"Właśnie teraz, pomyślałam, że się narodziłam."
6,世界の正常な部品としての私が、この日、確かに誕生したのだった。,Tego dnia z pewnością urodziłem się jako normalna część świata.
7,オープンまでの二週間、二人組になったり、社員を相手にしながら、架空の客に向かって、ひたすら練習が続いた。,"Przez dwa tygodnie przed otwarciem, ćwiczyliśmy nieustannie, tworząc pary lub obsługując pracowników jakby byli fikcyjnymi klientami."
8,「お客様」の目を見て微笑んで一礼すること、生理用品は紙袋に入れること、温かい物は冷たい物と分けて入れること、ファーストフードを頼まれたら手をアルコールで消毒すること。,"Uśmiechając się, kłaniamy się klientom, wkładamy podpaski do papierowych torebek, oddzielamy ciepłe jedzenie od zimnego i dezynfekujemy ręce po serwowaniu fast foodów."
9,お金に慣れるためにとレジの中には本物のお金が入っていたが、レシートには「トレーニング」と大きく印字されていたし、相手は同じ制服を着たアルバイト仲間だし、なんとなくお買いものごっこをしているようだった。,"W szufladzie kasy faktycznie były prawdziwe pieniądze, aby mogła się do nich przyzwyczaić, ale na paragonie było wyraźnie napisane ""szkolenie"", a osoba po drugiej stronie nosiła ten sam uniform i była jej kolegą z pracy, więc wszystko wyglądało jak zabawa w sklepowe zakupy."
10,二つ年下の妹は、私と違って、「普通」の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。,"Moja młodsza o dwa lata siostra była ""normalnym"" dzieckiem, w przeciwieństwie do mnie. Przy tym nie unikała mnie, wręcz przeciwnie - darzyła mnie sentymentem."
11,妹が私と異なり普通のことで母に叱られているとき、母に私は近づいて「どうして怒っているの？」と理由を尋ねた。,"Kiedy moja siostra dostawała ochrzan od mamy za coś zupełnie normalnego, podchodziłam do matki i pytałam: „Dlaczego jesteś zła?"""
12,私が母に質問したせいでお説教が終わると、庇かばわれたと思うのか、妹はいつも私に「ありがとう」と言った。,"Po zakończeniu kazania, które wywołałam swoim pytaniem do matki, moja siostra zawsze dziękowała mi, jakby poczuła, że ją obroniłam."
13,お菓子や玩具にあまり興味がなかった私は、それらを妹にあげることも多かった。,"Jako że nie miałam zbyt dużego zainteresowania słodyczami czy zabawkami, często oddawałam je mojej młodszej siostrze."
14,そのため、妹はいつも私についてまわっていた。,Dlatego moja młodsza siostra zawsze chodziła za mną.
15,「お父さん、焼き鳥好きだから、今日、これを焼いて食べよう」 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"""Tatusiu, lubisz kurczaka z rożna, więc upieczmy tego dziś"" - powtórzyłam wyraźnie, kiedy zdałam sobie sprawę, że może nie usłyszeli. Mama wyglądała na przerażoną, a mama obok dziecka również wydawała się zdziwiona – jej oczy, nozdrza i usta otworzyły się na raz."
16,変な顔だったので笑いそうになったが、その人が私の手元を凝視しているのを見て、そうか、一羽じゃ足りないなと思った。,"Chociaż wyglądał na śmiesznego i miałam ochotę się roześmiać, zobaczyłam, jak intensywnie patrzy na moje dłonie i pomyślałam: no tak, jedna nie wystarczy."
17,「もっととってきたほうがいい？」 近くで二、三羽並んで歩いている雀にちらりと視線をやると、やっと我に返った母が、「恵子！」ととがめるような声で、必死に叫んだ。,"""Czy mam podejść bliżej?"" Kiedy przeniosłam wzrok na kilka wróbli spacerujących obok nas, moja matka, jakby nagle dochodząc do siebie, wykrzyknęła z pretensją w głosie ""Keiko!""."
18,「小鳥さんはね、お墓をつくって埋めてあげよう。,"- ""Zróbmy małemu ptaszku grób i go pochowajmy."""
19,ほら、皆も泣いてるよ。,"Widzisz, wszyscy też płaczą."
20,お友達が死んじゃって寂しいね。,"Smutek, gdy umiera przyjaciel, prawda?"
21,ね、かわいそうでしょう？」,"To smutne, prawda?"
22,「なんで？　せっかく死んでるのに」 私の疑問に、母は絶句した。,"- ""Dlaczego? Przecież już nie żyje"" - Na moje pytanie, mama zamilkła."
23,缶コーヒーと煙草とアメリカンドックを手早くＳサイズの袋に入れる。,"Wkłada szybko do małej torby puszki z kawą, paczkę papierosów i hot doga."
