Source,GoogleTranslate,human1,human2,human3,human4
"Со своей стороны Чичиков оглянул также, насколько позволяло приличие, брата Василия. Он был ростом пониже Платона, волосом темней его и лицом далеко не так красив; но в чертах его лица было много жизни и одушевленья. Видно было, что он не пребывал в дремоте и спячке.","For his part, Chichikov also looked, as far as decency would allow, at Brother Vasily. He was shorter than Plato, his hair was darker than his, and his face was far from being so handsome; but there was much life and animation in the features of his face. It was evident that he was not in slumber and hibernation.","Tchitchikov for his part scrutinised “brother Vassily” so far as good manners would permit. He was shorter than Platonov, had darker hair, and was altogether far less handsome; but there was a great deal of life and animation in his face. It was evident that he did not spend his time in lethargy and depression.","Chichikov returned Vassili’s scrutiny with a similar observance of the dictates of civility, and perceived that he was shorter than Platon, that his hair was of a darker shade, and that his features, though less handsome, contained far more life, animation, and kindliness than did his brother’s.","For his part, Chichikov also looked brother Vassily over as far as decency allowed. He was shorter than Platon, his hair was darker, and his face far less handsome; but in the features of his face there was much life and animation. One could see that he did not dwell in drowsiness and hibernation.",
"— Пожалуй, вот вам еще пятнадцать, итого двадцать. Пожалуйте только расписку.","- Perhaps, here's another fifteen for you, twenty in total. Please only receipt.","Tchitchikov was about to protest that he had not got it; but Sobakevitch declared with such conviction that he had, that he brought out another note, saying: “Here is another fifteen roubles for you, making twenty-five altogether. But please give me a receipt.”","“Kindly give me a receipt for the money,” he added. “A receipt?","“Oh, well, here’s another fifteen for you, twenty-five in all. Only give me a receipt, please.”","Chichikov began making excuses that he did not have that much with him, but Sobakevich told him so affirmatively that he did have the money that Chichikov took out another note and said: “Here are fifteen more, if you like, a total of twenty-five. But please let me have a receipt.”"
"— Нет, ты не можешь отказаться, — говорил Ноздрев, горячась, — игра начата!","“No, you can’t refuse,” Nozdryov said, getting excited, “the game has begun!”","“No, you can’t refuse,” said Nozdryov, getting hot, “the game has begun.”","“But you can’t refuse to,” said Nozdrev, growing heated. “You see, the game has begun.”","“No, you can’t refuse,” Nozdryov said, getting excited, “the game’s begun!”","“No, you can’t get out of it,” said Nozdrev, getting steamed up, “the game has been started.”"
"— Простите, Павел Иванович, я виноват! — сказал тронутый Тентетников, схвативши признательно обе его руки. — Ваше доброе участие мне дорого, клянусь! Но оставим этот разговор, не будем больше никогда об этом говорить.","“Excuse me, Pavel Ivanovich, it’s my fault!” said the touched Tentetnikov, grasping both his hands gratefully. Your kind participation is dear to me, I swear! But let's leave this conversation, we will never talk about it again.","“Forgive me, Pavel Ivanovitch, I was to blame!” said Tyentyetnikov, genuinely touched, taking both his hands gratefully “Your kind sympathy is precious to me, I assure you! But let us drop this subject, let us never speak of it again!”","“A strange fellow, this Tientietnikov!” thought Chichikov, and then added aloud: “Yes, I will go and see him at ten o’clock to-morrow; but since my britchka is not yet altogether in travelling order, would you be so good as to lend me your koliaska for the purpose?”","“Forgive me, Pavel Ivanovich, I am to blame!” Tentetnikov said, touched, and seizing both his hands in gratitude. “Your kind sympathy is precious to me, I swear! But let’s drop this conversation, let’s never speak of it again!”",
"— Это не поступок, Андрей Иванович. Это просто генеральская привычка: они всем говорят ты. Да, впрочем, уж почему этого и не позволить заслуженному, почтенному человеку?","— This is not an act, Andrey Ivanovich. It's just a general habit: they say you to everyone. Yes, however, why not allow this to a well-deserved, respectable person?","“It’s not behaviour, Andrey Ivanovitch. It’s simply a habit with generals: they say thou to everybody. Besides why not allow it in an honourable and distinguished man?”","“I tell you what,” resumed Chichikov. “To-morrow I myself will go and see the General.” “To what purpose?” asked Tientietnikov, with astonishment and distrust in his eyes.","“It’s not an action, Andrei Ivanovich. It’s simply a general’s habit: they call everyone ‘boy.’ And, incidentally, why not allow it in a venerable, respectable man?”",
"— Ах, прелести! Так он за старуху принялся. Ну, хорош же после этого вкус наших дам, нашли в кого влюбиться.","- Ah, charms! So he took up the old woman. Well, the taste of our ladies is good after that, they found someone to fall in love with.","“Oh, how charming! So he’s after an old lady? It speaks well for the taste of our ladies; they have pitched on a nice person to fall in love with.”",“Splendid indeed! So he is actually engaged to a person like that? One may heartily commend the taste of our ladies for having fallen in love with him!”,"“Ah, how charming! So he’s taken up with an old crone. Talk about our ladies’ taste after that! They found who to fall in love with!”","“Ah, how charming! So he’s going after an old woman now? Well, after this, the taste of our ladies must be a fine one; they surely have found somebody worth falling in love with!”"
"В самом деле, необыкновенно странны были своею противуположностью те чувства, которые родились в сердцах троих беседовавших людей. Одному была смешна неповоротливая ненаходчивость немца. Другому смешно было оттого, что смешно изворотились плуты. Третьему было грустно, что безнаказанно совершился несправедливый поступок. Не было только четвертого, который бы задумался именно над этими словами, произведшими смех в одном и грусть с другом. Что значит, однако же, что и в паденье своем гибнущий грязный человек требует любви к себе? Животный ли инстинкт это? или слабый крик души, заглушённой тяжелым гнетом подлых страстей, еще пробивающийся сквозь деревенеющую кору мерзостей, еще вопиющий: «Брат, спаси!» Не было четвертого, которому бы тяжелей всего была погибающая душа его брата.","In fact, those feelings that were born in the hearts of the three people who were talking were unusually strange in their opposite. One was laughing at the German's unwieldy sluggishness. To another it was funny because the rogues twisted funny. The third was sad that an unjust act had been committed with impunity. There was not only a fourth who would have thought about these very words, which produced laughter in one and sadness in another. What does it mean, however, that even in his fall a perishing dirty man demands love for himself? Is it animal instinct? or a weak cry of the soul, muffled by the heavy oppression of vile passions, still breaking through the woody bark of abominations, still crying out: “Brother, save me!” There was no fourth, to whom the perishing soul of his brother would be the hardest.","And indeed the feelings in the hearts of the three persons were extremely strange in their incongruity. One was amused by the uncompromising tactlessness of the German; another was amused at the funny trick the rogues had played; the third was distressed that an injustice had been committed with impunity. All that was lacking was a fourth to ponder over these words which aroused laughter in one and sadness in the other. For what is the significance of the fact that even in his degradation, a man besmirched and going to his ruin claims still to be loved? Is it an animal instinct or the faint cry of a soul stifled under the heavy burden of base passions, still breaking through the hardening crust of vileness, still wailing: “Brother, save me!” There was no fourth for whom the ruin of a brother’s soul was bitterest of all.","Chichikov bowed so low and so long that, by the time that his eyes had ceased to see nothing but his own boots, the General’s daughter had disappeared, and in her place was standing a bewhiskered butler, armed with a silver soap-dish and a hand-basin.","Indeed, of extraordinarily strange contrast were the feelings born in the hearts of the three conversing people. One found amusing the awkward ineptitude of the German. Another found amusing the amusing way the crooks wriggled out of it. The third was saddened that an unjust act had been committed with impunity. There only lacked a fourth to ponder precisely such words as could produce laughter in one and sadness in another. What does it mean, however, that even in his fall, the perishing dirty man demands to be loved? Is it an animal instinct? or the faint cry of the soul smothered under the heavy burden of base passions, still trying to break through the hardening crust of abominations , still crying: “Save me, brother!” There lacked a fourth for whom the most painful thing of all would be his brother’s perishing soul.",
Зато какая глушь и какой закоулок!,But what a wilderness and what a nook!,But what a wilderness and what a corner!,But what a spot!,"Yes, but what a backwoods and what a corner!",
— Скажите! и много выморила? — воскликнул Чичиков с участием.,- Tell! and exhausted a lot? Chichikov exclaimed with sympathy.,“You don’t say so! And have many died?” exclaimed Tchitchikov with sympathy.,"“Wholesale, you say?” echoed Chichikov, greatly interested.",“You don’t say! So a lot were killed off?” Chichikov exclaimed with sympathy.,“You don’t say! And has it actually carried off many?” Chichikov exclaimed with concern.
"— Отечественной фабрикации, — сказал Чичиков, — но только именно лучшего сорта, который называется аглицким.","“Domestic fabrication,” said Chichikov, “but only of the best variety, which is called English.","“Home manufacture,” said Tchitchikov, “but of the best sort that goes under the name of English.”",“Within my doors you will find a large variety of clothing.”,"“Domestic,” said Chichikov, “only precisely of that best sort known as English cloth.”",
