Source,GoogleTranslate,human1,human2,human3,human4,human5
"Насмешливый, острый треугольник бровей:","A mocking, sharp triangle of eyebrows:","A mocking, sharp triangle of brows.","The mocking, sharp triangle of eyebrows.","A mocking, sharp triangle of eyebrows: “My sweet, you are a mathematician.","Her brows make a sharp mocking triangle: “My dear, you are a mathematician.","A mocking, sharp triangle of brows."
"– Скорее – к вам в кабинет… Я должен все – сейчас же! Это хорошо, что именно вам… Это, может быть, ужасно, что именно вам, но это хорошо, это хорошо…","- Hurry - to your office ... I owe everything - now! It's good that it's for you... It may be terrible that it's for you, but it's good, it's good...","Quickly! ... into your office .... I must tell everything ... right away.... I am glad that you.... It may be terrible that it should be you to whom.... But it is well , it is well....”","Quick—let's go to your office ... I must ... immediately—about everything! It's good it will be you. ... It may be terrible that it has to be you, but it is good , it's good....""","I seized hold of him, too: “Quickly, into your office … I have to tell you everything—right now! It’s good that it is you in particular … It, maybe it is horrible that it’s you but it’s good , it’s good …”","Let’s go to your office. ... Everything—I’ve got to ... right now! I’m glad it’s you .... Maybe it’s terrible that it’s you of all people, but it’s good , I’m glad....”","Quickly!… into your office… I must tell everything … right away … I am glad that you… It may be terrible that it should be you to whom … But it is good, it is good.…”"
"Вечером в тот же день – за одним столом с Ним, с Благодетелем – я сидел (впервые) в знаменитой Газовой Комнате. Привели ту женщину. В моем присутствии она должна была дать свои показания. Эта женщина упорно молчала и улыбалась. Я заметил, что у ней острые и очень белые зубы и что это красиво.","In the evening of the same day - at the same table with Him, with the Benefactor - I sat (for the first time) in the famous Gas Room. They brought that woman. In my presence, she was to give her testimony. This woman was stubbornly silent and smiling. I noticed that she had sharp and very white teeth and that it was beautiful.","The same evening, sitting at the same table with Him, with the Well-Doer, I saw for the first time in my life the famous Gas Chamber. They brought in that woman. She was to testify in my presence. That woman remained stubbornly silent and smiling. I noticed that she had sharp and very white teeth which were very pretty.","In the evening of the same day, I sat (for the first time) at the same table with the Benefactor in the famous Gas Chamber. She was to testify in my presence. The woman smiled and was stubbornly silent. I noticed she had sharp and very white teeth, and that was pretty.","In the evening of that day I sat at one table with Him, with the Benefactor (for the first time) in the famous Gas Room. They brought in that woman. In my presence she was supposed to give her testimony. This woman stubbornly said nothing and was smiling. I noticed that she had sharp and very white teeth and that this was beautiful.","That same evening, at one and the same table with Him, the Benefactor, I was sitting (for the first time) in the famous Gas Room. They brought in that woman. She was supposed to give her testimony in my presence. The woman was stubbornly silent and kept smiling. I noticed that she had sharp, very white teeth, and that this was beautiful.","That same evening, sitting at the same table with Him, with the Well-Doer, I saw for the first time in my life the famous Gas Chamber. They brought in that woman. She was to testify in my presence. She remained stubbornly silent and smiling. I noticed that she had sharp and very white teeth which were very pretty."
"«Но ведь не я же – не я! Я же об этом ни с кем, никому, кроме этих белых, немых страниц…»","“But it’s not me, it’s not me! I’m talking about this with no one, no one, except for these white, silent pages ... ""","But it was not I, not I! I told nobody, save these white, mute pages....","But no, it wasn't I—not I! I spoke of it to no one, no one except those white, mute pages ...","But it wasn’t me , I’m telling you, it wasn’t me! I haven’t mentioned this to anyone, no one except those white mute pages …",But it wasn’t me—it wasn’t! I told no one about this—no one except these mute white pages....,"But it was not I, not I! I told nobody, save these white, mute pages…"
"– Позвольте… я хотел… я думал, что она, I-330. Но за мной…","“Excuse me…I wanted…I thought it was her, I-330.” But behind me...","“Beg your pardon ... I wanted ... I thought that she, I-330 ... but behind me....”","""But, sorry ... I wanted ... I thought that I-330 ... But behind me ...""","“If you please … I wanted to … I thought that she, I-330 … But behind me …”","“Excuse me, I wanted, I thought that she, that 1-330 ... But behind me ...”","“Beg your pardon … I wanted … thought that she, I-330 … but behind me …”"
"R-13 говорит захлебываясь, слова из него так и хлещут, из толстых губ – брызги; каждое «п» – фонтан, «поэты» – фонтан.","R-13 speaks chokingly, the words are gushing out of him, splashing from his thick lips; each ""p"" is a fountain, ""poets"" is a fountain.","R-13 usually talks very fast: His words run in torrents, his thick lips sprinkle. Every P is a fountain, every “poets” a fountain.","R-13 speaks in a rush of words; they spurt out in a torrent and spray comes flying from his thick lips. Every ""p"" is a fountain; ""poets""—a fountain.","R-13 speaks gutturally; words gush out of him, out of his thick lips, they spray—every “p” is a fountain. “Poets”—a fountain.","R-13 chokes with excitement when he talks and the words come bursting out of him, out of those thick lips, in sprays. Every p is a fountain. The word poets is a real fountain.","R-13 usually talks very fast. His words run in torrents, his thick lips sprinkle. Every “p” is a fountain, every “poets” a fountain."
"Что-то хрустнуло. Скорее всего – О просто шевельнулась. Сидела, руки в коленях, молчала.","Something crunched. Most likely - Oh just moved. She sat with her hands on her knees, silent.","Something cracked. It must have been the springs of the bed, for O-90 made a slight motion only. She remained sitting, her hands upon her knees.","Something cracked. Or, perhaps, O merely stirred. She sat, hands locked in her knees, silently.","Something crystallized. Most likely, O had simply stirred slightly. She was sitting, hands on her lap, saying nothing.","There was a cracking noise. Probably 0 had just shifted on the bed. She was sitting with her hands in her lap, not saying anything.","Something cracked. It must have been the springs of the bed, for O-90 made a slight motion only. She remained sitting, her hands upon her knees."
"Там, на солнце, у выхода, как растение, дремала старуха. Опять было удивительно, что раскрылся ее заросший наглухо рот и что она заговорила:","There, in the sun, at the exit, like a plant, an old woman dozed. Again it was surprising that her tightly overgrown mouth opened and that she spoke:","In the sunshine at the gate the old woman was dozing like a plant. Again I was surprised to see her grown-together mouth open, and to hear her say:","Outside, in the sunshine, at the entrance, the old woman was dozing like a vegetable. Again it was astonishing that her closegrown mouth opened and she spoke.","There, at the entrance, the old woman dozed in the sun like a plant. Again, I was amazed that she opened her overgrown mouth and that she began to speak: “And she … your—what, she stayed in there alone?”","At the entrance the old woman was dozing in the sun, like a plant. Once more I was surprised that her mouth seemed to appear out of some undergrowth and produce speech:","In the sunshine at the gate the old woman was dozing like a plant. Again I was surprised to see her grown-together mouth open, and to hear her say:"
"Я похолодел. Я знал, что это значит – показаться на улице позже 22.30. Все мое сумасшествие – сразу как сдунуло. Я – был я. Мне было ясно одно: я ненавижу ее, ненавижу, ненавижу!","I got cold. I knew what it meant to show up on the street after 10:30 pm. All my madness - as soon as it was blown away. I was me. One thing was clear to me: I hate her, I hate her, I hate her!","I became cold. I knew what it meant to be out in the street after twenty-two-thirty. My insanity disappeared at once. I was again I. I saw clearly one thing: I hated her, hated her, hated— ... Without saying good-bye, without looking back","I turned cold. I knew what it meant to be seen in the street after twenty-two and a half. My madness vanished as if blown away. I was myself. And one thing was clear to me: I hate her, hate her, hate her!","I grew cold. I knew what this meant: appearing on the street after 22:30. All my craziness immediately blew away. I—was me. One thing became clear to me: I hate her, hate her, hate her!","That put a chill on me. I knew what it meant to show yourself on the street after 22:30. All my madness seemed to be blown away from me all of a sudden. I was me again. One thing was clear: I hated her , I hated her, I hated her!","I became cold. I knew what it meant to be out in the street after twenty-two-thirty. My insanity disappeared at once. I was again I. I saw clearly one thing: I hated her, hated her, hated … Without saying good-by, without looking back, I ran out of the room."
"– Ах, дорогой, – так это правда, вы ранены? Я как только узнала – сейчас же…","“Ah, dear, is it true, are you hurt?” As soon as I found out - now ...","“Oh, dear, is it true that you are wounded? I just learned about it, and at once I ran....”","""Ah, my dear—so it is true that you were hurt? As soon as I learned—I immediately . . .""","“Ah, my dear, then it is true—you are injured? I only just found out—just now …”","“Oh, my dear, so it’s true—you were hurt? As soon as I heard about it, just now...”","“Oh, dear, is it true that you are wounded? I just learned about it, and at once I ran …”"
"Я сидел за столом, не двигаясь, – и я видел, как дрожали стены, дрожало перо у меня в руке, колыхались, сливаясь, буквы…","I sat at the table, not moving, and I saw the walls trembling, the pen in my hand trembling, the letters swaying, merging ...","Motionless I sat at the table but everything around me seemed to be moving, as if the less than microscopic movements of the atoms suddenly were magnified millions of times, and I saw the walls trembling, my pen trembling and the letters swinging and fusing together.","I sat at the table, motionless—and saw the trembling of the walls, the trembling of the pen in my hands, the swaying, blurring of the letters.","I was sitting at the desk, not moving, and I saw how the walls were shaking, how the pen in my hand was shaking, the letters were fluttering, merging …","I sat motionless at the table and saw the walls trembling, the pen in my hand trembling, the letters swaying and blending together....","Motionless I sat at the table, but everything around me seemed to be moving, as if the less than microscopic movements of the atoms had suddenly been magnified millions of times; I saw the walls trembling, my pen trembling, and the letters swinging and fusing together."
