Source,GoogleTranslate,human1,human2,human3
"Каким-то холодом охватило вдруг Раскольникова при этом безобразном ответе. Свидригайлов поднял голову, пристально посмотрел на него и вдруг расхохотался.","Some kind of cold suddenly seized Raskolnikov at this ugly answer. Svidrigailov raised his head, looked fixedly at him, and suddenly burst out laughing.","A chill seized Raskolnikov at this hideous answer. Svidrigaylov raised his head, stared at him intently, and burst out laughing.","A sudden chill gripped Raskolnikov at this horrible answer. Svidrigailov raised his head, stared intently at him and suddenly burst out laughing.","This horrible answer sent a cold chill through Raskolnikov. Svidrigailov raised his head, looked at him, and suddenly started laughing."
– Я тоже… мне надо.,“Me too… I need it.”,"“I . . . have to go, too.”",‘I’ve got to… go as well.’,“I must go.”
– Не извольте кричать!,- If you please shout!,"“No shouting, if you please!”",‘Don’t you dare shout!’,“Please stop shouting!”
"– Ну, по крайней мере, с этой стороны вы меня хоть несколько успокоили; но вот ведь опять беда-с: скажите, пожалуйста, много ли таких людей, которые других-то резать право имеют, «необыкновенных-то» этих? Я, конечно, готов преклониться, но ведь согласитесь, жутко-с, если уж очень-то много их будет, а?","- Well, at least from this side you reassured me at least a little; but here's the trouble again, sir: tell me, please, are there many such people who have the right to cut others, these ""extraordinary"" ones? Of course, I am ready to bow, but you must admit, it’s terrible, sir, if there are very many of them, huh?","“Well, at least on that score you’ve somewhat reassured me. But here’s another concern, sir: tell me, please, are there many of these people, the ‘extraordinary’ ones, who have the right to mow down others? Of course, I’m prepared to bow down before them, but you’ll agree, it would be terrible if there were very many of them, wouldn’t it?”","‘ Well, you’ve reassured me a little, at least on that score; but here’s another problem. Tell me, please, are there many of these people who have the right to cut other people’s throats, these “extraordinary” men of yours? I mean, I’m happy to bow down to them, but you must agree—it’s a bit frightening, isn’t it, if there are lots and lots of them?’","“Well, you have certainly set my mind more at rest on that score; but there’s another thing worries me. Tell me, please, are there many people who have the right to kill others, these extraordinary people? I am ready to bow down to them, of course, but you must admit it’s alarming if there are a great many of them, eh?”"
"– Да врешь; горячишься. Ну, а серьги? Согласись сам, что коли в тот самый день и час к Николаю из старухина сундука попадают серьги в руки, – согласись сам, что они как-нибудь да должны же были попасть? Это немало при таком следствии.","- You're lying; get excited. Well, and what about the earrings? Admit it yourself that if on that very day and hour earrings fall into Nikolai's hands from the old woman's chest, admit it yourself that somehow they had to get there? This is a lot with such a consequence.",“Not true. You’re getting too excited. What about the earrings? You have to agree that if on that very day and at that time the earrings from the old woman’s trunk wound up in Nikolai’s hands—you have to agree that they had to get there some way or other. In such circumstances that must mean something.”,"‘Not true—you’re getting too worked up. What about the earrings? You must admit, if Nikolay got hold of earrings from the old woman’s trunk, that very same day and hour—admit it, he must have got them from somewhere? That’s no trifle, in that sort of investigation.’","“That’s nonsense. You’re overexcited. But what about the earrings ? You must admit that, if on the very same day and hour earrings from the old woman’s box have come into Nikolai’s hands, they must have got there somehow. It means a lot in a case like that.”"
"– Судейский? Да, именно судейский, деловой… Не то чтоб уж очень безграмотно, да и не то чтоб уж очень литературно; деловой!..","- Judicial? Yes, just a judicial, businesslike one ... Not that it's very illiterate, and not that it's very literary; business!..","“Lawyerly? Yes, that’s it precisely, businesslike. . . . It’s not that it’s very illiterate, and it’s not that it’s very literary; it’s just businesslike.”","‘Legal? Yes, legal, just so, official language… Not very illiterate exactly, but not very literary either—it’s official language!’","“Legal? Yes, it’s just legal—business language—not entirely uneducated, and not quite educated—business language!”"
"– А эти деньги, Аркадий Иванович, я вам очень благодарна, но я ведь теперь в них не нуждаюсь. Я себя одну завсегда прокормлю, не сочтите неблагодарностью: если вы такие благодетельные, то эти деньги-с…","- And this money, Arkady Ivanovich, I am very grateful to you, but I don’t need it now. I will always feed myself alone, do not consider it ingratitude: if you are so beneficent, then this money, sir ...","That’s enough.” “I’m very grateful for this money, Arkady Ivanovich, but I have no need for it now. I have only myself to feed; don’t think me ungrateful: if you’re so generous, sir, then take this money and . . .”","‘But this money, Arkady Ivanovich—I’m very grateful to you, but I really don’t need it now. I’ll always manage to keep myself, please don’t think I’m ungrateful; but if you’re so generous, that money…’","“But as for the money, Arkady Ivanovich, I am very grateful to you, but I don’t need it now. I can always earn my own living. Don’t think me ungrateful. If you are so charitable, that money . . . ”"
"Он благополучно избегнул встречи с своею хозяйкой на лестнице. Каморка его приходилась под самою кровлей высокого пятиэтажного дома и походила более на шкаф, чем на квартиру. Квартирная же хозяйка его, у которой он нанимал эту каморку с обедом и прислугой, помещалась одною лестницей ниже, в отдельной квартире, и каждый раз, при выходе на улицу, ему непременно надо было проходить мимо хозяйкиной кухни, почти всегда настежь отворенной на лестницу. И каждый раз молодой человек, проходя мимо, чувствовал какое-то болезненное и трусливое ощущение, которого стыдился и от которого морщился. Он был должен кругом хозяйке и боялся с нею встретиться.","He safely avoided meeting his mistress on the stairs. His closet was located under the very roof of a high five-story building and looked more like a closet than an apartment. His apartment owner, from whom he rented this little room with dinner and a servant, was placed one staircase below, in a separate apartment, and every time he went out into the street, he certainly had to pass the mistress’s kitchen, which was almost always wide open onto the stairs. And every time a young man, passing by, felt some painful and cowardly sensation, of which he was ashamed and from which he winced. He had to be around the hostess and was afraid to meet her.","He had successfully managed to avoid meeting his landlady on the staircase. His small room, more like a closet than an apartment, was tucked under the roof of a tall five-story building. The landlady of the apartment, who rented him this room and provided both dinner and a servant, lived below in a separate apartment on the same staircase; every time he left to go out, he had to pass the landlady’s kitchen door, which was almost always left open onto the landing. Every time the young man passed, he felt a painful and fearful sensation, one that he was ashamed of and that made him wince. He was deeply in debt to the landlady and was afraid to face her.","He managed to avoid meeting his landlady on the stairs. His garret, more like a cupboard than a room, was just under the roof of the five-storey house. The landlady from whom he rented this garret, with service and one meal a day, lived in a separate flat on the floor below, and every time he went downstairs to the street he had to go past her kitchen, whose door was almost always open onto the stairway. And every time the young man passed this door, he was overcome by an uncomfortable, cowardly feeling which made him grimace with shame. He was hopelessly in debt to his landlady and afraid of meeting her.","He had successfully avoided meeting his landlady on the stairs. His closet of a room was under the roof of a high, five-floor house and was more like a cupboard than a place in which to live. The landlady who provided him with the room and with dinner and service lived on the floor below, and every time he went out he was obliged to pass her kitchen, the door of which was always open. And each time he passed, the young man had a sick, frightened feeling, which made him grimace and feel ashamed. He was hopelessly in debt to his landlady and was afraid of meeting her."
"– Здравствуйте, Алена Ивановна, – начал он как можно развязнее, но голос не послушался его, прервался и задрожал, – я вам… вещь принес… да вот лучше пойдемте сюда… к свету… – И, бросив ее, он прямо, без приглашения, прошел в комнату. Старуха побежала за ним; язык ее развязался:","- Hello, Alena Ivanovna, - he began as loosely as possible, but his voice did not obey him, broke off and trembled, - I brought you a thing ... but we'd better go here ... to the light ... - And, leaving her, he straight, without an invitation , went into the room. The old woman ran after him; her tongue untied:","“Hello, Alyona Ivanovna,” he began as casually as possible, but his voice didn’t obey, broke off, and began trembling. “I’ve brought you . . . something . . . let’s go over there . . . to the light . . .” And, moving away from her, he entered the room directly, without invitation. The old woman ran in after him and recovered her powers of speech.","‘Good day, Aliona Ivanovna,’ he began, as casually as he could. But his voice didn’t obey him, stuttering and trembling. ‘I’ve… brought you… something… why don’t we move over here… to the light…’ And stepping away from her, he walked straight into the room uninvited. The old woman hurried after him, and found her speech.","“Good evening, Aliona Ivanovna,” he began, trying to speak as casually as possible, but his voice would not obey him, it broke and shook. “I have come . . . I have brought something . . . but we’d better go over here . . . to the light . . . ” And leaving her, he walked straight into the room uninvited. The old woman ran after him; her tongue was loosened."
"– Конечно, она недостойна жить, – заметил офицер, – но ведь тут природа.","“Of course, she is unworthy to live,” the officer remarked, “but there’s nature here.","“Of course she doesn’t deserve to live,” observed the officer, “but that’s nature.”","‘Of course, she doesn’t deserve to live,’ remarked the officer; ‘but that’s just nature.’","“Of course she does not deserve to live,” remarked the officer, “but there it is, it’s nature.”"
