Source,GoogleTranslate,human1,human2,human3
"Варвара Алексеевна, родная моя!","Varvara Alekseevna, my dear!","MY OWN BARBARA ALEXIEVNA,—Today, dearest, I saw Thedora, who informed me that you are to be married tomorrow, and on the following day to go away—for which purpose Bwikov has ordered a post-chaise....","Varvara Alekseyevna, my darling!","VARVARA ALEXYEVITCH, MY OWN,"
"Я не знала, что мне оставалось делать, куда было деваться от стыда. Одно то, что он застал меня в своей комнате! Целых три дня я на него взглянуть не могла. Я краснела до слез. Мысли самые странные, мысли смешные вертелись в голове моей. Одна из них, самая сумасбродная, была та, что я хотела идти к нему, объясниться с ним, признаться ему во всем, откровенно рассказать ему все и уверить его, что я поступила не как глупая девочка, но с добрым намерением. Я было и совсем решилась идти, но, слава богу, смелости не достало. Воображаю, что бы я наделала! Мне и теперь обо всем этом вспоминать совестно.","I didn't know what to do, where to go from shame. Just the fact that he found me in his room! For three whole days I could not look at him. I blushed to tears. The strangest thoughts, funny thoughts swirled in my head. One of them, the most extravagant, was the one that I wanted to go to him, explain myself to him, confess everything to him, tell him everything frankly and assure him that I did not act like a stupid girl, but with a good intention. I made up my mind to go, but, thank God, I didn't have the courage. Imagine what I would do! I am ashamed to remember all this now.","What to do with myself for shame I could not think. The one thought in my head was that he had surprised me in his room. For three whole days I found myself unable to raise my eyes to his, but blushed always to the point of weeping. The strangest and most confused of thoughts kept entering my brain. One of them—the most extravagant—was that I should dearly like to go to Pokrovski, and to explain to him the situation, and to make full confession, and to tell him everything without concealment, and to assure him that I had not acted foolishly as a minx, but honestly and of set purpose. In fact, I DID make up my mind to take this course, but lacked the necessary courage to do it. If I had done so, what a figure I should have cut! Even now I am ashamed to think of it.","I did not know what there was left for me to do, or where to hide my head in shame. The mere fact that he had caught me in his room! For three entire days I was unable to bring myself even to look at him. I kept blushing to the point of tears. The strangest, most ridiculous thoughts kept whirling about in my head. One of them, the wildest, was a desire to go to him, have it out with him, confess everything to him, frankly tell him all and convince him that I had behaved not as a stupid little girl, but with good intentions. I had almost made up my mind to do this, but, thank God, found that I did not possess the necessary courage. I can imagine what a fool of myself I should have made! Even now I have pangs of conscience at the memory of the whole episode.","I did not know what to do, where to hide myself for shame. The mere fact that he had found me in his room was enough! For three whole days I could not look at him: I blushed until the tears came into my eyes. The most absurd ideas whirled through my brain. One of them—the maddest—was a plan to go to him, explain myself to him, confess everything to him, tell him all openly and assure him I had not behaved like a silly little girl but had acted with good intentions. I quite resolved to go but, thank God, my courage failed me. I can imagine what a mess I should have made of it! Even now I am ashamed to remember it all."
"Покровский был бедный, очень бедный молодой человек; здоровье его не позволяло ему ходить постоянно учиться, и его так, по привычке только, звали у нас студентом. Жил он скромно, смирно, тихо, так что и не слышно бывало его из нашей комнаты. С виду он был такой странный; так неловко ходил, так неловко раскланивался, так чудно говорил, что я сначала на него без смеху и смотреть не могла. Саша беспрерывно над ним проказничала, особенно когда он нам уроки давал. А он вдобавок был раздражительного характера, беспрестанно сердился, за каждую малость из себя выходил, кричал на нас, жаловался на нас и часто, не докончив урока, рассерженный уходил в свою комнату. У себя же он по целым дням сидел за книгами. У него было много книг, и всё такие дорогие, редкие книги. Он кое-где еще учил, получал кое-какую плату, так что чуть, бывало, у него заведутся деньги, так он тотчас идет себе книг покупать.","Pokrovsky was a poor, very poor young man; his health did not allow him to go to study all the time, and he was so, out of habit only, called us a student. He lived modestly, quietly, quietly, so that he could not be heard from our room. He looked so strange; he walked so awkwardly, bowed so awkwardly, spoke so wonderfully that at first I could not even look at him without laughing. Sasha constantly played pranks on him, especially when he gave us lessons. In addition, he was of an irritable nature, constantly angry, lost his temper for every little thing, shouted at us, complained about us, and often, without finishing the lesson, went angry to his room. At home, he spent whole days sitting at books. He had many books, and all such expensive, rare books. He also taught here and there, received some pay, so that as soon as he got money, he immediately went to buy books for himself.","The latter was a poor—a very poor—young man whose health would not permit of his undertaking the regular university course. Indeed, it was only for form’s sake that we called him “The Student.” He lived in such a quiet, humble, retiring fashion that never a sound reached us from his room. Also, his exterior was peculiar—he moved and walked awkwardly, and uttered his words in such a strange manner that at first I could never look at him without laughing. Sasha was for ever playing tricks upon him—more especially when he was giving us our lessons. But unfortunately, he was of a temperament as excitable as herself. Indeed, he was so irritable that the least trifle would send him into a frenzy, and set him shouting at us, and complaining of our conduct. Sometimes he would even rush away to his room before school hours were over, and sit there for days over his books, of which he had a store that was both rare and valuable. In addition, he acted as teacher at another establishment, and received payment for his services there; and, whenever he had received his fees for this extra work, he would hasten off and purchase more books.","Pokrovsky was poor – a very poor young man; his health did not permit him to follow any continuous course of study, and it was merely out of habit that we referred to him as ‘the student’. He lived modestly, peacefully, and quietly, and no sound of him could be heard from our room. His appearance was rather odd; so awkwardly did he walk, so awkwardly did he bow, and so strangely did he speak that at first I could not look at him without laughing. Sasha was forever playing pranks on him, especially when he was giving us our lessons. Also, he had an irritabledisposition – heconstantly got angry, losing his temper over the merest trifles, shouted at us, complained about us and frequently went off to his room in a rage, without having completed the lesson. Left to himself, however, he would sit poring over his books for days on end. He had a lot of books, and they were all expensive, rare ones. He gave lessons in a few other places as well, and received some kind of payment for them; as soon as he had any money, he would at once go out and buy books.","Pokrovsky was poor, very poor. His health had prevented him from continuing his studies and it was only from habit that he was called a student. He was so retiring, so quiet and so still that we heard no sound of him from our room. He was very queer-looking; he walked so awkwardly, bowed so awkwardly and spoke so queerly that at first I could not look at him without laughing. Sasha was continually mocking at him, especially when he was giving us our lessons. He was of an irritable temper, too, was constantly getting cross, was beside himself about every trifle, scolded us, complained of us, and often went off into his own room in anger without finishing the lesson. He used to sit for days together over his books. He had a great many books, and such rare and expensive books. He gave other lessons, too, for which he was paid, and as soon as ever he had money he would go and buy books."
с каковыми честь имею пребыть наипреданнейшею,with what honor do I have to remain the most devoted,"Again I beg of you not to be angry with me, but to rest assured of my constant respect and attachment.—Your humble, devoted servant,","I beg you once again not to be angry with me and to be assured of the constant esteem and devotion with which I have the honour to remain,","With which I have the honour to remain,"
Апреля 12-го.,April 12th.,April 12th,April 12,April 12.
"– Небо и земля, благодарю вас! я счастлив!.. Вы дали мне все, все, к чему с отроческих лет стремился взволнованный дух мой. Так вот куда вела ты меня, моя звезда путеводная; так вот для чего ты привела меня сюда, за Каменный Пояс! Я покажу всему свету мою Зюлейку, и люди, бешеные чудовища, не посмеют обвинять меня! О, если им понятны эти тайные страдания ее нежной души, если они способны видеть целую поэму в одной слезинке моей Зюлейки! О, дай мне стереть поцелуями эту слезинку, дай мне выпить ее, эту небесную слезинку… неземная!","Heaven and earth, thank you! I am happy!.. You gave me everything, everything that my excited spirit aspired to from adolescence. So this is where you led me, my guiding star; so that's why you brought me here, beyond the Stone Belt! I will show my Zyuleika to the whole world, and people, rabid monsters, will not dare to accuse me! Oh, if they understand these secret sufferings of her tender soul, if they are able to see a whole poem in one tear of my Zyuleika! Oh, let me wipe away this tear with kisses, let me drink it, this heavenly tear ... unearthly!","“‘Then by heaven and earth I thank you! By heaven and earth you have made me happy! You have given me all, all that my tortured soul has for immemorial years been seeking! ‘ Tis for this that you have led me hither, my guiding star—‘tis for this that you have conducted me to the Girdle of Stone! To all the world will I now show my Zuleika, and no man, demon or monster of Hell, shall bid me nay! Oh, if men would but understand the mysterious passions of her tender heart, and see the poem which lurks in each of her little tears! Suffer me to dry those tears with my kisses! Suffer me to drink of those heavenly drops, Oh being who art not of this earth!’","‘By the earth and all the heavens, I thank you! I am happy! . . You have given me all, all for which my storm-tossed spirit has striven ever since I was a lad. So it is hither you have led me, my guiding star; so this is why you have led me hither, beyond the Kamenny Poyas. * I will show my Suleika to the whole world, and men, those ferocious monsters, will not dare to accuse me! Oh, if they understood those secret sufferings of her tender soul, if they were able to see an entire poem in one single tear of my Suleika! O, let me brush away that tear with kisses, let me drink it, that divine tear… woman not of this world!’","“ ‘Heaven and earth, I thank you! I am happy! ... You have given me everything, everything, for which my turbulent soul has striven from my boyhood’s years. So it was to this thou hast led me, my guiding star, so it was for this thou hast led me here, beyond the Belt of Stone! I will show to all the world my Zuleika, and men, the frantic monsters, will not dare to blame me! Ah, if they could understand the secret sufferings of her tender soul, if they could see a whole poem in a tear of my Zuleika! Oh, let me dry that tear with kisses , let me drink it up, that heavenly tear.. unearthly one!’"
"Ну уж, как теперь все кончено и все мало-помалу приходит в прежнее положение, то вот что скажу я вам, маточка: вы беспокоитесь об том, что обо мне подумают, на что спешу объявить вам, Варвара Алексеевна, что амбиция моя мне дороже всего. Вследствие чего и донося вам об несчастиях моих и всех этих беспорядках, уведомляю вас, что из начальства еще никто ничего не знает, да и не будет знать, так что они все будут питать ко мне уважение по-прежнему. Одного боюсь: сплетен боюсь. Дома у нас хозяйка кричит, а теперь, когда я с помощию ваших десяти рублей уплатил ей часть долга, только ворчит, а более ничего. Что же касается до прочих, то и они ничего; у них только не нужно денег взаймы просить, а то и они ничего. А в заключение объяснений моих скажу вам, маточка, что ваше уважение ко мне считаю я выше всего на свете и тем утешаюсь теперь во временных беспорядках моих. Слава богу, что первый удар и первые передряги миновали и вы приняли это так, что не считаете меня вероломным другом и себялюбцем за то, что я вас у себя держал и обманывал вас, не в силах будучи с вами расстаться и любя вас, как моего ангельчика. Рачительно теперь принялся за службу и должность свою стал исправлять хорошо. Евстафий Иванович хоть бы слово сказал, когда я мимо их вчера проходил. Не скрою от вас, маточка, что убивают меня долги мои и худое положение моего гардероба, но это опять ничего, и об этом тоже молю вас – не отчаивайтесь, маточка. Посылаете мне еще полтинничек, Варенька, и этот полтинничек мне мое сердце пронзил. Так так-то оно теперь стало, так вот оно как! то есть это не я, старый дурак, вам, ангельчику, помогаю, а вы, сироточка моя бедненькая, мне! Хорошо сделала Федора, что достала денег. Я покамест не имею надежд никаких, маточка, на получение, а если чуть возродятся какие-нибудь надежды, то отпишу вам обо всем подробно. Но сплетни, сплетни меня беспокоят более всего. Прощайте, мой ангельчик. Целую вашу ручку и умоляю вас выздоравливать. Пишу оттого не подробно, что в должность спешу, ибо старанием и рачением хочу загладить все вины мои в упущении по службе; дальнейшее же повествование о всех происшествиях и о приключении с офицерами откладываю до вечера.","Well, as it’s all over now and everything is gradually returning to its former state, then I’ll tell you this, mother: you are worried about what they will think of me, to which I hasten to announce to you, Varvara Alekseevna, that my ambition is dearer to me Total. As a result, and informing you about my misfortunes and all these disorders, I inform you that no one from the authorities still knows anything, and will not know, so they will all respect me as before. I'm afraid of one thing: I'm afraid of gossip. At home, the hostess screams, but now, when I paid her part of the debt with the help of your ten rubles, she only grumbles, but nothing more. As for the rest, they are nothing; they just do not need to ask for a loan, otherwise they will do nothing. And in conclusion of my explanations, I will tell you, mother, that I consider your respect for me above everything in the world, and thus I now console myself in my temporary disturbances. Thank God that the first blow and the first troubles have passed and you have accepted it in such a way that you do not consider me a treacherous friend and selfish person for keeping you at my place and deceiving you, unable to part with you and loving you as mine. angel. Carefully now he set to work and began to correct his position well. Evstafy Ivanovich at least said a word when I passed by them yesterday. I will not hide from you, mother, that my debts and the poor state of my wardrobe are killing me, but this is nothing again, and I also beg you about this - do not despair, mother. Send me another fifty dollars, Varenka, and this fifty dollars has pierced my heart. So that's how it is now, so that's how it is! that is, it's not me, the old fool, I'm helping you, angel, but you, my poor little orphan, to me! Fedor did well that she got the money. For the time being, my mother, I have no hopes of receiving, and if any hopes are slightly revived, I will write to you about everything in detail. But gossip, gossip bothers me the most. Farewell, my angel. I kiss your hand and beg you to get well. I am not writing in detail because I am in a hurry to take up my post, because by diligence and diligence I want to make amends for all my faults in the omission in the service; I put off further narration about all the incidents and about the adventure with the officers until the evening.","ALEXIEVNA,—What am I to say to you, now that all is over, and we are gradually returning to our old position? You say that you are anxious as to what will be thought of me. Let me tell you that the dearest thing in life to me is my self-respect; wherefore, in informing you of my misfortunes and misconduct, I would add that none of my superiors know of my doings, nor ever will know of them, and that therefore, I still enjoy a measure of respect in that quarter. Only one thing do I fear—I fear gossip. Garrulous though my landlady be, she said but little when, with the aid of your ten roubles, I today paid her part of her account; and as for the rest of my companions, they do not matter at all. So long as I have not borrowed money from them, I need pay them no attention. To conclude my explanations, let me tell you that I value your respect for me above everything in the world, and have found it my greatest comfort during this temporary distress of mine. Thank God, the first shock of things has abated, now that you have agreed not to look upon me as faithless and an egotist simply because I have deceived you. I wish to hold you to myself, for the reason that I cannot bear to part with you, and love you as my guardian angel.... I have now returned to work, and am applying myself diligently to my duties. Also, yesterday Evstafi Ivanovitch exchanged a word or two with me. Yet I will not conceal from you the fact that my debts are crushing me down, and that my wardrobe is in a sorry state. At the same time, these things do not REALLY matter and I would bid you not despair about them. Send me, however, another half-rouble if you can (though that half-rouble will stab me to the heart—stab me with the thought that it is not I who am helping you, but YOU who are helping ME). Thedora has done well to get those fifteen roubles for you. At the moment, fool of an old man that I am, I have no hope of acquiring any more money; but as soon as ever I do so, I will write to you and let you know all about it. What chiefly worries me is the fear of gossip. Goodbye, little angel. I kiss your hands, and beseech you to regain your health. If this is not a detailed letter, the reason is that I must soon be starting for the office, in order that, by strict application to duty, I may make amends for the past.","Well, since all that is now over and things are gradually returning to how they were before, I will tell you this, little mother: you are worried about what people will think of me, but I hasten to assure you, Varvara Alekseyevna, that my self-esteem is what matters to me before all else. As a consequence of which, and with reference to my misfortunes and all these disorderly events, I beg to inform you that none of my superiors know anything about them, nor are likely to do so, and will therefore all continue to treat me with respect, as before. I am afraid of only one thing: loose tongues. The landlady in our house over here has been shouting her head off, but now that with the help of your ten rubles I have paid off part of my debt to her she merely grumbles, and that is all. As for the others, they turn a blind eye; as long as one doesn’t try to borrow money from them, they don’t care. And to conclude my explanations I shall tell you, little mother, that I value your respect for me more highly than anything else in the world and am consoled by it now in my temporary state of confusion. Thank God that the first impact and the worst of the trouble is now over, and that you have construed it in such a way as not to consider me a false friend and a selfish brute for keeping you here and deceiving you, not having the strength to part with you, and loving you as my little angel. I have set zealously to work now and have begun to discharge my duties well. Yevstafy Ivanovich did not say a word when I walked past him yesterday. I will not conceal from you, little mother, that my debts and the shabby condition of my wardrobe are causing me considerable pain, but that is nothing to worry about, either, and I beseech you not to despair in that regard, little mother. If you will send me another fifty copecks, Varenka, then those fifty copecks too, will pierce my heart. So this is what it has come to now , this is what it has come to! It is not I, old fool that I am, who am helping you, but you, my poor little orphan, who are helping me! Fedora did well to get the money. For the moment I have no hope of getting any, little mother, but as soon as there is hope of my doing so I will write and tell you all about it. But it is loose tongues, loose tongues that worry me most of all. Goodbye, my little angel. I kiss your hand and implore you to get well again. I do not write in more detail because I am in a hurry to get to work, since I wish by dint of zeal and effort to make amends for my dereliction of duty; I shall put off a further account of all that happened to me and of my adventure with the officers until the evening.","Well, as now everything is over and, little by little, things are beginning to be as they used to be, again let me tell you one thing, my good friend: you are worried by what people will think about me, to which I hasten to assure you, Varvara Alexyevna, that my reputation is dearer to me than anything. For which reason and with reference to my misfortunes and all those disorderly proceedings I beg to inform you that no one of the authorities at the office know anything about it or will know anything about it. So that they will all feel the same respect for me as before. The one thing I’m afraid of is gossip. At home our landlady did nothing but shout, and now that with the help of your ten roubles I have paid part of what I owe her she does nothing more than grumble; as for other people, they don’t matter, one mustn’t borrow money of them, that’s all, and to conclude my explanations I tell you, Varvara Alexyevna, that your respect for me I esteem more highly than anything on earth, and I am comforted by it now in my temporary troubles. Thank God that the first blow and the first shock are over and that you have taken it as you have, and don’t look on me as a false friend, or an egoist for keeping you here and deceiving you because I love you as my angel and could not bring myself to part from you. I’ve set to work again assiduously and have begun performing my duties well. Yevstafy Ivanovitch did just say a word when I passed him by yesterday. I will not conceal from you, Varinka, that I am overwhelmed by my debts and the awful condition of my wardrobe, but that again does not matter, and about that too , I entreat you, do not despair, my dear. Send me another half rouble. Varinka, that half rouble rends my heart too. So that’s what it has come to now, that is how it is, old fool that I am; it’s not I helping you, my angel, but you, my poor little orphan, helping me. Fedora did well to get the money. For the time I have no hopes of getting any, but if there should be any prospects I will write to you fully about it all. But gossip, gossip is what I am most uneasy about. I kiss your little hand and implore you to get well. I don’t write more fully because I am in haste to get to the office. For I want by industry and assiduity to atone for all my shortcomings in the way of negligence in the office; a further account of all that happened and my adventures with the officers I put off till this evening."
"Вы мне прислали белья в подарок; но послушайте, Макар Алексеевич, ведь вы разоряетесь. Шутка ли, сколько вы на меня истратили, – ужас сколько денег! Ах, как же вы любите мотать! Мне не нужно; все это было совершенно лишнее. Я знаю, я уверена, что вы меня любите; право, лишнее напоминать мне это подарками; а мне тяжело их принимать от вас; я знаю, чего они вам стоят. Единожды навсегда – полноте; слышите ли? Прошу вас, умоляю вас. Просите вы меня, Макар Алексеевич, прислать продолжение записок моих; желаете, чтоб я их докончила. Я не знаю, как написалось у меня и то, что у меня написано! Но у меня сил недостанет говорить теперь о моем прошедшем; я и думать об нем не желаю; мне страшно становится от этих воспоминаний. Говорить же о бедной моей матушке, оставившей свое бедное дитя в добычу этим чудовищам, мне тяжелее всего. У меня сердце кровью обливается при одном воспоминании. Все это еще так свежо; я не успела одуматься, не только успокоиться, хотя всему этому уже с лишком год. Но вы знаете все.","You sent me linen as a gift; but listen, Makar Alekseevich, you are going bankrupt. It's no joke, how much you spent on me - the horror of how much money! Oh, how you love to wind! I don't need; it was all completely superfluous. I know, I'm sure that you love me; right, it is superfluous to remind me of this with gifts; but it is hard for me to accept them from you; I know what they cost you. Once forever - fullness; do you hear? I beg you, I beg you. Ask me, Makar Alekseevich, to send me a continuation of my notes; you want me to finish them. I do not know how I wrote and what I have written! But I don't have the strength to talk now about my past; I don't even want to think about him; I'm scared of these memories. To speak of my poor mother, who left her poor child as a prey to these monsters, is the hardest thing for me. My heart bleeds at the very memory. All this is still so fresh; I did not have time to change my mind, not only to calm down, although all this has already been over a year old. But you know everything.","You have sent me some linen as a gift. But listen to me, Makar Alexievitch. You are simply ruining yourself. Is it a jest that you should spend so much money, such a terrible amount of money, upon me? How you love to play the spendthrift! I tell you that I do not need it, that such expenditure is unnecessary. I know, I am CERTAIN, that you love me —therefore, it is useless to remind me of the fact with gifts. Nor do I like receiving them, since I know how much they must have cost you. No—put your money to a better use. I beg, I beseech of you, to do so. Also, you ask me to send you a continuation of my memoirs—to conclude them. But I know not how I contrived even to write as much of them as I did; and now I have not the strength to write further of my past, nor the desire to give it a single thought. Such recollections are terrible to me. Most difficult of all is it for me to speak of my poor mother, who left her destitute daughter a prey to villains. My heart runs blood whenever I think of it; it is so fresh in my memory that I cannot dismiss it from my thoughts, nor rest for its insistence, although a year has now elapsed since the events took place. But all this you know.","You have sent me a gift of some linen; but listen, Makar Alekseyevich, you are ruining yourself. I mean, it’s no joke, what you have spent on me – a fearful amount of money! Oh, how you love to be extravagant! I don’t need all those things; they were quite unnecessary. I know that you love me, I am convinced of it; truly, it is superfluous to remind me of it with gifts, gifts which it is painful for me to accept from you, since I know how much they cost you. Once and for all – desist, do you hear? I beg you, I implore you. Makar Alekseyevich, you ask me to send you the continuation of my notes; you want me to finish them. I do not even know how I managed to write what I did! But I have not the strength now to talk about my past; I don’t even want to think about it; I grow frightened by all those memories. Talking about my poor mother, who left her poor child in the clutches of those monsters is most painful of all to me. My heart bleeds at the mere recollection. All that is still so fresh in my memory; I have not had time to reflect, still less to compose myself, even though it all happened more than a year ago. But you know all about it.","You sent me some linen as a present; but upon my word, Makar Alexyevitch, you are ruining yourself. It’s no joke what you’ve spent on me, it’s awful to think how much money! How fond you are of throwing away your money! I don’t want it; it’s all absolutely unnecessary. I know— I am convinced—that you love me. It is really unnecessary to remind me of it with presents; and it worries me taking them from you; I know what they cost you. Once for all, leave off, do you hear? I beg you, I beseech you. You ask me, Makar Alexyevitch, to send you the continuation of my diary, you want me to finish it. I don’t know how what I have written came to be written! But I haven’t the strength now to talk of my past; I don’t even want to think of it; I feel frightened of those memories. To talk of my poor mother leaving her poor child to those monsters, too, is more painful than anything. My heart throbs at the very thought of it: it is all still so fresh: I have not had time to think things over, still less to regain my calm, though it is all more than a year ago, now. But you know all that."
"Милостивая государыня, Варвара Алексеевна!","Gracious Empress, Varvara Alekseevna!","MY DEAREST BARBARA ALEXIEVNA,—I have to tell you that a sad event has happened in this house—an event to excite one’s utmost pity.","Varvara Alekseyevna, Madam,","DEAR MADAM, VARVARA ALEXYEVNA,"
"Милостивый государь, Макар Алексеевич!","Dear sir, Makar Alekseevich!","MY DEAREST MAKAR ALEXIEVITCH,—I am in terrible distress.","Makar Alekseyevich, Sir,","DEAR MAKAR ALEXYEVITCH,"
