Source,GoogleTranslate,human1,human2,human3
"«Если б и мне умирать, как Каю, то я так бы и знал это, так бы и говорил мне внутренний голос, но ничего подобного не было во мне; и я и все мои друзья — мы понимали, что это совсем не так, как с Каем. А теперь вот что! — говорил он себе. — Не может быть. Не может быть, а есть. Как же это? Как понять это?»","“If I were to die, like Kayu, then I would have known it, that’s how my inner voice would have told me, but there was nothing like that in me; and I and all my friends - we understood that this was not at all the same as with Kai. And now here's what! he said to himself. - Can not be. It cannot be, but it is. How is it? How to understand this?","“If I had to die like Caius, then I would know it, an inner voice would be telling me, but nothing like that happened in me, and I and all my friends—we understood that things weren’t at all like with Caius. But now there’s this!” he said to himself. “It can’t be. It can’t be, but it is. How has this happened? How can one understand it?”","‘If I had to be like Caesar and die, I would have been aware of it, an inner voice would have told me, but there hasn’t been anything like that on the inside. I’ve always thought - and all my friends have, too - that we’re not the same as Caesar. And now look what’s happened!’ he said to himself. ‘It can’t be. It can’t be, but it is. How can it be? What’s it all about?’","“If I had to die like Caius I would have known it was so. An inner voice would have told me so, but there was nothing of the sort in me and I and all my friends felt that our case was quite different from that of Caius. and now here it is!” he said to himself. “It can’t be. It’s impossible! But here it is. How is this? How is one to understand it?”"
"Он ненавидел ее всеми силами души в то время, как она целовала его, и делал усилия, чтобы не оттолкнуть ее.","He hated her with all the strength of his soul while she kissed him, and made an effort not to push her away.",When she kissed him he hated her with all his might and made an effort not to push her away.,"He hated her with every fibre of his being while she was kissing him, and it took all his strength not to push her away.",While she was kissing him he hated her from the bottom of his soul and with difficulty refrained from pushing her away.
"Петр ушел. Иван Ильич, оставшись один, застонал не столько от боли, как она ни была ужасна, сколько от тоски. «Все то же и то же, все эти бесконечные дни и ночи. Хоть бы скорее. Что скорее? Смерть, мрак. Нет, нет. Все лучше смерти!»","Peter left. Ivan Ilyich, left alone, groaned not so much from pain, no matter how terrible it was, but from anguish. “Everything is the same, all those endless days and nights. At least sooner. What's sooner? Death, darkness. No no. Everything is better than death!”","Pyotr went out. Left alone, Ivan Ilyich groaned not so much from the pain , however frightful it was, as from anguish. “Always the same, always these endless days and nights. If only it could be soon. What could be soon? Death, darkness. No, no. Anything is better than death!”","Pyotr left the room. Ivan Ilyich groaned, not really from the pain, however terrible that was, but from anguish. It was the same thing all the time, day and night, with no end to it. Make it soon. Make what soon? Death, darkness. No, no. Anything was better than death!","Peter went out. Left alone Ivan Ilych groaned not so much with pain, terrible thought that was, as from mental anguish. Always and for ever the same, always these endless days and nights. If only it would come quicker! If only what would come quicker? Death, darkness?... No, no! anything rather than death!"
"Петр Иванович знал, что как там надо было креститься, так здесь надо было пожать руку, вздохнуть и сказать: «Поверьте!». И он так и сделал. И, сделав это, почувствовал, что результат получился желаемый: что он тронут и она тронута.","Pyotr Ivanovich knew that just as one had to be baptized there, one had to shake hands here, breathe in and say: “Believe me!”. And he did just that. And, having done this, he felt that the result was the desired one: that he was touched and she was touched.","Pyotr Ivanovich knew that just as in that room one had had to cross oneself, so here one must press the hand, sigh, and say, “Believe me!” And that’s what he did. And having done it he felt that the desired result had been obtained: he was moved and she was moved.","Pyotr Ivanovich knew that just as he had had to cross himself in there, out here it was necessary to squeeze her hand and say with a sigh, ‘Believe me ...’ And that’s what he did. Having done it, he felt that the desired effect had been achieved - he had been touched, and she had been touched.","And Peter Ivanovich knew that, just as it had been the right thing to cross himself in that room, so what he had to do here was to press her hand, sigh, and say, “Believe me... “ So he did all this and as he did it felt that the desired result had been achieved: that both he and she were touched."
"В большом здании судебных учреждений во время перерыва заседания по делу Мельвинских члены и прокурор сошлись в кабинете Ивана Егоровича Шебек, и зашел разговор о знаменитом красовском деле. Федор Васильевич разгорячился, доказывая неподсудность, Иван Егорович стоял на своем, Петр же Иванович, не вступив сначала в спор, не принимал в нем участия и просматривал только что поданные «Ведомости».","In a large building of judicial institutions, during a break in the session on the Melvinsky case, the members and the prosecutor met in the office of Ivan Yegorovich Shebek, and the conversation turned to the famous Krasovsky case. Fyodor Vasilievich got excited, proving lack of jurisdiction, Ivan Yegorovich stood his ground, while Pyotr Ivanovich, without first entering into a dispute, did not take part in it and looked through the Vedomosti that had just been submitted.","DURING A BREAK IN THE HEARING OF THE MELVINSKY case, the members of the court and the prosecutor met in Ivan Yegorovich Shebek’s room in the big law courts building and began talking about the famous Krasovsky case. Fyodor Vasilyevich became heated, contending that it didn’t come under their jurisdiction; Ivan Yegorovich held his ground; while Pyotr Ivanovich, not having joined in the argument at the beginning, took no part in it and was looking through the Gazette, which had just been delivered.","In the large law court building, during an adjournment of the Melvinsky trial, the members of the Bench and the public prosecutor had come together in the office of Ivan Yegorovich Shebek, and the conversation touched on the celebrated Krasovsky case. Fyodor Vasilyevich argued vehemently that it was beyond their jurisdiction, Ivan Yegorovich had his own view and was sticking to it, while Pyotr Ivanovich, who had kept out of the discussion at the outset and was still not contributing, was perusing a copy of the Gazette which had just been delivered.","During an interval in the Melvinski trial in the large building of the Law Courts the members and public prosecutor met in Ivan Egorovich Shebek’s private room, where the conversation turned on the celebrated Krasovski case. Fedor Vasilievich warmly maintained that it was not subject to their jurisdiction, Ivan Egorovich maintained the contrary, while Peter Ivanovich, not having entered into the discussion at the start, took no part in it but looked through the Gazette which had just been handed in."
— А я так и не был у него с самых праздников. Все собирался.,“But I haven’t been to see him since the holidays.” Everything was going.,“And I didn’t go and see him after the holidays. I kept meaning to.”,‘And I haven’t been to see him since Christmas. I kept meaning to go.’,“And I haven’t been to see him since the holidays. I always meant to go.”
IV,IV,IV,4,4
"Вошел в толстых сапогах, распространяя вокруг себя приятный запах дегтя от сапог и свежести зимнего воздуха, легкой сильной поступью Герасим, в посконном чистом фартуке и чистой ситцевой рубахе, с засученными на голых, сильных, молодых руках рукавами, и, не глядя на Ивана Ильича, — очевидно, сдерживая, чтобы не оскорбить больного, радость жизни, сияющую на его лице, — подошел к судну.","Gerasim entered in thick boots, spreading around him a pleasant smell of tar from boots and the freshness of winter air, Gerasim with a light, strong step, in a clean apron and a clean cotton shirt, with sleeves rolled up on his bare, strong, young hands, and, not looking at Ivan Ilyich , - obviously, restraining, so as not to offend the patient, the joy of life shining on his face, - went up to the ship.","Gerasim came in with firm, light steps in his heavy boots, giving off a pleasant smell of tar from the boots and of fresh winter air; he had on a clean hessian apron and a clean cotton shirt , the sleeves rolled up over his strong, young, bare arms; without looking at Ivan Ilyich, he went to the vessel, obviously masking the joy in living shining out from his face so as not to hurt the sick man.","Who should come in but Gerasim, wearing his thick boots and exuding both their nice tarry smell and that of the fresh winter air, Gerasim with his light but firm tread, sporting a clean hessian apron and a clean cotton shirt, with his sleeves rolled up his bare strong young arms, and without a glance at Ivan Ilyich - to spare the sick man’s feelings he was clearly suppressing the joyful vitality that shone from his face - he walked over to the pot.","Gerasim with a firm light tread, his heavy boots emitting a pleasant smell of tar and fresh winter air, came in wearing a clean Hessian apron, the sleeves of his print shirt tucked up over his strong bare young arms; and refraining from looking at his sick master out of consideration for his feelings, and restraining the joy of life that beamed from his face, he went up to the commode."
"Она рассказала, как он заставляет Герасима держать себе ноги.",She told how he makes Gerasim hold his legs.,She described how he makes Gerasim hold his legs.,She described how he got Gerasim to hold his legs up for him.,She described how he made Gerasim hold his legs up.
"Она хотела уходить, но в это время вошла дочь и подошла поздороваться. Он так же посмотрел на дочь, как и на жену и на ее вопросы о здоровье сухо сказал ей, что он скоро освободит их всех от себя. Обе замолчали, посидели и вышли.","She wanted to leave, but at that time her daughter came in and came up to say hello. He looked at his daughter as much as he looked at his wife, and to her questions about her health, he dryly told her that he would soon free them all from himself. Both fell silent, sat down and left.","She was about to go, but at that moment his daughter came in and went up to say good morning. He looked at his daughter as he had at his wife and to her questions about his health he drily said to her that he would soon liberate them all from himself. They both said nothing, sat briefly, and went out.","She made as if to leave the room, but at that moment in walked their daughter, who came over to say good morning. He gave her the same look he had directed at his wife, and in response to her enquiries about his health he said drily that soon he would no longer be a burden to them. Both of them sat on for a while, saying nothing, and then they left.","She would have gone away, but just then their daughter came in and went up to say good morning. He looked at her as he had done at his wife, and in reply to her inquiry about his health said dryly that he would soon free them all of himself. They were both silent and after sitting with him for a while went away."
"— Мне лучше, когда ноги у меня выше, — сказал Иван Ильич. — Подложи мне вон ту подушку.","“I feel better when my legs are higher,” said Ivan Ilyich. “Give me that pillow over there.”","“I feel better when my legs are higher,” Ivan Ilyich said. “Put that cushion under me.”","‘I feel better when my legs are up,’ said Ivan Ilyich. ‘Would you put that cushion under me?’","“It’s better when my legs are higher,” he said. “Place that cushion under them.”"
"— Да, и Федор Петрович (жених) хотел войти. Можно? И Лиза.","- Yes, and Fyodor Petrovich (the groom) wanted to enter. Can? And Lisa.","“Yes, and Fyodor Petrovich23—the fiancé—wanted to come in. Can he? Liza, too.”","‘Oh yes, and Fyodor [the fiancé] would like to come in. Do you mind? And Liza.’","“Oh, and Fedor Petrovich” (the fiance) “would like to come in. May he? And Lisa?”"
"Петр Иванович вздохнул еще глубже и печальнее, и Прасковья Федоровна благодарно пожала ему руку. Войдя в ее обитую розовым кретоном гостиную с пасмурной лампой, они сели у стола: она на диван, а Петр Иванович на расстроившийся пружинами и неправильно подававшийся под его сиденьем низенький пуф. Прасковья Федоровна хотела предупредить его, чтобы он сел на другой стул, но нашла это предупреждение не соответствующим своему положению и раздумала. Садясь на этот пуф, Петр Иванович вспомнил, как Иван Ильич устраивал эту гостиную и советовался с ним об этом самом розовом с зелеными листьями кретоне. Садясь на диван и проходя мимо стола (вообще вся гостиная была полна вещиц и мебели), вдова зацепилась черным кружевом черной мантилий за резьбу стола. Петр Иванович приподнялся, чтобы отцепить, и освобожденный под ним пуф стал волноваться и подталкивать его. Вдова сама стала отцеплять свое кружево, и Петр Иванович опять сел, придавив бунтовавшийся под ним пуф. Но вдова не все отцепила, и Петр Иванович опять поднялся, и опять пуф забунтовал и даже щелкнул. Когда все это кончилось, она вынула чистый батистовый платок и стала плакать. Петра же Ивановича охладил эпизод с кружевом и борьба с пуфом, и он сидел насупившись. Неловкое это положение перервал Соколов, буфетчик Ивана Ильича, с докладом о том, что место на кладбище то, которое назначила Прасковья Федоровна, будет стоить двести рублей. Она перестала плакать и, с видом жертвы взглянув на Петра Ивановича, сказала по-французски, что ей очень тяжело. Петр Иванович сделал молчаливый знак, выражавший несомненную уверенность в том, что это не может быть иначе.","Pyotr Ivanovich sighed even more deeply and sadder, and Praskovya Fyodorovna shook hands with him gratefully. Entering her living room, upholstered in pink cretonne with a cloudy lamp, they sat down at the table: she on the sofa, and Pyotr Ivanovich on the low pouffe, which was upset by the springs and which was incorrectly fed under his seat. Praskovya Fyodorovna wanted to warn him to sit in another chair, but found this warning inappropriate for her position and changed her mind. Sitting down on this pouffe, Pyotr Ivanovich remembered how Ivan Ilyich arranged this drawing room and consulted with him about this very pink cretonne with green leaves. Sitting down on the sofa and passing by the table (in general, the whole living room was full of gizmos and furniture), the widow caught the black lace of her black mantle on the carving of the table. Pyotr Ivanovich got up to unhook it, and the pouffe freed under him began to stir and push it. The widow herself began to unhook her lace, and Pyotr Ivanovich sat down again, pressing down on the pouffe that rebelled under it. But the widow did not unhook everything, and Pyotr Ivanovich got up again, and again the pouffe rebelled and even clicked. When it was all over, she took out a clean cambric handkerchief and began to cry. But Pyotr Ivanovich was cooled by the episode with the lace and the struggle with the pouffe, and he sat frowning. This awkward situation was interrupted by Sokolov, Ivan Ilyich's barman, with a report that the place in the cemetery that Praskovya Fyodorovna had appointed would cost two hundred rubles. She stopped crying and, looking at Pyotr Ivanovich with the air of a victim, said in French that it was very hard for her. Pyotr Ivanovich made a silent sign expressing the undoubted conviction that it could not be otherwise.","Pyotr Ivanovich sighed even more deeply and sadly, and Praskovya Fyodorovna gratefully pressed his hand. They went into her dimly lit drawing room hung with pink cretonne and sat down by a table, she on a sofa and Pyotr Ivanovich on a low pouf built on springs that awkwardly gave way as he sat down. (Praskovya Fyodorovna was going to warn him to sit on another chair but found such a warning inappropriate for the situation and changed her mind.) As he sat down on the pouf, Pyotr Ivanovich remembered how Ivan Ilyich had arranged this drawing room and consulted him about this very pink cretonne with green leaves. On her way to sit down on the sofa, as she passed the table (the whole drawing room was full of furniture and knickknacks), the widow caught the lace of her black mantilla on the carving of the table. Pyotr Ivanovich got up to unhook her, and the sprung pouf now released below began to sway and push at him. The widow started to unhook the lace herself and Pyotr Ivanovich sat down again, quelling the rebellious pouf underneath him. But the widow hadn’t unhooked it all, and Pyotr Ivanovich again got up and the pouf again rebelled and even made a noise. When all this was over she took out a clean cambric handkerchief and began to cry. Pyotr Ivanovich felt chilled by the episode of the lace and the battle with the pouf and sat frowning. This awkward situation was interrupted by Sokolov, Ivan Ilyich’s butler, reporting that the place in the cemetery Praskovya Fyodorovna had selected would cost two hundred rubles. She stopped crying and, looking at Pyotr Ivanovich with the air of a victim, said in French that she was suffering greatly. Pyotr Ivanovich made a silent sign expressing a firm conviction that it couldn’t be otherwise.","Pyotr Ivanovich sighed even more deeply and plaintively, and Praskovya showed her gratitude by squeezing his hand. Proceeding into her drawing-room, which was done out in pink cretonne and lit by one dismal lamp, they sat down near to a table, she on a sofa, he on a low pouffe with broken springs that wobbled unevenly as he sat on it. Praskovya had wanted to warn him off into another chair, but a warning like that did not seem appropriate in the circumstances, so she thought better of it. As he sat down on his pouffe, Pyotr Ivanovich remembered the time when Ivan Ilyich had been decorating this room and had asked his advice about this pink cretonne with the green leaves. On her way past the table to sit down on the sofa — the room was crammed with furniture and knick-knacks - Praskovya snagged the black lace of her black shawl on the carved edge of the table. Pyotr Ivanovich rose slightly to disentangle it, thus releasing the pouffe, which quivered and pushed up at him. The widow began disentangling the lace herself, so Pyotr Ivanovich sat down again, crushing the rebellious pouffe back into submission. But the widow had not finished disentangling herself, so Pyotr Ivanovich rose again, and so did the pouffe, rebellious and even creaking. When this was all over, she took out a clean cambric handkerchief and burst into tears. But Pyotr Ivanovich had cooled somewhat after the episode with the lace and the battle with the pouffe, and he sat there with a scowl on his face. The embarrassment was broken when Sokolov, Ivan Ilyich’s footman, came in to report that the plot which Praskovya had chosen in the cemetery was going to cost two hundred roubles. She had stopped weeping, and she looked at Pyotr Ivanovich with a victimized air as she told him in French how hard things were for her. Pyotr Ivanovich made a silent gesture to acknowledge his absolute conviction that it could not be otherwise.","Peter Ivanovich sighed still more deeply and despondently, and Praskovya Fedorovna pressed his arm gratefully. When they reached the drawing-room, upholstered in pink cretonne and lighted by a dim lamp, they sat down at the table — she on a sofa and Peter Ivanovich on a low pouffe, the springs of which yielded spasmodically under his weight. Praskovya Fedorovna had been on the point of warning him to take another seat, but felt that such a warning was out of keeping with her present condition and so changed her mind. As he sat down on the pouffe Peter Ivanovich recalled how Ivan Ilych had arranged this room and had consulted him regarding this pink cretonne with green leaves. The whole room was full of furniture and knick-knacks, and on her way to the sofa the lace of the widow’s black shawl caught on the edge of the table. Peter Ivanovich rose to detach it, and the springs of the pouffe, relieved of his weight, rose also and gave him a push. The widow began detaching her shawl herself, and Peter Ivanovich again sat down, suppressing the rebellious springs of the pouffe under him. But the widow had not quite freed herself and Peter Ivanovich got up again, and again the pouffe rebelled and even creaked. When this was all over she took out a clean cambric handkerchief and began to weep. The episode with the shawl and the struggle with the pouffe had cooled Peter Ivanovich’s emotions and he sat there with a sullen look on his face. This awkward situation was interrupted by Sokolov, Ivan Ilych’s butler, who came to report that the plot in the cemetery that Praskovya Fedorovna had chosen would cost two hundred rubles. She stopped weeping and, looking at Peter Ivanovich with the air of a victim, remarked in French that it was very hard for her. Peter Ivanovich made a silent gesture signifying his full conviction that it must indeed be so."
"— Да, — прошептала она, — до последней минуты. Он простился с нами за четверть часа до смерти и еще просил увести Володю.","“Yes,” she whispered, “until the last minute. He said goodbye to us a quarter of an hour before his death and also asked to take Volodya away.","“Yes,” she whispered, “till the final moment. He said goodbye to us a quarter of an hour before he died and asked as well for Volodya to be taken out.”","‘Yes,’ she whispered. ‘To the very end. He said goodbye a quarter of an hour before he died, and he was still asking us to take Volodya away.’","“Yes,” she whispered. “To the last moment. He took leave of us a quarter of an hour before he died, and asked us to take Volodya away.”"
"— Уведи… жалко… и тебя… — Он хотел сказать еще «прости», но сказал «пропусти», и, не в силах уже будучи поправиться, махнул рукою, зная, что поймет тот, кому надо.","“Take away… it’s a pity… and you…” He wanted to say “I’m sorry” again, but he said “Skip it”, and, unable to recover, he waved his hand, knowing that the one who needed it would understand.","He wanted to add “forgive” but said “give,” and not having the strength to correct himself, waved his hand, knowing that He who needed to understand would understand.","He tried to say, ‘Forgive me,’ but it came out as, ‘For goodness ...’ Too weak to correct himself, he waved his hand knowing that he who needed to would understand.","He tried to add, “Forgive me,” but said “Forego” and waved his hand, knowing that He whose understanding mattered would understand."
