Source,GoogleTranslate,human1,human2,human3
— Да… я завтра…,- Yes ... I will tomorrow ...,“Yes . . . tomorrow I—”,‘Yes – to-morrow – –’,
— Водки не угодно ли? — спросил голос.,“Wouldn’t you like some vodka?” the voice asked.,“Wouldn’t you like some vodka?” asked the voice.,‘Wouldn’t you like some vodka?’ the voice asked.,
"На креслах в гостиной, в разных положениях, сидят и сопят обитатели или обычные посетители дома.","On the chairs in the living room, in different positions, the inhabitants or ordinary visitors of the house sit and sniff.","In the chairs in the sitting room, in various positions, sat and wheezed the house’s inhabitants or regular visitors.","The other inhabitants of the house and the usual visitors sat in the arm-chairs in the drawing-room in different positions, breathing hard.",
"— Что ж ты не отвечала на письмо своей приятельницы, Сонечки? — спросил он. — А я все ждал, чуть не опоздал на почту. Это уже третье письмо ее без ответа.","Why didn't you answer your friend's letter, Sonechka? - he asked. — And I kept waiting, I almost missed the post office. This is the third letter from her without a reply.",“Why didn’t you answer your friend Sonechka’s letter?” he asked. “I kept waiting and nearly missed the post. This is her third letter now without an answer.”,‘Why haven’t you answered your friend Sonia’s letter?’ he asked. ‘I kept waiting and nearly missed the post. It’s her third letter you’ve left unanswered.’,"""Why have you sent no reply to that letter from your friend Sonichka?"" he inquired. ""This is the third letter that you have left unanswered."""
"— Ой, ли? Выпьем, кум, — сказал Иван Матвеевич, наливая в рюмку, — жалко разбавлять чаем добро. Ты понюхай: три целковых. Не заказать ли селянку?","— Oh, is it? Let's drink, godfather, - said Ivan Matveyevich, pouring it into a glass, - it's a pity to dilute the good with tea. You smell: three rubles. Should I order a peasant woman?","“You think? Let’s drink, old chum,” said Ivan Matveyevich, pouring a glass. “It’s a shame to water down good stuff with tea. Take a sniff: three rubles. How about ordering some solyanka?”","‘Do you think so? Let’s have a drink, old man,’ said Ivan Matveyevich, pouring out a glass. ‘It’s a pity to dilute such fine stuff with tea. Have a sniff: three roubles. What do you say to a fine dish of salted cabbage soup and fish?’","Can we, in that youthful consciousness, follow the growth of first impressions and ideas? Possibly, even before a child has learnt to speak, or even to walk, or even to do more than to look at things with the dumb, fixed gaze which his elders call ""dull,"" it has already discerned and envisaged the meaning, the inter-connection, of such phenomena as encompass its sphere--and that though the child is still powerless to communicate the fact, whether to itself or to others. Thus for a long time past young Oblomov may have remarked and understood what was being said and done in his presence; for a long time past he may have understood why his father, in plush breeches and a wadded, cinnamon-coloured coat, walked to and fro with his hands behind his back, and took snuff, and sneezed, while his mother passed from coffee to tea, and from tea to dinner, in the daily round, and his father always refused to believe how many sheaves had been cut and reaped, but was for ever looking out for derelictions of duty, and, a handkerchief in his hand, holding forth on the subject of irregularities, and turning the whole place upside down. Briefly, for a long time past the boy may have decided in his mind that that, and no other, order of life was the right one."
"Все вопросы, сомнения, вся лихорадка жизни уходила бы на заботы по хозяйству, на ожидания праздников, гостей, семейных съездов, на родины, крестины, в апатию и сон мужа!","All questions, doubts, all the fever of life would be spent on household chores, on expectations of holidays, guests, family congresses, on homelands, christenings, in apathy and sleep of a husband!","All the questions and doubts, all of life’s fervor would have receded into caring for the house, anticipation of holidays, guests, family gatherings, births, and christenings, and her husband’s apathy and torpor!","All her questionings, doubts, the whole excitement of her life, would have been frittered away in household cares, preparations for feast-days, visitors, family reunions, birthdays, christenings, and her husband’s indolence and apathy!","Her husband's calm, assured reasoning, added to her own implicit confidence in him, helped Olga to succeed in shaking off both her enigmatical, singular misgivings and her visionary, menacing dreams concerning the future."
"В закладе жемчуга, серебра он вполовину, смутно прочел тайну жертв и только не мог решить, приносились ли они чистою преданностью или в надежде каких-нибудь будущих благ.","In the pawn of pearls, half silver, he vaguely read the mystery of the sacrifices and just could not decide whether they were brought by pure devotion or in the hope of some future blessings.","In the pawning of the pearl and silver he vaguely read half the secret of her sacrifices, but he couldn’t decide whether they had been made out of pure loyalty or in the hope of some future boon.","In the pawning of the pearls and silver he vaguely read the secret of her sacrifices, but he could not make up his mind whether they were made as a result of pure devotion or in expectation of blessings to come.","With that he told her what Zakhar had said to him, and ended with a statement that, like herself, he could not sleep, and that in every glance he saw a question, or a sneer, or a veiled hint at the relations which might be existing between her and himself."
"Захар воротился и, косясь на Тарантьева, проворно шмыгнул мимо его.","Zakhar turned back and, looking askance at Tarantiev, nimbly darted past him.","Zakhar turned around, cast a sidelong look at Tarantiev, and darted past.","Zakhar came back and, looking askance at Tarantyev, darted past him.",
— Пойдем ли мы гулять?,- Shall we go for a walk?,Without answering him she addressed her question to her aunt: “Shall we go for a walk?”,‘Shall we all go for a walk?’,
— Я не люблю учиться по-французски.,— I don't like learning French.,"If Ilya Ilich ever says you’re studying your French badly again, I’ll take away your boots and you’ll have to sit over your book!”",‘I don’t like French.’,Part 3
— Боже мой! До чего дошло: ты краснеешь! — с ужасом сказал он. — Как мы неосторожны! Что выйдет из этого?,- My God! What happened: you blush! he said with horror. How careless we are! What will come of it?,"“My God! So it’s come to this! You blushing!” he said, aghast. “How imprudent we have been! What will come of this?”","‘Good Lord, so it has gone as far as that: you blush!’ he cried in horror. ‘How careless we are! What will come of it?’",
"— Ну, я перво-наперво притаился: солдат и ушел с письмом-то. Да верхлёвский дьячок видал меня, он и сказал. Пришел вдругорядь. Как пришли вдругорядь-то, ругаться стали и отдали письмо, еще пятак взяли. Я спросил, что, мол, делать мне с ним, куда его деть? Так вот велели вашей милости отдать.","- Well, first of all, I hid: the soldier left with a letter. Yes, the deacon from Verkhlyov saw me, and he said. Came suddenly. As they suddenly came in a row, they began to swear and handed over the letter, taking another nickel. I asked what, they say, should I do with him, where should I put him? So they ordered to give your mercy.","“Well, first off I hid so the soldier took the letter away. Then the Verkhlyovo sexton saw me and he told. Came back. Came back and started yelling at me and gave me the letter and even took five kopeks. What do I with it, I asked him, where do I put it? That’s when they told me to give it to your honor.”","‘Well, sir, at first I hid myself, so the soldier, sir, he went away with this here letter. But the sexton from Verkhlyovo had seen me and he told them. So he comes a second time, the soldier, sir. And as he comes the second time, he starts swearing at me and gives me the letter. Charged me five copecks for it, he did. I asks him what I was to do with the letter, and he told me to give it to you, sir.’",
"— Не знаю, — сказала она, — я не испытала и не понимаю, что это такое.","“I don’t know,” she said, “I haven’t experienced and don’t understand what it is.","“I don’t know,” she said. “I haven’t experienced them and I don’t understand what that means.”","‘I don’t know,’ she said. ‘I have not experienced them and I don’t understand them.’",
