id,source,translation
1,"The mother was speaking from the breakfast room, out of my field of view.","Matka mówiła z jadalni, poza moim polem widzenia."
2,"I liked that room a lot, with its long, oaken table and glass walls on three sides.","Bardzo podobało mi się to pomieszczenie, z długim, dębowym stołem i szklanymi ścianami z trzech stron."
3,"You could see the bright sparkle of the lake through the glass walls, and sunlight shifted through the moving branches of an ancient willow that shaded the house.","Przez szklane ściany można było dojrzeć błyskający blask jeziora, a słoneczne promienie prześlizgiwały się przez poruszające się gałęzie starodawnego wierzby, która zacieniała dom."
4,"We had a system of accounting, a chart on a wall.","Mieliśmy system rachunkowości, wykres na ścianie."
5,There were merits and demerits.,Były zalety i wady.
6,"A merit was for an outrage success­fully committed, a demerit for an act that should bring on humiliation.","Za zasługę uważano skutecznie popełnione wykroczenie, za demerit - czyn powodujący poniżenie."
7,"Juicy got merits for drooling into cocktails undetected, while Low got demerits for kissing up to a father.","Juicy dostał nagrody za ślinienie się do drinków niezauważenie, podczas gdy Low dostał kary za podlizywanie się ojcu."
8,Probably not his own—Low's parentage was a well-kept secret.,Prawdopodobnie nie jego własne — pochodzenie Lowa było dobrze strzeżoną tajemnicą.
9,But he'd been spotted asking a guy with male-pattern baldness for wardrobe advice.,"Ale został zauważony, pytający faceta o łysinie na wzór męski o poradę dotyczącą garderoby."
10,"We had to hide the running, though, in case our haste betrayed us, so truer to say we slipped out quietly.","Musiałem się jednak dobrze zakamuflować, żeby nasza pośpiech nas nie zdradził, więc bardziej prawdziwe jest powiedzieć, że cicho wysunęliśmy się na zewnątrz."
11,"When one of my parents appeared, my technique was: pretend to catch sight of someone in the next room.","Kiedy pojawiał się jeden z moich rodziców, moja technika polegała na udawaniu, że dostrzegam kogoś w sąsiednim pokoju."
12,"Move in a natural manner toward this figment of my imagination, making a purposeful face.","Poruszaj się naturalnie w kierunku tej iluzji mojej wyobraźni, kreśląc zdeterminowaną minę."
13,Go through the door.,Przejdź przez drzwi.
14,And fade away.,I zniknąć.
15,"As the evenings wore on, some parents got it into their heads to dance.","W miarę jak wieczory się przedłużały, niektórzy rodzice wpadli na pomysł tańczenia."
16,A flash of life would move their lumpen bodies.,Przebłysk życia poruszyłby ich ociężałe ciała.
17,Sad spectacle.,Smutny widok.
18,"They flopped, blasting their old-time music.","Opuścili się, odtwarzając swoją starą muzykę."
19,"""Beat on the brat, beat on the brat, beat on the brat with a baseball bat, oh yeah.""","""Bij brzdę, bij brzdę, bij ją bejsbolowym kijem, o tak."""
20,Later the talk grew louder.,Później rozmowa stała się głośniejsza.
21,"Freed of our influence, some of them emitted sudden, harsh barks.","Wyzwoleni od naszego wpływu, niektóre z nich wydawały gwałtowne, ostre szczeknięcia."
22,"Apparently, laughing.",Widocznie śmiejąc się.
23,"From the wrap­around porch, with its bamboo torches and hanging ferns and porch swings, moth-eaten armchairs and blue-light bug zappers, the barks of laughter carried.","Ze zadaszonego ganeku, z jego bambusowymi pochodniami, zwisającymi paprociami i huśtawkami na werandzie, poprzez przepocone fotele i lampki żerujące na owady o niebieskim świetle, niesiały się spaćkane rechoty."
24,"We heard them from the treehouses and tennis courts and from the field of beehives a slow neighbor woman tended in the daytime, muttering under the veil of her beekeeping hat.","Słyszeliśmy ich ze stróżówek na drzewach, kortów tenisowych i z pola z ulami pszczelimi, którymi w dzień zajmowała się powolna sąsiadka, mrucząc pod welonem swojego kapelusza pszczelarskiego."
25,"We heard them from behind the cracked panes of the dilapidated greenhouse or on the cool black water of the lake, where we floated in our underwear at midnight.","Słyszeliśmy je zza pękniętych szyb zrujnowanej szklarni lub na chłodnej czarnej wodzie jeziora, gdzie unosiliśmy się w naszych bieliznach o północy."
26,"THE GREAT HOUSE had been built by robber barons in the nineteenth century, a palatial retreat for the green months.","WIELKI DOM został zbudowany przez rozbójników w XIX wieku, będący pałacowym odosobnieniem na czas letnich miesięcy."
27,"Our parents, those so-called figures of authority, roamed its rooms in vague circuits beneath the broad beams, their objectives murky.","Nasi rodzice, te tak zwane autorytety, krążyli po jego pokojach w zaplątanych kółkach pod szerokimi belkami, ich cele były niejasne."
28,And of no general interest.,I nie ma żadnego ogólnego zainteresowania.
29,The lady urinated.,Dama oddała mocz.
30,"""Oh, poor old thing, she has a nervous bladder!"" exclaimed someone's chubby mother.","— O, biedactwo, ma nerwowy pęcherz! — wykrzyknęła pulchna matka kogoś."
31,"""Is that a Persian rug?""",— Czy to dywan perski?
32,Whose mother was it? Unclear.,Czyją to była matką? Niejasne.
33,"No one would cop to it, of course.",Oczywiście nikt by się do tego nie przyznał.
34,We canceled the performance.,Anulowaliśmy przedstawienie.
35,"""Admit it, that was your mother,"" said a kid named Rafe to a kid named Sukey, when the parents had filed out.","— Przyznaj się, to była twoja matka — powiedział chłopak o imieniu Rafe do dziewczynki o imieniu Sukey, gdy rodzice wyszli."
