id,source,translation
1,ミホは、今では結婚して地元に中古の一戸建てを買っていて、そこに友達がよく集まっている。,"Miko jest teraz zamężna, kupiła używany dom w swoim rodzinnym mieście i tam często spotyka się ze znajomymi."
2,明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の「普通の三十代女性」と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。,"Jestem zazwyczaj zniechęcony, ponieważ jutro znów czeka mnie praca w niepełnym wymiarze godzin. Jednak jest to jedyna okazja do nawiązania kontaktu z ""normalną trzydziestoparolatką"" i wartościową okazją do interakcji, która wykracza poza świat sklepów convenince, dlatego staram się jak najczęściej przyjmować zaproszenia od Miho."
3,今日も、ミホと、まだ小さい子供を連れたユカリ、結婚しているが子供はまだのサツキと私、というメンバーで、ミホの家にケーキを持ち寄ってお茶をしていた。,"Dzisiaj również spotkaliśmy się u Miho - ja razem z Yukari, która przywiozła swoje małe dziecko, oraz Satsukiem, który mimo że jest już po ślubie, nie ma jeszcze dzieci. Przynieśliśmy tort i spędziliśmy czas na herbatce."
4,そのとき、私は、初めて、世界の部品になることができたのだった。,Wtedy po raz pierwszy stałem się częścią składnika świata.
5,私は、今、自分が生まれたと思った。,"Teraz myślę, że się właśnie narodziłem."
6,世界の正常な部品としての私が、この日、確かに誕生したのだった。,Tego dnia faktycznie narodziłem się jako normalna część świata.
7,オープンまでの二週間、二人組になったり、社員を相手にしながら、架空の客に向かって、ひたすら練習が続いた。,"Przez dwa tygodnie przed otwarciem, ciągłe treningi trwały przez cały czas, zespoły dwuosobowe ćwiczyły i wchodziły w interakcje z pracownikami udającymi fikcyjnych klientów."
8,「お客様」の目を見て微笑んで一礼すること、生理用品は紙袋に入れること、温かい物は冷たい物と分けて入れること、ファーストフードを頼まれたら手をアルコールで消毒すること。,"Spójrz w oczy ""klienta"", uśmiechnij się i ukłon, artykuły higieniczne umieść w papierowej torbie, rozdziel ciepłe od zimnych przedmiotów, dezynfekuj ręce alkoholem, jeśli dostaniesz zamówienie na fast food."
9,お金に慣れるためにとレジの中には本物のお金が入っていたが、レシートには「トレーニング」と大きく印字されていたし、相手は同じ制服を着たアルバイト仲間だし、なんとなくお買いものごっこをしているようだった。,"W kasie znajdowały się prawdziwe pieniądze, aby się przyzwyczaić do obsługi gotówki, ale na paragonach poważnym drukiem było wydrukowane ""trening"", a osoba po drugiej stronie była kolegą z pracy w tej samej uniformie, więc jakbyś grał w prowadzenie sklepiku."
10,二つ年下の妹は、私と違って、「普通」の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。,"Moja dwa lata młodsza siostra była ""normalnym"" dzieckiem, ale nie unikała mnie, co więcej szanowała mnie."
11,妹が私と異なり普通のことで母に叱られているとき、母に私は近づいて「どうして怒っているの？」と理由を尋ねた。,"Kiedy moja siostra była karczowana przez matkę za coś, co było dla mnie normalne, podszedłem do matki i zapytałem: ""Dlaczego jesteś zła?"""
12,私が母に質問したせいでお説教が終わると、庇かばわれたと思うのか、妹はいつも私に「ありがとう」と言った。,"Po zakończeniu kazań, które wydawały się być w moim obronie po moim pytaniu matce, moja siostra zawsze mówiła mi ""dziękuję""."
13,お菓子や玩具にあまり興味がなかった私は、それらを妹にあげることも多かった。,"Nie miałam zbytnio zainteresowania słodyczami ani zabawkami, więc często dawałam je siostrze."
14,そのため、妹はいつも私についてまわっていた。,Dlatego moja siostra zawsze mnie śledziła.
15,「お父さん、焼き鳥好きだから、今日、これを焼いて食べよう」 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"„Tato, lubisz pieczone kawałki kurczaka, więc dzisiaj niech to samo zrobimy”. Matka najwyraźniej nie dosłyszała i zdeklamowałam jeszcze raz w wyraźnej polszczyźnie. Mama spojrzała na mnie przerażona, a obok stała inna mama ze swoim dzieckiem, która albo była równie zdziwiona, albo po prostu otworzyły się jej szeroko oczy nos i usta."
