id,source,translation
1,"Все последующее было предсказуемо: возгласы и стоны, нервные шутки и похвалы мне, стоящему в белом у жаровни:","Wszystko co następne było przewidywalne: okrzyki i jęki, nerwowe żarty oraz pochwały skierowane do mnie, stojącego w bieli obok paleniska."
2,"Маэстро, вы превзошли себя!","Mistrzu, przewyższyłeś samego siebie!"
3,"Сюзанна, ты чувствуешь запах ста тысяч, брошенных Настасьей Филипповной в огонь?","Zuzanna, czy czujesz zapach stu tysięcy, rzuconych przez Nastasję Filippowną do ognia?"
4,"Милый, сколько же сегодня сжег ты для меня?","Kochanie, ile dzisiaj dla mnie spaliłeś?"
5,"Барбара, мы с тобой преступницы!","Barbara, jesteśmy z tobą przestępczyniami!"
6,"Ах, в этой рыбе привкус безумия!","Ach, w tej rybie jest posmak szaleństwa!"
7,"Томас, стыдно признаться, но я впервые ем и осетрину!","Tomaszu, wstyd się przyznać, ale po raz pierwszy jem jesiotra!"
8,"Попыхивая сигарой, достаю пачку красивых полупрозрачных английских банкнот с самодовольной физиономией короля, вынимаю одну, складываю из нее тельца.","Puffając cygarem, wyjmuję paczkę pięknych półprzezroczystych angielskich banknotów z samodowolną miną króla, wyjmuję jedno, składam z niego cielaka."
9,Кладу в пепельницу и поджигаю.,Wkładam do popielniczki i podpalam.
10,"Это жертва благодарения цифровому миру, обеспечившему нас работой.","To jest ofiara wdzięczności dla cyfrowego świata, który zapewnił nam pracę."
11,Я совершаю этот ритуал каждый раз после удачного вечера.,Wykonuję ten rytuał za każdym razem po udanym wieczorze.
12,"Современные купюры горят отвратительно, приходиться поджигать и поджигать.","Nowoczesne banknoty paskudnie się palą, trzeba je podpalać i podpalać."
13,"Мда, англичане в ту пору оказались ""впереди планеты всей"".","Tak, w tym czasie Anglicy okazali się ""na czele całej planety""."
14,"Четверку джентльменов, подаривших миру новую моду, тогда окрестили ""новыми битлами"": трое из них совпадали именами с ливерпульской четверкой: Джон, Джордж и Пол.","Czwórkę dżentelmenów, którzy podarowali światu nową modę, okrzyknięto wtedy ""nowymi Beatlesami"": trzech z nich miało te same imiona co grupa z Liverpoolu: John, George i Paul."
15,Контрфаготиста звали Грегор.,Kontrafagocistę nazywano Grzegorzem.
16,"И те, и нынешние стремительно ворвались в послевоенный европейский мир.","I zarówno ci z przeszłości, jak i obecni, gwałtownie wtargnęli do powojennego świata europejskiego."
17,"Да, после войны всем, всем вдруг отчаянно захотелось почитать.","Tak, po wojnie wszyscy, wszyscy nagle zdesperowanie zaczęli chcieć czytać."
18,"Руки взломщиков потянулись к книгохранилищам, а гурманы и золотая молодежь в первые подпольные читальни.","Ręce włamywaczy sięgnęły po biblioteki, a smakosze i złota młodzież do pierwszych podziemnych czytelni."
19,Потом туда хлынули и обыватели.,Potem zalegli tam również zwykli ludzie.
20,Это были золотые времена.,To były złote czasy.
