id,source,translation
1,Беспредельный морской шум не прекращался ни на минуту.,The boundless sound of the sea did not cease for a minute.
2,"Он набегал длинными волнами, то усиливаясь, то затихая.","It surged in long waves, sometimes gaining strength, sometimes subsiding."
3,"И ветер то начинал шуметь в голых деревьях, то замолкал, так же как и я прислушиваясь к течению ночи.","And the wind would start rustling in the bare trees, and then it would fall silent, just as I was listening to the flow of the night."
4,"Но он не уходил, он был здесь.","But he didn't leave, he was here."
5,Я это знал по запаху мокрой гальки и по едва внятному трепету одинокого платанового листа.,I knew it by the smell of wet pebbles and the barely audible trembling of a lone plane tree leaf.
6,"Я заметил еще днем этот упрямый сизый лист, но сейчас, ночью, он казался мне маленьким живым существом, моим единственным бодрствующим другом.","I noticed this stubborn gray leaf during the day, but now, at night, it seemed to me like a small living creature, my only vigilant friend."
7,"Изредка из тьмы, из города, доносились ружейные выстрелы.","Occasionally, gunshots could be heard from the darkness, from the city."
8,После каждого выстрела долго лаяли собаки.,"After every shot, the dogs barked for a long time."
9,Потом далеко в море мелькнул тусклый огонь и погас.,Then a dim light flickered far out to sea and went out.
10,"Он заставлял смотреть на эти вещи пристальнее и дольше, чем мы это делаем обычно, и открывать в них много не замеченных ранее качеств.","He made us look at these things more closely and for longer than we usually do, and to discover in them many qualities that we had not noticed before."
11,"Так, в ноздреватом желтом камне было много накрепко впаянных в него маленьких морских ракушек, на кустах дрока оставалось еще несколько цветов, они сидели на прямых твердых стеблях, как промокшие и сморщенные золотые бабочки, и терпеливо дожидались солнца.","In the pitted yellow stone there were many tightly embedded small seashells, there were still several flowers on the broom bushes, they sat on straight solid stems like damp and wrinkled golden butterflies, patiently waiting for the sun."
12,"Но оно очень редко проступало в тумане размытым белым пятном и не давало ни теплоты, ни тени.",But it very rarely appeared in the fog as a blurred white spot and did not give any warmth or shade.
13,"Под единственным старым платаном с лимонными пятнами на стволе валялись листья, как бы вырезанные из тусклого зеленого бархата.","Under the only old plane tree with lemon spots on its trunk, leaves lay scattered as if cut out of dull green velvet."
14,"По чугунной калитке вереницей бежали муравьи, сносили в свои подземные житницы последние запасы на зиму, а под якорной цепью жила маленькая робкая жаба.","Ants ran in a line through the cast-iron gate, taking their last winter supplies to their underground homes, while a small timid frog lived under the anchor chain."
15,Ночью на другом берегу реки кто-то начал махать фонарем и протяжно кричать.,"At night, someone on the other side of the river began waving a lantern and shouting loudly."
16,Я вышел с дядей,I went out with my uncle.
17,Илько на берег.,Ilko is on the shore.
18,Река ревела.,The river roared.
19,Вода шла через греблю холодным водопадом.,The water flowed through the dam in a cold waterfall.
20,"Ночь стояла поздняя, глухая, ни единой звезды не было над головой.","The night was late, deafening, with not a single star above."
21,"В лицо дуло дикой свежестью разлива, оттаявшей земли.",The face was blowing with the wild freshness of thawing soil.
22,"И все время кто-то махал на том берегу фонарем и кричал, но слов за шумом реки нельзя было разобрать.","And all the while someone was waving a lantern on that shore and shouting, but the words couldn't be made out over the noise of the river."
23,"Когда гроб вынесли на крыльцо, я увидел на том берегу реки старую коляску, распряженных и привязанных к ней лошадей и маленькую женщину в черном маму.","When they carried the coffin out onto the porch, I saw an old carriage on the other side of the river, with unhitched and tied-up horses, and a little woman in mourning clothes."
24,Она стояла неподвижно на берегу.,She stood motionless on the shore.
25,"Она видела оттуда, как выносили отца.",She saw from there how they carried out father.
26,Потом она опустилась на колени и упала головой на песок.,Then she knelt down and buried her head in the sand.
27,"Нет, отвечал дед.","No, Grandpa replied."
28,"Это верно, не виделись.","It is true, we haven't seen each other."
29,Остап начал слепнуть.,Ostap began to go blind.
30,"Надумал он дойти тогда до Петербурга, чтобы увидеть ту женщину, пока он еще не совсем ослеп.",He decided then to go to Petersburg in order to see that woman before he went completely blind.
31,"Дошел он до царской столицы и узнал, что она умерла, мабудь, не выдержала разлуки.","He reached the imperial capital and learned that she had died, perhaps unable to bear their separation."
