id,source,translation
1,«Лжешь»! подумал я.,「嘘だ」と私は思った。
2,"Брелоки и перстень на мизинце плохо вязались с письмом ради куска хлеба, да и по лицу Камышева пробежала чуть заметная, уловимая опытным глазом тучка, которую можно видеть на лицах только редко лгущих людей.",指輪や小さな鎖が、パンのかけらのために手紙とうまく結びついていなかった。また、カーミショフの顔には、経験豊富な目でしか見ることができないにわかにわかる小さな雲が走った。これはまれにしか嘘をつく人々の顔で見ることができないものだった。
3,Какой сюжет вашей повести? спросил я.,私: 「あなたの小説のプロットは何ですか？」と尋ねた。
4,Сюжет.,プロット。
5,Как бы вам сказать?,言い方はどうしましょうか？
6,Сюжет не новый.,ストーリーは新しいものではありません。
7,"Любовь, убийство.",愛、殺人。
8,"Да вы прочтете, увидите.",読んでみてください、見てください。
9,«Из записок судебного следователя».,「裁判官のメモから」。
10,Камышев вскинул на меня своими добрыми глазами и тихо засмеялся.,カーミシェフは、自分の優しい目で私を見て、静かに笑った。
11,Надоедная служба.,うんざりする仕事だ。
12,"Служил-служил, махнул рукой и бросил.",働いた、働いた、手で一掃して放棄した。
13,"Занятий у меня теперь нет, есть почти нечего.",私には今は仕事がありません、ほとんど何もありません。
14,"И если вы, минуя достоинства, напечатаете мою повесть, то сделаете мне больше, чем одолжение.",「そして、あなたは、わたしの物語を賛美せずに、印刷してくれれば、それだけですでに私には大きなお礼を申し上げることになります。」
15,Вы поможете мне.,お手伝いしてください。
16,"Газета не богадельня, не странно-приимный дом.",新聞は寄付所でもなければ、おかしな歓迎の場でもない。
17,"Я это знаю, но.",私はそれを知っているが、
18,уж вы будьте так добры.,どうかお優しくお願いします。
19,Очень рад.,非常にうれしいです。
20,Чем могу быть полезен?,どのようにお役に立てることができますか？
21,"Желающий попасть в начинающие сел и продолжал, глядя на пол своими умоляющими глазами:",始まったいる人の中に入りたいと思う者が座って、彼ら自身を見つめて懇願する目で言った：
22,"Я притащил к вам маленькую повесть, которую мне хотелось бы напечатать в вашей газете.",「私はあなたの新聞に掲載してもらいたいと思って、ここに小説を持ってきました。」
23,"Я вам откровенно скажу, г. редактор: написал я свою повесть не для авторской славы и не для звуков сладких.",正直に言いますが、編集者さん：私は自分の物語を著名さや甘い音を求めて書いたわけではありません。
24,Для этих хороших вещей я уже постарел.,これらの良いことのために、私はもう歳をとった。
25,Вступаю же на путь авторский просто из меркантильных побуждений.,「私は単に商業的な動機から自身の道に踏み出すことになりました。」
26,Заработать хочется.,稼ぎたいです。
27,Я теперь решительно никаких не имею занятий.,今ははっきりとした仕事が何もありません。
28,"Был, знаете ли, судебным следователем в С-м уезде, прослужил пять с лишком лет, но ни капитала не нажил, ни невинности не сохранил.",知ってのとおり、彼はС地区で刑事司法捜査官であり、5年以上勤務していたが、資本を作ることも無罪を保つこともなかった。
29,"«Как, однако, он много говорит!» подумал я, протягивая руку к перу и тем давая знать, что мне некогда.",「まあ、彼は話すのが多いもんだな！」と私は思った。その間に、私はペンに手を伸ばし、それで彼に知らせた。忙しいんでね。
30,(Уж больно надоели мне тогда посетители!),（その時の訪問者が本当にうんざりした！）
31,Я отниму у вас одну только минуту! продолжал мой герой извиняющимся голосом.,「たった一分だけお時間をいただきます！」と、ヒーローは謝るような声で言いました。
32,Но прежде всего позвольте представиться.,まず最初に、自己紹介をさせてください。
33,"Кандидат прав Иван Петрович Камышев, бывший судебный следователь.",元検事であるイヴァン・ペトローヴィッチ・カミショフ、正しい主張の候補者。
34,"К пишущим людям не имею чести принадлежать, но, тем не менее, явился к вам с чисто писательскими целями.",「執筆する人たちには誇りを持っていませんが、それでも純粋に作家的な目的であなたのもとにやってきました。」
35,"Перед вами стоит желающий попасть в начинающие, несмотря на свои под сорок.",あなたの前には、40歳未満でも初心者になりたいと思っている人が立っています。
36,"Но лучше поздно, чем никогда.",遅くてもいい。
37,"Войдя ко мне в кабинет, он сконфузился.",彼は私のオフィスに入って来て、戸惑っていました。
38,"Его нежную, чуткую натуру, вероятно, шокировал мой нахмуренный, недовольный вид.",彼の繊細で敏感な性格は、おそらく私のむっつりとした不満げな様子にショックを受けたのだろう。
39,"Извините, ради бога!",お許しください、お願いします！
40,"начал он мягким, сочным баритоном.",彼は柔らかく、潤んだバリトンで話し始めた。
41,Я врываюсь к вам не в урочное время и заставляю вас делать для меня исключение.,「いまその場になくてもおれはやって』、そうしてあなたにはめずらしいことをお願いしてしまうのだから。
42,Вы так заняты!,あなたはとても忙しい！
43,"Но видите ли, в чем дело, г. редактор: я завтра уезжаю в Одессу по одному очень важному делу.",えーと、編集長さん、そのことなんですけど、明日はとても大事な用件でオデッサに行かなければならないんです。
44,"Имей я возможность отложить эту поездку до субботы, то, верьте, я не просил бы вас делать для меня исключение.",もし私が土曜日までこの旅行を延期できるなら、私は信じてください、あなたに私のために例外を作ってもらうようお願いすることはありませんでした。
45,"Я преклоняюсь перед правилами, потому что люблю порядок.",私は秩序を愛しているので、規則に従います。
46,"Каштановые волосы и борода густы и мягки, как шёлк.",栗色の髪とひげは、シルクのように濃くて柔らかい。
47,"Говорят, что мягкие волосы служат признаком мягкой, нежной, «шёлковой» души.",柔らかい髪は、柔らかくて優しい、「絹のような」魂の兆候だと言われています。
48,"Преступники и злые, упрямые характеры имеют, в большинстве случаев, жесткие волосы.",犯罪者や悪意のある、頑固な性格の人々は、ほとんどの場合、硬い髪を持っている。
49,Правда это или нет читатель опять-таки увидит далее.,読者がこれが真実かどうかは、後でまた見ることになる。
50,"Ни выражение лица, ни борода ничто так не мягко и не нежно в господине с кокардой, как движения его большого, тяжелого тела.",顔の表情でも、髭でも、何もかもが大佐には、肩章つき軍人のような動きへそろって温和で優しい。
51,"В этих движениях сквозят воспитанность, легкость, грация и даже простите за выражение некоторая женственность.",これらの動きには、教養、軽快さ、優雅さ、そして言ってしまえばある種の女性らしさが透けて見える。
52,"Не много нужно усилий моему герою, чтобы согнуть подкову или сплющить в кулаке коробку из-под сардинок, а между тем ни одно его движение не выдает в нем физически сильного.",主人公は馬蹄を曲げたり、さば缶の箱を握りつぶしたりするのにあまり努力が必要ではないが、そのような身体的な強さは彼からは全く感じられない。
53,"За дверную ручку или за шляпу он берется, как за бабочку: нежно, осторожно, слегка касаясь пальцами.",彼はドアの取っ手や帽子を、ちょうど蝶を捉えるようにして掴む。優しく、慎重に、指先で軽く触れながら。
54,"Шаги его бесшумны, рукопожатия слабы.",彼の足音は無音で、握手も弱い。
55,"Глядя на него, забываешь, что он могуч, как Голиаф, что одной рукой может поднять он то, чего не поднять пяти редакционным Андреям.",彼を見ていると、彼がゴリアテのように強力であり、一つの手で編集者たち五人分も持ち上げられることを忘れてしまう。
56,"Глядя на его легкие движения, не верится, что он силен и тяжел.",彼の軽やかな動きを見ていると、彼が強くて重いとは信じられない。
57,Спенсер мог бы назвать его образцом грации.,スペンサーは彼を優雅の典型と言うことができただろう。
58,"От всего лица так и веет простотой, широкой, простецкой натурой, правдой.",顔全体からは、広く、素朴な性格や真実を放っていた。
59,"Если не ложь, что лицо есть зеркало души, то в первый день свидания с господином с кокардой я мог бы дать честное слово, что он не умеет лгать.",もし、顔が魂の鏡だとするなら、かつて彼と一緒にデートをした際に私は誠実な言葉を彼は嘘をつくことができないと証言できます。
60,Я мог бы даже держать пари.,私は賭けることさえできるだろう。
61,Проиграл бы я пари или нет читатель увидит далее.,私が賭けに負けたかどうか、読者は後で見ることになるでしょう。
62,"Он, как я уже сказал, высок, широкоплеч и плотен, как хорошая рабочая лошадь.",彼は、さきにも言ったように高く、肩幅がはっていて、優れた労働馬のように頑丈だった。
63,Всё его тело дышит здоровьем и силой.,彼の全身が健康と力に満ちている。
64,"Лицо розовое, руки велики, грудь широкая, мускулистая, волосы густы, как у здорового мальчика.",顔はピンク色で、手は大きく、胸は広くて筋肉質で、髪は健康な少年のように濃い。
65,Ему под сорок.,彼は40歳未満です。
66,"Одет он со вкусом и по последней моде в новенький, недавно сшитый триковый костюм.",彼はセンスの良い、最新の流行に乗った新しい、最近作られたトリコット生地のスーツを着ていた。
67,"На груди большая золотая цепь с брелоками, на мизинце мелькает крошечными яркими звездочками бриллиантовый перстень.",胸には大きな金のチェーンがあり、小指には小さな明るい星のようなダイヤモンドの指輪が光っていた。
68,"Но, что главнее всего и что так немаловажно для всякого мало-мальски порядочного героя романа или повести, он чрезвычайно красив.",何よりも重要なことは、小説や物語の主人公にとって非常に美しいことだ。
69,Я не женщина и не художник.,私は女性でも芸術家でもありません。
70,"Мало я смыслю в мужской красоте, но господин с кокардой своею наружностью произвел на меня впечатление.",私は男性の美しさにはあまり詳しくありませんが、彼のループをつけた紳士の外見は私に印象を与えました。
71,Его большое мускулистое лицо осталось навсегда в моей памяти.,彼の大きな筋肉質の顔は、永久に私の記憶に残った。
72,"На этом лице вы увидите настоящий греческий нос с горбинкой, тонкие губы и хорошие голубые глаза, в которых светятся доброта и еще что-то, чему трудно подобрать подходящее название.",この顔には、本格的なギリシャ風の鼻と、細い唇と素晴らしい青い目があります。その眼には親切さや何か別のものが輝き、それを適切な言葉で説明することは難しいです。
73,"Это «что-то» можно подметить в глазах маленьких животных, когда они тоскуют или когда им больно.",これらの「何か」は、小さな動物の目にも現れます。彼らが悲しんだり、痛みを感じたりするときに見ることができます。
74,"Что-то умоляющее, детское, безропотно терпящее.",何か懇願するような、子供っぽく、抵抗しない形で忍耐する。
75,У хитрых и очень умных людей не бывает таких глаз.,狡猾で非常に賢い人々には、そのような目がない。
76,"Я вздохнул, положил перо и принялся ждать господина с кокардой.",ため息をついて、ペンを置き、かんざし持ちの紳士を待つことにした。
77,"Начинающие писатели и вообще люди, не посвященные в редакционные тайны, приходящие при слове «редакция» в священный трепет, заставляют ждать себя немалое время.",「執筆をはじめたばかりの作家や、編集の秘密に関与していない人々は、「編集」という言葉を聞くと神聖な恐れを抱かせ、自分を待つことが多い。」
78,"Они, после редакторского «проси», долго кашляют, долго сморкаются, медленно отворяют дверь, еще медленнее входят и этим отнимают немало времени.",彼らは編集者の「お願い」の後、長い間咳をするし、鼻をすすり続け、ゆっくりと扉を開けるし、もっとゆっくりと入ってきて、これにかなりの時間がかかる。
79,Господин же с кокардой не заставил ждать себя.,コカルドをつけた男は自分を待たせることはなかった。
80,"Не успела за Андреем затвориться дверь, как я увидел в своем кабинете высокого широкоплечего мужчину, державшего в одной руке бумажный сверток, а в другой фуражку с кокардой.",アンドレイがドアを閉める前に、私は自分のオフィスで広く肩をもった男性を見た。彼は片手に紙で巻かれた小包、もう片方にはコカードのついた帽子を持っていた。
81,"Человек, так добивавшийся свидания со мной, играет в моей повести очень видную роль,",私との会見を熱望してくれた人は、私の物語で非常に重要な役割を果たしている。
82,Необходимо описать его наружность.,彼の外見を説明する必要があります。
83,"В один из апрельских полудней 1880 года в мой кабинет вошел сторож Андрей и таинственно доложил мне, что в редакцию явился какой-то господин и убедительно просит свидания с редактором.",1880年のある4月の昼、私のオフィスに番人のアンドレイが入ってきて、何か謎めいたことを報告してくれた。彼は何かしらの紳士が編集部に訪れ、編集長と面会したいと強く頼んでいるそうだ。
84,"Должно быть, чиновник-с, добавил Андрей, с кокардой.",アンドレイは、たぶんお役人にちがいない」と、コカードをつけながら言った。
85,"Попроси его прийти в другое время, сказал я.",「別の時間に来るように頼んでください」と、私は言った。
86,Сегодня я занят.,今日は忙しいです。
87,"Скажи, что редактор принимает только по субботам.",「編集者は土曜日にしか受け付けてくれない」と言ってください。
88,"Он и третьего дня приходил, вас спрашивал.",彼は3日目にも訪ねてきて、あなたについて聞いた。
89,"Говорит, что дело большое.",彼は重要なことを話していると言っている。
90,Просит и чуть не плачет.,頼んで泣いています。
91,"В субботу, говорит, ему несвободно.",土曜日は忙しいんだって。
92,Прикажете принять?,受け取るようにおっしゃいますか？
