id,source,translation
1,"Alles zu vergessen, ist gewiss schlimm.",すべてを忘れることは確かにひどいことです。
2,"Noch schlimmer ist, nichts zu vergessen, wird doch jedes Wissen erst durch Vergessen erzeugt.",それ以上に悪いのは、何も忘れないことです。知識とはすべて忘却によって産み出されるのですから。
3,"Wenn alles unterschiedslos gespeichert ist, wie auf den elektrische Energie verbrauchenden Datenspeichern, verliert es seine Bedeutung und wird zu einer ungeordneten Ansammlung unbrauchbarer Information.",すべてが区別なく保存されている場合、電力を消費するデータストレージのように、それはその意味を失い、使用できない情報の混乱した集まりになります。
4,"Ein Gedächtnis, das alles bewahrte, bewahrte im Grunde nichts.",すべてを保存する記憶は、基本的に何も保存しない。
5,"Jene Kalifornierin, die sich ohne Mnemotechnik jeden einzelnen Tag seit dem 5.",そのカリフォルニア人女性は、記憶術を使わずに5日以降の毎日を覚えていました。
6,"Februar 1980 vergegenwärtigen kann, ist gefangen im Echoraum ihrer fortwährend auf sie einstürzenden Erinnerungen — eine Wiedergängerin jenes attischen Feldherrn Themistokles, der jeden einzelnen Bürger seiner Heimatstadt mit Namen zu nennen wusste und der dem Mnemoniker Simonides ausrichten ließ, eher begehre er die Kunst des Vergessens als die des Gedächtnisses zu erlernen: ""Auch was ich nicht in der Erinnerung behalten will, das behalte ich; was ich jedoch vergessen will, das kann ich nicht vergessen"".",1980年2月を思い起こすことができる彼女は、絶えず記憶に押しつぶされるエコーチャンバーに囚われている。アッティカの将軍テミストクレスの亡霊であり、彼は自分の故郷の一人一人の市民の名前を呼び出し得た者であり、記憶術家シモニデスに対して彼が学びたいと望んだ技術は忘却の技術であると伝えさせました。「私が覚えておくことを望まないものも私は覚えています;しかし、私が忘れたいものを忘れられない」。
7,"Eine Vergessenskunst ist aber ein Ding der Unmöglichkeit, weil alle Zeichen Anwesenheiten darstellen, selbst wenn sie auf Abwesenheiten verweisen.",しかし、忘却の技術は不可能なことです。なぜなら全てのサインが存在を示しているからで、それが不在を指し示す場合でもです。
8,"Beinahe jeden, den im Römischen Reich der Bann der damnatio memoriae traf, behaupten die Enzyklopädien mit Namen zu kennen.",ローマ帝国でdamnatio memoriaeの罰を受けたほぼすべての人々は、百科事典が名前を挙げて主張しています。
9,"Der Freitod erscheint vielleicht als die radikalste Maßnahme, über die Ungewissheit der Zukunft zu triumphieren, freilich zum Preis einer verkürzten Existenz.",自殺は、未来の不確実性を克服する最も過激な手段と見えるかもしれませんが、存在期間が短縮される代償を払う形になります。
10,"Es wird berichtet, dass zu den Geschenken jener indischen Gesandtschaft, die Augustus einst auf der Insel Samos empfing, nicht nur ein Tiger und ein armloser Jüngling, der seine Füße wie Hände zu benutzen wusste, gehörten, sondern auch ein Mann namens Zarmaros aus der Kaste der Brahmanen, der sein Leben selbst zu beenden gedachte, gerade weil es so verlaufen sei wie gewünscht.",報告によると、アウグストゥスがかつてサモス島で受け取ったインドの使節団からの贈り物には、虎と腕がない少年（彼は足を手のように使うことができました）だけでなく、ブラーマン階級出身のザルマロスという男も含まれていました。彼は自分の人生が望む通りに進んだばかりか、それ自体を終わらせるつもりだったとされています。
