Source,GoogleTranslate,human1,human2
"Nějaký vážný pán postavil se na obranu železničního zřízence a tvrdil, že slyšel, jak ten voják první začal rozhovor o poplašných signálech.","A serious gentleman stood up in defense of the railroad caretaker, claiming to have heard the soldier first start talking about alarms.",A solemn gentleman took the guard's part and said he'd heard the soldier start a conversation about alarm signals.,Some serious gentleman rose to the defense of the railway attendant and claimed that he heard the soldier to be the first one to start talking about the alarm signals.
"Trvalo to hezkou chvíli, ale všechno pěkné má taky své konce. Přišel berajtšaft a sebral to všechno.","It took a while, but everything nice also has its ends. The beraytshaft came and picked it all up.","It lasted quite a long time, but all good things must come to an end. The patrol arrived and took them all into custody.","It lasted a pretty good while, but everything nice also has to come to its end. The emergency military patrol came and picked them all up."
"Vaněk lehl si opět na svou postel a řekl: „Švejku, vypravujte mně nějakou anekdotu z vojenského života.“","Vanek lay down on his bed again and said, ""Schweik, tell me an anecdote from military life.""",Quartermaster-sergeant Vanek lay down on his bed again.,"Vanek lay on his bed again and said: “Švejk, tell me some anecdote from military life.”"
„Já tam mám svýho obrlajtnanta.“,"""I have my lieutenant there.""","""My officer's there.""",“I got my Senior Lieutenant there.”
"„To byste se byl moh také opovážit, burcovat mne kvůli každej hlouposti, když je na to dost času až ráno. Wieder eine Besprechung, der Teufel soli das alles buserieren! Pověste sluchátko, zavolejte mně k telefonu Vaňka.“","""You might also dare to roar me for all the stupidity when there is plenty of time until morning. Again a question, the devil of the salt of all the busier! Hang up the phone, call me Vanka. ”","""I should think so, too. You'd better not have the cheek tc drag me out of bed when the morning'll do. Another Besprechung! To hell with it ! Call Vanek to the telephone."" Quartermaster-sergeant Vanek at the telephone :","you knew better than to dare to rouse me on account of every silliness when there ’s enough time for it yet in the morning. Again a consultation, let the demon from hell torment it all! Hang up the receiver, call Vanek to the telephone for me.”"
"Když Švejk vstoupil, Vaněk ještě jednou snažil se štábnímu šikovateli vysvětlit v číslicích, co se vydělalo na jednom kilogramu cementového nátěru na stavby, načež štábní šikovatel odpověděl úplně z cesty:","When Švejk entered, Vaněk once again tried to explain to the staff trainer in numbers what was earned on one kilogram of cement paint for the buildings, after which the staff trainer answered completely out of the way:","When Schweik entered, Quartermaster-sergeant Vanek was making another attempt to explain to the staff sergeant-major by means of statistics what profit could be made on one pound of varnish for building operations, whereupon the staff sergeant-major, entirely bemused, replied :","When Švejk entered, Vanek was trying to explain to the staff quartermaster one more time, using numbers, how much was made on one kilogram of cement dye for construction sites, to which the staff quartermaster replied totally off the wall:"
"„Kohopak to vezete s sebou?“ otázal se přísně, ukazuje na vrchního polního kuráta, který spal na břiše a jehož zadní tváře vyzývavě se dívaly na inspekci.","""Who are you taking with you?"" He asked sternly, pointing to the chief field guard, who was sleeping on his stomach and whose hind cheeks were looking defiantly at the inspection.","""Who's that you've got with you?"" he asked sternly, pointing to the Chaplain, who was sleeping flat on his stomach and whose posterior was challenging inspection.","“Whom is it that you’re giving a ride to?” he asked sternly, pointing to the Chief Field Chaplain who was sleeping on his belly and whose rear cheeks were looking at the inspection officer challengingly."
"A tu viděl plukovník, jak ústa toho dobráckého obličeje před ním se otvírají.",And then the colonel saw the mouth of the good man's face open before him.,Whereupon the colonel saw the mouth belonging to the unruffled countenance open before him.,And here the Colonel saw the mouth of the good-hearted face in front of him opening.
"„Vy nejste četníci, ale obecní policajti,“ říkával na svých obchůzkách, „místo toho, abyste zbystřili svou pozornost o tisíc procent, stává se z vás pomalu dobytek.“","""You are not gendarmes, but municipal police,"" he said on his patrol, ""instead of sharpening your attention by a thousand percent, you are slowly becoming cattle.""","""I told you not so long ago, Sergeant,"" said the captain, ""that the police sergeant at Protivin is the biggest bloody fool I've ever known, but the sergeant at Putim with this report of his beats him hollow.","“You’re not State policemen but village cops,” he would say on his rounds, “instead of sharpening the focus of your attention by a thousand percent as you should, you’re slowly turning into disgusting cattle."
"„Ano,“ podotkl Švejk, „pan obrfeldkurát má ouplnou pravdu. Čím víc cibule, tím lepší. V Pakoměřicích bejval sládek a ten dával i do piva cibuli, poněvadž prej cibule táhne žízeň. Cibule je vůbec náramně prospěšná věc. Pečená cibule se dává i na nežidy…“","""Yes,"" said Schweik, ""Mr. Obrfeldkurát is absolutely right. The more onions, the better. There used to be a brewer in Pakoměřice, who also put onions in beer, because he thirsts for onions. Onions are a very beneficial thing to do. Roasted onions are also given to non-Jews ’""","""Yes,"" remarked Schweik. "" His Reverence is quite right. The more onions, the better. I used to know a publican and he always put onions in his beer, because onions make you thirsty. Onions are good for you in every way. Fried onions are useful things if you've got carbuncles.""","“Yes,” remarked Švejk, “Mister Chief Field Chaplain is absolutely right. The more onion, the better. In Pakomerice there used to be a head malt brewer, and he used to add onion even to beer because it’s claimed onion draws out the thirst. Onion is an altogether tremendously beneficial thing. Baked onion is applied as relief even to skin boils . . .”"
"„Tak vidíte, že sám, vojáku, také k tomu přijdete. Odpovězte mně dobrosrdečně, odkud jste vyšel, když jste šel do těch vašich Budějovic. Říkám schválně ‚vašich´, poněvadž musí být patrně ještě jiné Budějovice, které leží někde severně od Putimi a doposud nejsou zaneseny na žádné mapě.“","""So you see, you will come to that yourself, soldier. Answer me kindly, where did you come from when you went to your Budejovice. I say 'yours' on purpose, because there must be another Budejovice that lies somewhere north of Putim and is not yet listed on any map. ""","""There you are ; now you can see it for yourself. I want you to tell me quite frankly where you came from when you started off for this Budejovice of yours. I say 'of yours' deliberately, for it seems evident that there must be another Budejovice situated somewhere to the north of Putim and not yet marked in any map.""","“So you see, soldier, that you’ll come to see it on your own. Have the good heart and answer me, where did you set out from when you were going to that Budejovice city of yours. I’m purposely saying ‘of yours’ because obviously there must be another Budejovice which is located somewhere to the north of Putim and so far has not been plotted on any map.”"
