id,source,translation,alignments
1,"Tufts of cloud burned black before the sunrise, the horizon littered with the flotsam of old and rusted silhouettes. They were alone. Chemtrails, the farmer had said to Alec, early on their walk. Other than this, he had been silent.",日の出前に黒い雲の房が焼け、地平線に古く錆びた輪郭の残骸が散らばっていた。 彼らはひとりでした。 農夫はアレックスに言った、「化学霧、それが私たちの散歩の初めに述べました。」 このほかに彼は黙っていた。,4-6 5-10 7-4 8-3 9-55 10-1 11-2 12-12 14-13 15-15 18-31 21-49 22-8 23-24 24-17 26-19 27-5 28-22 30-23 31-32 32-34 33-37 34-36 41-42 42-41 44-47 45-46 46-43 47-45 49-56 51-53 52-54 54-62 56-61 57-51 58-64 60-66 61-65 62-67
2,"Fifty feet away, the field gave way to freshly tilled brown soil, forming mounds everywhere on the uneven earth. Chalky rocks littered the plot in every direction. Each step in this place was as muddy and wet as the last. Further still, a thin metal fence marked the edge of the land, clots of wool decorating the wire like fairy lights where the sheep had once tried to break through.",五十フィート先では、野原は新たに耕された茶色い土地に変わり、不均一な地面には至る所で丘が形成されていました。 白チョークの岩が土地にあちこち散らばっていた。 この場所の一歩一歩は、前回と同じようにぬかるんでいて湿っていた。 さらに、細い金属の柵が土地の境界を示しており、羊が以前突破しようとした場所には糸くずのような羊毛がワイヤーに飾ってありました。,2-1 3-2 5-6 7-16 11-10 14-12 15-13 18-19 19-32 23-31 25-29 27-20 28-23 29-24 31-36 32-39 33-41 34-40 37-52 43-53 45-60 47-54 48-55 54-72 58-74 59-76 62-77 64-78 65-79 66-80 68-82 74-43 78-81 86-101 90-83 94-90 96-92 97-94 99-93 101-111
3,"He swatted another fly away from his face. No, the farmer said. I'm a vegetarian. Really? My wife tried doing that a few years back, and. No, the farmer said, and the conversation died. The world was still dark, even if only for a little while. The sun was almost free. The day had almost begun.",彼はもう一匹のハエを顔から払った。 いや、農夫は言った。 私はベジタリアンです。 本当ですか？ 私の妻も数年前にそれを試みました、そして.. いいえ、農夫は言った。そして会話は途切れた。 世界はまだ暗闇の中にあった、たとえそれがわずかな間であっても。 太陽はほぼ自由だった。 その日はほとんど始まったばかりだった。,0-1 3-12 4-2 5-7 7-10 9-9 10-13 11-15 12-16 13-19 14-18 15-20 16-21 17-22 22-29 23-30 25-33 26-35 27-36 28-41 30-40 33-38 34-39 35-43 36-44 37-45 38-49 39-50 41-52 42-54 44-56 46-57 48-61 49-62 51-64 53-65 54-67 55-70 56-71 60-74 65-79 66-69 68-82 69-77 71-86 73-81 75-88 76-91
4,"They're selling up to live with family, so she says. I think I saw them in town a few times, Alec said. They were almost at the water tank, at the smile. Were they the ones who made those wagon wheels? They'd mix sausage meat into a kind of well, kind of cinnamon swirl, I suppose. It's delicious. Did you ever try one?",彼らは家族と一緒に住むために売り払うって言っている。 アレックは言った。「数回、町で彼らを見かけたと思います。」 彼らはほぼ水槽のところ、笑顔のところまで来ていた。 彼らがワゴンの車輪を作ったのは彼らでしたか？ 彼らはソーセージの肉を一種の井戸に混ぜ、シナモン風味の渦巻きのようなものを作った、と考えられます。 おいしいです。 一度試しましたか？,0-1 3-8 5-7 6-5 7-4 8-3 12-12 13-13 15-30 17-28 18-26 19-25 20-24 22-21 23-22 25-15 26-17 27-19 29-33 31-35 33-38 34-36 35-37 36-40 39-41 40-47 41-61 47-58 49-55 51-56 52-54 53-63 54-65 57-79 61-72 64-90 70-76 73-88 74-89 75-93 77-95 78-96 84-98 85-100 89-103 91-106
5,"Jean's moving out, the farmer said. Did you know? Who? Jean. The lady who lives down the lane, the farmer said, frowning. She's moving out, selling up her farm. Oh yes, Jean. His voice drifted. I saw the sign. Alec had driven past it on the way here, a farm twice the size of this one, its animals and land and people in far better condition. He had not known the name. He knew few out here. One more reminder that he did not belong, he supposed.",ジャンは引っ越すんだ、農夫は言った。 知っていましたか？ だれですか？ ジャン。 レーンの向こうに住んでいる女性、農夫は顔をしかめて言った。 彼女は引っ越しをする予定で、農場を売るつもりだ。 そうだよ、ジャン。 彼の声が漂っていった。 看板を見た。 アレックスはここに来る途中でそれを通り過ぎましたが、この一つの二倍のサイズの農場だった。その動物や土地、人々はずっと良い状態だった。 彼は名前を知らなかった。 彼はここでは知り合いが少なかった。 彼は自分が属さない存在であることを、もう一度思い出す必要があった、と彼は考えました。,0-1 2-2 5-7 7-9 8-11 9-12 12-14 13-17 14-20 15-22 16-24 17-25 19-34 21-32 23-29 25-28 26-35 27-38 28-37 33-41 34-43 35-45 38-46 40-50 41-53 44-51 47-58 48-60 49-61 50-62 51-64 52-65 53-67 54-54 55-70 57-74 59-73 60-75 61-77 62-79 63-98 64-87 67-85 71-81 72-89 74-97 75-93 76-94 77-95 79-90 83-101 84-102 85-103 86-104 87-105 89-107 90-108 91-109 92-111 95-117 96-116 98-114 108-137 111-113 119-146
6,"He gestured past a large, half-empty water tank around two hundred feet away, its translucent plastic grown stained with time, the smear of a smile where fluid had lapped within. We found them near there. His face fell. Alec checked his watch. 7.06 a.m. The sun would soon rise. They kept on, the silence drowned out by the buzzing of the flies and the distant hellos of scraggly sheep out there in the semi-darkness.",彼は手で、約200フィート先にある大きな半分空の水槽の方へとジェスチャーをした。透明なプラスチックは時が経って汚れが付いており、中で水が波打った跡に微かな笑みのような模様が浮かんでいた。 私たちはそばにいる彼らを見つけました。 彼の顔が落ち込んだ。 アレックは自分の時計をチェックした。 午前7時06分。 太陽はすぐに昇るだろう。 彼らは黙って続けたが、沈黙はハエのブンブンと遠くにいる薄汚い羊の遠吠えでかき消された。,0-1 1-19 3-22 4-18 6-11 7-4 11-25 12-15 13-16 14-5 16-6 17-7 24-28 30-30 31-38 32-29 34-50 42-44 43-39 44-57 45-59 46-64 47-63 48-60 51-68 52-69 53-72 55-75 56-77 57-81 58-82 59-79 60-80 61-83 62-86 66-89 67-90 69-92 70-97 71-94 72-96 73-95 74-73 75-100 76-104 78-107 80-109 87-130 88-113 94-119 100-125 112-136
7,"Alec grimaced. He stepped back, tensing before rushing over the ditch. He came down with a thud, right into the thick and gelatinous mud. He splattered his black trouser legs and the farmer's jeans. The other man tutted, smiling. What have we come to, eh? Alec brushed at the muck around his ankles, but this only spread it further. His palms grew filthy. The farmer walked on.",アレックはしかめっ面をした。 彼は後ずさりし、土手を駆け足で飛び越える前に身構えた。 彼はドスンと音を立てて、厚くてゼリー状の泥に突っ込んだ。 彼は自分の黒いズボンと農夫のジーンズに泥を飛ばした。 もう一人の男は笑いながら、ツッと舌打ちした。 我々はどこに来てしまったのだろう、ね？ アレックは足首周りの汚物を払ったが、これはただそれをさらに広げるだけだった。 彼の手のひらは汚れていった。 農夫は歩き続けた。,0-1 1-3 4-9 5-10 8-30 10-18 13-27 14-24 15-26 16-25 18-19 20-31 21-12 32-42 34-43 37-48 39-33 40-51 42-52 43-56 44-57 46-45 47-106 48-67 49-61 51-63 53-64 54-60 57-76 58-79 62-81 64-90 65-94 67-92 68-95 70-98 71-99 72-100 73-102 74-104 75-88 76-89 78-78 81-108 86-114 87-113 88-115 89-116 90-119 91-117 92-118 93-123 94-125 95-126 96-93 99-109 101-134 102-105 103-137 106-142
8,"Alec stared at the mud, and the farmer grinned, his cheeks ruddy beneath his dirty white beard. With that thick wax coat and that gut and that voice, he could have been a lunatic Santa Claus. You won't fall, he said. Not afraid of a little dirt, are you, Sergeant Nichols? No. Yes. I just hope you aren't wasting my time. And these flies. Alec swatted one away from his rolled-up sleeve, a great bulbous thing that had nestled on the hairs of his forearm. He was food for this whole place. Try covering up next time, the farmer said.",アレックは泥を見つめ、農夫はにやりと笑った。彼のほおは汚れた白い髭の下で紅潮していた。 その厚いワックスコートと腸と声があれば、彼は気違いサンタクロースだったかもしれない。 お前は落ちない。 少しの汚れくらい怖れないでしょう、ニコルス軍曹？ いいえ。 はい。 ただ、私の時間を無駄にしていないことを願っています。 そして、これらのハエ。 アレックスは袖まくりの腕から離れたところにいた巨大なぼんやりしたものを振り払った。それは彼の前腕の毛にすみついていた。 彼はこの場所全体の食料だった。 次回は隠れてみなさい、農夫は言った。,0-1 1-3 2-6 6-5 7-9 10-11 11-16 12-17 19-29 21-19 22-23 23-26 24-25 26-27 27-34 29-35 30-36 31-37 32-31 33-40 34-41 37-43 38-42 40-45 41-47 42-48 43-57 45-56 49-51 55-63 56-62 60-58 62-70 65-66 66-68 71-73 74-74 76-77 77-80 79-84 80-86 81-87 83-88 84-96 88-94 89-92 91-90 92-91 93-98 94-99 95-101 98-104 99-106 100-108 101-127 103-129 105-116 106-115 114-114 117-120 121-125 127-135 128-136 129-137 131-132 132-133 134-134 135-142 136-144 137-151 138-150 140-145 141-147 142-146 143-152 144-154 150-161 151-164 152-163 153-165 154-166
9,"Where are they? Alec asked, shivering. It was 6.55 a.m. He'd left his jacket in his patrol car. There weren't any sheep over here, the farmer said, ignoring the question. He leapt over the bank, his boots slipping slightly on the incline. They normally love coming over here.",彼らはどこですか？ 「寒くて震えるアレックスが尋ねました。」 午前6時55分だった。 彼はパトロールカーにジャケットを忘れてきた。 農夫は問いを無視して、「ここには羊はいない」と言った。 彼は斜面で靴がわずかに滑る中、土手を飛び越えた。 彼らは普通、ここに来るのが大好きだ。,0-3 1-4 2-1 3-5 4-11 6-15 8-9 10-10 13-25 14-21 15-23 20-28 23-38 25-34 26-36 27-33 29-31 30-32 31-39 37-54 38-52 43-43 44-42 45-56 47-47 48-48 49-46 50-44 51-57 52-59 56-74 61-63 63-67 64-68 65-65 67-66 68-60 69-61 70-76 71-78 72-80 74-85 75-83 77-82 78-87
10,"And now their torches revealed the edge of a bank, right before the crest of a shallow stream that cut through the farmer's reclaimed marshland. Along its muddy edge and all around, the reeds sang with flies and crickets and buntings.",そして、彼らの松明は銀行の縁を明らかにし、農夫が開墾した湿地帯を切り裂く浅い川の頂上すぐ前まで来た。 泥の端と周り一帯では、葦がハエやコオロギやバンティングと共に歌った。,0-0 2-2 5-11 6-62 7-8 11-7 12-13 13-33 14-34 15-30 20-27 22-29 24-24 27-15 29-3 32-19 35-22 36-37 40-39 41-40 42-41 43-42 45-43 46-47 48-48 50-60 53-52 54-53 57-57 58-58 59-59 61-63
