id,source,translation,alignments
1,ミホとサツキは地元で頻繁に会っているせいか、そっくりな表情と喋り方をしている。特にお菓子の食べ方が似ていて、二人ともネイルを施した手でクッキーを小さく割りながら口に運んでいる。前からそうだったろうか、と思いだそうとするが、記憶が曖昧だ。前に会ったときの二人の小さな癖や仕草は、もうどこかへ流れ出て行ってしまったのかもしれないとも思う。,"Perhaps because Miho and Satsuki see each other frequently in their hometown, they have similar expressions and ways of speaking. Especially their way of eating sweets is similar, both break small cookies with their manicured hands before putting them into their mouths. I try to recall if it’s always been like this, but my memory is vague. I also wonder if the little habits and gestures of the two from when we last met might have already faded away somewhere.",1-2 2-3 3-4 4-5 5-6 6-7 8-15 10-12 11-11 14-94 15-8 16-1 18-16 24-20 26-25 30-26 31-27 32-33 34-32 35-30 36-36 38-37 39-38 44-46 45-47 46-42 51-40 55-54 57-49 58-55 59-64 60-67 61-65 68-57 69-69 70-68 71-71 74-73 76-75 80-91 82-89 83-80 84-81 85-82 86-84 88-86 91-97 92-101 94-98 97-99 98-95 99-77 100-78 101-102
2,ミホは、今では結婚して地元に中古の一戸建てを買っていて、そこに友達がよく集まっている。明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の「普通の三十代女性」と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。今日も、ミホと、まだ小さい子供を連れたユカリ、結婚しているが子供はまだのサツキと私、というメンバーで、ミホの家にケーキを持ち寄ってお茶をしていた。,"Miho is now married and has bought a second-hand house in her hometown, where her friends often gather. Although there are times when it is bothersome as she also works part-time, it's her only connection to a world outside of the convenience store. It also provides a valuable opportunity to interact with other ""average women in their thirties"" of the same age, so she makes it a point to accept Miho's invitations whenever possible. Today as well, Miho, Yukari (who has young children), Satsuki (who isn't yet a mother), and I brought cakes to Miho's house for tea time.",1-0 2-1 3-2 4-5 5-3 6-4 10-13 12-11 13-8 16-12 17-7 19-17 20-18 21-20 22-21 25-24 27-37 28-38 29-31 30-33 33-34 34-28 35-27 37-42 38-57 39-52 40-51 42-47 51-69 52-71 54-77 55-72 56-78 57-67 58-66 59-65 60-63 61-64 62-84 63-83 64-92 65-93 66-95 67-96 68-97 70-99 71-91 75-100 76-101 78-104 79-105 84-114 85-115 89-108 90-118 94-113 99-117 101-119 109-136 110-137 111-139 112-140 113-133 118-132 119-144
3,そのとき、私は、初めて、世界の部品になることができたのだった。私は、今、自分が生まれたと思った。世界の正常な部品としての私が、この日、確かに誕生したのだった。,"That was the moment I first felt that I had become a part of the world. At that moment, it felt as though I was born anew. That day, I had certainly been born as a normal member of society.",0-0 1-19 3-4 5-5 7-15 8-14 10-12 11-10 15-9 16-16 20-20 22-27 23-22 24-30 27-41 30-42 31-39 34-31 35-32 36-33 37-36 38-38 39-37 41-35 42-45
4,オープンまでの二週間、二人組になったり、社員を相手にしながら、架空の客に向かって、ひたすら練習が続いた。「お客様」の目を見て微笑んで一礼すること、生理用品は紙袋に入れること、温かい物は冷たい物と分けて入れること、ファーストフードを頼まれたら手をアルコールで消毒すること。お金に慣れるためにとレジの中には本物のお金が入っていたが、レシートには「トレーニング」と大きく印字されていたし、相手は同じ制服を着たアルバイト仲間だし、なんとなくお買いものごっこをしているようだった。,"During the two weeks leading up to the store’s opening, we practiced endlessly in pairs or with staff members, greeting nonexistent customers. We learned to look into ‘customers’ eyes and greet them with a smile, to make sure sanitary products are placed in paper bags, to separate hot and cold items, and to sanitize our hands with alcohol if someone ordered fast food. Although real money was put into the cash registers for us to get used to handling it, the word ""Training"" was clearly printed on our receipts. As everyone was dressed in identical uniforms and everything felt like we were playing pretend shopping games due to our co-part-time workers being on the other side of transactions.",1-11 2-6 3-2 4-3 5-12 14-0 18-158 26-14 28-16 29-15 30-33 31-32 34-44 35-37 36-51 43-58 44-45 45-62 46-63 49-52 50-67 51-69 53-59 60-60 62-71 64-84 65-85 67-82 70-77 71-79 72-78 73-74 78-101 83-92 86-96 87-89 89-83 91-105 92-118 93-120 95-108 96-110 97-111 100-114 102-112 105-123 107-128 108-130 112-140 116-113 122-138 123-135 125-159
5,二つ年下の妹は、私と違って、「普通」の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。妹が私と異なり普通のことで母に叱られているとき、母に私は近づいて「どうして怒っているの？」と理由を尋ねた。私が母に質問したせいでお説教が終わると、庇かばわれたと思うのか、妹はいつも私に「ありがとう」と言った。お菓子や玩具にあまり興味がなかった私は、それらを妹にあげることも多かった。そのため、妹はいつも私についてまわっていた。,"My younger sister, who was two years my junior, was a 'normal' child, unlike me. But this did not mean she kept her distance; rather, she looked up to me. Whenever my mother scolded her for typical childish behavior, I would approach and ask ""Why are you angry?"" Once the admonishment finished because of my question, perhaps thinking I had defended her, my sister would always say ""Thank you"" to me. Since I had little interest in sweets or toys often given to kids of our age, I frequently gave mine to her. This made her constantly follow me around.",0-7 2-8 3-10 4-2 5-3 6-12 7-11 8-21 10-20 11-14 12-15 13-16 14-13 15-17 20-27 23-45 24-31 26-26 28-34 29-33 33-40 36-39 37-38 40-50 46-41 47-54 48-44 50-55 51-57 52-60 53-61 54-65 57-66 58-58 61-59 63-47 65-76 68-77 70-74 73-72 75-73 76-67 77-78 81-84 82-80 84-86 85-88 86-89 87-90 88-97 89-96 90-92 91-93 92-95 93-91 94-98 95-105 96-107 97-109 98-104 100-103 102-101 103-100 105-121 108-112 109-120 113-124 114-125 115-117 118-119 119-130 124-132
6,「お父さん、焼き鳥好きだから、今日、これを焼いて食べよう」 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。変な顔だったので笑いそうになったが、その人が私の手元を凝視しているのを見て、そうか、一羽じゃ足りないなと思った。 「もっととってきたほうがいい？」 近くで二、三羽並んで歩いている雀にちらりと視線をやると、やっと我に返った母が、「恵子！」ととがめるような声で、必死に叫んだ。 「小鳥さんはね、お墓をつくって埋めてあげよう。ほら、皆も泣いてるよ。お友達が死んじゃって寂しいね。ね、かわいそうでしょう？」 「なんで？　せっかく死んでるのに」 私の疑問に、母は絶句した。,"""Dad loved yakitori, so let's grill this and eat it today,"" I said. Perhaps she hadn't heard me well, so when I repeated myself more clearly, my mother looked surprised. The mother of the other child next to us also seemed startled; her eyes, nostrils, and mouth all opened wide at once. Her face was funny and almost made me laugh. However, seeing that person staring intently at what was in my hand I thought ""Ah one bird won’t be enough."" ""Should I get more?"" As my gaze flicked toward two or three sparrows walking nearby, my mother finally snapped back to reality and called out desperately with a scolding tone in her voice: “Keiko!” “Let’s bury the little birdie properly,” Mom continued. “Look how sad everyone is; his friends miss him too…”“But why? He's already dead,"" To pose that question left my Mother speechless.",0-0 1-1 3-2 7-3 9-7 10-17 12-13 14-14 15-15 17-19 19-31 20-29 21-25 22-23 24-32 25-40 31-36 32-37 34-41 35-43 42-53 43-54 45-51 46-52 47-50 48-48 49-56 50-45 51-59 54-62 55-63 59-67 60-68 62-73 69-70 71-74 72-78 74-76 79-77 80-85 81-86 82-88 83-89 84-98 85-99 87-93 89-90 90-91 92-87 97-104 100-111 102-101 103-84 104-113 105-118 107-107 109-109 110-119 112-133 114-126 115-127 116-128 120-132 129-122 133-135 134-138 135-143 136-142 137-141 138-140 139-137 143-161 144-162 148-153 150-157 154-147 155-148 156-145 158-178 159-163 160-170 161-171 162-172 164-167 176-181 178-184 179-191 182-185 184-186 185-188 191-183 192-189 202-193 203-195 204-196 207-201 209-199 211-203 213-209 214-207 217-210 222-213
7,缶コーヒーと煙草とアメリカンドックを手早くＳサイズの袋に入れる。その間、ポケットの中の小銭を鳴らしていた男性が、ふと思いついたように胸ポケットに手を入れる。その仕草から、電子マネーで支払をするのだなと咄嗟に判断する。,"He quickly puts canned coffee, cigarettes, and a hotdog into a small bag. As he does this, the man who has been jingling coins in his pocket reaches suddenly into his breast pocket. From this motion, I intuitively judge that he is going to pay with electronic money.",2-6 6-11 13-1 16-16 17-18 18-15 19-3 20-19 21-23 23-24 26-37 28-35 30-33 31-34 34-27 35-26 40-40 42-43 45-44 46-41 49-39 50-45 51-47 53-48 54-46 55-49 56-61 57-62 58-60 59-59 67-53 69-63
8,「いらっしゃいませ、おはようございます！」 軽い会釈をして、男性客が差し出した缶コーヒーを受け取る。 「あー、あと煙草の５番を一つ」 「かしこまりました」 すばやくマルボロライトメンソールを抜き取り、レジでスキャンする。 「年齢確認のタッチをお願いします」 画面をタッチしながら、男性の目線がファーストフードが並んだショーケースにすっと移ったのを見て、指の動きを止める。「何かおとりしますか？」と声をかけてもいいが、客が買うかどうか悩んでいるように見えるときは、一歩引いて待つことにしている。,"""Welcome, good morning!"" After a light bow, I accept the can of coffee offered by the male customer. ""Ah, and one number 5 cigarette."" ""Understood,"" I reply, swiftly pulling out a Marlboro Light Menthol and scanning it at the register. ""Could you please confirm your age on screen?"" As he touches the screen to verify his age, I notice his gaze drifting towards the showcase of fast food. I consider asking if he would like to add something else to his order but decide against it as with customers who appear indecisive about making a purchase my policy is to hold back for a moment and wait.",0-0 1-1 5-4 6-5 9-6 10-7 12-10 13-9 16-8 17-13 18-23 19-24 20-22 22-20 23-17 24-19 26-15 28-25 29-26 30-27 32-28 35-33 37-32 38-31 40-30 41-34 47-39 50-45 52-47 53-48 57-56 58-57 60-59 62-49 64-60 66-66 69-61 70-62 71-67 72-68 73-75 74-73 81-84 83-81 85-79 86-90 88-98 90-94 93-102 94-103 98-99 99-100 103-95 104-96 106-92 111-112 112-120 113-82 115-114 120-78 123-107 125-119 127-125 128-126 129-134 131-128 132-130 134-127 137-142 140-144 141-145 144-137 145-146
9,チャリ、という微かな小銭の音に反応して振り向き、レジのほうへと視線をやる。掌やポケットの中で小銭を鳴らしている人は、煙草か新聞をさっと買って帰ろうとしている人が多いので、お金の音には敏感だ。案の定、缶コーヒーを片手に持ち、もう片方の手をポケットに突っ込んだままレジに近付いている男性がいた。素早く店内を移動してレジカウンターの中に身体をすべりこませ、客を待たせないように中に立って待機する。,"I turned at the faint chink of coins, looking over at the cash register. The people jingling change in their hands or pockets were often those buying a quick pack of cigarettes or newspaper, so I had grown quite attuned to the sound of money. Sure enough, there was a man approaching with a canned coffee in one hand and his other hand plunged in his pocket. Quickly moving through the store, I slid myself inside the cash register counter to avoid making customers wait for service.",5-5 7-10 8-9 15-12 16-11 17-16 18-17 19-15 27-18 29-28 32-30 39-19 40-20 45-42 46-40 47-36 49-34 52-52 55-43 56-57 58-55 59-53 60-50 62-58 66-62 68-73 69-70 70-75 71-76 73-77 75-79 77-80 80-86 81-84 82-81 84-82 91-68 92-66 94-64 95-87 97-88 98-93 100-90 101-103 102-100 106-101 107-98 116-106 118-107 121-104 128-110
10,コンビニエンスストアは、音で満ちている。客が入ってくるチャイムの音に、店内を流れる有線放送で新商品を宣伝するアイドルの声。店員の掛け声に、バーコードをスキャンする音。かごに物を入れる音、パンの袋が握られる音に、店内を歩き回るヒールの音。全てが混ざり合い、「コンビニの音」になって、私の鼓膜にずっと触れている。,"Convenience stores are filled with sound. The chime when a customer enters, the voice of an idol promoting new products over the in-store radio. The calls of the employees, the beep of scanning a barcode. The sound of items being placed in a basket, the rustle of bread bags being handled, and the clicking heels on floor as people move around inside. All these sounds combine to create what I call “the convenience store symphony,” that is constantly touching my eardrums.",5-4 6-5 8-8 9-7 10-6 13-9 14-15 15-16 19-12 23-18 24-32 28-30 30-33 32-26 33-27 35-24 36-25 38-20 39-34 40-40 41-37 42-36 46-49 48-48 50-46 51-47 53-51 56-58 57-55 58-57 61-61 62-66 63-65 64-67 66-69 67-68 71-84 73-82 74-83 75-75 78-77 79-53 80-85 81-86 83-89 87-95 88-99 89-96 90-88 91-105 92-91 93-104 94-111 97-114 98-108 99-109 100-110 101-115
