id,source,translation,alignments
1,"Tufts of cloud burned black before the sunrise, the horizon littered with the flotsam of old and rusted silhouettes. They were alone. Chemtrails, the farmer had said to Alec, early on their walk. Other than this, he had been silent.",日の出前に雲の塊が黒く燃え、地平線は古く錆びたシルエットのフロツァムで散らかっていた。彼らは一人ぼっちだった。農夫はアレックに向かってケムトレイルと言っただけだった、彼らが歩き始めてから早々と。それ以外では、彼は黙ったままだった。,4-4 7-8 8-3 9-5 10-1 11-2 12-12 17-35 18-36 19-32 24-17 25-18 26-19 27-21 28-27 30-31 31-37 32-38 33-43 34-40 35-44 36-52 37-53 38-54 39-56 41-47 42-46 44-57 46-48 47-50 52-63 53-68 54-70 56-69 57-72 58-73 59-77 61-74 62-78
2,"Fifty feet away, the field gave way to freshly tilled brown soil, forming mounds everywhere on the uneven earth. Chalky rocks littered the plot in every direction. Each step in this place was as muddy and wet as the last. Further still, a thin metal fence marked the edge of the land, clots of wool decorating the wire like fairy lights where the sheep had once tried to break through.",五十フィート先、原野はフレッシュに耕された茶色の土地に変わり、均整のとれない大地に各所で土塊が形成されていました。白っぽい岩石があらゆる方向に散乱していました。この場所での一歩一歩は最後まで泥だらけで湿っています。さらに遠く、薄い金属の柵が土地の端を示しており、羊がかつて透過しようと試みたワイヤー上では羊毛のかたまりがフェアリーライトのように飾られています。,2-1 3-2 5-5 6-8 7-17 11-10 14-13 15-15 18-20 19-34 28-25 29-26 30-36 32-39 33-41 37-48 41-43 42-44 43-49 45-56 47-50 48-51 51-59 53-63 54-64 58-66 59-67 62-70 64-71 65-72 66-73 68-75 69-80 70-78 71-79 74-77 81-86 84-90 86-104 89-103 91-93 94-83 96-85 97-88 101-107
3,"He swatted another fly away from his face. No, the farmer said. I'm a vegetarian. Really? My wife tried doing that a few years back, and.  No, the farmer said, and the conversation died. The world was still dark, even if only for a little while. The sun was almost free. The day had almost begun.",彼は自分の顔からもう一匹のハエを払った。「いや、」農夫は言った。「私は菜食主義者なんだ。」「ほんとうに？ 私の妻が数年前にそれを試みて、」「いや、」と農夫が言ったら会話が途切れてしまった。世界はまだ暗かった、せめて少しだけでも。太陽はほとんど姿を現してきていた。一日がすでに始まろうとしていた。,0-1 3-13 4-5 7-4 8-2 9-3 11-15 12-16 13-20 14-19 15-21 17-23 21-27 22-29 23-31 24-32 25-34 26-36 27-37 28-42 30-41 33-39 34-40 35-44 38-46 39-47 41-51 46-55 48-59 49-60 51-61 53-62 54-63 55-65 58-67 61-68 65-71 66-64 69-70 71-80 72-86 73-82 75-83 76-87
4,"They're selling up to live with family, so she says. I think I saw them in town a few times, Alec said. They were almost at the water tank, at the smile. Were they the ones who made those wagon wheels? They'd mix sausage meat into a kind of well, kind of cinnamon swirl, I suppose. It's delicious. Did you ever try one?",彼らは家族と暮らすために資産を売り払うんだって、と彼女が言っていました。アレックが言いました。「彼らを何度か街で見かけたことがあるような気がするな」。彼らはもうすぐ水タンクに到着し、微笑む。それはワゴンホイールを作った人とうですか？ 彼らはソーセージの肉を一種の井戸のように混ぜ合わせ、シナモンのスパイラル風にするんだ。「美味しいんだよ。一度試したことある？」,0-1 3-11 5-8 6-5 7-4 8-3 9-16 11-18 15-39 17-35 19-34 20-33 23-32 25-23 26-25 27-27 28-22 29-30 30-31 36-52 39-46 40-55 47-64 52-48 53-68 54-70 57-84 61-77 72-92 74-59 84-100 89-104
5,"Jean's moving out, the farmer said. Did you know? Who? Jean. The lady who lives down the lane, the farmer said, frowning. She's moving out, selling up her farm. Oh yes, Jean. His voice drifted. I saw the sign. Alec had driven past it on the way here, a farm twice the size of this one, its animals and land and people in far better condition. He had not known the name. He knew few out here. One more reminder that he did not belong, he supposed.",「ジーンが出て行くんだってさ、農夫は言った。知ってたかい？誰だ？ジーンさ。丘の下に住んでるお婆さんだよ、農夫が眉をひそめて言ったよ。彼女、出て行くとうちの農場を売るらしいんだよ。「あ、ジーンですか？」彼の声はすぐに消え去った。「看板を見ました」アレックはここに来る途中でそれを通り過ぎた。この場所の2倍もある大きな農場で、その動物や土地や人々はすべて状態が非常に良好だった。彼は名前を知らなかっただけでなく、ここでは少数の人々しか知らなかった。これ以上思い出したくないと思わざるを得ません。,0-2 3-4 5-8 7-10 8-12 9-13 12-14 13-17 14-18 15-20 16-22 17-24 21-28 22-27 23-26 26-34 28-36 31-40 32-41 33-42 34-45 35-46 38-48 41-54 44-52 48-47 51-65 52-66 53-69 54-72 57-76 59-75 61-79 62-81 64-89 65-90 67-87 71-83 74-99 75-95 78-94 79-92 81-101 82-102 83-103 84-104 85-105 86-106 87-107 90-113 91-110 92-91 96-119 98-117 101-128 111-116 119-142
6,"He gestured past a large, half-empty water tank around two hundred feet away, its translucent plastic grown stained with time, the smear of a smile where fluid had lapped within. We found them near there. His face fell. Alec checked his watch. 7.06 a.m. The sun would soon rise. They kept on, the silence drowned out by the buzzing of the flies and the distant hellos of scraggly sheep out there in the semi-darkness.",彼は約200フィート先にある大きな半分だけ水が入っているタンクを指差した。その透明度のあるプラスチックも時間と共に汚れてしまっており、中に液体が満ちた跡が微笑んでいるように見えた。「我々はそこら辺で彼らを見つけたんだ。」彼の顔色は暗くなった。アレックは時計を確認した。午前7時6分。すぐに太陽が昇ろうとしていた。ふたりはそれでも進み続け、飛んでるハエの羽音や、半闇の中で鳴く羊達の遠くから聞こえてくる声が静寂をかき消して行った,0-1 1-17 6-8 8-9 11-13 12-11 13-15 14-2 16-3 17-4 20-21 23-24 24-27 28-32 29-30 30-29 31-34 37-44 39-36 42-45 43-35 44-20 45-50 46-57 47-56 51-61 52-62 53-66 54-67 55-68 56-70 57-73 58-74 60-72 61-75 62-77 63-79 69-83 70-87 71-82 73-85 74-88 76-95 78-96 92-105 93-102 94-115 96-113 98-97 101-112 102-104 105-109 107-107 111-108
7,"Alec grimaced. He stepped back, tensing before rushing over the ditch. He came down with a thud, right into the thick and gelatinous mud. He splattered his black trouser legs and the farmer's jeans. The other man tutted, smiling. What have we come to, eh? Alec brushed at the muck around his ankles, but this only spread it further. His palms grew filthy. The farmer walked on.",アレックはしかめっ面をした。彼は後ろに一歩下がり、掘りだかに猛ダッシュする前の緊張から帯電していた。彼はどすんと音を立てて着地し、厚くてゼラチン質の泥の中に飛び込んだ。彼の黒いズボンと農夫のジーンズが泥水で跳ねた。もう一人の男がニッコリ笑って咎めるような声を出した。「我々は何を目指しているんだ？エイ？」 アレックは足元周りの汚物を払おうとしたが、それはただ汚れを広げただけだった。手の平が汚れてきた。農夫は歩み続けた。,0-1 1-3 5-10 8-9 9-12 13-28 14-16 19-21 21-11 22-57 25-14 28-19 30-55 32-47 34-48 37-54 38-34 39-35 44-60 47-110 48-70 49-64 51-66 53-53 54-63 55-58 57-79 58-82 59-32 65-98 67-97 72-104 73-106 74-108 75-75 76-77 81-112 86-119 87-118 88-120 89-121 90-123 94-59 95-128 101-134 102-109 103-136 106-142
8,"Alec stared at the mud, and the farmer grinned, his cheeks ruddy beneath his dirty white beard. With that thick wax coat and that gut and that voice, he could have been a lunatic Santa Claus. You won't fall, he said. Not afraid of a little dirt, are you, Sergeant Nichols? No. Yes. I just hope you aren't wasting my time. And these flies. Alec swatted one away from his rolled-up sleeve, a great bulbous thing that had nestled on the hairs of his forearm. He was food for this whole place. Try covering up next time, the farmer said.",アレックは泥を見つめていた。農夫はにっこりと微笑んで、彼の汚れた白い髭の下から赤みが差していた。あの厚くてワックス引きされたコートとその太鼓腹、そしてその声、彼は狂ったサンタクロースになれただろう。君が落ちることはないだろうよ、彼が言った。「少し汚れることをそれほど怖がってないだろうね、ニコルズ軍曹？」「うーん…ええ…時間を無駄にしなければいいんですけど」とアレックは言った。「あとこのハエも」。アレックは袖をまくった腕から一匹の大きなハエを払っただけだっただろう。それは彼の前腕毛に潜ってる存在だから.focus これ全体に食べ物提供した気持ちじゃかなわなかっただろ。「次回隠れようと考えてみてください」と農夫が言った,0-1 1-3 3-9 6-5 9-13 10-12 11-18 19-28 21-21 22-22 23-23 24-24 26-26 27-35 29-36 30-37 33-43 34-44 35-45 36-46 37-49 40-53 41-54 42-55 49-58 51-66 53-71 56-69 57-74 58-75 59-77 61-87 62-84 65-79 66-80 71-90 74-91 76-62 77-97 78-104 89-107 90-86 92-106 95-121 99-126 100-128 103-145 106-136 117-140 121-158 128-130 131-151 134-135 137-147 138-167 143-149 144-178 145-144 152-187
9,"Where are they? Alec asked, shivering. It was 6.55 a.m. He'd left his jacket in his patrol car. There weren't any sheep over here, the farmer said, ignoring the question. He leapt over the bank, his boots slipping slightly on the incline. They normally love coming over here.",彼らはどこにいるのか？とアレックは震えながら尋ねた。それは朝の6時55分だった。彼は自分のパトカーにジャケットを置き忘れていた。「羊なんてこっちにはいないよ」と、農夫が質問を無視して言った。彼が土手を飛び越え、ブーツが勾配で少し滑った。「普通なら羊達、ここの方が好きなんだけどさ」,0-3 1-4 2-1 3-5 4-7 5-9 6-14 8-11 9-12 11-17 12-18 13-25 14-21 15-23 20-27 22-39 25-33 26-35 28-28 30-31 31-26 36-46 39-41 41-43 44-52 45-58 46-50 47-56 48-57 50-54 51-59 52-60 55-77 56-65 59-67 61-68 62-70 63-76 65-75 69-66 72-79 73-80 74-86 77-84
10,"And now their torches revealed the edge of a bank, right before the crest of a shallow stream that cut through the farmer's reclaimed marshland. Along its muddy edge and all around, the reeds sang with flies and crickets and buntings.",そして今、彼らのたいまつが農夫が再生した湿地を切り通す浅い流れの頂上すぐ手前にバンクの端を明らかにした。その泥だらけの端と全体はハエやコオロギ、鳴く小鳥で葦が囁いていた。,0-0 1-1 2-3 5-34 6-35 8-32 12-2 13-26 14-28 15-23 20-20 21-21 22-22 23-19 24-17 25-18 27-10 29-4 31-12 32-13 35-15 36-36 39-37 40-38 42-43 43-44 44-45 52-58 59-30 61-65
