id,source,translation,alignments
1,"Celui qui est sous ma joue est un manuscrit d’amour : c’est l’histoire d’un mec qui rencontre une fille mais il est marié et elle a un copain… J’en ai lu sept pages et je le connais déjà par cœur. Rien ne pourra me surprendre. Depuis des lunes, je ne lis plus, je relis. La même vieille bouillie dont on fait des « nouveautés », des saisons, des rentrées « littéraires », des succès, des bides, des bides. Du papier qu’on recycle, des camions qui partent le matin et qui rentrent le soir, bourrés de nouveautés déjà hors d’âge.",私の頬の下にあるのは、恋愛小説の原稿。男と女が出会い、男は結婚していて、女には彼氏がいるという物語……七ページ読めば、あとは読まなくてもわかる。はっと驚かされるような場面は出てこないだろう。ずっと前から、新たに読むというよりは再読。繰り返される「新作」、巡りくる季節、秋の文芸賞レース、当たっては外れ、そしてまた外れる。リサイクルに出す紙の山、時代遅れになった新作を満載し、朝に出発して、夜に帰ってくる何台ものトラック。,2-5 3-4 4-1 5-2 6-3 7-6 9-12 12-8 19-30 23-14 25-18 27-27 30-21 31-22 33-24 39-31 43-35 44-34 45-32 46-33 50-42 57-54 59-46 60-48 61-66 62-57 64-84 65-58 68-60 87-70 88-71 90-72 93-77 100-81 102-101 104-78 114-105 115-97 117-104 121-98 125-129 128-119 134-124 136-123 137-122 149-108 150-130
2,"Depuis combien d’années ai-je arrêté de sauter de joie à l’idée que j’allais découvrir un chef-d’œuvre et rentrer au bureau le lundi en étant un homme neuf ? Vingt ans ? Trente ans ? Je n’aime pas tenir ce genre de compte qui sent la mort. Si je ferme les yeux je vois la lueur jaune uniforme de la lampe de Perzel à travers mes paupières et puis des formes noires l’envahissent, construisant des ruines mouvantes, des dessins de Victor Hugo. Mon souffle ralentit, mon cœur se calme un peu, je pourrais m’endormir, mourir. Mourir à l’attache. On dirait : « Il est mort comme il a vécu, parmi les livres, en lisant ! » et, en vérité, je serais mort en rêvant à rien. Il y a bien bien longtemps que je ne lis plus vraiment. Est-ce que je sais seulement encore lire – ce qui s’appelle lire ? En suis-je seulement capable ? Si je tourne la tête sur le côté, mon cœur cogne davantage et fait trembler le bois…",これは傑作かもしれないという思いに喜び勇んで、新人のような気分で月曜日に出社することがなくなって何年になるだろう。二十年？三十年？死の匂いがするこの種の計算はする気になれなくなった。目を閉じれば、ベルゼルのデスク・スタンドの均一な黄色い明かりが瞼を透かしてばんやりと浮かび、やがてその光のなかに黒い物影が侵人してきて、ヴィクトル・ユゴーの素描にあるような流れゆく廃墟に形を変えていく。すると呼吸は遅くなり、心臓の動きもやや鎮まり、私はまどろみ、死ねるだろう。仕事につながれたまま死ぬのだ。「生きているときそのままに、本に囲まれ、本を読みながら、彼は死んだ！」と人は言うだろうし、実際、私は夢見ながら死ぬことはないだろう。ずいぶん前から、私はもう本など読んでいない。私はただ読むこと一ごくふつうに読むと呼ばれている行為一さえできているのだろうか。はたしてその能力さえあるのだろうか。顔を横向きにすると、心臓はさらに鼓動を速め、机を震わせる……,1-22 10-47 13-9 15-7 16-6 19-5 25-0 27-1 28-59 31-2 37-17 41-11 47-29 48-30 50-31 51-32 53-43 55-46 57-44 58-39 59-40 60-41 61-42 65-33 66-48 69-50 70-72 71-49 80-62 85-54 88-90 89-87 92-71 93-83 94-86 96-95 97-92 98-93 103-122 104-101 108-117 112-109 118-102 120-123 122-125 124-127 126-129 128-131 130-137 131-135 133-139 134-140 136-149 142-145 143-146 152-150 153-182 154-183 157-160 158-177 160-178 161-164 164-162 167-173 168-167 169-166 171-174 173-180 178-187 179-188 180-189 182-184 183-193 185-190 186-175 189-197 194-201 195-202 197-204 201-205 203-210 204-232 208-211 210-212 212-213 215-224 218-223 226-236 233-241 236-243 237-246 239-248 240-259 241-261 242-250 246-252 247-258 248-257 249-262
3,"La maison est plongée tout entière dans un silence de vieux papier. Comme la neige, les livres mangent les bruits. Mon métier a son odeur et ses étouffements. Je le respire encore mieux dans ce silence. Retourner au bruit du monde est toujours une épreuve.",社屋全体が古い紙の沈黙のなかに沈んでいる。書物は雪のように音を食べる。私の仕事には特有の匂いと息苦しさがある。この静けさのなかで仕事をしていると、それが一層強く感じられる。世界の物音に向き直るのは、いつも試練だ。,1-2 2-14 3-13 6-3 11-9 13-5 14-6 15-15 16-20 19-19 22-16 23-23 24-18 26-21 27-22 28-24 29-25 30-26 31-38 33-31 34-32 35-33 36-30 40-37 41-39 47-49 48-44 49-40 50-41 51-53 54-60 55-58 56-57 57-55 58-54 60-63 62-64 63-65 64-67
4,"Qui peut bien frapper ? Je ne reconnais pas cette frappe légère, petite, discrète. Petite main. – Entrez. Elle entre. Je ne l’ai jamais vue. J’ai aussitôt une bouffée de nostalgie, la nostalgie du temps où la maison était encore si petite que je reconnaissais toutes les filles par leurs mollets dans les couloirs. Elle a une bonne tête. Vu son regard étonné, la mienne doit être un rien froissée. Des marques rouges de la manche de ma veste sur ma joue, sans doute.",いったい誰だ、ノックするのは？こんなに軽くて、小さく、遠慮がちなノックの音にはむ当たりがない。小さな手。 「どうぞ」 入ってくる。ついぞ見かけない顔だ。にわかに懐かしさが湧き上がってくる。社がまだ小さく、廊下を歩く脚を見ればどの娘かわかった頃の郷愁。感じのいい顔だ。驚いたような目をしているところを見ると、私の顔にうっすら筋が刻まれているに違いない。おそらく、頬に上着の袖の跡がついているのだろう。,0-3 2-2 3-6 4-7 5-9 7-27 10-10 11-20 12-21 14-13 15-14 20-28 21-29 22-19 23-30 24-31 25-32 27-33 30-36 33-42 38-41 39-45 47-53 49-55 51-49 52-51 58-74 62-73 63-60 65-61 68-79 73-71 75-66 78-22 83-64 84-65 89-81 90-82 91-84 92-91 96-85 97-86 98-92 103-104 104-96 106-102 110-108 112-118 116-115 119-93 120-114 124-112 127-109 128-122
5,"– Je vous dérange ? – Je survivrai à votre passage, Mademoiselle. Qui êtes-vous ? – Ben, je suis la stagiaire ! – Dans quel service ? – On ne me l’a pas dit. Vous savez, nous les stagiaires, on abat tellement de boulot qu’on a intérêt à être polyvalents. – Vous voulez une augmentation ? – Non, je ne gagne rien.",「お邪魔ではありませんか？」 「きみが立ち寄ってくれたおかげで生き延びられるよ。ところできみは誰だい？」 「研修生ですけど！」 「どこの課かね？」 「まだ配属されてません。だって、私たち研修生はたくさんの仕事をこなして、多様な能力を身につけることが本分ですから」 「給料を上げてもらいたいのかね？」 「いいえ、まだ無給です」,0-0 1-1 2-3 5-5 6-6 8-15 10-18 11-12 12-13 13-2 15-8 18-20 19-25 23-28 24-29 28-32 32-31 33-34 34-35 36-36 37-38 38-40 39-41 46-46 47-45 48-47 51-49 52-50 54-51 56-52 63-55 76-68 78-73 79-71 81-72 82-76 83-77 84-79 85-80
6,"Elle est assez décoiffée, me semble-t-il, trouée au jean, colorée du reste. Elle est petite, elle a le regard noir, elle est sympathique, mais je serais bien en peine de dire si elle est jolie. Je ne sais plus lire ces filles-là non plus. Elle est vive. Normale Sup ? Métiers du livre – la machine à fabriquer mille Gaston Gallimard par an pour mieux les broyer ensuite ?",私が見るところ、彼女の髪はかなり乱れていて、穴の開いたジーンズをはき、表情は生き生きとしている。小柄で、瞳は黒く、気立てはよさそうだが、きれいかどうかと問われれば答えに窮する。そもそも、この頃の若い子はもう読めなくなった。潑剌としている。高等師範出だろうか？今流行りの本作り専攻だろうか？ぶれるのを承知で、年に何千ものガストン・ガリマール（文芸出版社ガリマール書店の創業者）を生み出すマシン。,0-5 2-7 3-8 5-9 13-11 17-16 18-18 19-22 22-13 24-29 32-34 33-36 34-33 36-35 38-46 39-45 46-54 47-53 48-48 51-47 52-57 53-1 55-68 56-66 57-67 58-60 59-64 64-70 66-65 68-75 71-71 72-81 75-76 77-85 82-86 86-103 89-108 91-98 92-96 96-92 98-90
7,"– Alors qu’est-ce que vous faites ici ? – J’aime bien les livres aussi ! Et puis il y avait une place. On doit faire un stage en entreprise. Obligatoire. – Et qu’est-ce que vous faites dans mon bureau, si ce n’est pas indiscret ? – C’est monsieur Meunier, le grand patron, qui m’a dit de… – Le grand patron ? Meunier ? – Vous ne le connaissez pas ? – Trop bien.",「それなら、ここに何をしに来た？」 「私、本も好きなんです！それに研修生のポストがありましたから。企業研修は受けなければならないんです。必修なんです」 「では、社長室まで何をしに来たのかね、不躾とは言わないが」 「会長のムニエさんに言われて……」 「会長？ムニエ？」 「ご存じないんですか？」 「知りすぎているくらいだ」,0-0 1-1 2-5 10-4 11-9 12-10 13-11 15-15 17-21 18-13 19-14 20-17 22-18 25-24 28-26 30-31 31-30 33-28 35-27 36-33 41-38 42-39 43-44 53-42 54-50 61-51 65-58 70-62 73-61 81-66 83-67 84-77 88-72 89-73 90-71 91-76 96-86 98-88 99-81 101-85 102-87
8,"– Non, gestion d’entreprises culturelles. – Vraiment ? Et vous voulez gérer l’édition ? Je vous souhaite bonne chance. – Je préférerais organiser des concerts. – Asseyez-vous. – Il faut que j’y aille, c’est vendredi. Il est tard. – Cinq minutes. Vous voulez organiser des concerts ? – Oui, c’est bien, la musique.",「いいえ、文化企業経営専攻です」 「え、そうなの？きみは出版社を経営したいのか?それなら幸運を祈るよ」 「できれば、コンサートの企画をやりたいんです」 「ま、おかけなさい」 「帰らなければならないんですけど、金曜日ですから。時間も遅いし」 「五分でいい。きみはコンサートの企画がやりたいのかね?」 「ええ、音楽はいいですよ」,0-0 1-2 2-3 3-6 6-5 8-4 11-11 12-14 15-16 16-19 18-23 19-22 23-20 24-25 27-30 29-28 30-33 31-34 36-39 38-37 39-38 41-43 42-47 43-48 47-51 48-52 50-55 52-54 57-57 61-60 62-62 64-66 65-65 67-69 69-70 70-71 71-74 74-80 76-78 77-79 78-85 79-86 80-88 81-89 85-92 88-90
9,"Longtemps j’ai croisé les pieds dessus pour un peu de détente, d’élévation, pour un peu plus de sang au cerveau, maintenant, il m’arrive de plus en plus souvent d’y poser la tête, surtout le soir, surtout le vendredi soir. Je croise les bras sur le manuscrit ouvert et je pose ma tête dessus, le front sur l’avant-bras et la joue sur le texte frais. Le bois du bureau amplifie les battements de mon cœur. Le vieux mobilier Art déco conduit bien les émotions et les fatigues. Ruhlman ? Leleu ? Il en a tant vu. J’écoute mon cœur, mon vieux cœur du vendredi, mon vieux cœur dans le silence de la maison. À cette heure, tout le monde est parti, je reste seul à bord, rincé, parce que je n’ai pas le courage de dresser la tour des manuscrits que je dois emporter pour le week-end. Comme chaque vendredi.",長いこと、私は少しでもリラックスし、気分を高め、脳にできるだけ多くの血液を送り込もうとして、交差させた両足を机の端に上げるのを習慣にしてきたのだが、今では、とくに夜、それも金曜の夜は、そこに顔を伏せることが多くなっている。広げた原稿の上に両腕を重ね、顔を載せるのである。額は前腕に、頬は書き上がったばかりの原稿に押しあてる。木製のデスクが搏動の音を増幅する。この古いアール・デコの家具が感情と疲労をうまくコントロールしてくれる。ルールマンだったか？ルルーだったか？こいつもいろいろな目に遭ってきたのだ。私は自分の心臓の音に耳をすます。金曜日の、私の老いた心臓、静まり返った社内に響く心臓の音。この時刻、みな出払い、私だけが居残って途方に暮れている。週末に持ち帰らざるをえない原稿をより分ける勇気がないからだ。金曜日はいつもそうだ。,0-1 3-4 7-7 9-28 13-5 15-6 16-8 22-11 28-16 29-33 30-12 31-41 32-42 33-43 37-61 42-60 45-56 46-59 48-57 52-47 53-48 54-49 55-52 56-50 57-53 58-62 63-71 64-69 65-68 66-67 70-75 72-74 76-79 77-83 80-81 82-82 86-98 91-99 93-123 96-111 97-113 103-167 106-115 107-116 112-130 113-129 116-125 118-126 120-127 121-122 122-132 123-133 125-137 126-138 128-139 129-142 134-148 135-150 136-151 139-152 144-170 147-172 153-156 154-155 159-186 160-187 161-188 174-173 185-220 188-219 191-183 192-215 193-216 198-207 208-205 209-230
10,"– Alors vous savez. C’est lui qui m’a dit de vous apporter ça. – Et qu’est-ce que c’est, ça ? – Ben, c’est une liseuse, un eBook, un iPad, je ne sais pas, moi. Il m’a dit qu’il avait mis tous vos manuscrits dedans pour le week-end et que ça vous ferait moins lourd. Vous voulez que je vous explique ? Regardez, c’est comme un écran avec tous vos manuscrits dessus. Ils sont sur l’étagère virtuelle en faux-vrai bois. Vous les touchez et ils s’ouvrent. Il y en a un paquet. Vous n’allez jamais lire tout ça en deux jours ! Regardez, le texte s’ouvre.",「だったら、問題ないですよね。これをあなたのところに持っていくように言われたんです」 「いったい何かね、これは？」 「ええと、タブレットとか、Eブックとか、iPad とか呼ばれてますけど、私もよく知りません。週末に読む原稿をここに全部入れておいたって言ってました。このほうがかさばらないからって。使い方を説明しましようか?ほら、この画面にあなたが読むすべての原稿が映し出されるんです。これはいかにも木製の棚みたいでしょう。タッチすれば開くようになっています。すると中に箱が入ってます。とても二日で読み切れる量ではありません！ほら、こうするとテクストが開きます」,0-0 1-1 3-5 4-6 13-13 17-7 19-16 30-21 31-22 32-23 33-24 34-25 35-28 42-31 44-32 45-33 48-36 52-46 53-47 55-44 56-48 61-62 65-60 66-57 68-8 69-53 70-54 75-50 76-49 85-70 93-76 94-80 96-82 97-83 98-99 101-106 102-104 104-85 106-89 107-87 108-91 111-108 113-115 114-118 119-119 120-123 127-102 131-109 138-143 147-122 154-88 157-126 158-124 159-125 160-132 162-134 163-135 168-142
