langs,inst1,inst5,karp1,karp5,hum1,mach1,html1
fr-pl,8.0,6.666666666666666,7.333333333333334,10.0,8.333333333333334,6.666666666666666,9.0
de-en,10.0,10.0,10.0,10.0,10.0,10.0,10.0
pl-en,10.0,10.0,10.0,10.0,10.0,10.0,10.0
fr-ja,10.0,10.0,9.0,9.666666666666666,9.0,10.0,7.333333333333334
zh-ja,10.0,8.333333333333334,9.0,10.0,10.0,10.0,8.0
cs-pl,7.0,6.333333333333334,6.0,7.666666666666666,8.0,7.666666666666666,6.333333333333334
ja-en,10.0,10.0,10.0,10.0,10.0,10.0,10.0
en-ja,10.0,10.0,10.0,10.0,10.0,10.0,8.0
ja-pl,6.0,3.0,5.333333333333333,0.0,7.0,5.0,5.0
ru-ja,9.666666666666666,10.0,9.0,10.0,9.0,9.0,5.0
ru-pl,10.0,8.333333333333334,10.0,8.333333333333334,10.0,10.0,9.0
en-pl,10.0,10.0,10.0,10.0,9.0,10.0,8.333333333333334
pl-ja,9.0,8.333333333333334,10.0,8.0,9.333333333333334,8.333333333333334,7.0
de-pl,10.0,9.0,10.0,3.0,9.333333333333334,10.0,9.333333333333334
ru-en,10.0,10.0,10.0,10.0,10.0,10.0,10.0
fr-en,10.0,10.0,10.0,10.0,10.0,10.0,10.0
de-ja,10.0,8.666666666666666,10.0,8.333333333333334,9.0,10.0,9.0
zh-en,10.0,10.0,10.0,10.0,10.0,10.0,10.0
