Source,GoogleTranslate,human1,human2,human3
Hun rejste sig op og tændte igen lyset med rystende hænder; jeg sad tilbage på sofaen og foretog mig ikke noget. Hvad ville der nu ske? Jeg følte mig i grunden meget dårligt tilpas.,She got up and turned on the light again with trembling hands; I sat back on the couch and did nothing. What would happen now? I basically felt very uncomfortable.,". . ."" She got up and lit the candle again with shaking hands. I sat there on the sofa, my mind blank. What would happen now? I was very ill at ease.","She rose, lit the candle again with trembling hands. I leant back on the sofa and did nothing. What would happen now? I was in reality very ill at ease.",. . .” She got up and lighted the candle again with trembling hands. I was left on the sofa doing nothing. What would happen now? I felt extremely ill at ease.
"Overhovedet ikke! svarede jeg, slet ikke! Der var bare sådan et dejligt Guds vejr, og så ville jeg bare en tur herud og hilse på ham.","Not at all! I replied, not at all! There was just such a nice God weather and then I just wanted a trip out here and greet him.","""No, no!"" I answered. "" Certainly not! It was just that God has sent us such marvelous weather, and I wanted to walk out and say hello.""","""Not at all,"" I replied, ""not at all. "" It was only just that it was such glorious God's weather that I thought I would come out and make a call.","“Not at all!” I answered, “not at all. We just were having such a lovely God’s weather that I felt like walking out here to pass the time of day.”"
"Måske kom der en mulighed for husly senere på aftenen. Det hastede ikke; i værste fald kunne jeg søge ud i skoven et sted, jeg havde hele byens omegn at ty til, og der var ikke kuldegrader i luften.","Maybe there came an opportunity for shelter later in the evening. It was not urgent; at worst, I could seek out the forest somewhere I had the entire city area to resort to, and there were no freezing temperatures in the air.","Perhaps some possibility of a bed would turn up when it was nearer evening. There was no hurry; at the worst, I could always find a place out in the woods; the entire environs of the city were at my disposal and the weather could not be regarded as cold yet.","Maybe as night drew on a way could be found to procure shelter. There was no hurry; at the worst, I could seek a place out in the woods. I had the entire environs of the city at my disposal; as yet, there was no degree of cold worth speaking of in the weather.","Perhaps something would turn up in the way of shelter later in the evening. There was no hurry; at worst I could take to the woods somewhere, I had the entire city environs to choose from and there was no frost in the air."
"Jeg bliver skødesløst fræk, jeg tager endda et skridt fremad fra husvæggen for at gøre ham opmærksom på mig. Og jeg gør det ikke for at vække medlidenhed, men for at håne mig selv, stille mig i gabestokken; jeg kunne have væltet mig selv omkuld i gaden og bedt „Kommandanten“ spadsere hen over mig, træde på mit ansigt. Jeg siger ikke engang god aften.","I get carelessly naughty, I even take a step forward from the house wall to make him aware of me. And I do it not to arouse pity, but to mock myself, to put myself in the gallows; I could have knocked myself over in the street and asked the ""Commander"" to walk over me, step on my face. I'm not even saying good evening.","I became shameless and took a step out from the house wall to make sure he would notice me. I did that not to awaken pity but simply to humiliate myself, to put myself in the stocks. I could easily have flopped down in the street also and invited the Chief to walk over me, step on my face. I didn't even say good evening to him.","I take yet a step farther from the wall in order to make him notice me. I do not do it to awake his compassion, but to mortify myself, place myself, as it were, on the pillory. I could have flung myself down in the street and begged him to walk over me, tread on my face. I don't even bid him good-evening.","With casual audacity, I even move a step away from the wall to make him aware of me. I don’t do it to awaken his compassion but to mock myself, make myself an object of derision. I could have thrown myself in the gutter and asked the “Commander” to walk over me, to trample on my face. I don’t even say good evening to him."
Ja ja! svarede jeg.,Yes yes! I replied.,"""Yes, yes!"" I answered.","""Yes, yes,"" I replied.","“All right,” I answered."
Der gik et par dage.,A few days passed.,A couple of days went by.,A few days passed over.,A few days went by.
Pause.,Break.,Pause.,After an interval.,Pause.
"Jeg går hen til døren. Hm. Han måtte meget undskylde, at jeg havde spildt hans tid med det her ... Jeg bukker og tager fat i dørhåndtaget.",I go to the door. Hm. He had to apologize a lot for wasting his time with this ... I bend over and grab the door handle.,I walked to the door. Hmm. He had to forgive me for having wasted his time with this. . . . I bowed and reached for the knob.,"I go towards the door. Hem--he must pray forgive me for having taken up his time with this ... I bow, and turn the door handle.",I walk up to the door. Hmm. He had to excuse me for taking up his time with this. . . . I bow and put my hand on the doorknob.
Nu er ekspedienten og jeg alene.,Now the clerk and I are alone.,The clerk and I were now alone.,Now the shop-boy and I are alone.,The clerk and I are now alone.
Så bliver den slukket.,Then it goes off.,"""Then it goes out.""","""Then it goes out!""",“Then it goes out.”
"Jeg spørger efter Kierulf, Joachim Kierulf for at være præcis, en uldhandler, kort sagt, han var ikke til at tage fejl af ...","I'm asking for Kierulf, Joachim Kierulf to be exact, a wool merchant, in short, he was not to be mistaken ...","""I am looking for Kierulf, Joachim Kierulf, he is a wool buyer, if I might add that, not the sort of man you'd ever forget. . .""","I inquire for Kierulf--Joachim Kierulf, if I might add further--a wool- dealer; in short, not a man one could make a mistake about....","I ask for Kierulf, Joachim Kierulf, if she would oblige, a trader in wool—in short, there was no mistaking him."
"Mine knæ rystede voldsomt, og jeg støttede mig mod den lille polerede skranke. Jeg blev nødt til at forsøge mig endnu en gang. Hvorfor var det lige hans navn, der skulle falde mig ind, da jeg stod langt nede i Vaterland? Det rykkede nogle gange i min venstre side, og jeg begyndte at svede. Hm. Jeg var virkelig særdeles forkommen, sagde jeg, temmelig syg, desværre; der ville sikkert ikke gå mere end et par dage, før jeg kunne betale det tilbage. Ville han dog ikke være så venlig?","My knees shook violently and I leaned against the small polished counter. I had to try again. Why was it just his name that had to come to mind when I was standing far down in Vaterland? It jerked a few times in my left side and I started sweating. Hm. I was really extremely upset, I said, pretty sick, unfortunately; it would probably not take more than a few days before I could pay it back. Wouldn't he be so kind, though?","My knees shook violently and I leaned against the little polished rail. I had to try once more. Why should his particular name have occurred to me when I was standing down there in Vaterland Street? I felt some twinges of pain in my left side, and I started to sweat. Hmm. ""I am really very weak,"" I said. "" Unfortunately a little ill; but certainly it would be no more than two or three days before I could pay it back. Would it be too much to ask. . . ?""","My knees trembled fearfully, and I supported myself against the little polished barrier. I must try once more. Why should just his name have occurred to me as I stood far away from there in ""It won't be I that will do that,"" he observed; adding, ""and let me tell you, at the same time, I've had about enough of this.""","My knees shook violently and I leaned against the small polished counter. I had to try once more. Why should exactly his name occur to me as I was standing way down in the Vaterland section? I felt repeated twitches in my left side and I started perspiring. Hmm. I was really terribly rundown, I said, quite sick, I was afraid. It would almost certainly be no more than two or three days before I could pay him back. If he would be so kind?"
