id,source,target,n2m
1,«Лжешь»! подумал я.,「嘘つきだ」と私は思った。,1-1
2,"Брелоки и перстень на мизинце плохо вязались с письмом ради куска хлеба, да и по лицу Камышева пробежала чуть заметная, уловимая опытным глазом тучка, которую можно видеть на лицах только редко лгущих людей.",キーホルダーと小指のリングは、一片のパンのための手紙とはそぐわなかった。 カミシェフの顔を走る、目立ちにくいが経験豊富な目で捕らえられる雲もそうだ。 これは、滅多に嘘をつかない人々の顔にしか見えないものだ。,1-3
3,Какой сюжет вашей повести? спросил я.,「あなたのストーリーは何ですか？」と私が尋ねた。,1-1
4,Сюжет.,「ストーリー。。。,1-1
5,Как бы вам сказать?,どう言って良いかわからない。,1-1
6,Сюжет не новый.,新しいストーリーではありません。。。,1-1
7,"Любовь, убийство.",愛情、殺人。。。,1-1
8,"Да вы прочтете, увидите.",読んでみてください、ですから。。。,1-1
9,«Из записок судебного следователя».,(裁判官用語で)「法廷調査員メモ」です…」,1-1
10,Камышев вскинул на меня своими добрыми глазами и тихо засмеялся.,カミシェフは私に優しい目で見上げ、静かに笑った。,1-1
11,Надоедная служба.,「厳しい任務だよね…,1-1
12,"Служил-служил, махнул рукой и бросил.",働き続けてたら、手を振って辞めました。,1-1
13,"Занятий у меня теперь нет, есть почти нечего.",今は時間があるけど、食べるものがあまりないんです…,1-1
14,"И если вы, минуя достоинства, напечатаете мою повесть, то сделаете мне больше, чем одолжение.",だからあなたが私の物語を印刷すると決めたら、それはただの恩恵以上のことで…,1-1
15,Вы поможете мне.,助けてくれるんです…,1-1
16,"Газета не богадельня, не странно-приимный дом.",新聞社は慈善団体でもシェルターでもありません。,1-1
17,"Я это знаю, но.",それはわかっていますが…,1-1
18,уж вы будьте так добры.,どうかお願いします…,1-1
19,Очень рад. Чем могу быть полезен?,– とてもうれしいです…,2-1
20,"Желающий попасть в начинающие сел и продолжал, глядя на пол своими умоляющими глазами: Я притащил к вам маленькую повесть, которую мне хотелось бы напечатать в вашей газете.",何かお手伝いできることはありますか？ 農村への移住を希望する人が床にじっと見つめながら切実に訴えました： – 小説を一つ、あなた方の新聞に掲載したくて持ってきました。,2-1
21,"Я вам откровенно скажу, г. редактор: написал я свою повесть не для авторской славы и не для звуков сладких.",正直に申し上げます、編集者様、 私は名声や甘美な評価を求めて自分の作品を書いているわけではありません…,1-1
22,Для этих хороших вещей я уже постарел.,そのような素晴らしい報酬のためだけではもう老齢すぎます。,1-1
23,Вступаю же на путь авторский просто из меркантильных побуждений.,単純に金儲けから作者としての道へ進み出す…,1-1
24,Заработать хочется.,収入が欲しいんです…,1-1
25,Я теперь решительно никаких не имею занятий.,現在僕は全く無職です。,1-1
26,"Был, знаете ли, судебным следователем в С-м уезде, прослужил пять с лишком лет, но ни капитала не нажил, ни невинности не сохранил.",実は知ってるかどうかわからないけど、S地区で法廷調査員を5年以上務めた経歴があるんだ。 でも富も築けず、清廉さも保つことができませんでした。。。,1-2
27,"«Как, однако, он много говорит!» подумал я, протягивая руку к перу и тем давая знать, что мне некогда.",「彼は、とにかく、多くを話すなあ！」と私が考えつつ、手をペンに伸ばして、時間がないことを示しました。,1-1
