id,source,translation,n2m
1,ミホは、今では結婚して地元に中古の一戸建てを買っていて、そこに友達がよく集まっている。,"Miho jest teraz mężatką i kupiła używany dom jednorodzinny w swoim rodzinnym mieście, gdzie często spotykają się jej przyjaciele.",1-1
2,明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の「普通の三十代女性」と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。,"Czasami czuje niechęć, bo jutro znowu ma dorywczą pracę, ale to jest jej jedyny punkt kontaktu ze światem poza sklepem typu konbini i cenną okazją do interakcji z innymi ""zwykłymi kobietami w wieku trzydziestu kilku lat"", więc stara się reagować na zaproszenia Miho.",1-1
3,今日も、ミホと、まだ小さい子供を連れたユカリ、結婚しているが子供はまだのサツキと私、というメンバーで、ミホの家にケーキを持ち寄ってお茶をしていた。,"Dzisiaj też ja, Miho i Yukari, która przyszła z małym dzieckiem oraz Satsuki, która jest mężatką bez dzieci spędziły czas na herbacie w domu Miho przynosząc ciasta.",1-1
4,そのとき、私は、初めて、世界の部品になることができたのだった。,"W tamtym momencie, po raz pierwszy, mogłem stać się częścią świata.",1-1
5,私は、今、自分が生まれたと思った。,"Wówczas, pomyślałem, że się urodziłem.",1-1
6,世界の正常な部品としての私が、この日、確かに誕生したのだった。,"Ja jako normalna część świata, na pewno urodziłem się tego dnia.",1-1
7,オープンまでの二週間、二人組になったり、社員を相手にしながら、架空の客に向かって、ひたすら練習が続いた。,"Przez dwa tygodnie do otwarcia, przechodziliśmy treningi w parach i z pracownikami korporacyjnymi, obsługując fikcyjnych klientów.",1-1
8,「お客様」の目を見て微笑んで一礼すること、生理用品は紙袋に入れること、温かい物は冷たい物と分けて入れること、ファーストフードを頼まれたら手をアルコールで消毒すること。,"Uczyliśmy się takich rzeczy jak patrzeć w oczy klientów i uśmiechać się z szacunkiem, wkładać produkty higieniczne do papierowych torebek, oddzielać ciepłe przedmioty od zimnych czy dezynfekować ręce alkoholem po zamówieniu fast foodu.",1-1
9,お金に慣れるためにとレジの中には本物のお金が入っていたが、レシートには「トレーニング」と大きく印字されていたし、相手は同じ制服を着たアルバイト仲間だし、なんとなくお買いものごっこをしているようだった。,"Do kas fiskalnych wkładano prawdziwe pieniądze dla lepszego przyzwyczajenia się do ich obsługi. Chociaż na paragonach był wyraźnie napisane ""trening"", a naszymi ""klientami"" byli koledzy z pracy w tym samym mundurze, cała sytuacja przypominała trochę zabawę w sklep.",1-2
10,二つ年下の妹は、私と違って、「普通」の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。,"Moja młodsza o dwa lata siostra była ""normalnym"" dzieckiem, różniącym się ode mnie. Nie to jednak, że unikała mnie, wręcz przeciwnie darzyła mnie czułością.",1-2
11,妹が私と異なり普通のことで母に叱られているとき、母に私は近づいて「どうして怒っているの？」と理由を尋ねた。,"Kiedy mama karciła siostrę za normalne rzeczy, które różniły nas od siebie, podchodziłam do niej i pytałam: ""Dlaczego jesteś zła?"".",1-1
12,私が母に質問したせいでお説教が終わると、庇かばわれたと思うのか、妹はいつも私に「ありがとう」と言った。,"Gdy skończyło się pouczanie przez moje pytanie do matki, siostra zawsze mówiła mi ""dziękuję"", myśląc chyba, że ją broniłam.",1-1
13,お菓子や玩具にあまり興味がなかった私は、それらを妹にあげることも多かった。,Ja nie wykazywałam dużego zainteresowania cukierkami czy zabawkami i często je ofiarowywałam mojej siostrze.,1-1
14,そのため、妹はいつも私についてまわっていた。,Dlatego moja siostra zawsze mnie podążała za mną.,1-1
15,「お父さん、焼き鳥好きだから、今日、これを焼いて食べよう」 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"""Tato, lubisz przegrzewane kurczaki, więc dzisiaj ugotujmy i zjedzmy to"". Czy mogłem go słabo usłyszeć, powtórzyłem wyraźnie swoją wymowę, a moja matka była zaskoczona. Czy inne dzieci obok ich matek były również zaskoczone? Ich oczy, nozdrza i usta otworzyły się na raz.",1-4
16,変な顔だったので笑いそうになったが、その人が私の手元を凝視しているのを見て、そうか、一羽じゃ足りないなと思った。,"Chciałem się śmiać widząc te dziwne twarze, ale patrząc jak ci ludzie wpatrują się w moi nadgarstki pomyślałem sobie ""Aha, jednego ptaka nie będzie wystarczająco"".",1-1
