id,source,translation,n2m
1,"Nie wyjdzie stamtąd, mówię wam powiedział pryszczaty, z przekonaniem kiwając głową.",「そこから出ない、私たちに言う」と、髭のある男が確信を持って首を振った。,1-1
2,"Już godzina i ćwierć, jak tam wlazł.",「1時間と15分、彼がそこに入った。,1-1
3,Już po nim.,もう後です。,1-1
4,"Mieszczanie, stłoczeni wśród ruin, milczeli wpatrzeni w ziejący w rumowisku czarny otwór, w zagruzowane wejście do podziemi.",町民たち、 руїнахの中で黙って、黒い穴を見つめていた。,1-1
5,"Grubas w żółtym kubraku przestąpił z nogi na nogę, chrząknął, zdjął z głowy wymięty beret.",黄色い帽子をかぶった男は、足を移して、胸騒ぎをして、帽子を取り除いた。,1-1
6,"Poczekajmy jeszcze powiedział, ocierając pot z rzadkich brwi.",「まだ待って下さい」と彼は言い、珍しい眉毛をなでた。,1-1
7,Na co? prychnął pryszczaty.,「何ですか？」と彼は尋ねた。,1-1
8,"Tam, w lochach, siedzi bazyliszek, zapomnieliście, wójcie? Kto tam wchodzi, ten już przepadł.",「穴にはバジリスクが座っている、あなたたちは忘れたのか？誰かが入ると、もう戻らない。,2-1
9,Mało to ludzi tam poginęło? Na co tedy czekać?,多くの人が死んだのに、どうして待つのか？」と不安になって喋った。,2-1
10,Umawialiśmy się przecie mruknął niepewnie grubas.,「私たちは合意したのです」と背の低いグループの男性は言った。,1-1
11,Jakże tak?,「どうして？」と彼は尋ねた。,1-1
12,"Z żywym się umawialiście, wójcie rzekł towarzysz pryszczatego, olbrzym w skórzanym, rzeźnickim fartuchu.",「生き物と合意したのです」と、大きな肉屋の服を着た仲間が答えた。,1-1
13,"A nynie on martwy, pewne to jak słońce na niebie.",「そして彼は死んでしまった、確かに太陽のように明らかです。,1-1
14,"Z góry było wiadomo, że na zgubę idzie, jako i inni przed nim.",他の人達と同じように、彼も敗北することが予想されました。,1-1
15,"Przecie on nawet bez zwierciadła polazł, z mieczem tylko. A bez zwierciadła bazyliszka nie da się zabić, każdy to wie.",ただ、彼は鏡を持っていないで出かけたのですから、彼には私たちが知らない力があるのです」。,2-1
16,"Zaoszczędziliście grosza, wójcie dodał pryszczaty.",「節約した Grosza を持っています、呼んだ pryszczaty。,1-1
17,Bo i płacić za bazyliszka nie ma komu. Idźcie tedy spokojnie do dom.,bazyliszka を支払うのに誰もいないので、安心して家に帰りましょう。,2-1
18,"A konia i dobytek czarownika my weźmiemy, żal dać przepadać dobru. Ano powiedział rzeźnik.",そして、我々は czarownika の馬と財産を取り戻します、彼らを貪るのは避けます」「はい、そうです」と答えた rzeźnik。,2-1
19,"Sielna klacz, a i juki nieźle wypchane.",「素晴らしい klacz、そして juki は非常に充実しています。,1-1
20,"Zajrzyjmy, co w środku. Jakże tak? Coście? Milczcie, wójcie, i nie mieszajcie się, bo guza złapiecie ostrzegł pryszczaty.",中に見に行こうか、何かがあるかどうか」「どうしてそうなの？何かあるのか？」と pryszczaty は警告した。,4-1
21,"Sielna klacz powtórzył rzeźnik. Zostaw tego konia w spokoju, kochasiu. Rzeźnik odwrócił się wolno w stronę obcego przybysza, który wyszedł zza załomu muru, zza pleców ludzi, zgromadzonych dookoła wejścia do lochu.",「味方を信じて、騒ぐな、それでも guza に捕まることになる」「素晴らしい klacz」と rzeźnik は powtórzył。「この konia を安心させておくれ、大切にしましょう。」rzeźnik は、人々が集まっている前で、背中を向けて，外国人を見つけた。彼は loch の入り口へ向かって歩き始めました。,3-1
22,"Obcy miał kędzierzawe, gęste, kasztanowate włosy, brunatną tunikę na watowanym kaftanie, wysokie, jeździeckie buty.",異国人は、けんたんな、あつい、かすたんな髪をしていて、ぶなわたんなチュニックを着て、たかい、じょうどうのブーツを履いていました。,1-1
23,I żadnej broni.,そして、武器はありませんでした。,1-1
24,"Odejdź od konia powtórzył, uśmiechając się zjadliwie.",「おれです」と笑顔で繰り返しました。,1-1
25,"Jakże to? Cudzy koń, cudze juki, cudza własność, a ty podnosisz na nie swoje kaprawe oczka, wyciągasz ku nim parszywą łapę? Godzi się tak?",「どうしてこうなるの？私の馬、私の衣服、私の所有物に手を上げるのはどうしたものか？」と尋ねました。,3-1
26,"Pryszczaty, powoli wsuwając rękę za pazuchę kurty, spojrzał na rzeźnika.",「プリシャッと、ゆっくりと袖を引っ込み、手を肩に乗せて，屠殺人に見向きました。,1-1
27,"Rzeźnik kiwnął głową, skinął w stronę grupy, z której wyszło jeszcze dwu, krępych, krótko ostrzyżonych. Obaj mieli pałki, takie, jakimi w rzeźni głuszy się zwierzęta.",屠殺人は首を振り，集団の方向に指さしました。 その中から二人の短髪の男が出てきて，棍棒 を持っていました。,2-2
28,"Ktoście to niby spytał pryszczaty, nie wyjmując ręki zza pazuchy żeby nam prawic, co się godzi, a co nie? Nic ci do tego, kochasiu. Broni nie nosicie.",「誰かが私たちを殺しに来ると思っているのか？」と聞いた、彼はまだ笑顔で、手を胸の下に隠していなかった。「私たちには何かを与えることができますか？」と彼女は聞いた。,3-1
29,Prawda obcy uśmiechnął się jeszcze zjadliwiej.,「何かを与えることができますか？」と彼女は繰り返した。 「それは悪いことです」と彼は答えた。,1-2
30,"Nie nosze. To niedobrze pryszczaty wyjął rękę zza pazuchy, razem z długim nożem.",「私たちはそれをしない」と彼女は言い、手を引き抜いて、長いナイフを見せた。 「私たちはそれをしない」と彼女は繰り返した。,2-2
31,"To bardzo niedobrze, że nie nosicie.",「それは悪いことです」と彼は答えた。,1-1
32,"Rzeźnik też wyciągnął nóż, długi jak kordelas. Tamci dwaj postąpili do przodu, unosząc pałki.",「私たちはそれをしない」と彼女は言い、手を引き抜いて、長いナイフを見せた。 「私たちはそれをしない」と彼女は繰り返した。,2-2
33,"Nie muszę nosić rzekł obcy, nie ruszając się z miejsca.",「それは悪いことです」と彼は答えた。 「私たちはそれをしない」と彼女は言い、手を引き抜いて、長いナイフを見せた。,1-2
