id,source,target,n2m
1,"Patrzy na rodzinę, same dziewczynki, matka z dzieckiem przy piersi zsiada właśnie niezgrabnie z fury i furman pogania ją, bo fura zaraz musi wracać po innych na przedmieścia.","She looks at a family of girls, a woman with a child at her breast just climbing down awkwardly from her cart, the driver chasing her off because he has to take the cart back right away to pick up others on the outskirts of town.",1-1
2,"Spada tobołek, który miała na plecach, i wysypuje się stamtąd trochę zszarzałych szmat i pojedynczy sznurek korali, drobnych, pociemniałych.","The bundle she had on her back falls down, and a few faded rags and a single string of beads, small and dimmed, tumble out of it onto the ground.",1-1
3,"Kobieta zbiera je zawstydzona, jakby właśnie oczom świata odsłoniła swoje najniedostępniejsze sekrety.","The woman gathers them back up in embarrassment, as if she had suddenly bared her most inaccessible secrets to the eyes of the world.",1-1
4,"Deymowa mija ją i nagle podbiega do niej chłopczyk, może sześcio-, siedmioletni, i patrząc na nią uśmiechniętymi oczami, bardzo z siebie zadowolony, mówi: ""Niech będzie pochwalony Jezus Chrystus!"".","As Deymowa passes her, a little boy suddenly runs up—he looks like he might be six or seven—and looking at her with smiling eyes, very pleased with himself, he says, ""Praised be our Lord Jesus!""",1-1
5,"Ona zaś odpowiada automatycznie, ale i uroczyście: ""Na wieki wieków, amen"".","She responds automatically, but solemnly, too: ""Forever and ever, amen.",1-1
6,I już chwyta się za serce i łzy nabiegają jej do oczu.,"And her hand flies up to her heart, and her eyes fill with tears.",1-1
7,"Kuca przy chłopcu, chwyta go za nadgarstki, a ten patrzy jej prosto w oczy pełne łez, dalej uśmiechnięty, mały łobuziak.","She squats down beside the boy, grabs him by the wrists, and he looks her straight in the eye, still smiling, that little rascal.",1-1
8,"Wyrastają przed nimi pierwsze zabudowania, nagle, bez ostrzeżenia.","Suddenly, without warning, the first buildings appear in front of them.",1-1
9,"Widać mgła zmienia poczucie odległości, bo zaskoczona tym wydaje się sama Kaśka.","Evidently the fog changes all perception of distance, as even Kaśka seems confused.",1-1
10,"Nagle skacze, szarpiąc dyszlem, i gdyby nie stanowcza reakcja Roszka i jego bat, wywróciłaby kolaskę.","She lurches, yanking the drawbar, and were it not for Roshko's firm hand and whip, she would have overturned the britchka.",1-1
