id,source,target,n2m
1,"Deux autres petites photos à bords dentelés, datant vraisemblablement de la même année, montrent la même enfant, mais plus menue, dans une robe à volants et manches ballon.","Two other small photos with serrated edges, very likely taken the same year, show the same child, slimmer, in a flounced dress with puff sleeves.",1-1
2,"Sur la première, elle se blottit de façon espiègle contre une femme au corps massif, d'un seul tenant dans une robe à larges rayures, les cheveux relevés en gros rouleaux.","In the first one, she nestles playfully against a stout woman, whose body is a solid mass in a wide-striped dress, her hair swept up in two big buns.",1-1
3,"Sur l'autre, elle lève le poing gauche, le droit est retenu par la main d'un homme, grand, en veste claire et pantalon à pinces, à la posture nonchalante.","In the other photo, the child's left hand is raised, fist closed, the right one held back by the hand of a man. He is tall with a light-colored jacket and pleated trousers, his bearing nonchalant.",1-2
4,"Les deux photos ont été prises le même jour devant un muret surmonté d'une bordure de fleurs, dans une cour pavée.","Both photos were taken on the same day in a cobbled courtyard, in front of a low wall with a floral border along the top.",1-1
5,Au-dessus des têtes passe une corde à linge sur laquelle une épingle est restée accrochée.,"A clothesline hangs above their heads, a clothespin still hooked over it.",1-1
6,"Une autre photo, signée du même photographe mais le papier du livret est plus ordinaire et le liseré d'or a disparu —, sans doute vouée à la même distribution familiale, montre une petite fille d'environ quatre ans, sérieuse, presque triste malgré une bonne bouille rebondie sous des cheveux courts, séparés par une raie au milieu et tirés en arrière par des barrettes auxquelles sont attachés des rubans, comme des papillons.","Another photo, stamped by the same photographer—the folder is of lesser quality, the gold border has disappeared—and probably destined for the same distribution within the family, shows a little girl of about four, serious, almost sad despite her nice plump face under short hair, parted down the middle and pulled back with barrettes to which little bow-ties are attached, like butterflies.",1-1
7,"La main gauche repose sur la même table sculptée, entièrement visible, de style Louis XVI.","Her left hand rests on the same carved Louis XVI–style table, which is fully visible.",1-1
8,"Elle apparaît boudinée dans son corsage, sa jupe à bretelles remonte par-devant à cause d'un ventre proéminent, peut-être signe de rachitisme (1944, environ).","She bulges out of her bodice, her skirt with shoulder straps hiked up a little over a protuberant belly, possibly a sign of rickets (circa 1944).",1-1
9,Les garçons étaient fiers de partir au régiment et on les trouvait beaux en soldats.,Boys were proud to leave for their military service. We thought they looked handsome in their uniforms.,1-2
10,"Le soir du conseil de révision, ils faisaient la tournée des cafés pour célébrer la gloire d'être reconnus comme de vrais hommes.","On recruitment night, they made the rounds of the cafés to celebrate. It brought them glory to be recognized as real men.",1-2
11,"Avant le régiment, ils étaient encore des gamins et ne valaient rien sur le marché du travail et du mariage.","Before military service, they were still considered kids, devoid of status in the labor or marriage market.",1-1
12,"Après, ils pourraient avoir une femme et des enfants.","Afterwards, they could have a wife and children.",1-1
13,L'uniforme qu'ils promenaient dans le quartier lors des permissions les enveloppait de beauté patriotique et de sacrifice virtuel.,The uniform they paraded through the neighborhood when they were on furlough lent them an aura of beauty and virtual sacrifice.,1-1
14,"L'ombre des combattants vainqueurs, des GI, flottait autour d'eux.","The shadow of the victorious veterans, the GIs, hovered over them.",1-1
15,"Le drap rêche de la vareuse, effleurée quand on se hissait sur la pointe des pieds pour les embrasser, matérialisait la coupure absolue entre l'univers des hommes et celui des femmes.",The rough cloth of the jacket we brushed against as we stretched up to kiss them made tangible the absolute division between the worlds of men and women.,1-1
16,À les voir on éprouvait un sentiment d'héroïsme.,When we looked at them we had a sense of heroism.,1-1
17,"Sous l'immuabilité, les affiches du cirque de l'année dernière avec la photo de Roger Lanzac, les images de première communion distribuées aux camarades, le Club des Chansonniers sur Radio Luxembourg, les jours se remplissaient de désirs nouveaux.","Beneath the surface of the things that never changed, last year's circus posters with the photo of Roger Lanzac, First Communion photos handed out to schoolmates, the Club des chansonniers on Radio Luxembourg, our days swelled with new desires.",1-1
18,"Le dimanche après-midi, on s'agglutinait à la vitrine du magasin d'électricité générale devant la télévision.","On Sunday afternoons, we crowded around the windows of the general electrics shop to watch television.",1-1
19,Des cafés investissaient dans l'achat d'un poste pour attirer la clientèle.,Cafés invested in TV sets to lure clientele.,1-1
20,Au flanc des collines serpentaient des pistes de motocross et l'on regardait monter et descendre les engins assourdissants la journée entière.,"Motocross trails wound up and down the hills, and we watched the deafening machines race all day.",1-1
21,"L'impatience grandissante du commerce avec ses nouveaux mots d'ordre, « initiative », « dynamisme », secouait le train-train des villes.","Commerce grew increasingly impatient and galvanized the daily routine of towns and cities with new watchwords such as ""initiative"" and ""dynamism.",1-1
22,"Entre la fête foraine et la kermesse, la Quinzaine commerciale s'installait comme rite de printemps.","The two-week trade fair became a fixture among the more traditional rites of spring, the funfair and the church bazaar.",1-1
23,"Dans les rues du centre, les haut-parleurs beuglaient des incitations à acheter, entrecoupées de chansons d'Annie Cordy et d'Eddie Constantine, pour gagner la Simca ou la salle à manger.","Loudspeakers bellowed sales pitches through the streets of the town center, interspersed with songs by Annie Cordy and Eddie Constantine. Buy, we were urged, to get a chance to win a Simca or a dining room suite.",1-2
24,"Sur le podium, place de la Mairie, un animateur local faisait rire avec les blagues de Roger Nicolas et de Jean Richard, rameutait des candidats pour le Crochet ou Quitte ou double, comme à la radio.","From the podium in front of the town hall, a local presenter entertained the crowd with the jokes of Roger Nicolas and Jean Richard, and rounded up candidates for quiz shows, The Hook or Double or Nothing, as on the radio.",1-1
25,Assise dans un coin du podium trônait sous sa couronne la Reine du Commerce.,"From a corner of the podium, the Queen of Commerce ruled from beneath her crown.",1-1
26,La marchandise avançait sous les couleurs de la fête.,The world of merchandise took advantage of the holiday to stake its claim.,1-1
27,"Les gens disaient « ça change » ou « il ne faut pas s'encroûter, on s'abrutit à rester chez soi ».","People said, ""Gets you out of the house,"" and ""It's a nice change, you don't want be an old stick-in-the-mud.",1-1
28,"Mais ils ne parlaient que de ce qu'ils avaient vu, qui pouvait se revivre en mangeant et buvant.",But they only spoke of what they had seen and could re-live while eating and drinking.,1-1
29,Ils n'avaient pas assez de talent ou de conviction pour parler de ce qu'ils savaient mais qu'ils n'avaient pas vu.,They lacked the talent and conviction to speak of things they'd been aware of but had not seen.,1-1
30,"Donc ni des enfants juifs montant dans des trains pour Auschwitz, ni des morts de faim ramassés au matin dans le ghetto de Varsovie, ni des 10 000 degrés à Hiroshima.","Therefore, no Jewish children boarding trains for Auschwitz, nor bodies of starvation victims collected every morning from the Warsaw Ghetto, nor Hiroshima's 10,000 degrees.",1-1
31,"D'où cette impression que les cours d'histoire, les documentaires et les films, plus tard, ne dissiperaient pas : ni les fours crématoires ni la bombe atomique ne se situaient dans la même époque que le beurre au marché noir, les alertes et les descentes à la cave.","Whence our impression, which later history courses, documentaries, and films failed to dispel, that neither the crematoria nor the atomic bomb belonged to the same timeline as black market butter, air-raid warnings, and descents to the cellar.",1-1
32,"Ils embrayaient par comparaison sur la guerre d'avant, la Grande, celle de 14, gagnée, elle, dans le sang et la gloire, une guerre d'hommes que les femmes de la table écoutaient avec respect.","They started to make comparisons with the other war, 1914, the Great War, won in blood and glory, a man's war, and around the table the women listened to the men with respect.",1-1
33,"Ils parlaient du Chemin des Dames et de Verdun, des gazés, des cloches du 11 novembre 1918.","They spoke of Chemin des Dames and Verdun, the gassed soldiers, the bells of November 11, 1918.",1-1
34,Ils nommaient des villages dont pas un enfant parti au front n'était revenu.,"They named villages whose children left for the Front, never to return, not one.",1-1
35,"Ils opposaient les soldats dans la boue des tranchées aux prisonniers de 40, au chaud et à l'abri pendant cinq ans, qui n'avaient même pas reçu de bombes sur la tête.","They compared the soldiers in the mud-filled trenches with the prisoners of 1940, warm and sheltered for five years without a bomb ever landing on them.",1-1
36,Ils se disputaient l'héroïsme et le malheur.,They quarreled over who had been more heroic and who more unlucky.,1-1
37,"Les enfants n'écoutaient pas et se dépêchaient de quitter la table dès qu'ils en avaient reçu la permission, profitant de la bienveillance générale des jours de fête pour se livrer aux jeux interdits, sauter sur les lits et faire de la balançoire la tête en bas.","The children didn't listen. They rushed from the table the moment they were excused and took advantage of the holiday goodwill to play forbidden games, jumping on beds, swinging upside down.",1-2
38,Mais ils retenaient tout.,But they remembered every detail.,1-1
39,"À côté du temps fabuleux dont ils n'ordonneraient pas avant longtemps les épisodes, la Débâcle, l'Exode, l'Occupation, le Débarquement, la Victoire ils trouvaient terne celui, sans nom, où ils grandissaient.","Next to that wondrous time, the episodes whose order they would not retain for years, the Rout, the Occupation, the Exodus, the Landing, the Victory, the nameless time in which they grew seemed colorless.",1-1
40,"Ils regrettaient de ne pas avoir été nés, ou à peine, quand il fallait partir en cohorte sur les routes et dormir sur la paille comme des bohémiens.",They regretted they had not been born (or were only infants) in the days when people were forced to take to the roads in bands and sleep on straw like gypsies.,1-1
41,De ce temps non vécu ils garderaient le regret tenace.,Not having lived this way would stamp them with a lasting sorrow.,1-1
42,La mémoire des autres leur refilait une nostalgie secrète pour cette époque qu'ils avaient manquée de si peu et l'espérance de la vivre un jour.,"They were saddled with other people's memories and a secret nostalgia for the time they'd missed by so little, along with the hope of living it one day.",1-1
43,La frénésie qui avait suivi la Libération s'estompait.,The frenzy that had followed Liberation was fading.,1-1
44,Alors les gens ne pensaient qu'à sortir et le monde était plein de désirs à satisfaire sur-le-champ.,"All that people thought about was going out, and the world was full of desires that clamored for immediate satisfaction.",1-1
45,"Tout ce qui constituait la première fois depuis la guerre provoquait la ruée, les bananes, les billets de la Loterie nationale, le feu d'artifice.","Anything that comprised a first time since the war provoked a stampede—bananas, fireworks, National Lottery tickets.",1-1
46,"Par quartiers entiers, de la grand-mère soutenue par ses filles au nourrisson en landau, les gens se précipitaient à la fête foraine, à la retraite aux flambeaux, au cirque Bouglione où ils manquaient être piétinés dans la bousculade.","Entire neighborhoods, from elderly ladies propped up by their daughters to infants in strollers, flocked to the funfair, the torchlight tattoo, and the Bouglione circus, where they narrowly escaped being crushed in the melee.",1-1
47,Ils se portaient en foule priante et chantante sur la route pour accueillir la statue de Notre-Dame de Boulogne et la reconduire le lendemain sur des kilomètres.,"They took to the road in praying, singing crowds to welcome the statue of Our Lady of Boulogne and walk her back the following day over many kilometers.",1-1
48,"Profane ou religieuse, toute occasion leur était bonne d'être au-dehors ensemble, comme s'ils voulaient continuer de vivre collectivement.","They never missed a chance, secular or religious, to be outside with other people, as if they still yearned to live in a group.",1-1
49,"Le dimanche soir, les cars revenaient de la mer avec de grands jeunes gens en short qui chantaient à tue-tête, grimpés sur le toit à bagages.","On Sunday evenings, the coaches returned from the seaside with tall youths in shorts clinging to the luggage roofs and singing at the top of their voices.",1-1
50,Les chiens se promenaient en liberté et s'accouplaient au milieu de la rue.,Dogs roamed free and mated in the middle of the streets.,1-1
51,Récit familial et récit social c'est tout un.,Family narrative and social narrative are one and the same.,1-1
52,"Les voix des convives délimitaient les espaces de la jeunesse : la campagne et les fermes où, de mémoire perdue, les hommes avaient été commis et les filles servantes, l'usine où tous s'étaient rencontrés, fréquentés et mariés, les petits commerces où avaient accédé les plus ambitieux.","The voices around the table mapped out the territories of youth: countrysides and farms where, for time immemorial, men had been hired hands and girls housemaids; the factory where they all had met, stepped out together, and married, the small businesses to which the most ambitious had risen.",1-1
53,"Elles dessinaient des histoires sans événements personnels autres que les naissances, les mariages et les deuils, sans voyages en dehors du régiment dans une lointaine ville de garnison, des existences occupées par le travail, sa dureté et son usure, les menaces de la boisson.","They told stories that contained no personal detail except for births, weddings, and funerals, no travel except to regiments in distant garrison towns, existences entirely filled by work, its harsh conditions, the perils of drink.",1-1
54,"L'école était un arrière-fond mythique, un bref âge d'or dont l'Instituteur avait été le dieu rude avec sa règle en fer pour taper sur les doigts.","School was a mythical backdrop, a brief golden age with the schoolmaster as its rough god, equipped with an iron ruler for the rapping of knuckles.",1-1
55,"De main en main passaient des photos brunies au dos taché par tous les doigts qui les avaient tenues dans d'autres repas, mélange de café et de graisse fondu en une couleur indéfinissable.","Darkened photos passed from hand to hand, the backs soiled by all the other fingers that had handled them at other meals, coffee and fat dissolved into an indefinable hue.",1-1
56,"Dans les mariés raides et graves, les invités de la noce s'étageant sur plusieurs rangs le long d'un mur, on ne reconnaissait ni ses parents ni personne.","No one recognized their parents—or anyone, come to that—in the stiff and somber newlyweds, the wedding guests in tiered rows along a wall.",1-1
57,"Ce n'était pas soi non plus qu'on voyait dans le bébé de sexe indistinct à demi nu sur un coussin mais quelqu'un d'autre, une créature appartenant à un temps muet et inaccessible.","Nor did one see oneself in the half-naked baby of indistinct sex, who sat on a cushion, an alien creature from a mute and inaccessible time",1-1
