id,source,translation,n2m
1,"The mother was speaking from the breakfast room, out of my field of view.","Matka mówiła z jadalni, która nie była widoczna z mojego miejsca.",1-1
2,"I liked that room a lot, with its long, oaken table and glass walls on three sides.","Bardzo lubiłem to pomieszczenie, z długim, dębowym stołem i szklanymi ścianami po trzech stronach.",1-1
3,"You could see the bright sparkle of the lake through the glass walls, and sunlight shifted through the moving branches of an ancient willow that shaded the house.","Przez szklane ściany widać było błyszczące jezioro, a słońce przebijało się przez gałęzie starożytnego wierzby, która zacieniała dom.",1-1
4,"We had a system of accounting, a chart on a wall.","Mieliśmy system rozliczeń, wykres na ścianie.",1-1
5,There were merits and demerits.,Były zasługi i wpadki.,1-1
6,"A merit was for an outrage success­fully committed, a demerit for an act that should bring on humiliation.","Zasługa za udane przestępstwo, wpadka za czyn, który miałby wywołać upokorzenie.",1-1
7,"Juicy got merits for drooling into cocktails undetected, while Low got demerits for kissing up to a father.","Juicy dostawał zasługi za wlewanie śliny do drinków niezauważenie, a Low wpadki za lizanie dupy jakiemuś ojcu.",1-1
8,Probably not his own—Low's parentage was a well-kept secret.,Prawdopodobnie nie swojemu pochodzenie Lowa było dobrze strzeżoną tajemnicą.,1-1
9,But he'd been spotted asking a guy with male-pattern baldness for wardrobe advice.,"Ale został złapany, gdy pytał mężczyznę z typową łysiną o porady dotyczące ubioru.",1-1
10,"We had to hide the running, though, in case our haste betrayed us, so truer to say we slipped out quietly.","Musieliśmy ukryć naszą ucieczkę, żeby nie wzbudzić podejrzeń, więc powiedzmy, że wycofaliśmy się cicho.",1-1
11,"When one of my parents appeared, my technique was: pretend to catch sight of someone in the next room.","Gdy pojawiał się jeden z moich rodziców, moja taktyka polegała na tym, by udawać, że dostrzegam kogoś w następnym pokoju.",1-1
12,"Move in a natural manner toward this figment of my imagination, making a purposeful face.","Ruszać się w naturalny sposób w kierunku tego wytworu mojej wyobraźni, twarzą wyrażać zdecydowanie.",1-1
13,Go through the door.,Przechodzić przez drzwi.,1-1
14,And fade away.,I zniknąć.,1-1
15,"As the evenings wore on, some parents got it into their heads to dance.","Kiedy zapadał zmrok, niektórzy rodzice zaczęli tańczyć.",1-1
16,A flash of life would move their lumpen bodies.,Przez chwilę ich nieporadne ciała ożywały.,1-1
17,Sad spectacle.,Smutny widok.,1-1
18,"They flopped, blasting their old-time music.","Wirując, wykrzykiwali swoje dawne piosenki.",1-1
19,"""Beat on the brat, beat on the brat, beat on the brat with a baseball bat, oh yeah.""","""Bij w brata, bij w brata, bij w brata kijem baseballowym, oh yeah"".",1-1
20,Later the talk grew louder.,Później rozmowa stała się głośniejsza.,1-1
21,"Freed of our influence, some of them emitted sudden, harsh barks.","Pozbawieni naszego wpływu, niektórzy wybuchali nagle ostrymi szczeknięciami.",1-1
22,"Apparently, laughing.",Śmiali się.,1-1
