id,source,target,n2m
1,"Все последующее было предсказуемо: возгласы и стоны, нервные шутки и похвалы мне, стоящему в белом у жаровни: Маэстро, вы превзошли себя!","Później wszystko było przewidywalne: okrzyki i jęki, nerwowe dowcipy i pochwały dla mnie, całego na biało, stojącego przy ruszcie: Maestro, przeszedł pan samego siebie!",2-1
2,"Сюзанна, ты чувствуешь запах ста тысяч, брошенных Настасьей Филипповной в огонь?","Suzanne, czy czujesz zapach stu tysięcy wrzuconych w ogień przez Nastazję Filipowną?",1-1
3,"Милый, сколько же сегодня сжег ты для меня?","Kochanie, a ty ile dziś spaliłeś dla mnie?",1-1
4,"Барбара, мы с тобой преступницы!","Barbra, jesteśmy kryminalistkami!",1-1
5,"Ах, в этой рыбе привкус безумия!","Ach, ta ryba ma posmak szaleństwa!",1-1
6,"Томас, стыдно признаться, но я впервые ем и осетрину!","Thomas, wstyd przyznać, ale po raz pierwszy jem jesiotra!",1-1
7,"Попыхивая сигарой, достаю пачку красивых полупрозрачных английских банкнот с самодовольной физиономией короля, вынимаю одну, складываю из нее тельца.","Zaciągając się cygarem, wyjmuję paczkę pięknych półprzezroczystych angielskich banknotów z samozadowoloną fizjonomią króla, wyciągam jeden, składam z niego cielca.",1-1
8,Кладу в пепельницу и поджигаю.,Wkładam do popielniczki i podpalam.,1-1
9,"Это жертва благодарения цифровому миру, обеспечившему нас работой.",To ofiara dziękczynna złożona cyfrowemu światu zapewniającemu nam pracę.,1-1
10,Я совершаю этот ритуал каждый раз после удачного вечера.,Wykonuję ten rytuał za każdym razem po udanym wieczorze.,1-1
11,"Современные купюры горят отвратительно, приходиться поджигать и поджигать.","Dzisiejsze pieniądze palą się okropnie, trzeba podpalać i podpalać.",1-1
12,"Мда, англичане в ту пору оказались ""впереди планеты всей"".","Zatem Anglicy stali się wówczas ""the champions, my friend"".",1-1
13,"Четверку джентльменов, подаривших миру новую моду, тогда окрестили ""новыми битлами"": трое из них совпадали именами с ливерпульской четверкой: Джон, Джордж и Пол.","Czterech dżentelmenów, którzy sprezentowali światu nową modę, nazwano nowymi Beatlesami; imiona trzech z nich pokrywały się z imionami czwórki z Liverpoolu: John, George i Paul.",1-1
14,Контрфаготиста звали Грегор.,Kontrafagocista miał na imię Gregor.,1-1
15,"И те, и нынешние стремительно ворвались в послевоенный европейский мир.","I tamci, i ci współcześni błyskawicznie wdarli się do świata powojennej Europy.",1-1
16,"Да, после войны всем, всем вдруг отчаянно захотелось почитать.","Tak, po wojnie wszystkim, wszystkim nagle desperacko zachciało się poczytać.",1-1
17,"Руки взломщиков потянулись к книгохранилищам, а гурманы и золотая молодежь в первые подпольные читальни.","Włamywacze wyciągnęli ręce po księgozbiory, a smakosze i złota młodzież ruszyli do pierwszych podziemnych czytelni.",1-1
18,Потом туда хлынули и обыватели.,Później napłynęli tam też zwykli obywatele.,1-1
19,Это были золотые времена.,To były złote czasy.,1-1
20,"Те, кто оказались тогда в нужном месте, срубили бабла по полной: второсортный повар, взятый из уличной забегаловки, за пару месяцев делал себе состояние.","Ci, którzy znaleźli się wtedy w odpowiednim miejscu, porządnie nabili sobie kabzę: podrzędny kucharzyna wyhaczony w budzie street food w parę miesięcy dorabiał się majątku.",1-1
21,"Мда, родись я лет на пять пораньше.","Ech, gdybym się urodził z pięć lat wcześniej.",1-1
22,В те сумасшедшие годы завороженный процессом народ не обращал внимание на качество.,W tamte szalone lata zaczarowana procesem ludność nie zwracała uwagi na jakość.,1-1
23,"Читали тогда, что называется, ""по диагонали"": дым, копоть, воспарения.","Czytało się wówczas, jak to mówią, ""na przełaj"": dym, sadza, opary.",1-1
