id,source,target,n2m
1,"The mother was speaking from the breakfast room, out of my field of view.","Matka mówiła z jadalni, poza moim zasięgiem widzenia.",1-1
2,"I liked that room a lot, with its long, oaken table and glass walls on three sides.","Bardzo lubiłem tę salę, z długim, dębowym stołem i ścianami szkła na trzech stronach.",1-1
3,"You could see the bright sparkle of the lake through the glass walls, and sunlight shifted through the moving branches of an ancient willow that shaded the house.","Można było zobaczyć jasny błękit jeziora przez ściany szkła, a słoneczne promienie przesuwały się przez poruszające się gałęzie starego wiśni, które zacieniało dom.",1-1
4,"We had a system of accounting, a chart on a wall.","Mieliśmy system księgowy, diagram na ścianie.",1-1
5,There were merits and demerits.,Były zalety i wady.,1-1
6,"A merit was for an outrage success­fully committed, a demerit for an act that should bring on humiliation.","Zaleta za pomyślny przestępstwo, wada za czyn, który powinien przynieść hańbę.",1-1
7,"Juicy got merits for drooling into cocktails undetected, while Low got demerits for kissing up to a father.","Juicy dostał zalety za niepostrzeżone pijanie koktajli, a Low otrzymał wady za ułatwianie się do ojca.",1-1
8,Probably not his own—Low's parentage was a well-kept secret.,Być może nie swojego pochodzenie Low był dobrze strzeżoną tajemnicą.,1-1
9,But he'd been spotted asking a guy with male-pattern baldness for wardrobe advice.,"Ale został zauważony, jak pyta się mężczyznę z łysiną na głowie o poradę w sprawie garderoby.",1-1
10,"We had to hide the running, though, in case our haste betrayed us, so truer to say we slipped out quietly.","Musieliśmy ukryć bieg, aby nasza pośpieszność nie zdradziła nas, więc raczej powiedzieć, że wyszliśmy cicho.",1-1
11,"When one of my parents appeared, my technique was: pretend to catch sight of someone in the next room.","Gdy pojawił się jednym z moich rodziców, moja technika polegała na tym, aby pozoryć, że widzę kogoś w następnej izbie.",1-1
12,"Move in a natural manner toward this figment of my imagination, making a purposeful face.","Poruszałem się w naturalny sposób w kierunku tego fantasma mojej wyobraźni, tworząc celowy wyraz twarzy.",1-1
13,Go through the door. And fade away.,Poszedłem przez drzwi i zniknęłem.,2-1
14,"As the evenings wore on, some parents got it into their heads to dance.","Jak wieczory przesuwały się, niektórzy rodzice zaczęli tańczyć.",1-1
15,A flash of life would move their lumpen bodies.,Błysk życia poruszył ich ciężkie ciała.,1-1
16,Sad spectacle.,Smutne widowisko.,1-1
17,"They flopped, blasting their old-time music.","Wylewali, graniając muzykę z tamtych lat.",1-1
18,"""Beat on the brat, beat on the brat, beat on the brat with a baseball bat, oh yeah.""","""Bijcie na brata, bijcie na brata, bijcie na brata kijem baseballowym, o yeah.",1-1
19,Later the talk grew louder.,Później rozmowa została głośniejsza.,1-1
20,"Freed of our influence, some of them emitted sudden, harsh barks. Apparently, laughing.","Niezależnie od nas, niektóre z nich wydały gwizdkowe, ostrożne szczeknięcia, jakby śmiejąc się.",2-1
