id,source,target,n2m
1,"""Was ist denn?"", fragte ich.",Co się stało? zapytałem.,1-1
2,"""Nichts"", flötete Selma, öffnete den Kühlschrank, holte ein Paket Schnittkäse und eine Leberwurst heraus und schwenkte beides durch die Luft.","Nic zakwiliła Selma, otworzyła lodówkę, wyciągnęła z niej kostkę sera i kiełbasę i obracała je w powietrzu.",1-1
3,"""Was darf’s denn heute aufs Schulbrot sein?"", flötete sie.",Co dziś na kanapki do szkoły? zakwiliła.,1-1
4,"""Mäuselchen"", flötete sie noch hinterher, und Flöten und Mäuselchen waren nun wirklich alarmierend.","Myszko zakwiliła jeszcze za mną, a zakwilenia i myszko były naprawdę zastanawiające.",1-1
5,"""Käse, bitte"", sagte ich, ""was hast du denn""?","Ser, proszę powiedziałem. Co ci jest?",1-2
6,"""Nichts"", flötete Selma, ""hab ich doch gesagt"".",Nic zakwiliła Selma. Przecież powiedziałam.,1-2
7,"Sie strich Butter auf eine Scheibe Brot, und weil sie immer noch herumschlackerte, schubste sie dabei den Käse mit dem Handgelenk von der Anrichte.","Smarowała masłem kromkę chleba, a ponieważ wciąż się trzęsła, przypadkiem odbiła kostkę sera ręką od blatu.",1-1
8,"Selma hielt jetzt still und schaute hinab auf die Käsepackung, als sei sie etwas Kostbares, das in tausend Teile zersprungen war.","Selma teraz się uspokoiła i patrzyła na opakowanie sera, jakby było coś cennego, co rozpadło się na tysiąc kawałków.",1-1
9,"Selma hatte in ihrem Leben dreimal von einem Okapi geträumt, und jedes Mal war danach jemand gestorben, deshalb waren wir überzeugt, dass der Traum von einem Okapi und der Tod unbedingt miteinander verbunden waren.","Selma miała w życiu trzy sny o okapim, a po każdym z nich ktoś umierał, więc byliśmy przekonani, że sen o okapim i śmierć są nierozerwalnie ze sobą powiązane.",1-1
10,Unser Verstand funktioniert so.,Nasz umysł działa w ten sposób.,1-1
11,"Er kann innerhalb kürzester Zeit dafür sorgen, dass die einander abwegigsten Dinge fest zusammengehören.",Potrafi w ekspresowym tempie połączyć najbardziej nieprawdopodobne rzeczy.,1-1
12,"Kaffeekannen und Schnürsenkel beispielsweise, oder Pfandflaschen und Tannenbäume.",Na przykład czajnik i sznurowadła albo butelki za zwrot i choinki.,1-1
13,"""Was soll es denn sonst gewesen sein"", sagte Selma, und dass man ein Okapi ja nur schwerlich mit einem anderen Tier verwechseln könne.","Co innego miałoby to być? zapytała Selma, zauważając, że trudno pomylić okapi z jakimkolwiek innym zwierzęciem.",1-1
14,"""Doch"", sagte ich, es könne ja auch ein verwachsenes Rind gewesen sein, eine falsch zusammengesetzte Giraffe, eine Laune der Natur, und die Streifen und das Rostrote, das könne man doch alles nicht so genau erkennen in der Nacht, da sei schließlich alles sehr verschwommen.","No właśnie odparłam może to być skrzyżowane zwierzę, jakaś dziwaczna girafa, dzieło natury, a w nocy wszystko jest tak rozmyte, że trudno dostrzec szczegóły, takie jak paski i czerwonawy kolor.",1-1
15,"""Das ist doch Quatsch"", sagte Selma und rieb sich die Stirn, ""das ist doch leider Quatsch, Luise"".","To jest bez sensu stwierdziła Selma, masując czoło. Niestety, to jest bez sensu, Luise.",1-2
16,"Sie legte eine Scheibe Käse auf das Brot, klappte es zusammen und legte es in meine Butterbrotdose.","Położyła plaster sera na kanapce, złożyła ją i włożyła do mojej skrzyneczki na kanapki.",1-1
17,"""Weißt du, wann genau du das geträumt hast""?","Wiesz, kiedy dokładnie to śniłaś?",1-1
18,"""Gegen drei Uhr"", sagte Selma.",O trzeciej odparła Selma.,1-1
19,"Sie war hochgeschreckt, nachdem das Bild vom Okapi sich zurückgezogen hatte, aufrecht im Bett sitzend war sie aufgewacht und hatte auf ihr Nachthemd gestarrt, in dem sie eben noch im Traum auf der Uhlheck gestanden hatte, und dann auf den Wecker.","Przebudziła się gwałtownie, gdy obraz okapi zniknął, siedziała na łóżku i wpatrywała się w swoją piżamę, w której jeszcze chwilę wcześniej stała na Uhlheck w swoim śnie, a potem na zegar.",1-1
20,Drei Uhr.,Trzecia.,1-1
21,"""Wir sollten das wahrscheinlich nicht so ernst nehmen"", sagte Selma, aber sie sagte es wie ein Fernsehkommissar, der ein anonymes Schreiben nicht so ernst nimmt.","Prawdopodobnie nie powinniśmy tego aż tak poważnie traktować powiedziała Selma, ale mówiła to jak komisarz z telewizji, który nie traktuje poważnie anonimowego listu.",1-1
22,"Die Zugfahrt dauerte fünfzehn Minuten, einen Zwischenhalt gab es nicht.","Podróż trwała piętnaście minut, bez postoju.",1-1
23,"Seit unserer ersten Zugfahrt spielten wir immer dasselbe: Wir stellten uns mit dem Rücken zu den Fenstern an die gegenüberliegenden Zugtüren, Martin machte die Augen zu, ich sah aus dem Fenster der Zugtür, die Martin im Rücken hatte.","Od naszej pierwszej podróży zawsze graliśmy w to samo: stawaliśmy plecami do okien, Martin zamykał oczy, ja patrzyłam przez okno drzwi, które miał Martin za plecami.",1-1
24,"In der ersten Klasse hatte ich Martin aufgezählt, was ich während der Fahrt sah, und Martin versuchte, alles auswendig zu lernen.","W pierwszej klasie liczyłam Martinowi, co widzę podczas podróży, a on próbował zapamiętać wszystko.",1-1
25,"Das gelang sehr gut, sodass ich im zweiten Schuljahr nichts mehr aufzählte und Martin, mit dem Rücken zum Fenster und geschlossenen Augen, fast alles aufsagen konnte, was ich durch das beschlagene Zugfenster gerade sah: ""Drahtfabrik"", sagte er, genau in dem Moment, als wir an der Drahtfabrik vorbeifuhren.","Robił to bardzo dobrze, więc w drugiej klasie już nie liczyłam, a Martin, z plecami do okna i zamkniętymi oczami, prawie zawsze potrafił powiedzieć, co widzę przez zaparowane okno: ""Fabryka drutu"" powiedział właśnie wtedy, gdy mijaliśmy fabrykę drutu.",1-1
26,"""Jetzt Feld. Weide. Das Gehöft vom verrückten Hassel.","""Teraz pole. Łąka. Gospodarstwo szalonego Hassela.",2-1
27,Wiese. Wald. Wald. Hochsitz eins.,Łąka. Las. Las. Wieża obserwacyjna jeden.,3-1
28,"Feld. Wald. Wiese. Weide, Weide.",Pole. Las. Łąka. Łąka.,2-1
29,Reifenfabrik. Dorf. Weide.,Fabryka opon. Wieś. Łąka. Pole.,2-1
30,Feld. Hochsitz zwei.,Wieża obserwacyjna dwa.,1-1
31,Waldstück.,Zagajnik.,1-1
32,"Hof. Feld. Wald. Hochsitz drei. Dorf.""","Dwór. Pole. Las. Wieża obserwacyjna trzy. Wieś. """,1-2
33,"Bauer Häubel war der festen Überzeugung, dass der Tod höflich sein würde, so wie Bauer Häubel selbst es sein Leben lang gewesen war.","Bauer Häubel był przekonany, że śmierć będzie uprzejma, tak jak on sam był uprzejmy przez całe życie.",1-1
34,"Er war sicher, dass der Tod ihm das Leben nicht entreißen, sondern behutsam aus der Hand nehmen würde.","Był pewien, że śmierć nie odbierze mu życia, lecz odejmie je delikatnie z rąk.",1-1
35,"Er stellte sich vor, wie der Tod vorsichtig anklopfte, die Tür nur einen Spalt öffnete und ""Darf ich""? fragte, was Bauer Häubel natürlich bejahen würde.","Wyobrażał sobie, jak śmierć klnie cicho, otwiera drzwi tylko na szparę i pyta: ""Czy mogę?"", na co Bauer Häubel oczywiście przytaknie.",1-1
36,"""Selbstverständlich"", würde Bauer Häubel sagen, ""treten Sie doch ein"", und der Tod würde eintreten.","""Oczywiście"", powie Bauer Häubel, ""wejdź proszę"", a śmierć wejdzie.",1-1
37,"Er würde sich an Bauer Häubels Bett stellen und fragen: ""Passt es Ihnen jetzt?","Postawi się przy łóżku Bauer Häubela i zapyta: ""Czy teraz wygodnie?",1-1
38,"Ich kann sonst auch zu einem späteren Zeitpunkt vorbeikommen"".","Mogę przyjść później"".",1-1
