langs,system,n2m,source,target,n2mS,n2mT
fr-en,nmt,1-2,"Les enfants n'écoutaient pas et se dépêchaient de quitter la table dès qu'ils en avaient reçu la permission, profitant de la bienveillance générale des jours de fête pour se livrer aux jeux interdits, sauter sur les lits et faire de la balançoire la tête en bas.","The children did not listen and rushed to leave the table as soon as they received permission, taking advantage of the general goodwill of the holidays to indulge in forbidden games, jumping on the beds and swinging their heads. Down.",1,2
fr-en,gpt4,1-2,"Ils embrayaient par comparaison sur la guerre d'avant, la Grande, celle de 14, gagnée, elle, dans le sang et la gloire, une guerre d'hommes que les femmes de la table écoutaient avec respect.","They would shift conversational gears, comparing it to the previous war, the Great one, that of '14, won in blood and glory. A war of men that the women at the table listened to with respect.",1,2
fr-en,llama,0-1,,"Or, in a more idiomatic English translation:",0,1
fr-en,llama,0-1,,People were only interested in going out and the world was full of instant gratification.,0,1
fr-en,human,1-2,"Sur l'autre, elle lève le poing gauche, le droit est retenu par la main d'un homme, grand, en veste claire et pantalon à pinces, à la posture nonchalante.","In the other photo, the child's left hand is raised, fist closed, the right one held back by the hand of a man. He is tall with a light-colored jacket and pleated trousers, his bearing nonchalant.",1,2
fr-en,human,1-2,Les garçons étaient fiers de partir au régiment et on les trouvait beaux en soldats.,Boys were proud to leave for their military service. We thought they looked handsome in their uniforms.,1,2
fr-en,human,1-2,"Le soir du conseil de révision, ils faisaient la tournée des cafés pour célébrer la gloire d'être reconnus comme de vrais hommes.","On recruitment night, they made the rounds of the cafés to celebrate. It brought them glory to be recognized as real men.",1,2
fr-en,human,1-2,"Dans les rues du centre, les haut-parleurs beuglaient des incitations à acheter, entrecoupées de chansons d'Annie Cordy et d'Eddie Constantine, pour gagner la Simca ou la salle à manger.","Loudspeakers bellowed sales pitches through the streets of the town center, interspersed with songs by Annie Cordy and Eddie Constantine. Buy, we were urged, to get a chance to win a Simca or a dining room suite.",1,2
fr-en,human,1-2,"Les enfants n'écoutaient pas et se dépêchaient de quitter la table dès qu'ils en avaient reçu la permission, profitant de la bienveillance générale des jours de fête pour se livrer aux jeux interdits, sauter sur les lits et faire de la balançoire la tête en bas.","The children didn't listen. They rushed from the table the moment they were excused and took advantage of the holiday goodwill to play forbidden games, jumping on beds, swinging upside down.",1,2
ja-pl,gpt3,1-2,お金に慣れるためにとレジの中には本物のお金が入っていたが、レシートにはトレーニングと大きく印字されていたし、相手は同じ制服を着たアルバイト仲間だし、なんとなくお買いものごっこをしているようだった。,"W kasie znajdowały się prawdziwe pieniądze, ale na paragonach widniało napisane wielkimi literami ""Trening"", a osoba, która je wydawała, była jednym z naszych kolegów w tej samej uniformie. Wszystko wskazywało na to, że właśnie bawiliśmy się w zabawę w sklep.",1,2
ja-pl,gpt3,1-2,お父さん、焼き鳥好きだから、今日、これを焼いて食べよう 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"Tato, lubisz yakitori, dlatego dziś upieczemy to i zjemy. Gdy powtórzyłem to głośniej, mama aż drgnęła, a matka sąsiadującego dziecka wyglądała, jakby była zaskoczona oczy, nos i usta otworzyły się jednocześnie.",1,2
ja-pl,gpt3,1-2,せっかく死んでるのに 私の疑問に、母は絶句した。,Przecież już nie żyjesz. Mama milczała na moje pytanie.,1,2
ja-pl,gpt3,1-3,あー、あと煙草の５番を一つ かしこまりました すばやくマルボロライトメンソールを抜き取り、レジでスキャンする。,"Ee, jeszcze jedną paczkę papierosów numer pięć. Rozumiem odparł. Szybko wyciągnąłem Marlboro Light Menthol z półki i zeskanowałem go na kasie.",1,3
ja-pl,nmt,1-2,お父さん、焼き鳥好きだから、今日、これを焼いて食べよう 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"""Tato, kocham yakitori, więc grillujmy i jemy dzisiaj"". Zastanawiałem się, czy nie usłyszałem tego dobrze, więc powtórzyłem to z wyraźną wymową.",1,2
ja-pl,nmt,1-2,あー、あと煙草の５番を一つ かしこまりました すばやくマルボロライトメンソールを抜き取り、レジでスキャンする。,"""Ach, i jeden papieros nr 5"" ""Zrozumiany"" Szybko wyciągnij Marlboro Light Menthol i zeskanuj go przy kasie.",1,2
ja-pl,gpt4,1-2,明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の普通の三十代女性と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。,"Czasami czuję ociężałość na myśl, że jutro też muszę iść do pracy, ale jest to moje jedyne połączenie ze światem poza sklepem typu convenience, a także cenna okazja do interakcji z normalnymi kobietami w moim wieku. Dlatego staram się zawsze odpowiedzieć na zaproszenia Miho.",1,2
ja-pl,gpt4,1-2,二つ年下の妹は、私と違って、普通の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。,"Moja młodsza o dwa lata siostra była zwykłym dzieckiem, w przeciwieństwie do mnie, ale to nie znaczy, że trzymała się ode mnie z daleka. Wręcz przeciwnie, darzyła mnie wielkim szacunkiem.",1,2
ja-pl,gpt4,1-2,お父さん、焼き鳥好きだから、今日、これを焼いて食べよう 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"Tato, uwielbiasz yakitori, więc dzisiaj to upieczmy i zjemy. Po powtórzeniu tego wyraźnie, zastanawiając się, czy może nie usłyszano dobrze za pierwszym razem, mama się przestraszyła a obok siedząca matka drugiego dziecka również była zdziwiona jej oczy, nozdrza i usta otworzyły się na równo ze zdumieniem.",1,2
ja-pl,gpt4,1-2,せっかく死んでるのに 私の疑問に、母は絶句した。,"Mimo że skądinąd umarł. Na moje pytanie, mama nie miała słów.",1,2
ja-pl,gpt4,1-3,あー、あと煙草の５番を一つ かしこまりました すばやくマルボロライトメンソールを抜き取り、レジでスキャンする。,"Ach, dodatkowo jedno opakowanie papierosów numer 5. Zrozumiałem. Szybko wyjąłem paczkę Marlboro Light Mentol i zeskanowałem ją przy kasie.",1,3
ja-pl,gpt4,1-2,何かおとりしますか?と声をかけてもいいが、客が買うかどうか悩んでいるように見えるときは、一歩引いて待つことにしている。,"Mogę ci coś zaoferować? Mogę to zapytać, ale kiedy widzę, że klient wydaje się być niezdecydowany, decyduję się cofnąć i poczekać.",1,2
ja-pl,llama,1-2,明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の普通の三十代女性と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。,"Jutro także będę pracował na drugim etacie, ale czasami czuję, że jestem tylko łącznikiem między światem konbini a innymi ludźmi. Mimo to, jest to cenna okazja do wymiany doświadczeń z kobietą w podobnym wieku, dlatego staram się przyjmować Miho's invitation as often as possible.",1,2
ja-pl,llama,1-2,お客様の目を見て微笑んで一礼すること、生理用品は紙袋に入れること、温かい物は冷たい物と分けて入れること、ファーストフードを頼まれたら手をアルコールで消毒すること。,"Patrząc w oczy klienta, uśmiecham się i kłaniam, wkładam produkty higieniczne do papierowych toreb, oddzielam ciepłe rzeczy od zimnych i dezynfekuję ręce alkoholem, gdy jestem proszony o fast food. Dlaczegokolwiek zaczęliśmy się uczyć, aby zwiększyć swe szanse na sukces w pracy.",1,2
