id,source,target,n2m
1,Police arrest 15 after violent protest outside UK refugee hotel,Polizei nimmt 15 Personen nach gewalttätigen Protesten fest. UK Flüchtlingshotel,1-2
10,"""The people of Knowsley are not bigots and are welcoming to people escaping from some of the most dangerous places in the world in search of a place of safety,"" he said. ""Those demonstrating against refugees at this protest tonight do not represent this community.""","""Die Menschen von Knowsley sind keine Fanatiker und heißen Menschen, die aus einigen der gefährlichsten Orte der Welt fliehen und einen sicheren Ort suchen, willkommen"", sagte er. ""Diejenigen, die heute Abend bei diesem Protest gegen Flüchtlinge demonstrieren, repräsentieren nicht diese Gemeinschaft.""",2-1
17,Rovers in season opener at Brandywell Derry midfielder Adam Reilly closes down Lee Grace at the Brandywell Derry City emerged victorious in the President's Cup as they ran out 2-0 winners over Shamrock Rovers.,"Rover im Saisonauftakt im Brandywell Derry Mittelfeldspieler Adam Reilly stoppt Lee Grace am Brandywell Derry City siegte im Präsidentenpokal, als sie mit einem 2:0-Sieg über Shamrock Rovers hervorgingen.",4-1
21,Patching's side-footed volley nudged Derry in front after 23 minutes the midfielder opened the scoring as the Foylesider's ran out 2-1 winners over the eventual champions last February.,"Patching's seitlicher Vollspannschuss brachte Derry in Führung, nachdem der Mittelfeldspieler nach 23 Minuten das erste Tor erzielte. Die Foylesider siegten im letzten Februar mit 2:1 gegen die späteren Meister.",1-2
29,"The Department of Homeland Security has hired an outside law firm Debevoise & Plimpton to assist in possible impeachment proceedings for Secretary Alejandro Mayorkas, as he potentially faces charges by House Republicans regarding his handling of the southern border.","Das Ministerium für Innere Sicherheit hat eine externe Anwaltskanzlei, Debevoise & Plimpton, engagiert, um bei möglichen Amtsenthebungsverfahren gegen den Minister Alejandro Mayorkas zu unterstützen. Er droht möglicherweise Anklagen durch die republikanischen Mitglieder des Repräsentantenhauses wegen seines Umgangs mit der Südgrenze.",1-2
31,"""DHS will continue prioritizing its work to protect our country from terrorism, respond to natural disasters, and secure our borders while responding appropriately to the over 70 Congressional committees and subcommittees that have oversight of DHS.""","Das DHS wird seine Arbeit weiterhin darauf konzentrieren, unser Land vor Terrorismus zu schützen, auf Naturkatastrophen zu reagieren und unsere Grenzen zu sichern. Dabei wird angemessen auf die über 70 Kongressausschüsse und Unterausschüsse reagiert, die für die Aufsicht über das DHS zuständig sind.",1-2
43,Four teens charged in attack of 14-year-old who died of suicide after beating video was posted online Dad says daughter took her own life after being bullied at NJ school Four New Jersey teenagers have been charged in connection with the attack of a 14-year-old girl who later took her own life after video of the incident was posted on social media.,"Vier Jugendliche angeklagt wegen Angriffs auf 14-Jährigen, der nach Veröffentlichung eines Videos über die Schlägerei Selbstmord beging. Vater sagt, Tochter hat sich nach Mobbing an einer Schule in NJ das Leben genommen. Vier Teenager aus New Jersey wurden im Zusammenhang mit dem Angriff auf ein 14-jähriges Mädchen angeklagt, das sich später selbst das Leben nahm, nachdem das Video des Vorfalls in den sozialen Medien veröffentlicht wurde.",1-3
45,"Adriana Kuch, 14, was found dead in her Bayville home on February 3, two days after the disturbing video of the attack at Central Regional High School was posted online.","Adriana Kuch, 14 Jahre alt, wurde am 3. Februar tot in ihrem Haus in Bayville aufgefunden, zwei Tage nachdem das verstörende Video des Angriffs an der Central Regional High School online veröffentlicht wurde.",1-2
56,"""If they called the police and did an investigation, those girls would not have posted videos from school,"" Kuch said. He also said his daughter, who had bruises on her body, should've been taken to the hospital.","""Wenn sie die Polizei gerufen und eine Untersuchung durchgeführt hätten, hätten diese Mädchen keine Videos aus der Schule gepostet"", sagte Kuch. Er sagte auch, dass seine Tochter, die blaue Flecken am Körper hatte, ins Krankenhaus gebracht werden sollte.",2-1
65,"I talked to 30 health, wellness professionals about avoiding burnout In our day-to-day lives, we're constantly looking for ways to increase our energy and avoid burnout, especially in our jobs.","Ich habe mit 30 Gesundheitsund Wellnessfachleuten über das Vermeiden von Burnout gesprochen. In unserem Alltag suchen wir ständig nach Möglichkeiten, unsere Energie zu steigern und Burnout zu vermeiden, besonders in unseren Jobs.",1-2
