langs,system,n2m,source,target,n2mS,n2mT
en-pl,human,2-1,"Our parents, those so-called figures of authority, roamed its rooms in vague circuits beneath the broad beams, their objectives murky. And of no general interest.","Nasi rodzice, tak zwane autorytety, snuli się po zwieńczonych szerokimi belkami pokojach, dryfowali na wodach celów mętnych i ogólnie nieciekawych.",2,1
en-pl,human,1-2,Whose mother was it? Unclear.,Czyją matką była? Nie wiadomo.,1,2
en-pl,human,1-2,"Some of their goblets, highball glasses, and beer bottles were completely empty.","Zostawili po sobie kieliszki, wysokie szklanki i butelki po piwie. Niektóre były zupełnie puste.",1,2
en-pl,gpt4,1-2,Whose mother was it? Unclear.,Czyja to była matka? Niejasne.,1,2
en-pl,gpt4,3-1,"Those parents were in a hurry, then. ""No way,"" said Sukey firmly, and shook her head. ""Then who is your mother?","Ci rodzice zdawali się być w pośpiechu potem: ""Nie ma mowy,"" powiedziała stanowczo Sukey i potrząsnęła głową: ""To kto jest Twoją matką?",3,1
en-pl,gpt3,1-2,Whose mother was it? Unclear.,Kto to była? Niejasne.,1,2
en-pl,gpt3,2-1,(A blaring klaxon. It went hoh-onk.),(Klakson wydał głośny hoh-onk.),2,1
en-pl,llama,2-1,Go through the door. And fade away.,Poszedłem przez drzwi i zniknęłem.,2,1
en-pl,llama,2-1,"Freed of our influence, some of them emitted sudden, harsh barks. Apparently, laughing.","Niezależnie od nas, niektóre z nich wydały gwizdkowe, ostrożne szczeknięcia, jakby śmiejąc się.",2,1
en-pl,llama,2-1,"From the wrap­around porch, with its bamboo torches and hanging ferns and porch swings, moth-eaten armchairs and blue-light bug zappers, the barks of laughter carried. We heard them from the treehouses and tennis courts and from the field of beehives a slow neighbor woman tended in the daytime, muttering under the veil of her beekeeping hat.","Z pawilonu z bambusowymi świeczkami i wiszącymi paprotami, porannymi fotelami i złapanymi w sieć złapałkami komarów, a także z drzewoaltanów i kortów tenisowych, a nawet z pól pszczelich, które staruszka pielęgnująca opiekowała się w ciągu dnia, mumieniem pod welonem czapki pszczelarskiej, słyszeliśmy te szczeknięcia.",2,1
en-pl,llama,1-2,Whose mother was it? Unclear.,Ktoś's mother? Niejasne.,1,2
en-pl,llama,3-1,They ran away when we issued the battle cry. (A blaring klaxon. It went hoh-onk.),Uciekli kiedy wydaliśmy bojowy okrzyk (Rozległ się alarm który brzmiał hoh-onk).,3,1
fr-pl,human,1-0,La marchandise avançait sous les couleurs de la fête.,,1,0
