id,source,target,n2m
8,"Further still, a thin metal fence marked the edge of the land, clots of wool decorating the wire like fairy lights where the sheep had once tried to break through.",さらに進むと、細い金網のフェンスが敷地の端を示していた。 羊が突破しようとした部分には、毛の塊が豆電球の飾りのようについている。,1-2
11,'I'm a vegetarian.' 'Really?,おれはベジタリアンだ そうなのか?,2-1
12,"My wife tried doing that a few years back, and—' 'No,' the farmer said, and the conversation died.",おれの妻は何年かまえに真似して作ろうとしたんだが一 ない男が言い、会話は途絶えた。,2-1
13,"The world was still dark, even if only for a little while.",あたりはまだ暗かった。 それもあと少しのことだが。,1-2
16,"'They're selling up to live with family, so she says.' 'I think I saw them in town a few times,' Alec said.",あそこを売って家族と暮らすつもりだと、ジーンは言ってる その家族は、町で何度か見かけた気がするアレックは言った。,2-1
23,'Did you know?' 'Who?' 'Jean ...,知ってたか? 誰だ? ジーン。。。,1-3
25,"'She's moving out, selling up her farm.' 'Oh yes, Jean ...'",引っ越して、農場を売り払うらしい ああ、そうか、ジーン。。。,2-1
30,"One more reminder that he did not belong, he supposed.",おまえはこの土地の人間ではないまたそう釘を刺されたのだろう。 アレックは思った。,1-2
31,"He gestured past a large, half-empty water tank around two hundred feet away, its translucent plastic grown stained with time, the smear of a smile where fluid had lapped within.",やがて五十メートルほど先にある、半分だけ水のはいった大型水槽の向こうを身振りで示した。 その半透明のプラスチックのタンクは年を経て汚れがっき、水がたまったところには笑顔のマークのような染みがついていた。,1-2
32,'We found them near there.' His face fell. Alec checked his watch.,あのへんで見つけた男は顔を伏せたアレックは腕時計を確認した。,3-1
35,"They kept on, the silence drowned out by the buzzing of the flies and the distant hellos of scraggly sheep out there in the semi-darkness.",ふたりは歩きつづけた。 あたりの静けさは、アプの羽音と、薄闇の向こうにいる毛むくじゃらの羊たちの鳴き声にかき消されていた。,1-2
38,"He came down with a thud, right into the thick and gelatinous mud.",大きな音を立てて着地した。 ねっとりとしたゼラチンのような泥のなかに。,1-2
45,"Alec stared at the mud, and the farmer grinned, his cheeks ruddy beneath his dirty white beard.",アレックはぬかるみを見つめた。 男は汚れた白ひげに覆われた頬を赤くして、にやりと笑った。,1-2
49,'No.' Yes.,しないさするとも。,2-1
52,"Alec swatted one away from his rolled-up sleeve, a great bulbous thing that had nestled on the hairs of his forearm.",アレックは、袖をまくりあげていた腕から一匹叩きおとした。 前腕の毛に埋まっている巨大な球根のような一匹を。,1-2
