id,source,target,n2m
6,明日もアルバイトなので億劫に思う時もあるが、コンビニ以外の世界との唯一の接点であり、同い年の普通の三十代女性と交流する貴重な機会なので、ミホの誘いにはなるべく応じるようにしている。,"There are times when I feel like it's too much bother, knowing I have to work the next day. But it's the only connection I have to the world outside the convenience store and a precious opportunity to mingle with ""normal"" women my age, so I usually accept her invitations.",1-2
14,二つ年下の妹は、私と違って、普通の子どもだった、かといって私を敬遠するわけでもなく、むしろ慕ってくれていた。,"My little sister, who is two years younger than me, was a normal child. Even so, she never tried to avoid me; indeed, she adored me.",1-2
17,お菓子や玩具にあまり興味がなかった私は、それらを妹にあげることも多かった。 そのため、妹はいつも私についてまわっていた。,"It also helped that I wasn't all that interested in sweets and toys and would often give them to her, and so she was always hanging around me.",2-1
18,,"""Daddy likes yakitori, doesn't he?",0-1
19,お父さん、焼き鳥好きだから、今日、これを焼いて食べよう 良く聞こえなかったのだろうかと、はっきりとした発音で繰り返すと、母はぎょっとし、隣にいた他の子のお母さんも驚いたのか、目と鼻の穴と口が一斉にがばりと開いた。,"Let's grill it and have it for dinner!"" She looked at me, startled. Thinking she hadn't heard properly, I repeated what I'd said, this time clearly enunciating my words. The mother sitting next to her gaped at me, her eyes, nostrils, and mouth forming perfect O's.",1-4
20,変な顔だったので笑いそうになったが、その人が私の手元を凝視しているのを見て、そうか、一羽じゃ足りないなと思った。,She looked so comical I almost burst out laughing. But then I saw her staring at the bird in my hand and I realized that one of these little birds probably wouldn't be enough for Daddy.,1-2
22,近くで二、三羽並んで歩いている雀にちらりと視線をやると、やっと我に返った母が、恵子!ととがめるような声で、必死に叫んだ。,"I asked, glancing at two or three other birds strutting around. ""Keiko!"" my mother exclaimed reprovingly, finally coming to her senses.",1-2
26,ね、かわいそうでしょう? なんで?,"The poor little thing!""",2-1
27,せっかく死んでるのに 私の疑問に、母は絶句した。,"""But it's dead. Let's eat it!"" My mother was speechless.",1-3
33,あー、あと煙草の５番を一つ かしこまりました すばやくマルボロライトメンソールを抜き取り、レジでスキャンする。,"""Oh, and a pack of Marlboro Menthol Lights."" ""Right away, sir."" I take out a pack of the cigarettes and scan the bar code.",1-3
42,客が入ってくるチャイムの音に、店内を流れる有線放送で新商品を宣伝するアイドルの声。 店員の掛け声に、バーコードをスキャンする音。 かごに物を入れる音、パンの袋が握られる音に、店内を歩き回るヒールの音。,"From the tinkle of the door chime to the voices of TV celebrities advertising new products over the in-store cable network, to the calls of the store workers, the beeps of the bar code scanner, the rustle of customers picking up items and placing them in baskets, and the clacking of heels walking around the store.",3-1
