id,source,translation,n2m
1,"""Tak co, líbí se ti něco?"" zeptal se Frodo, když viděl, jak na obrázky koukám.","Co tam, coś ci się podoba? zapytał Frodo, widząc, jak patrzę na obrazy.",1-1
2,"""Všechno,"" přikývla jsem.",Wszystko przytaknęłam.,1-1
3,Moje obrázky vedle těch jeho vypadaly jako úplný mazanice.,Moje obrazy obok jego wyglądały jak całkowity beztalencie.,1-1
4,Až jsem se před ním styděla.,Aż wstydziłam się przed nim.,1-1
5,"""Tenhle nejvíc,"" ukázala jsem na zasněženou krajinu.",Ten najbardziej mi się podoba wskazałam na zaszronioną krajobraz.,1-1
6,"""Tak si ho vezmi, jestli chceš,"" mrkl na mě Frodo, ""teda pokud mi taky jeden svůj dáš.""","Weź go sobie, jeśli chcesz mrugnął do mnie Frodo o ile mi też oddasz jeden swój.",1-1
7,"""Když moje nejsou tak pěkný,"" zavrtěla jsem hlavou a nemohla jsem spustit oči z Frodovy krajiny.",Jeśli moje nie są tak piękne potrząsnęłam głową i nie mogłam oderwać wzroku od krainy Froda.,1-1
8,"Do tý doby mě nenapadlo, že by učitel mohl taky malovat.","Do tej pory nie przyszło mi do głowy, że nauczyciel mógłby też malować.",1-1
9,"Teda nikdy žádná učitelka na výtvarku nám neukázala žádnej obrázek, kterej dělala.","Żadna nauczycielka plastyki nigdy nam nie pokazała żadnego obrazu, który sama stworzyła.",1-1
10,"Jen jsem přikývla a Frodo sáhl na skříň, kde měl takovou roli a v ní několik výkresů.","Tylko skinęłam głową, a Frodo sięgnął do szafy, gdzie miał taką rolkę i w niej kilka rysunków.",1-1
11,"Když je vytáhl, zavoněly z toho nějaký barvy, myslím, že to byly opravdový malířský.","Kiedy je wyjął, wydobyły się z nich jakieś farby, myślę, że to były prawdziwe malarskie.",1-1
12,"Na několika obrázcích byly různý postavy, nebo třeba jen člověk jako by si obtiskl páteř na papír, potom takový krásný domečky a několik takovejch neurčitejch krajin.","Na kilku obrazkach były różne postacie, albo po prostu człowiek, jakby odbijał swoją krzywiznę na papierze, potem takie piękne domki i kilka takich nieokreślonych krajobrazów.",1-1
13,"Ty se mi líbily nejvíc, protože na nich vlastně skoro nic nebylo, třeba jen jako zasněžená krajina, kde trošičku vylízala ze sněhu hlína a kousek hráze u rybníka, ale přitom to bylo úplně nejlepší.","Te najbardziej mi się podobały, bo na nich właściwie prawie nic nie było, może jak zasnążona kraina, gdzie trochę wyłaziło z śniegu gliny i kawałek brzegu przy stawie, ale jednocześnie były one absolutnie najlepsze.",1-1
14,"Sedl si ke stolku vedle mě a otevřel desky, který jsem mu dala, a začal si prohlížet obrázky jeden po druhým.","Usiadł przy stole obok mnie i otworzył książki, które mu dałam, i zaczął oglądać obrazy jeden po drugim.",1-1
15,"Na některý se díval docela dlouho, úplně je zkoumal, takže mi bylo jasný, že musí vidět všechny chyby, co na nich jsou.","Przyglądał się jednemu z nich dość długo, dokładnie je przyglądał, więc było dla mnie jasne, że musi widzieć wszystkie błędy, które na nich są.",1-1
16,"A taky že poznal, kdy už se mi na tom obrázku nechtělo dělat a jen jsem to tak doplácala barvama.","I zauważył, kiedy już mi się nie chciało pracować nad tym obrazem i tylko doklejałam kolorami.",1-1
17,"Potom vzal ten výkres s vránama a řekl, že ten se mu líbí nejvíc.","Potem wziął rysunek z wronami i powiedział, że ten mu najbardziej się podoba.",1-1
18,A usmíval se a vypadal ještě víc jako Frodo.,"I uśmiechał się, wyglądając jeszcze bardziej jak Frodo.",1-1
19,"Všimla jsem si, že má takový krásně dlouhý prsty s kulatejma nehtama.","Zauważyłam, że ma tak pięknie długie palce z okrągłymi paznokciami.",1-1
