id,source,translation,n2m
1,一九九三年的那个冬天，对我来说最重要的事，是我爸爸回来了，就在我妈结婚前的那个星期。,"The most important thing that happened to me in the winter of 1993 was that my father came back, just the week before my mother's wedding.",1-1
2,十二月的一个下午，他到学校来找我。,"One afternoon in December, he came to the school looking for me.",1-1
3,我一路飞奔向大门口，隔着铁栏杆远远地看到他站在外面抽烟。,"I ran all the way to the entrance and from behind the iron bars, I could see him standing outside, smoking.",1-1
4,身上穿着一件黑色长风衣，竖起的领子遮住了半张脸。,"I was wearing a black long coat, with the collar standing up to cover half of my face.",1-1
5,不知道为什么，连他的样子也没有看清，就觉得他过得似乎很不好。,"For some reason, I couldn't even make out his features, but I could tell that he was not doing well.",1-1
6,我的心一酸，眼泪掉了出来。,My heart ached and tears rolled down my cheeks.,1-1
7,我没想过我妈妈会有再婚的念头。,I never thought that my mother would consider remarrying.,1-1
8,或许潜意识里，我觉得她应该因为我爸爸的离开而一直痛苦下去，就像我一样。,"Perhaps deep down, I thought she must have been suffering the same way I was, due to my father's departure.",1-1
9,况且，我觉得她缺少那种找到幸福的能力。,"Besides, I felt that she lacked the ability to find happiness.",1-1
10,事实也许的确如此，可是幸福有能力找到她。,"It may be true, but happiness has the power to find her.",1-1
11,不是吗，作为一个美人，根本不必那么辛苦，她什么都不用做，只要站在原地就好了。,"Right? As a beautiful woman, she didn't have to work so hard; she didn't have to do anything, she just had to stay in one place.",1-2
12,我还记得，那一年的冬天特别长，四月过了一半，迎春花还没有开。,"I still remember that winter was particularly long that year—it was already halfway through April, yet the cherry blossoms hadn't bloomed.",1-1
13,父母离婚的事，令你的情绪很消沉。,The divorce of your parents has taken a toll on your emotions.,1-1
14,我们好久都没有什么新游戏了，一到傍晚就百无脚赖地坐在死人塔的房顶上。,"We hadn't had any new games in a long time, so in the evenings we would just sit listlessly on the roof of the dead man's tower.",1-1
15,院子里散落的那些身体部件中，又多了几只胳膊。,"Among the scattered body parts in the courtyard, there were now a few extra arms.",1-1
16,我们用钩子把它们拨到一起，摆成了一个千手观音。,We used hooks to gather them together and arranged them into a statue of the Thousand-Handed Guanyin.,1-1
17,我爸爸其实对做生意一窍不通，只是去投奔一个并不相熟的表哥。,"My father, in fact, had no idea how to do business, but he went to seek help from a distant cousin.",1-1
18,我奶奶有个妹妹，早年去了北京，后来在那里结婚生子。,My grandmother had a younger sister who had gone to Beijing in her youth and later married and had children there.,1-1
19,这个表哥是她家的长子，在整个家族里，一直作为一个异类存在。,"This cousin of hers was the eldest son in the family, and had always been an outcast in the entire family.",1-1
20,刚才你说每个人都有一个起运的时间，人生好像忽然套上了缰绳。,"You just said that everyone has a time of departure, and life suddenly seems to be harnessed.",1-1
21,我的应该是在八岁。,I must have been eight years old.,1-1
22,那年秋天，爸爸离开济南，一个人去了北京。,"That autumn, Dad left Jinan and went to Beijing alone.",1-1
23,从那以后，我就再也没有家了。,"From then on, I no longer had a home.",1-1
24,我并不打算赴约。,I had no intention of keeping the appointment.,1-1
25,不管是因为什么，我想我们都没有再见面的必要了。,"No matter the reason, I don't think there's any need for us to meet again.",1-1
26,我坐在沙发上一支一支地抽烟，天色越来越暗，门突然笃笃地敲响了。,"I was sitting on the sofa, smoking one cigarette after another, when the door suddenly creaked open. The sky was getting darker and darker.",1-2
27,送 水的男孩扛着水桶站在门囗，说是给西郊的一户人家送水去了。,"The water delivery boy stood at the gate with a bucket of water, saying he was going to deliver it to a family in the western suburbs.",2-1
28,他戴着一顶脏兮兮的灰色毛线帽子，神情恍惚。,He wore a dirty gray woolen cap and had a dazed expression.,1-1
29,我们的谈话进行得很艰难。,Our conversation was difficult.,1-1
30,每次陷入沉默，我都觉得心脏受到压迫，只想快点结束这次见面。,"Every time we fell into silence, I felt my heart being crushed and just wanted the meeting to end quickly.",1-1
31,你似乎有所察觉，但还在努力寻找话题。,"You seem to have noticed, but are still trying to find something to talk about.",1-1
32,茶冷下去，屋子里的白雾已经散尽，你终于起身告辞。,"The tea had cooled, and the white mist in the room had dissipated. You finally got up to take your leave.",1-2
