id,source,translation,n2m
1,一九九三年的那个冬天，对我来说最重要的事，是我爸爸回来了，就在我妈结婚前的那个星期。,"The most important event for me in the winter of 1993 was my father's return, which happened just a week before my mother got married.",1-1
2,十二月的一个下午，他到学校来找我。,"One afternoon in December, he came to the school to find me.",1-1
3,我一路飞奔向大门口，隔着铁栏杆远远地看到他站在外面抽烟。,"I ran all the way to the main gate and through the iron bars, I saw him standing outside smoking from a distance.",1-1
4,身上穿着一件黑色长风衣，竖起的领子遮住了半张脸。,"Dressed in a long black trench coat, with the collar raised to cover half his face.",1-1
5,不知道为什么，连他的样子也没有看清，就觉得他过得似乎很不好。,"For some reason, even though I didn't get a clear look at him, I had the impression that he was having a tough time.",1-1
6,我的心一酸，眼泪掉了出来。,My heart ached and tears began to fall.,1-1
7,我没想过我妈妈会有再婚的念头。,I never thought that my mother would consider remarrying.,1-1
8,或许潜意识里，我觉得她应该因为我爸爸的离开而一直痛苦下去，就像我一样。,"Perhaps subconsciously, I felt that she should continue suffering because of my father's departure, just like me.",1-1
9,况且，我觉得她缺少那种找到幸福的能力。,"Besides, I feel she lacks the ability to find happiness.",1-1
10,事实也许的确如此，可是幸福有能力找到她。,"Perhaps the truth is indeed so, but happiness has the ability to find her.",1-1
11,不是吗，作为一个美人，根本不必那么辛苦，她什么都不用做，只要站在原地就好了。,"Isn't it true that as a beauty, she really doesn't have to work so hard? She doesn't need to do anything. Just standing in place is enough.",1-3
12,我还记得，那一年的冬天特别长，四月过了一半，迎春花还没有开。,"I still remember, the winter of that year was particularly long. Halfway through April, the spring flowers had not yet blossomed.",1-2
13,父母离婚的事，令你的情绪很消沉。,The divorce of your parents has made you very depressed.,1-1
14,我们好久都没有什么新游戏了，一到傍晚就百无脚赖地坐在死人塔的房顶上。,"We hadn't had any new games for a long time, so we just sat aimlessly on the roof of the death tower every evening.",1-1
15,院子里散落的那些身体部件中，又多了几只胳膊。,"Among the body parts scattered in the yard, a few more arms were added.",1-1
16,我们用钩子把它们拨到一起，摆成了一个千手观音。,"We used hooks to gather them together, arranging them into a Thousand-Hand Guanyin.",1-1
17,我爸爸其实对做生意一窍不通，只是去投奔一个并不相熟的表哥。,"In truth, my father knew nothing about doing business; he only went to pay homage to a distant cousin who was not well-acquainted with us.",1-2
18,我奶奶有个妹妹，早年去了北京，后来在那里结婚生子。,My grandmother had a sister who went to Beijing at an early age and later got married and had children there.,1-1
19,这个表哥是她家的长子，在整个家族里，一直作为一个异类存在。,"This cousin was the eldest son in her family, and within the entire family unit, he was always regarded as an odd one out.",1-1
20,刚才你说每个人都有一个起运的时间，人生好像忽然套上了缰绳。,"You just said that everyone has a time when their luck begins, as if life suddenly gets reined in.",1-1
21,我的应该是在八岁。,I should have been eight years old.,1-1
22,那年秋天，爸爸离开济南，一个人去了北京。,"That autumn, my father left Jinan and went to Beijing alone.",1-1
23,从那以后，我就再也没有家了。,"Since then, I have been homeless.",1-1
24,我并不打算赴约。,I have no plans to keep the appointment.,1-1
25,不管是因为什么，我想我们都没有再见面的必要了。,"Regardless of the reason, I believe there's no need for us to meet again.",1-1
26,我坐在沙发上一支一支地抽烟，天色越来越暗，门突然笃笃地敲响了。,"I was sitting on the sofa, smoking one cigarette after another. As it got darker and darker, there was a sudden knock at the door.",1-2
27,送,Deliver,1-1
28,水的男孩扛着水桶站在门囗，说是给西郊的一户人家送水去了。,"The boy from the water station stood in the doorway, carrying a water bucket, saying that he was delivering water to a household in the western suburbs.",1-1
29,他戴着一顶脏兮兮的灰色毛线帽子，神情恍惚。,"He wore a dirty, grey, woolen hat, his expression bewildered.",1-1
30,我们的谈话进行得很艰难。,Our conversation was very difficult.,1-1
31,每次陷入沉默，我都觉得心脏受到压迫，只想快点结束这次见面。,"Every time I fall silent, I feel a pressure on my heart and just want to end this meeting quickly.",1-1
32,你似乎有所察觉，但还在努力寻找话题。,"You seem to have noticed something, but you're still trying to find a topic of conversation.",1-1
33,茶冷下去，屋子里的白雾已经散尽，你终于起身告辞。,"The tea had cooled, the white mist in the room had dissipated, and you finally got up to leave.",1-1
34,我刚关上门，感觉松了一囗气，门铃又响了。,"Just as I closed the door and let out a sigh of relief, the doorbell rang again.",1-1
35,你站在门囗，请我晚些到小白楼来。,"You were standing at the door, asking me to come to the small white building later.",1-1
36,我还没有来得及推辞，你已经走出了楼洞。,"Before I had the chance to refuse, you had already left the building.",1-1
37,我走到厨房关掉炉子。,I walked to the kitchen and turned off the stove.,1-1
38,水已经蒸发了半壶，整个房间弥漫在白雾里。,"Half of the water in the pot had evaporated, filling the whole room with white mist.",1-1
39,你局促地坐下来，看着我倒茶。,"You sit down restlessly, watching me pour the tea.",1-1
40,"""你还跟奶奶和姑姑一起住吗？""","""Do you still live with your grandmother and aunt?""",1-1
41,你问。,You ask.,1-1
42,我告诉你，奶奶已经去世了，现在我和姑姑一起生活。,"I'll tell you, my grandmother has passed away, and now I live with my aunt.",1-1
43,"""她一直没成家"" 你问。","""She never settled down,"" you ask.",1-1
44,"""嗯。""","""Mm-hmm.",1-1
45,你嘴巴里呼出的白色哈气，被风撩起的卷曲头发，大衣下摆底下微微颤动的膝盖，这些让我相信眼前的你是真实的存在，并非是先前那个梦的延续。,"The white breath you exhale, your hair, tousled by the wind, the slight trembling of your knees beneath the hem of your coat these things convince me that you truly exist before me and are not a continuation from a previous dream.",1-1
46,十八年没见了，认不出来也不奇怪。,"It's been eighteen years, it's no surprise if you don't recognize me.",1-1
47,你没有化妆，苍白的脸有一点浮肿，不过总算没有辜负大家的期望，长成了一个美人。,"You're not wearing any makeup, and your pale face is slightly swollen, but you have met everyone's expectations in the end, turning out to be a beauty.",1-1
48,只是那张桃心小脸乌戚戚的，一副在大都市待久了的神情。,"Her peach-shaped face was gloomy, revealing an expression that suggested she had spent a long time in the big city.",1-1
49,你问我，你的样子是不是和我想象的不一样。,You ask me if you look different from what I had imagined.,1-1
50,我不置可否地笑了笑。,I gave a noncommittal smile.,1-1
51,坦白说，我从未想象过你长大之后的样子。,"To be honest, I've never imagined what you'd look like when you grow up.",1-1
