id,source,translation,n2m
1,"""Klappe halten"", sagte der Optiker noch einmal lauter und ging schneller, ""Selma findet nur sehr selten etwas bedrohlich oder unansehnlich"".","""Shut up,"" said the optician once again, louder and walking faster. ""Selma rarely ever finds something threatening or unsightly.",1-2
2,"Damit hatte er völlig recht, und damit hatte er leider mehr gesagt, als er den Stimmen eigentlich hätte antworten sollen.","He was absolutely right, and sadly he revealed more than he should have to these voices.",1-1
3,"Aber die Liebe fände sie womöglich ausgerechnet doch unansehnlich, zischelten die Stimmen, es habe ja einen Grund, sagten sie, dass die Wahrheit so lange verborgen wurde.","But love might indeed seem unsightly to her, the voices hissed; there is a reason the truth had been concealed all along.",1-1
4,"""Feigheit war das"", sagte der Optiker und schob die Ledertasche auf die andere Hüfte, weil das Rempeln der Tasche und das Rempeln der Stimmen langsam begannen wehzutun.","""It was cowardice,"" said the optician, shifting his leather bag to his other hip because both the jostling of the bag and of these voices were slowly causing pain.",1-1
5,"""Besonnenheit war das"", sagten die Stimmen, ""Angst ist ja manchmal doch ein guter Ratgeber"", sagten sie und summten die Titelmelodie der Vorabendserie.","""That was prudence"", said those voices, ""Fear can sometimes be a good advisor"", they added and hummed the title melody from some soap opera.",1-1
6,"Der Optiker wurde jetzt langsamer. Der Weg zu Selmas Haus, der eigentlich zehn Minuten dauerte, kam ihm plötzlich vor wie eine Tagesreise, eine Tagesreise mit sehr, sehr viel Gepäck.",The optician started moving even slower now; what normally is a ten-minute walk towards Selma's house felt like an entire day's journey with considerably heavy baggage all of a sudden.,2-1
7,Das stimmte.,That was accurate.,1-1
8,"Der Hund war schneematschfarben, er war verwaschen grau und zottelig wie ein ausschließlicher Irischer Wolfhund ohne etwas anderes drin.","The dog was the color of slushy snow, it was mottily grey and shaggy like a pure Irish wolfhound with nothing else in him.",1-1
9,"Sein Körper war noch klein, aber seine Pfoten waren groß wie Bärentatzen, und wir wussten alle, was das bedeutete.","His body was still small, but his paws were as big as bear claws, and we all knew what that meant.",1-1
10,Selma stand immer noch erhoben vor der Küchenbank.,Selma still stood tall in front of the kitchen bench.,1-1
11,Sie schaute lange auf den Hund.,She looked at the dog for a long time.,1-1
12,"Dann sah sie meinen Vater an, als sei er ein Geschenkideengeschäft.",Then she glanced at my father as if he were a gift idea shop.,1-1
13,"Bauer Häubel war der festen Überzeugung, dass der Tod höflich sein würde, so wie Bauer Häubel selbst es sein Leben lang gewesen war.","Farmer Häubel was convinced that Death would be polite, just as Farmer Häubel himself had been all his life.",1-1
14,"Er war sicher, dass der Tod ihm das Leben nicht entreißen, sondern behutsam aus der Hand nehmen würde.","He was sure that Death would not snatch away his life, but gently take it from his hand.",1-1
15,"Er stellte sich vor, wie der Tod vorsichtig anklopfte, die Tür nur einen Spalt öffnete und ""Darf ich""? fragte, was Bauer Häubel natürlich bejahen würde.","He imagined how Death would knock cautiously, opening the door just a crack and asking, ""May I?"", to which Farmer Häubel would naturally respond affirmatively.",1-1
16,"""Selbstverständlich"", würde Bauer Häubel sagen, ""treten Sie doch ein"", und der Tod würde eintreten.","""Of course,"" Farmer Häubel would say, ""do come in,"" and Death would enter.",1-1
17,"Er würde sich an Bauer Häubels Bett stellen und fragen: ""Passt es Ihnen jetzt?","He'd stand by Farmer Häubel's bed and ask: ""Is now a good time?",1-1
18,"Ich kann sonst auch zu einem späteren Zeitpunkt vorbeikommen"".","If not, I can always come back at a later point.",1-1
19,"Bauer Häubel würde sich aufrichten und ""Nein, nein, es passt mir gerade sehr gut"" sagen, ""lassen Sie es uns besser nicht noch einmal verschieben, wer weiß, wann Sie es wieder einrichten können"", und der Tod würde sich auf den schon bereitgestellten Stuhl am Kopfende setzen.",""" Farmer Häubel would sit up and say, ""No, no—the timing is perfect,"" saying it's better not to reschedule who knows when you'll be able to make another visit""-and then death will sit on the chair already prepared at the head of the bed.",1-1
20,"Er würde sich im Vorhinein für die Kälte seiner Hände entschuldigen, die, das wusste Bauer Häubel, ihm überhaupt nichts ausmachen würde, und dann eine Hand auf Bauer Häubels Augen legen.",He'd apologize in advance for the chill of his hands—a detail that wouldn't bother Farmer Häubel at all—and then lay a hand over farmer's eyes.,1-1
21,"Die Leute im Dorf waren beunruhigt, man sah es ihnen an, auch wenn sie größtenteils versuchten, sich nichts anmerken zu lassen.","The people in the village were unsettled; you could tell, even though they mostly tried to conceal it.",1-1
