id,source,translation,n2m
1,"Deux autres petites photos à bords dentelés, datant vraisemblablement de la même année, montrent la même enfant, mais plus menue, dans une robe à volants et manches ballon.","Two other small, scalloped-edged photographs, probably taken in the same year, show the same child, now more slender, in a dress with flounces and balloon sleeves.",1-1
2,"Sur la première, elle se blottit de façon espiègle contre une femme au corps massif, d'un seul tenant dans une robe à larges rayures, les cheveux relevés en gros rouleaux.","In the first she is mischievously snuggling up to a woman with a solid body, wearing a dress with wide stripes, her hair in big curls.",1-1
3,"Sur l'autre, elle lève le poing gauche, le droit est retenu par la main d'un homme, grand, en veste claire et pantalon à pinces, à la posture nonchalante.","In the second she is raising her left fist, her right being held by a tall man in a light jacket and pinstriped trousers, with a nonchalant air.",1-1
4,"Les deux photos ont été prises le même jour devant un muret surmonté d'une bordure de fleurs, dans une cour pavée.","The two photographs were taken on the same day in front of a wall with a flower border, in a paved courtyard.",1-1
5,Au-dessus des têtes passe une corde à linge sur laquelle une épingle est restée accrochée.,"Above their heads a clothesline passes, with a pin still hooked on it.",1-1
6,"Une autre photo, signée du même photographe mais le papier du livret est plus ordinaire et le liseré d'or a disparu —, sans doute vouée à la même distribution familiale, montre une petite fille d'environ quatre ans, sérieuse, presque triste malgré une bonne bouille rebondie sous des cheveux courts, séparés par une raie au milieu et tirés en arrière par des barrettes auxquelles sont attachés des rubans, comme des papillons.","Another photograph, signed by the same photographer but the paper of the booklet is more ordinary and the gilt edging has disappeared no doubt destined for the same family distribution, shows a little girl of about four years old, serious, almost sad despite a good round face under short hair, parted in the middle and pulled back with barrettes to which ribbons are attached, like butterflies.",1-1
7,"La main gauche repose sur la même table sculptée, entièrement visible, de style Louis XVI.","Her left hand rests on the same carved table, fully visible, in Louis XVI style.",1-1
8,"Elle apparaît boudinée dans son corsage, sa jupe à bretelles remonte par-devant à cause d'un ventre proéminent, peut-être signe de rachitisme (1944, environ).","She appears plump in her blouse, her pinafore rising in front due to a prominent stomach, perhaps a sign of rickets (1944, approximately).",1-1
9,Les garçons étaient fiers de partir au régiment et on les trouvait beaux en soldats.,The boys were proud to be leaving for the regiment and they looked handsome in their uniforms.,1-1
10,"Le soir du conseil de révision, ils faisaient la tournée des cafés pour célébrer la gloire d'être reconnus comme de vrais hommes.",On the night of their conscription review they went around the bars to celebrate the glory of being recognized as real men.,1-1
11,"Avant le régiment, ils étaient encore des gamins et ne valaient rien sur le marché du travail et du mariage.",Before the regiment they had been just kids and worth nothing in the job or marriage market.,1-1
12,"Après, ils pourraient avoir une femme et des enfants.",Afterwards they could have a wife and children.,1-1
13,L'uniforme qu'ils promenaient dans le quartier lors des permissions les enveloppait de beauté patriotique et de sacrifice virtuel.,The uniform they wore around the neighborhood on leave was wrapped in patriotic beauty and virtual sacrifice.,1-1
14,"L'ombre des combattants vainqueurs, des GI, flottait autour d'eux.","The shadow of victorious fighters, GIs, floated around them.",1-1
15,"Le drap rêche de la vareuse, effleurée quand on se hissait sur la pointe des pieds pour les embrasser, matérialisait la coupure absolue entre l'univers des hommes et celui des femmes.","The rough cloth of the tunic, brushed when you stood on tiptoe to kiss them, materialized the absolute break between the world of men and that of women.",1-1
16,À les voir on éprouvait un sentiment d'héroïsme.,Seeing them gave one a feeling of heroism.,1-1
17,"Sous l'immuabilité, les affiches du cirque de l'année dernière avec la photo de Roger Lanzac, les images de première communion distribuées aux camarades, le Club des Chansonniers sur Radio Luxembourg, les jours se remplissaient de désirs nouveaux.","Under the immutability, the posters of the circus of last year with the photo of Roger Lanzac, the first communion images distributed to the comrades, the Club of Songwriters on Radio Luxembourg, the days were filled with new desires.",1-1
18,"Le dimanche après-midi, on s'agglutinait à la vitrine du magasin d'électricité générale devant la télévision.","On Sunday afternoons, people crowded around the window of the general electrical store in front of the television.",1-1
19,Des cafés investissaient dans l'achat d'un poste pour attirer la clientèle.,Cafes invested in the purchase of a set to attract customers.,1-1
20,Au flanc des collines serpentaient des pistes de motocross et l'on regardait monter et descendre les engins assourdissants la journée entière.,"On the slopes of the hills, motocross tracks snaked and one watched the deafening machines go up and down all day.",1-1
21,"L'impatience grandissante du commerce avec ses nouveaux mots d'ordre, « initiative », « dynamisme », secouait le train-train des villes.","The growing impatience of commerce with its new slogans, ""initiative"", ""dynamism"", shook the daily routine of the cities.",1-1
22,"Entre la fête foraine et la kermesse, la Quinzaine commerciale s'installait comme rite de printemps.","Between the fair and the fair, the Commercial Fortnight settled as a rite of spring.",1-1
23,"Dans les rues du centre, les haut-parleurs beuglaient des incitations à acheter, entrecoupées de chansons d'Annie Cordy et d'Eddie Constantine, pour gagner la Simca ou la salle à manger.","In the streets of the center, the loudspeakers roared with invitations to buy, interspersed with songs by Annie Cordy and Eddie Constantine, to win the Simca or the dining room.",1-1
24,"Sur le podium, place de la Mairie, un animateur local faisait rire avec les blagues de Roger Nicolas et de Jean Richard, rameutait des candidats pour le Crochet ou Quitte ou double, comme à la radio.","On the podium, Place de la Mairie, a local animator made people laugh with the jokes of Roger Nicolas and Jean Richard, rounded up candidates for the Crochet or Quitte or double, as on the radio.",1-1
25,Assise dans un coin du podium trônait sous sa couronne la Reine du Commerce.,"Seated in a corner of the podium, the Queen of Commerce reigned under her crown.",1-1
26,La marchandise avançait sous les couleurs de la fête.,The merchandise advanced under the colors of the party.,1-1
27,"Les gens disaient « ça change » ou « il ne faut pas s'encroûter, on s'abrutit à rester chez soi ».","People said ""it changes"" or ""you must not get stuck, you get dull staying at home"".",1-1
28,"Mais ils ne parlaient que de ce qu'ils avaient vu, qui pouvait se revivre en mangeant et buvant.","But they only spoke of what they had seen, which could be relived through eating and drinking.",1-1
29,Ils n'avaient pas assez de talent ou de conviction pour parler de ce qu'ils savaient mais qu'ils n'avaient pas vu.,They lacked the talent or the conviction to talk about what they knew but had not seen.,1-1
30,"Donc ni des enfants juifs montant dans des trains pour Auschwitz, ni des morts de faim ramassés au matin dans le ghetto de Varsovie, ni des 10 000 degrés à Hiroshima.","So there was no mention of Jewish children boarding trains to Auschwitz, of the dead of hunger picked up in the morning in the Warsaw ghetto, or of the 10,000 degrees at Hiroshima.",1-1
31,"D'où cette impression que les cours d'histoire, les documentaires et les films, plus tard, ne dissiperaient pas : ni les fours crématoires ni la bombe atomique ne se situaient dans la même époque que le beurre au marché noir, les alertes et les descentes à la cave.","Hence the impression that history classes, documentaries and films later on would not dispel: neither the crematoria nor the atomic bomb belonged to the same era as the black market butter, the air raid sirens and the trips to the cellar.",1-1
32,"Ils embrayaient par comparaison sur la guerre d'avant, la Grande, celle de 14, gagnée, elle, dans le sang et la gloire, une guerre d'hommes que les femmes de la table écoutaient avec respect.","They then compared the present war with the Great War of 1914, won in blood and glory, a war of men which the women at the table listened to with respect.",1-1
33,"Ils parlaient du Chemin des Dames et de Verdun, des gazés, des cloches du 11 novembre 1918.","They spoke of the Chemin des Dames and Verdun, of the gassed, of the bells of the 11th of November 1918.",1-1
34,Ils nommaient des villages dont pas un enfant parti au front n'était revenu.,They named villages from which not one child who had gone to the front had returned.,1-1
