id,source,translation,n2m
1,Беспредельный морской шум не прекращался ни на минуту.,The endless sound of the sea did not cease for a minute.,1-1
2,"Он набегал длинными волнами, то усиливаясь, то затихая.","It rolled in with long waves, sometimes intensifying, sometimes abating.",1-1
3,"И ветер то начинал шуметь в голых деревьях, то замолкал, так же как и я прислушиваясь к течению ночи.","And the wind would either start to rustle in the bare trees or fall silent, much like me listening to the flow of the night.",1-1
4,"Но он не уходил, он был здесь.","But it did not leave, it was here.",1-1
5,Я это знал по запаху мокрой гальки и по едва внятному трепету одинокого платанового листа.,I knew this by the smell of wet pebbles and by an almost imperceptible trembling of a single sycamore leaf.,1-1
6,"Я заметил еще днем этот упрямый сизый лист, но сейчас, ночью, он казался мне маленьким живым существом, моим единственным бодрствующим другом.","I had noticed that stubborn gray leaf during daytime, but now at night, it seemed to me like a small living creature, my only vigilant friend.",1-1
7,"Изредка из тьмы, из города, доносились ружейные выстрелы.",Every once in a while gunshots sounded from out of town's darkness.,1-1
8,После каждого выстрела долго лаяли собаки.,After each shot dogs barked for a long time.,1-1
9,Потом далеко в море мелькнул тусклый огонь и погас.,Then there was momentarily dull light far out at sea followed by darkness again.,1-1
10,"Он заставлял смотреть на эти вещи пристальнее и дольше, чем мы это делаем обычно, и открывать в них много не замеченных ранее качеств.","He made you look at these things more closely and for longer than we usually do, revealing many qualities in them that had previously gone unnoticed.",1-1
11,"Так, в ноздреватом желтом камне было много накрепко впаянных в него маленьких морских ракушек, на кустах дрока оставалось еще несколько цветов, они сидели на прямых твердых стеблях, как промокшие и сморщенные золотые бабочки, и терпеливо дожидались солнца.","For instance, the pitted yellow stone was filled with a lot of tiny seashells tightly embedded into it. On the dwarf elder shrubs there were still a few flowers remaining; they sat on rigid stems like wet, wrinkled golden butterflies and patiently waited for the sun.",1-2
12,"Но оно очень редко проступало в тумане размытым белым пятном и не давало ни теплоты, ни тени.","However, it seldom showed itself through the mist as a blurred white spot delivering neither heat nor shade.",1-1
13,"Под единственным старым платаном с лимонными пятнами на стволе валялись листья, как бы вырезанные из тусклого зеленого бархата.",Underneath the sole old plane tree with lemon spots on its trunk lay leaves seemingly cut out of dull green velvet.,1-1
14,"По чугунной калитке вереницей бежали муравьи, сносили в свои подземные житницы последние запасы на зиму, а под якорной цепью жила маленькая робкая жаба.","Across an iron gate was an ongoing trail of ants carrying their last winter supplies into their underground granaries while under a ship's anchor chain lived a small, timid frog.",1-1
15,Ночью на другом берегу реки кто-то начал махать фонарем и протяжно кричать.,"At night on the other bank of the river, someone began waving a lantern and calling out longingly.",1-1
16,Я вышел с дядей Илько на берег.,Uncle Ilko and I went to the bank.,2-1
17,Река ревела.,The river roared.,1-1
18,Вода шла через греблю холодным водопадом.,Water was flowing over the dam creating a cold waterfall.,1-1
19,"Ночь стояла поздняя, глухая, ни единой звезды не было над головой.",The prevailing night was deep; not a single star could be seen above us.,1-1
20,"В лицо дуло дикой свежестью разлива, оттаявшей земли.",A wild freshness from the flooded areas and thawed ground blew into our faces.,1-1
21,"И все время кто-то махал на том берегу фонарем и кричал, но слов за шумом реки нельзя было разобрать.","All this while, someone on the other side kept waving his lantern and shouting, but we couldn't make out any words amidst the noise of the river.",1-1
