id,source,translation,n2m
1,"Все последующее было предсказуемо: возгласы и стоны, нервные шутки и похвалы мне, стоящему в белом у жаровни: Маэстро, вы превзошли себя!","Wszystko, co nastąpiło później, było przewidywalne: okrzyki i jęki, nerwowe żarty i pochwały dla mnie, stojącego w białym u ołtarza: Maestro, przeszedłeś sam siebie!",2-1
2,"Сюзанна, ты чувствуешь запах ста тысяч, брошенных Настасьей Филипповной в огонь?","Suzanne, czy czujesz zapach sto tysięcy rzeczy, które Nastasja Filippowna wrzuciła do ognia?",1-1
3,"Милый, сколько же сегодня сжег ты для меня?","Kochany, ile dzisiaj spaliłeś dla mnie?",1-1
4,"Барбара, мы с тобой преступницы!","Barbara, jesteśmy z tobą przestępcami!",1-1
5,"Ах, в этой рыбе привкус безумия!","Ach, w tej rybie jest smak szaleństwa!",1-1
6,"Томас, стыдно признаться, но я впервые ем и осетрину!","Thomas, wstyd się przyznać, ale jem i śledzia po raz pierwszy!",1-1
7,"Попыхивая сигарой, достаю пачку красивых полупрозрачных английских банкнот с самодовольной физиономией короля, вынимаю одну, складываю из нее тельца.","Popiół z fajką w ręku, wyciągam paczkę pięknych, półprzezroczystych angielskich banknotów z samowolnym wizerunkiem króla, wyciągam jeden, składam z niego łabędzia.",1-1
8,Кладу в пепельницу и поджигаю.,Kładę do popielniczki i podpalam.,1-1
9,"Это жертва благодарения цифровому миру, обеспечившему нас работой.","To jest ofiara wdzięczności cyfrowemu światu, który zapewnił nam pracę.",1-1
10,Я совершаю этот ритуал каждый раз после удачного вечера.,Robię ten rytuał za każdym razem po udanym wieczorze.,1-1
11,"Современные купюры горят отвратительно, приходиться поджигать и поджигать.","Współczesne banknoty palą się odrażająco, trzeba je podpalać i podpalać.",1-1
12,"Мда, англичане в ту пору оказались ""впереди планеты всей"".","Uff, Anglicy w tamtym czasie okazali się ""zaawansowani ponad całą planetę"".",1-1
13,"Четверку джентльменов, подаривших миру новую моду, тогда окрестили ""новыми битлами"": трое из них совпадали именами с ливерпульской четверкой: Джон, Джордж и Пол.","Czwórka dżentelmenów, która podarowała światu nową modę, została wtedy okrzyknięta ""nowymi Beatlesami"": trzech z nich miało imiona zgodne z liverpoolską czwórką: John, George i Paul.",1-1
14,Контрфаготиста звали Грегор.,Kontrfałszystę nazywano Gregorem.,1-1
15,"И те, и нынешние стремительно ворвались в послевоенный европейский мир.","I ci, i obecni wdarli się gwałtownie w powojenny świat europejski.",1-1
16,"Да, после войны всем, всем вдруг отчаянно захотелось почитать.","Tak, po wojnie wszystkim, wszystkim nagle zachciało się czytać.",1-1
