id,source,translation,n2m
1,"Tufts of cloud burned black before the sunrise, the horizon littered with the flotsam of old and rusted silhouettes.",夜明け前、雲の一部が黒く焼け落ち、地平線は古くて錆びたシルエットの漂流物で散らばっていた。,1-1
2,They were alone.,彼らは一人きりだった。,1-1
3,"Chemtrails, the farmer had said to Alec, early on their walk.",ケムトレイル、と農夫がアレックに早朝の散歩中に言った。,1-1
4,"Other than this, he had been silent.",それ以外では彼は無口だった。,1-1
5,"Fifty feet away, the field gave way to freshly tilled brown soil, forming mounds everywhere on the uneven earth.",五十フィート離れたところで、畑は新鮮に耕された茶色の土地へと様変わりし、ひどくでこぼこの大地には至る所で土塊が築かれていた。,1-1
6,Chalky rocks littered the plot in every direction.,白い岩石が四方八方を散らばって小区画を形作っていました。,1-1
7,Each step in this place was as muddy and wet as the last.,この場所での一歩一歩は、前もってのそれと同じように泥っぽく湿っていました。,1-1
8,"Further still, a thin metal fence marked the edge of the land, clots of wool decorating the wire like fairy lights where the sheep had once tried to break through.",そのさらに向こう側では、薄い金属製の塀が土地の端を表しており、羊毛片がワイヤー部分を装飾し妖精灯りみたく飾られており、かつて羊達が突破しようとした跡でした。,1-1
9,He swatted another fly away from his face.,彼は顔からもう一匹のハエを追い払った。,1-1
10,"No, the farmer said. I'm a vegetarian.",いやだ、農夫は言った、私は菜食主義者です。,2-1
11,"Really? My wife tried doing that a few years back, and. No, the farmer said, and the conversation died.",本当に？ と言って再度振り起こされるような雰囲気が漂いましたが、「ええ」と農夫が答えるとすぐに会話は終わってしまいました。,3-1
12,"The world was still dark, even if only for a little while.",世界はまだ暗かった、ほんの少しの間だけでも。,1-1
13,The sun was almost free.,もうすぐ太陽が完全に姿を表す時間だ。,1-1
14,The day had almost begun.,日々がほとんど始まりつつあった。,1-1
15,"They're selling up to live with family, so she says.",彼らは家族と一緒に住むために自分の家を売っている、と彼女は言います。,1-1
16,"I think I saw them in town a few times, Alec said.",街で何度か彼らを見たような気がする、アレックが言った。,1-1
17,"They were almost at the water tank, at the smile.",彼らはほぼ水槽まで来ていて、笑顔だった。,1-1
