id,source,translation,n2m
1,"Все последующее было предсказуемо: возгласы и стоны, нервные шутки и похвалы мне, стоящему в белом у жаровни: Маэстро, вы превзошли себя!","Wszystko, co nastąpiło później, było przewidywalne: okrzyki i jęki, nerwowe żarty i pochwały dla mnie, stojącego przy ogniu w białym ubraniu: Maestro, przewyższyłeś samego siebie!",2-1
2,"Сюзанна, ты чувствуешь запах ста тысяч, брошенных Настасьей Филипповной в огонь?","Zuzanna, czy czujesz zapach stu tysięcy rzucanych do ognia przez Nastasję Filippownę?",1-1
3,"Милый, сколько же сегодня сжег ты для меня?","Kochanie, ile to dla mnie dziś spaliłeś?",1-1
4,"Барбара, мы с тобой преступницы!","Barbara, jesteśmy z tobą przestępczyniami!",1-1
5,"Ах, в этой рыбе привкус безумия!","Ach, ta ryba ma posmak szaleństwa!",1-1
6,"Томас, стыдно признаться, но я впервые ем и осетрину!",Tomaszku; strach się przyznać ale pierwszy raz jem jesiotra!,1-1
7,"Попыхивая сигарой, достаю пачку красивых полупрозрачных английских банкнот с самодовольной физиономией короля, вынимаю одну, складываю из нее тельца.","Z cygarem w ustach, sięgam po paczkę pięknych półprzezroczystych angielskich banknotów z samozadowolonym obliczem króla, wyjmuję jeden, składam z niego byczka.",1-1
8,Кладу в пепельницу и поджигаю.,Kładę go w popielniczce i podpalam.,1-1
9,"Это жертва благодарения цифровому миру, обеспечившему нас работой.","To jest ofiara dziękczynna dla cyfrowego świata, który zapewnia nam pracę.",1-1
10,Я совершаю этот ритуал каждый раз после удачного вечера.,Wykonuję ten rytuał każdorazowo po udanym wieczorze.,1-1
11,"Современные купюры горят отвратительно, приходиться поджигать и поджигать.","Współczesne banknoty palą się odpychająco, muszę je zapalać i zapalać jeszcze raz.",1-1
12,"Мда, англичане в ту пору оказались ""впереди планеты всей"".","Tak, Anglicy w tamtym czasie okazali się ""na czele całej planety"".",1-1
13,"Четверку джентльменов, подаривших миру новую моду, тогда окрестили ""новыми битлами"": трое из них совпадали именами с ливерпульской четверкой: Джон, Джордж и Пол.","Czterech gentlemanów, którzy podarowali światu nową modę, nazywano wtedy ""nowymi Beatlesami"": trzech z nich miało te same imiona co członkowie zespołu z Liverpoolu: John, George i Paul.",1-1
14,Контрфаготиста звали Грегор.,Kontrafagocistą był Gregor.,1-1
15,"И те, и нынешние стремительно ворвались в послевоенный европейский мир.",Zarówno oni jak i tacy sami dzisiaj gwałtownie wtargnęli do powojennej Europy.,1-1
16,"Да, после войны всем, всем вдруг отчаянно захотелось почитать.","Tak, po wojnie wszyscy nagle pragnęli czytać.",1-1
17,"Руки взломщиков потянулись к книгохранилищам, а гурманы и золотая молодежь в первые подпольные читальни.","Ręce włamywaczy ciągnęły do bibliotek, a smakosze i złota młodzież po raz pierwszy skierowały swoje kroki do podziemnych czytelni.",1-1
18,Потом туда хлынули и обыватели.,A potem dołączyli do nich przeciętni obywatele.,1-1
19,Это были золотые времена.,Były to złote czasy.,1-1
20,"Те, кто оказались тогда в нужном месте, срубили бабла по полной: второсортный повар, взятый из уличной забегаловки, за пару месяцев делал себе состояние.","Ci którzy znaleźli się tam w odpowiednim czasie zgarnęli pełne torby pieniedzy: szef kuchni klasy drugiej wynajęty od ulicznej knajpki, zdobywał fortunę w kilka miesięcy. Och ty cholero!",1-2
21,"Мда, родись я лет на пять пораньше.",Gdybym się urodziła pić lat wcześniej.,1-1
