id,source,translation,n2m
1,"Deux autres petites photos à bords dentelés, datant vraisemblablement de la même année, montrent la même enfant, mais plus menue, dans une robe à volants et manches ballon.","Two other small, scallop-edged photos, likely from the same year, show the same little girl looking even smaller in a dress with flounces and puff sleeves.",1-1
2,"Sur la première, elle se blottit de façon espiègle contre une femme au corps massif, d'un seul tenant dans une robe à larges rayures, les cheveux relevés en gros rouleaux.","In the first photo, she nestles cheekily against a woman with a hefty physique encased in a wide-striped dress; her hair styled into thick rolls.",1-1
3,"Sur l'autre, elle lève le poing gauche, le droit est retenu par la main d'un homme, grand, en veste claire et pantalon à pinces, à la posture nonchalante.","In the second photo, she raises her left fist while her right one is held by a tall man wearing light-colored jacket and pleated pants with nonchalant posture.",1-1
4,"Les deux photos ont été prises le même jour devant un muret surmonté d'une bordure de fleurs, dans une cour pavée.",Both pictures were taken on the same day in front of low brick wall topped by boundary of flowers in cobbled courtyard.,1-1
5,Au-dessus des têtes passe une corde à linge sur laquelle une épingle est restée accrochée.,Above their heads stretches hanging line where an errant pin remains secured.,1-1
6,"Une autre photo, signée du même photographe mais le papier du livret est plus ordinaire et le liseré d'or a disparu —, sans doute vouée à la même distribution familiale, montre une petite fille d'environ quatre ans, sérieuse, presque triste malgré une bonne bouille rebondie sous des cheveux courts, séparés par une raie au milieu et tirés en arrière par des barrettes auxquelles sont attachés des rubans, comme des papillons.","Another photo, also signed by the same photographer but with more ordinary paper and the gold border gone probably destined for the same family distribution shows a little girl about four years old, serious, almost sad despite her plump healthy face beneath short hair, parted in the middle and pulled back by barrettes to which ribbons are attached like butterflies.",1-1
7,"La main gauche repose sur la même table sculptée, entièrement visible, de style Louis XVI.","Her left hand rests on the same carved table in view here, Louis XVI style.",1-1
8,"Elle apparaît boudinée dans son corsage, sa jupe à bretelles remonte par-devant à cause d'un ventre proéminent, peut-être signe de rachitisme (1944, environ).",She appears pudgy in her blouse; her suspender skirt rises at the front due to a protruding belly that might indicate rickets (around 1944).,1-1
9,Les garçons étaient fiers de partir au régiment et on les trouvait beaux en soldats.,The boys were proud to join the regiment and they were considered handsome in their uniforms.,1-1
10,"Le soir du conseil de révision, ils faisaient la tournée des cafés pour célébrer la gloire d'être reconnus comme de vrais hommes.","On the night of their military fitness examination, they would tour the cafes to celebrate the glory of being recognized as real men.",1-1
11,"Avant le régiment, ils étaient encore des gamins et ne valaient rien sur le marché du travail et du mariage.","Before joining the regiment, they were still seen as kids and had little value on the job market or for marriage.",1-1
12,"Après, ils pourraient avoir une femme et des enfants.","Afterwards, they could have a wife and children.",1-1
13,L'uniforme qu'ils promenaient dans le quartier lors des permissions les enveloppait de beauté patriotique et de sacrifice virtuel.,The uniforms that they wore around their neighbourhood while on leave wrapped them in a cloak of patriotic beauty and implied sacrifice.,1-1
14,"L'ombre des combattants vainqueurs, des GI, flottait autour d'eux.","The shadow of victorious fighters, like GIs, hovered around them.",1-1
15,"Le drap rêche de la vareuse, effleurée quand on se hissait sur la pointe des pieds pour les embrasser, matérialisait la coupure absolue entre l'univers des hommes et celui des femmes.","The coarse cloth of their uniform jackets brushed against when one stood on tiptoe to kiss them, materialized an absolute divide between men and women's world.",1-1
16,À les voir on éprouvait un sentiment d'héroïsme.,Seeing these young soldiers evoked a feeling of heroism.,1-1
17,"Sous l'immuabilité, les affiches du cirque de l'année dernière avec la photo de Roger Lanzac, les images de première communion distribuées aux camarades, le Club des Chansonniers sur Radio Luxembourg, les jours se remplissaient de désirs nouveaux.","Beneath their unchanging appearance, last year's circus posters featuring a picture of Roger Lanzac, and first communion pictures distributed among friends, the ""Club des Chansonniers"" on Radio Luxembourg filled their days with new desires.",1-1
18,"Le dimanche après-midi, on s'agglutinait à la vitrine du magasin d'électricité générale devant la télévision.","On Sunday afternoons, they would crowd around the storefront window of the general electronics store to watch television.",1-1
19,Des cafés investissaient dans l'achat d'un poste pour attirer la clientèle.,Cafes invested in buying a set to attract customers.,1-1
20,Au flanc des collines serpentaient des pistes de motocross et l'on regardait monter et descendre les engins assourdissants la journée entière.,Motocross trails snaked up and down hill sides and all day people watched as machines deafeningly ascended and descended.,1-1
21,"L'impatience grandissante du commerce avec ses nouveaux mots d'ordre, « initiative », « dynamisme », secouait le train-train des villes.","The growing restlessness of commerce with its new buzzwords ""initiative"", ""dynamism"" were shaking up towns' daily routines.",1-1
22,"Entre la fête foraine et la kermesse, la Quinzaine commerciale s'installait comme rite de printemps.","Between fairgrounds and village festivals, 'Commercial Fortnight' became a springtime ritual.",1-1
23,"Dans les rues du centre, les haut-parleurs beuglaient des incitations à acheter, entrecoupées de chansons d'Annie Cordy et d'Eddie Constantine, pour gagner la Simca ou la salle à manger.",Downtown speakers blared encouragements to buy interspersed with songs from Annie Cordy and Eddie Constantine; prizes ranging from winning a Simca or an entire dining room set were announced.,1-1
24,"Sur le podium, place de la Mairie, un animateur local faisait rire avec les blagues de Roger Nicolas et de Jean Richard, rameutait des candidats pour le Crochet ou Quitte ou double, comme à la radio.",On stage was a local presenter at Town Hall Square making everyone laugh at jokes by Roger Nicolas and Jean Richard while cajoling volunteers for Quitte ou Double just like on the radio shows.,1-1
25,"Assise dans un coin du podium trônait sous sa couronne la Reine du Commerce. La marchandise avançait sous les couleurs de la fête. Les gens disaient « ça change » ou « il ne faut pas s'encroûter, on s'abrutit à rester chez soi ».","Sitting modestly off to one side under her crown sat the Commercial Queen presiding over it all; merchandise progressed underneath festive colors attracting multitudes who remarked ""It's so different"" or ""we shouldn't hold back we're dulling our minds staying at home.",3-1
26,"Mais ils ne parlaient que de ce qu'ils avaient vu, qui pouvait se revivre en mangeant et buvant.","But they only talked about what they had seen, which could be relived by eating and drinking.",1-1
27,Ils n'avaient pas assez de talent ou de conviction pour parler de ce qu'ils savaient mais qu'ils n'avaient pas vu.,They didn't have the talent or conviction to discuss what they knew but hadn't witnessed.,1-1
28,"Donc ni des enfants juifs montant dans des trains pour Auschwitz, ni des morts de faim ramassés au matin dans le ghetto de Varsovie, ni des 10 000 degrés à Hiroshima.","Therefore, there were no talk of Jewish children boarding trains for Auschwitz, nor of the starving dead collected in the morning in the Warsaw Ghetto, nor about 10,000 degrees at Hiroshima.",1-1
29,"D'où cette impression que les cours d'histoire, les documentaires et les films, plus tard, ne dissiperaient pas : ni les fours crématoires ni la bombe atomique ne se situaient dans la même époque que le beurre au marché noir, les alertes et les descentes à la cave.","Hence this impression that history lessons, documentaries and movies later wouldn't dissipate: neither crematorium ovens nor atomic bombs fell into the same era as black-market butter, air raid warnings and basement shelters.",1-1
30,"Ils embrayaient par comparaison sur la guerre d'avant, la Grande, celle de 14, gagnée, elle, dans le sang et la gloire, une guerre d'hommes que les femmes de la table écoutaient avec respect.","They started to make comparisons with the previous war, the Great War of 14, which was won in blood and glory, a war of men that the women at the table listened to with respect.",1-1
31,"Ils parlaient du Chemin des Dames et de Verdun, des gazés, des cloches du 11 novembre 1918.","They talked about Chemin des Dames and Verdun, about gas attacks and bells ringing on November 11th, 1918.",1-1
32,Ils nommaient des villages dont pas un enfant parti au front n'était revenu.,They mentioned villages from which not a single child who'd gone to war had returned.,1-1
33,"Ils opposaient les soldats dans la boue des tranchées aux prisonniers de 40, au chaud et à l'abri pendant cinq ans, qui n'avaient même pas reçu de bombes sur la tête.",They contrasted soldiers stuck in muddy trenches with those taken prisoner in '40 who were safe and warm for five years without even bombs falling on their heads.,1-1
34,Ils se disputaient l'héroïsme et le malheur.,They argued over heroism and misfortune.,1-1
35,"Les enfants n'écoutaient pas et se dépêchaient de quitter la table dès qu'ils en avaient reçu la permission, profitant de la bienveillance générale des jours de fête pour se livrer aux jeux interdits, sauter sur les lits et faire de la balançoire la tête en bas.","The children did not listen and were quick to leave the table as soon as they had been given permission, taking advantage of the general goodwill on festive days to get up to forbidden games, jumping on beds and swinging upside down.",1-1
36,Mais ils retenaient tout.,But everything registered.,1-1
37,"À côté du temps fabuleux dont ils n'ordonneraient pas avant longtemps les épisodes, la Débâcle, l'Exode, l'Occupation, le Débarquement, la Victoire ils trouvaient terne celui, sans nom, où ils grandissaient.","Beside the fabled era, whose episodes they would not organize for a long time the Debacle, Exodus, Occupation, Landing and Victory they found the nameless time in which they were growing up rather dull.",1-1
38,"Ils regrettaient de ne pas avoir été nés, ou à peine, quand il fallait partir en cohorte sur les routes et dormir sur la paille comme des bohémiens.",They regretted not having been born or being barely alive when they needed to take part in mass exoduses onto roads and sleep on straw like gypsies.,1-1
39,De ce temps non vécu ils garderaient le regret tenace. La mémoire des autres leur refilait une nostalgie secrète pour cette époque qu'ils avaient manquée de si peu et l'espérance de la vivre un jour.,They would forever lament this unlived period; others' memories instilled in them a secret nostalgia for this era that they had narrowly missed but hoped one day to experience.,2-1
40,La frénésie qui avait suivi la Libération s'estompait.,The frenzy that had followed the Liberation was fading.,1-1
41,Alors les gens ne pensaient qu'à sortir et le monde était plein de désirs à satisfaire sur-le-champ.,People then only thought of going out and the world was full of desires to be satisfied immediately.,1-1
42,"Tout ce qui constituait la première fois depuis la guerre provoquait la ruée, les bananes, les billets de la Loterie nationale, le feu d'artifice.","Everything that constituted a first since the war triggered a rush, bananas, national Lottery tickets, fireworks.",1-1
43,"Par quartiers entiers, de la grand-mère soutenue par ses filles au nourrisson en landau, les gens se précipitaient à la fête foraine, à la retraite aux flambeaux, au cirque Bouglione où ils manquaient être piétinés dans la bousculade.","In whole neighborhoods, from the grandmother supported by her daughters to the infant in a pram, people rushed to the funfair, torchlight processions or Bouglione's circus where they almost got trampled in the commotion.",1-1
44,Ils se portaient en foule priante et chantante sur la route pour accueillir la statue de Notre-Dame de Boulogne et la reconduire le lendemain sur des kilomètres.,They gathered as pleading and singing crowds on roads welcoming Notre-Dame de Boulogne's statue and escorting it kilometers further on next day.,1-1
45,"Profane ou religieuse, toute occasion leur était bonne d'être au-dehors ensemble, comme s'ils voulaient continuer de vivre collectivement.","Secular or religious, all opportunities were good for them to be outside together as if they wished to continue living collectively.",1-1
46,"Le dimanche soir, les cars revenaient de la mer avec de grands jeunes gens en short qui chantaient à tue-tête, grimpés sur le toit à bagages.","On Sunday evenings, buses came back from sea with tall young men in shorts singing at top of their lungs while perched on luggage racks atop vehicles.",1-1
47,Les chiens se promenaient en liberté et s'accouplaient au milieu de la rue.,Dogs roamed freely mating in middle of streets.,1-1
48,Récit familial et récit social c'est tout un.,Family narrative and social narrative were one and the same.,1-1
49,"Les voix des convives délimitaient les espaces de la jeunesse : la campagne et les fermes où, de mémoire perdue, les hommes avaient été commis et les filles servantes, l'usine où tous s'étaient rencontrés, fréquentés et mariés, les petits commerces où avaient accédé les plus ambitieux.","The voices of the diners defined the spaces of their youth: the countryside and farms where, in time lost to memory, men had been groomers and women servants; factories where everyone had met, socialized, and married; small-scale trades where those who were most ambitious had made their foray.",1-3
50,"Elles dessinaient des histoires sans événements personnels autres que les naissances, les mariages et les deuils, sans voyages en dehors du régiment dans une lointaine ville de garnison, des existences occupées par le travail, sa dureté et son usure, les menaces de la boisson.","They outlined stories devoid of personal events other than births, weddings, and deaths, without travel except perhaps for army services in some far-off garrison town lives filled with hard labor, its wear-and-tear grind-downs bested only by threats presented by boozing.",1-1
51,"L'école était un arrière-fond mythique, un bref âge d'or dont l'Instituteur avait été le dieu rude avec sa règle en fer pour taper sur les doigts.",School was a mythical backdrop a brief golden age presided over by a strict schoolmaster with his iron ruler ready to rap errant knuckles.,1-1
52,"De main en main passaient des photos brunies au dos taché par tous les doigts qui les avaient tenues dans d'autres repas, mélange de café et de graisse fondu en une couleur indéfinissable.","Browned photos, their backs stained by all the fingers that had held them at other meals, a mix of coffee and melted grease forming an indefinable color, passed from hand to hand.",1-1
53,"Dans les mariés raides et graves, les invités de la noce s'étageant sur plusieurs rangs le long d'un mur, on ne reconnaissait ni ses parents ni personne.","In the stiff and serious newlyweds, the wedding guests arrayed in several rows along a wall, one could recognize neither parents nor anyone else.",1-1
54,"Ce n'était pas soi non plus qu'on voyait dans le bébé de sexe indistinct à demi nu sur un coussin mais quelqu'un d'autre, une créature appartenant à un temps muet et inaccessible.","One did not see oneself either in the partially naked baby of indistinct sex on a cushion but someone else, a creature belonging to a silent and inaccessible time.",1-1
