id,source,translation,n2m
1,一九九三年的那个冬天，对我来说最重要的事，是我爸爸回来了，就在我妈结婚前的那个星期。,"The winter of 1993 was most significant to me because my father came back, just a week before my mother got married.",1-1
2,十二月的一个下午，他到学校来找我。,"One afternoon in December, he came to look for me at school.",1-1
3,我一路飞奔向大门口，隔着铁栏杆远远地看到他站在外面抽烟。,"I ran all the way to the gate and saw him from a distance, past the iron bars, smoking outside.",1-1
4,身上穿着一件黑色长风衣，竖起的领子遮住了半张脸。,He was wearing a black trench coat with his collar turned up covering half his face.,1-1
5,不知道为什么，连他的样子也没有看清，就觉得他过得似乎很不好。,"Somehow, even without seeing him clearly, I could tell that he seemed quite distressed.",1-1
6,我的心一酸，眼泪掉了出来。,My heart sank and tears welled up in my eyes.,1-1
7,我没想过我妈妈会有再婚的念头。,I never thought that my mother would consider remarrying.,1-1
8,或许潜意识里，我觉得她应该因为我爸爸的离开而一直痛苦下去，就像我一样。,"Perhaps subconsciously, I believed she should continue to suffer because of my dad's departure, just like me.",1-1
9,况且，我觉得她缺少那种找到幸福的能力。,"Besides, I felt as if she lacked the capacity to find happiness.",1-1
10,事实也许的确如此，可是幸福有能力找到她。,"The truth might have indeed been this way, yet happiness had the ability to find her.",1-1
11,不是吗，作为一个美人，根本不必那么辛苦，她什么都不用做，只要站在原地就好了。,Isn't it so? For a beautiful woman like her who didn't have to lift a finger; all she needed was to stand still where she was.,1-2
12,我还记得，那一年的冬天特别长，四月过了一半，迎春花还没有开。,"I still remember that the winter of that year was especially long, half past April and the spring flowers had not yet bloomed.",1-1
13,父母离婚的事，令你的情绪很消沉。,My parents' divorce made you very depressed.,1-1
14,我们好久都没有什么新游戏了，一到傍晚就百无脚赖地坐在死人塔的房顶上。,"We hadn't had any new games in a long time, and as twilight fell, we would sit listlessly on the rooftop of the necropolis tower.",1-1
15,院子里散落的那些身体部件中，又多了几只胳膊。,"Among the scattered body parts in the yard, a few more arms were added.",1-1
16,我们用钩子把它们拨到一起，摆成了一个千手观音。,"We used hooks to pull them together, forming a statue of Guanyin with many hands and eyes.",1-1
17,我爸爸其实对做生意一窍不通，只是去投奔一个并不相熟的表哥。,"Actually, my father knew nothing about business and simply went to seek assistance from a cousin he wasn't very close with.",1-1
18,我奶奶有个妹妹，早年去了北京，后来在那里结婚生子。,"My grandmother had a younger sister who moved to Beijing years ago, where she got married and had children.",1-1
19,这个表哥是她家的长子，在整个家族里，一直作为一个异类存在。,"This cousin was her eldest son, and within our whole family, he was always seen as an odd one out.",1-1
20,刚才你说每个人都有一个起运的时间，人生好像忽然套上了缰绳。,"Just now, you mentioned that every person has a time of fate when life seems to have suddenly been reined in.",1-1
21,我的应该是在八岁。,Mine should be at the age of eight.,1-1
