id,source,translation
1,"Alles zu vergessen, ist gewiss schlimm. Noch schlimmer ist, nichts zu vergessen, wird doch jedes Wissen erst durch Vergessen erzeugt. Wenn alles unterschiedslos gespeichert ist, wie auf den elektrische Energie verbrauchenden Datenspeichern, verliert es seine Bedeutung und wird zu einer ungeordneten Ansammlung unbrauchbarer Information.",すべてを忘れることは確かにつらい。しかし、何も忘れないことがもっとつらい。なぜなら、あらゆる知識はまず忘れることによって生まれてくるのだから。電力を消費するデータストレージのように、すべてが無差別に保存されていた場合、それはその意味を失い、秩序のない使えない情報の集積体になってしまいます。
2,"Ein Gedächtnis, das alles bewahrte, bewahrte im Grunde nichts. Jene Kalifornierin, die sich ohne Mnemotechnik jeden einzelnen Tag seit dem 5. Februar 1980 vergegenwärtigen kann, ist gefangen im Echoraum ihrer fortwährend auf sie einstürzenden Erinnerungen — eine Wiedergängerin jenes attischen Feldherrn Themistokles, der jeden einzelnen Bürger seiner Heimatstadt mit Namen zu nennen wusste und der dem Mnemoniker Simonides ausrichten ließ, eher begehre er die Kunst des Vergessens als die des Gedächtnisses zu erlernen: ""Auch was ich nicht in der Erinnerung behalten will, das behalte ich; was ich jedoch vergessen will, das kann ich nicht vergessen"". Eine Vergessenskunst ist aber ein Ding der Unmöglichkeit, weil alle Zeichen Anwesenheiten darstellen, selbst wenn sie auf Abwesenheiten verweisen. Beinahe jeden, den im Römischen Reich der Bann der damnatio memoriae traf, behaupten die Enzyklopädien mit Namen zu kennen.",すべてを保管する記憶は、基本的には何も保管しない。1980年2月5日以降の一日一日を無意識技術なしで思い出せるカリフォルニア人の女性は、絶えず彼女に押し寄せる記憶のエコールームに囚われています。それは、本国の都市の各市民を名前で呼び出すことができたアッティケ地方で戦うテミストクレス将軍そのものですが、彼自身がムネモニック・シモニデスに伝えさせたように「私は覚えようとしないことまでも覚えております。しかし忘れようと思うことを忘れられません」過去から学び取りたかっただけです。「忘却の芸術」では不可能な事だからです。それが表している全ての符号は存在そのものであり、それらが欠如している状態を指しています。ローマ帝国内でdamnatio memoriae（記醶から追放）制度下に置かれた殆ど全部分らかな人物名前でも事典類で言及されています。
3,"Der Freitod erscheint vielleicht als die radikalste Maßnahme, über die Ungewissheit der Zukunft zu triumphieren, freilich zum Preis einer verkürzten Existenz. Es wird berichtet, dass zu den Geschenken jener indischen Gesandtschaft, die Augustus einst auf der Insel Samos empfing, nicht nur ein Tiger und ein armloser Jüngling, der seine Füße wie Hände zu benutzen wusste, gehörten, sondern auch ein Mann namens Zarmaros aus der Kaste der Brahmanen, der sein Leben selbst zu beenden gedachte, gerade weil es so verlaufen sei wie gewünscht. Um sicherzustellen, dass ihm nicht doch noch etwas Unvorhergesehenes zustieß, sprang er in Athen lachend, nackt und gesalbt ins Feuer, verbrannte zweifellos qualvoll bei lebendigem Leib und ging mit der Inszenierung seines selbstbestimmten Todes in die Geschichte ein, wenn auch nur als kuriose Anekdote in einem Band jener einst achtzig Bücher umfassenden Römischen Geschichte des Cassius Dio, dessen Inhalt zufällig überliefert wurde. Letztlich ist alles, was noch da ist, schlichtweg das, was übrig geblieben ist.",自由死は、未来の不確定性をトリウムする最も過激な手段として見えるかもしれませんが、それは存在の短縮という代償を支払うことです。かつてサモス島でアウグストゥスに贈られたインド使節団の贈り物には、虎や腕がない若者だけでなく（その若者は足を手のように使っていた）、ブラフマン階級出身で、彼自身が人生を終わらせることを考えていたザールマロス라いう男も含まれていたそうです。これは自分の人生が望むように進行したからだった。
4,"Am Leben zu sein bedeutet, Verluste zu erfahren. Die Frage, was wohl werden wird, dürfte kaum jünger sein als die Menschheit selbst, besteht doch eine so unabdingbare wie beunruhigende Eigenschaft der Zukunft darin, dass sie sich der Vorhersehbarkeit entzieht und damit auch Zeitpunkt und Umstände des Todes im Dunkeln lässt. Wer kennt nicht den Abwehrzauber des süßbittren Vorausleidens, den fatalen Drang, das Befürchtete durch gedankliche Vorwegnahme verhindern zu wollen? Man ahnt die Verheerungen voraus, imaginiert mögliche Katastrophen und wähnt sich so vor bösen Überraschungen gefeit. In der Antike versprachen die Träume Trost, sagten die Griechen ihnen doch nach, sie verhießen, Orakeln gleich, das Kommende und nähmen somit der Zukunft zwar nicht das Unabänderliche, wohl aber den Schrecken des Unerwarteten. Nicht wenige nehmen sich aus Angst vor dem Tod das Leben.",生きているということは、損失を経験することを意味します。何が起こるのか、という問いは、人類自体よりも新しいものであろうか、将来が持っている基本的な特性でありながら不安感を引き立たせるものだからです。それは予見することができず、それによって死の時期や状況も見えなくします。誰でも前以て悲しみを感じるほど甘美さを持つ防御魔術や、思考により先行して起ころうとしている事柄を防ごうとする致命的な衝動に親しんでいます。障害物が未然に予想され说明灾难并试图让自己免于烦恼的突发情况下需要，また夢村戦後希望优声许诺像是神谕一般对所以占承担了，これまでは不可避免给将来信寄せ会变成但是那种未知。言わば死后眠りしなければなら奏者开始越来越愿者上钩杀器到时候会被却步，恐怖から彼ら粉碎更得比起逃北越南的人口夸大。不少人が死ぬことを恐れて自ら命を絶つ。
5,"Vielfältig sind die Strategien, Vergangenes festzuhalten und dem Vergessen Einhalt zu gebieten. Traut man der Überlieferung, steht am Anfang unserer Geschichtsschreibung eine Reihe vernichtender Kriege zwischen Persern und Griechen und am Beginn der heute beinahe vergessenen Gedächtniskunst ein Unglück mit vielen Toten: Es war in Thessalien, wo im frühen vorchristlichen 5. Jahrhundert ein einstürzendes Haus eine ganze Festtagsgesellschaft unter sich begrub und es dem einzigen Uberlebenden, dem Dichter Simonides von Keos, dank seines geschulten Gedächtnisses gelang, das zerstörte Gebäude im Geiste erneut zu betreten und die Sitzordnung der Gäste aufzurufen, woraufhin sich die von den Trümmern entstellten Leichen identifizieren ließen. Es gehört zu den zahlreichen Paradoxien, die dem Entweder-oder von Tod und Leben innewohnen, dass, indem der Verstorbene als etwas unwiederbringlich Verlorenes benannt wird, sich die Trauer über seinen Verlust zugleich verdoppelt und halbiert, wohingegen das im Unklaren liegende Schicksal eines Vermissten oder Verschollenen die Angehörigen in einem diffusen Alptraum aus banger Hoffnung und verwehrter Trauer gefangenhält, der sowohl Aufarbeitung als auch Weiterleben verhindert.",過去を把握し、忘却に抗うための戦略は多種多様です。伝承に信じるならば、私たちの歴史記述の始まりにはペルシャとギリシャ人との間で繰り広げられた一連の壊滅的な戦争が立っており、今日ではほとんど忘れ去られてしまった記憶術の起源には多数の死者を出した不幸な事故があります：それはキリスト前5世紀初頭、テッサリアで一躍有名となりました。倒壊する家が祭日パーティー全体を飲み込みました。唯一生き残った詩人シモニデス・オブ・ケオスだけが訓練された記憶力で粉々になった建物を心象し直すことが可能であり、その結果ゲスト席上積みされている死体順番呼び出す成功した後でしか負傷者骨太捜索特定作業可能性開きました。どちらかまたは命あるもしくは死亡扱われ中現注意確認するパラドックス存在許可され不自然待つされた多数重要性含まれるのが、死者が不可逆的に失われたものとして指名されることで、その喪失に対する悲しみは同時に二倍そして半分となり、一方で、行方不明者または失われた者の運命が微妙な形で確定されていない場合、亡くなった人々は恐ろしい希望と拒否された悲しみからなるアルプス山地夢中状況を見つけ出し情報伝え解放感獲得持ち込ま喜び感じ取らせ作者存在保証します。
6,"Die Zäsur des Todes ist der Ausgangspunkt von Erbe und Erinnerung und die Totenklage die Quelle jeder Kultur, mit der man die nun klaffende Leerstelle, die plötzliche Stille mit Gesängen, Gebeten und Geschichten füllt, in denen das Abwesende noch einmal verlebendigt wird. Wie eine Hohlform lässt die Erfahrung des Verlusts die Umrisse dessen, was zu beklagen ist, hervortreten, und nicht selten verwandelt es sich im verklärenden Licht der Trauer zu einem Objekt der Begierde, oder wie es ein Heidelberger Professor für Zoologie im Vorwort eines Bändchens der Neuen Brehm-Bücherei formuliert: ""Es scheint zu den rational kaum fassbaren Eigenschaften des westlichen Menschen zu gehören, dass er Verlorenes höher bewertet als noch Bestehendes, anders ist die merkwürdige Faszination nicht zu erklären, die seither vom Beutelwolf ausgeht.""",死という区切りは、遺産や思い出の出発点であり、哀悼の歌は文化の源泉であり、それによって今では大きく開いた空洞を、突然の静寂を、歌や祈り、物語が埋め尽くし、欠如するものが再び生き返る。失う経験はまるで形成型のように振る舞い、悲しみるものが何なのかその輪郭を浮かび上がらせます。そして珍しくないことにそれは哀悼光線下で欲望対象へ変化します。あるハイデルベルグ大学動物学教授が新Brehm図書館1冊目前書き中言います。「西洋人間的荒唐名ばかり手触れ取れません性質に属するらしいこと実際失った価値以上持続中価値評価すること凡そカンガルー狼から始まって喜怒方法説明されています」
7,"Unstrittig ist, dass der Tod und das mit ihm einhergehende Problem, wie mit der plötzlichen Abwesenheit eines Menschen bei gleichzeitiger Anwesenheit seiner Hinterlassenschaften, vom Leichnam bis zum herrenlosen Hab und Gut, umzugehen ist, im Laufe der Zeit Antworten gefordert und Handlungen provoziert hat, deren Bedeutung ihren bloßen Zweck übersteigen und unsere frühen Ahnen aus der Sphäre des Animalischen in die des Menschlichen treten ließ. Die sterblichen Reste von Artgenossen nicht einfach den natürlichen Zersetzungprozessen zu überantworten, gilt gemeinhin als eine Eigenart des Menschen, obwohl sich vergleichbares Verhalten auch bei anderen höheren Tieren beobachten lässt: So versammeln sich Elefanten beispielsweise um ein sterbendes Herdenmitglied, berühren es stundenlang mit dem Rüssel, trompeten dabei aufgebracht und versuchen oft noch, den leblosen Körper wieder aufzurichten, ehe sie den Leichnam schließlich mit Erde und Zweigen bedecken. Auch werden jene Sterbe-Orte von ihnen noch Jahre später regelmäßig aufgesucht, wozu es zweifellos eines guten Gedächtnisses, womöglich sogar gewisser Jenseitsvorstellungen bedarf, die wir uns nicht weniger phantastisch als die unsrigen und ebenso unverifizierbar vorstellen dürfen.","死とそれに伴う突然の人間の不在と遺品、死体から主なき所有物までどう対処するかという問題が時間と共に回答を求め、行動を引き起こし、その意味がただ単にその目的を越えて私たちの初期の祖先を動物的な領域から人間的な領域へ進むよう促したことは疑いようもありません。同種族の仲間たちの遺体を単に自然な分解過程に任せるのではなく、このようは行為は一般的に人間特有であるとされますが、他の高度な動物でも同様의行動が観察されています：例えば象は群れ内で死んだメンバー周り集まります。しばらく鼻捩れかけて触りつつ荒々しく鳴き続けます, 時折無生気采った肉体 を復活させる試みました後, 最後やっぱり土や枝で胴られる.` また彼ら通常数年後も付近探し訪れる, それ需要良い記憶力そして些じわご話し考察上述宜し思えば皆等変容美妙で検証できない幻想的表象."
8,"Erst jetzt, da ich die Arbeit an diesem Buch, in dem die vielfältigen Phänomene der Zersetzung und Zerstörung eine tragende Rolle spielen, fast beendet habe, sehe ich ein, dass es nur eine der unzähligen Arten darstellt, mit dem Tod umzugehen, die im Grunde nicht unbeholfener oder fürsorglicher ist als jene von Herodot bezeugte Sitte der Kallatier, die ihre verstorbenen Eltern aufzuessen pflegten und voller Entsetzen waren, als sie von jenem Brauch der Griechen hörten, die ihrigen zu verbrennen. Denn darüber, ob derjenige dem Leben näher ist, der sich seine Sterblichkeit unaufhörlich vor Augen führt, oder jener, dem es gelingt, den Tod zu verdrängen, gibt es so widerstreitende Ansichten wie über die Frage, ob die Vorstellung grauenerregender sei, dass alles ein Ende haben wird, oder die, dass es keines geben könnte.",この本、そしてそこに登場する多面的な分解や破壊の現象が大きな役割を果たすという仕事に終わりが近づいて初めて、私はそれが死と向き合う数え切れない方法の一つだけであり、それ自体は基本的に不器用でも無関心でもなく、ヘロドトスが証言したカラティア人の習慣（彼らは先祖を食べる傾向がありました）と同じです。そしてギリシャ人が火葬するという風俗に恐怖素地しています。死を常に念頭に置く者か、それとも死を追い出すことに成功する者かどちらの方が生命力強いか？元々すべて物事は終焉してしまうことよりむしろ何も終わり方しないであろう可能性：だれも正確な見解を持っておらずこれ以上議論される問題ではありません。
9,"Natürlich hatte ich schon davor andere bemerkenswerte Begräbnisstätten besucht: die Toteninsel San Michele etwa, wie sie mit hohen, roten Backsteinmauern aus dem blaugrünen Wasser der Lagune von Venedig emporragt gleich einer uneinnehmbaren Festung, oder das grelle Jahrmarktstreiben des Hollywood Forever Cemetery am alljährlich von der mexikanischen Bevölkerung begangenen Día de los Muertos mit den orange-gelb geschmückten Gräbern und den von der fortgeschrittenen Verwesung auf ewig zum Grinsen verdammten Totenschädeln aus bunt gefärbtem Zucker und Pappmaché. Doch keine hat mich so berührt wie der Friedhof jener Fischersiedlung, in dessen eigentümlichem Grundriss — einer Art Kompromiss aus Kreis und Quadrat ich nichts anderes als ein Sinnbild der ungeheuerlichen Utopie zu erkennen glaubte, die ich dort verwirklicht sah: mit dem Tod vor Augen zu leben. Lange Zeit war ich überzeugt, an diesem Ort, dessen dänischer Name ""kleine Insel"" oder ""vom Wasser umgeben"" bedeutet, sei man dem Leben näher, gerade weil seine Bewohner die Toten wortwörtlich in ihre Mitte geholt hatten, anstatt sie wie sonst in unseren Breitengraden üblich — aus dem Innersten der Gemeinden vor die Stadttore zu verbannen, auch wenn der urbane Raum sich die Gräberstätten durch sein ungehemmtes Anwachsen oft nur wenig später wieder einverleibt hat.",もちろん、それ以前にも私は他の注目すべき墓地を訪れていました。例えば、ヴェネチアのラグーンの青緑色の水から高く赤レンガ造りの壁で立ち上がる、まるで要塞のようなサン・ミケーレ島的彼岸。または毎年メキシコ人たちが祝うダイアデロスムエルトス（死者の日）にオレンジ色と黄色で飾られた墓と、腐敗が進んだ結果永遠に笑顔を浮かべることが命じられているカラフルな砂糖やパピエマシェ製のドクロと共に賑わう、ハリウッドフォーエバーセメタリー。しかし、その中でも私を最も感動させたのはある漁村原型保持的な墓地でした。
10,"An einem Augusttag vor einigen Jahren besuchte ich eine Stadt im Norden. Sie liegt an einer der letzten Ausbuchtungen eines Meeresarmes, der seit einer vorvergangenen, glazialen Periode weit ins Landesinnere hineinreicht und in dessen brackigem Wasser sich im Frühjahr Heringe, im Sommer Aale, im Herbst Dorsche und im Winter Karpfen, Hechte und Brassen finden, so dass dort der Beruf des Fischers bis heute ausgeübt wird. Diese Männer bewohnen mit ihren Familien seit Jahrhunderten ein nicht anders als malerisch zu nennendes Viertel, das aus kaum mehr als zwei mit Kopfstein gepflasterten Straßen, einem Trockenplatz für die Netze und einer nur noch von zwei alten, adligen Damen bewohnten Klosteranlage besteht. Kurzum, es handelt sich um einen jener scheinbar aus der Zeit gefallenen Orte, in denen sich allzu leicht der Versuchung erliegen lässt, eine ebenso vage wie verlockende Vergangenheit für lebendig zu halten. Doch nicht die blühenden Rosenstöcke und hohen Malven vor den niedrigen, weiß gekalkten Häusern, nicht deren bunt bemalte Holztüren oder die schmalen, zumeist direkt hinunter zum steinigen Ufer führenden Gänge zwischen den Gebäuden sind mir in besonderer Erinnerung geblieben, sondern der merkwürdige Umstand, dass ich im Zentrum der Siedlung keinen Marktplatz, sondern einen Friedhof vorfand, von jungen, sommergrünen Linden beschattet und von einem gusseisernen Zaun eingefasst, dass also ebendort, wo gewöhnlich Ware gegen Geld getauscht wurde, die Toten unter der Erde das taten, was man aus einem unausrottbaren Wunschglauben heraus gerne ""ruhen"" nennt. Mein Erstaunen, das ich zuerst für Unbehagen hielt, war groß und wuchs noch, als man mich auf das Haus einer Frau aufmerksam machte, die beim Kochen von ihrer Küche aus auf das Grab ihres früh verstorbenen Sohnes blicken konnte, und mir klar wurde, dass die jahrhundertealte Tradition der hier für den Bestattungsritus zuständigen Totengilde dazu geführt hatte, die schon Gestorbenen und die noch Lebenden ein und derselben Familie so nah beinander zu belassen, wie ich es bisher nur von den Bewohnern einiger pazifischer Inseln kannte.",数年前のある8月の日に、私は北部のある街を訪れました。この街は前々から存在した氷河期から遠くまで内陸に広がる海峡の最後方に位置しています。その汽水では春にはニシン、夏にはウナギ、秋にダラが、冬はコイやパイクやブリームが見つかりなさい。だからこそ、漁業という職業は現在でも行われています。これらの男たちは彼らの家族と共に何世紀も美しい地区を住んでいます。それ由来して曲石造り道路2本と釣網用乾物置所から成り立ってます直ぐ近くでは修道院施設一つ利用され私しが古めかしい貴族没落気味な完全世従姉妹２人しか入居者ありません恐ろしい言って良いですちょうど非常時勢外れて見えふさわしき場所で含み光景最大限甘美過去実存思索心躍ろう情動木するすき間理屈出庭木歩行途中覚悟快感側面更生場ロー株木モルっ鰈肌壁建材他看板扉その背後停泊船艦など全体記念碑並べ製品全然何も伴いなければ寧ろ逆かえっ生け者焼土却下把握残る最良のお墓さて誰報告地元漁師街区道路中心位置上只々内陸段階見立所共有墳場発見しました世評若松広大常緑枝豊にくいく覆われルづたールを出ません他所些た汚濁市集会場引換現金商取引内容す彼等眠り存在分厚い文字版読める様見当自信適切表現ありまた決行納得礼式奮起して述来実力催送一部家屋空間外視点埋葬子息露地同時ピクニック物品製造貯蔵設営戻石像小屋後から次第而也戸口終焉倒錯人格画必死足取り十分考察待ただ昔事情通相関関係断片思回理解力理塞がらあ何処少数倣向南国自治圏資源を垣間み見るとこ。
