id,source,target,n2m
1,"Nie wyjdzie stamtąd, mówię wam powiedział pryszczaty, z przekonaniem kiwając głową.",「そこから出て行くことはないよ、私が言ってるんだよ」 ニキビの多い男が確信を持って頷いた。,1-2
2,"Już godzina i ćwierć, jak tam wlazł.",「もう一時十五分、彼はそこに入ってきたんだ。,1-1
3,Już po nim.,彼はもういない。」,1-1
4,"Mieszczanie, stłoczeni wśród ruin, milczeli wpatrzeni w ziejący w rumowisku czarny otwór, w zagruzowane wejście do podziemi.",街の人々は、廃墟の中で押し寄せていて、黒い穴があくような廃墟の中の地下への入り口が埋め立てられているのを見つめて黙っていた。,1-1
5,"Grubas w żółtym kubraku przestąpił z nogi na nogę, chrząknął, zdjął z głowy wymięty beret.",黄色い大衣を着た太った男が足を踏み変え、咳払いをし、頭から古びたベレー帽を脱いだ。,1-1
6,"Poczekajmy jeszcze powiedział, ocierając pot z rzadkich brwi.",「まだ少し待ってみよう」彼は薄い眉毛を拭いながら言った。,1-1
7,Na co? prychnął pryszczaty.,「何のために？」ニキビのある男は唸った。,1-1
8,"Tam, w lochach, siedzi bazyliszek, zapomnieliście, wójcie? Kto tam wchodzi, ten już przepadł.",「そうそう、地下牢にはバジリスクがいるんだよな、長老たち？そこに入る者はすでに終わりだ。,2-1
9,Mało to ludzi tam poginęło? Na co tedy czekać?,そこでは少ない人が死んだんでしょうか？それでは何を待つのか？」,2-1
10,Umawialiśmy się przecie mruknął niepewnie grubas.,「そうだろ？ 約束したんだから」 太った男が不安そうに呟いた。,1-2
11,Jakże tak?,「どうしてそうなの？」,1-1
12,"Z żywym się umawialiście, wójcie rzekł towarzysz pryszczatego, olbrzym w skórzanym, rzeźnickim fartuchu.",「村長さん、あなたは生きている人と約束したんですよね」と、その仲間のニキビ肌の大男が、革のレザーの職人用のエプロンを着たまま言った。,1-1
13,"A nynie on martwy, pewne to jak słońce na niebie.",「そして今彼は死んでいる、それは空にある太陽のように確かなことだ。,1-1
14,"Z góry było wiadomo, że na zgubę idzie, jako i inni przed nim. Przecie on nawet bez zwierciadła polazł, z mieczem tylko. A bez zwierciadła bazyliszka nie da się zabić, każdy to wie.",彼も他の人たちと同様、滅びへの道を歩んでいくことは、すでに明らかであった。彼は鏡なしでも、ただ剣だけを持って立ち去ることができたのだから。そして鏡なしではバジリスクを殺すことはできない、それは誰もが知っていることだ。」,3-1
15,"Zaoszczędziliście grosza, wójcie dodał pryszczaty.",「お金を節約したね、長官」と、ニキビの少年が付け加えた。,1-1
