id,source,translation,n2m
1,Celui qui est sous ma joue est un manuscrit d'amour : c'est l'histoire d'un mec qui rencontre une fille mais il est marié et elle a un copain.,その男は、私の下の頬にある恋愛小説です。 その話は、男が女性に会うが、彼は既に結婚しており、彼女には彼氏がいるという内容です。,1-2
2,J'en ai lu sept pages et je le connais déjà par cœur.,七ページまで読んで、それを心に熟知している。,1-1
3,"Rien ne pourra me surprendre. Depuis des lunes, je ne lis plus, je relis.",何も私に驚かない 月々、読まなくなりました。 再び読みます。,2-2
4,"La même vieille bouillie dont on fait des « nouveautés », des saisons, des rentrées « littéraires », des succès, des bides, des bides.",同じ古い bouillie を作ります。 新しいもの、季節、文学的帰還、成功、失敗、何もの。,1-2
5,"Du papier qu'on recycle, des camions qui partent le matin et qui rentrent le soir, bourrés de nouveautés déjà hors d'âge.",繰り返した紙、朝発のトラックと夕方の帰り、既に時代遅れた新しいものを積み込んでいる。,1-1
6,Depuis combien d'années ai-je arrêté de sauter de joie à l'idée que j'allais découvrir un chef-d'œuvre et rentrer au bureau le lundi en étant un homme neuf?,何年ぶりに、喜びの跳躍を覚えて、新しい一面を持った男性として月曜日にオフィスに戻ることができるという意図を持っていたのですか？,1-1
7,Vingt ans? Trente ans? Je n'aime pas tenir ce genre de compte qui sent la mort.,二十年 三十年 このような死臭をする口座を持つのは好きではありません。,3-1
8,"Si je ferme les yeux je vois la lueur jaune uniforme de la lampe de Perzel à travers mes paupières et puis des formes noires l'envahissent, construisant des ruines mouvantes, des dessins de Victor Hugo.",私が眼を閉じると、ペルゼルのランプの黄色いuniformeの光が私のまぶたに浸透し、そして黒い形がそれを占拠し、動くruїni、ヴィクトル・ユーゴーのデザインを作り出す。,1-1
9,"Mon souffle ralentit, mon cœur se calme un peu, je pourrais m'endormir, mourir.",私の呼吸は遅くなり、私の心は少し安らかになり、私は眠りに落ちることができ、死ぬ。,1-1
10,"Mourir à l'attache. On dirait : « Il est mort comme il a vécu, parmi les livres, en lisant! » et, en vérité, je serais mort en rêvant à rien.",縛り首 「彼は、本を読んでいるように、死んでいったのです。」と、実際には、何ものに夢中になって死んでいたのです。,2-1
11,Il y a bien bien longtemps que je ne lis plus vraiment.,本当に長い間、私はもう本を読んでいません。 。,1-1
