id,source,target,n2m
1,"""Tak co, líbí se ti něco?"" zeptal se Frodo, když viděl, jak na obrázky koukám.","""Więc, podoba ci się coś?"" Zapytał Frodo, kiedy zobaczył, że oglądam zdjęcia.",1-2
2,"""Všechno,"" přikývla jsem.",Wszystko skinąłem głową.,1-1
3,Moje obrázky vedle těch jeho vypadaly jako úplný mazanice.,Moje zdjęcia obok jego wyglądały jak kompletna plama.,1-1
4,Až jsem se před ním styděla.,Byłam taka nieśmiała przed nim.,1-1
5,"""Tenhle nejvíc,"" ukázala jsem na zasněženou krajinu.",Ten najbardziej wskazałem na śnieżny krajobraz.,1-1
6,"""Tak si ho vezmi, jestli chceš,"" mrkl na mě Frodo, ""teda pokud mi taky jeden svůj dáš.""","""Więc weź go, jeśli chcesz,"" Frodo mrugnął do mnie, ""to znaczy, jeśli dasz mi też jeden ze swoich"".",1-2
7,"""Když moje nejsou tak pěkný,"" zavrtěla jsem hlavou a nemohla jsem spustit oči z Frodovy krajiny.","Kiedy moje nie są takie miłe potrząsnąłem głową, nie mogąc oderwać wzroku od krajobrazu Froda.",1-1
8,"Do tý doby mě nenapadlo, že by učitel mohl taky malovat.","Do tego czasu nie sądziłem, że nauczyciel też może malować.",1-1
9,"Teda nikdy žádná učitelka na výtvarku nám neukázala žádnej obrázek, kterej dělala.","Oznacza to, że żaden nauczyciel nigdy nie pokazał nam żadnego zdjęcia, które zrobiła na zajęciach plastycznych.",1-1
10,"Jen jsem přikývla a Frodo sáhl na skříň, kde měl takovou roli a v ní několik výkresů.","Skinąłem tylko głową, a Frodo sięgnął do szafki, w której miał taki zwój i kilka rysunków.",1-1
11,"Když je vytáhl, zavoněly z toho nějaký barvy, myslím, že to byly opravdový malířský.","Kiedy je wyjął, pachniały jakąś farbą, chyba były prawdziwymi malarzami.",1-1
12,"Na několika obrázcích byly různý postavy, nebo třeba jen člověk jako by si obtiskl páteř na papír, potom takový krásný domečky a několik takovejch neurčitejch krajin.","Na kilku obrazach były różne postacie, a może po prostu człowiek jakby odcisnął swój kręgosłup na papierze, potem takie piękne domy i kilka takich nieokreślonych pejzaży.",1-1
13,"Ty se mi líbily nejvíc, protože na nich vlastně skoro nic nebylo, třeba jen jako zasněžená krajina, kde trošičku vylízala ze sněhu hlína a kousek hráze u rybníka, ale přitom to bylo úplně nejlepší.","Te najbardziej mi się podobały, bo prawie nic na nich nie było, może tak jak śnieżny krajobraz, gdzie ze śniegu wystawała odrobina ziemi i kawałek tamy przy stawie, ale jednocześnie Najlepsza.",1-1
14,"Sedl si ke stolku vedle mě a otevřel desky, který jsem mu dala, a začal si prohlížet obrázky jeden po druhým.","Usiadł przy stole obok mnie, otworzył talerze, które mu dałem i zaczął przeglądać zdjęcia jeden po drugim.",1-1
15,"Na některý se díval docela dlouho, úplně je zkoumal, takže mi bylo jasný, že musí vidět všechny chyby, co na nich jsou.","Niektórym patrzył dość długo, dokładnie je badając, więc było dla mnie jasne, że musi widzieć w nich wszystkie wady.",1-1
16,"A taky že poznal, kdy už se mi na tom obrázku nechtělo dělat a jen jsem to tak doplácala barvama.","I on też wiedział, kiedy nie chciałem już pracować nad obrazem i po prostu nadrabiałem to kolorami.",1-1
17,"Potom vzal ten výkres s vránama a řekl, že ten se mu líbí nejvíc.","Potem wziął rysunek z wronami i powiedział, że najbardziej mu się podoba.",1-1
18,A usmíval se a vypadal ještě víc jako Frodo.,I uśmiechał się i wyglądał jeszcze bardziej jak Frodo.,1-1
19,"Všimla jsem si, že má takový krásně dlouhý prsty s kulatejma nehtama.","Zauważyłam, że ma takie pięknie długie palce z okrągłymi paznokciami.",1-1
20,"Po čtvrtý hodině jsem počkala, až všichni odejdou na oběd, protože holky by mohlo napadnout, že půjdou za Frodem se mnou, a já jsem s ním chtěla být sama.","Po czwartej zaczekałem, aż wszyscy wyjdą na lunch, bo dziewczyny mogły pomyśleć o pójściu ze mną do Froda, a ja chciałem być z nim sam na sam.",1-1
21,"Jenže když jsem došla ke kabinetu a chtěla zaťukat na dveře, příšerně mi tlouklo srdce a měla jsem hroznej strach, i když nevím z čeho.","Ale kiedy dotarłam do biura i chciałam zapukać do drzwi, serce strasznie mi waliło i strasznie się bałam, chociaż nie wiem dlaczego.",1-1
22,"Trochu jsem si vytáhla tričko pod pažema a čichla si, jestli nejsem cejtit potem, protože jsem se v matice úplně zpotila strachem.","Podciągnąłem koszulkę trochę pod pachami i powąchałem, żeby sprawdzić, czy czuję zapach potu, ponieważ byłem cały pocony ze strachu.",1-1
23,Tak jsem nakonec desky otevřela a začala výkresy vyrovnávat na lavici.,Więc w końcu otworzyłem plansze i zacząłem wyrównywać rysunki na ławce.,1-1
24,"Na hodně z nich byly různý zátiší a potom obrázky toho, co vidím z okna pokoje, protože to mě hodně baví.","Wiele z nich to były różne martwe natury, a potem zdjęcia tego, co widzę z okna pokoju, bo bardzo mi się to podoba.",1-1
25,"A taky ty vrány, který jsem zkoušela dělat temperou a pak jsem do toho ještě rozmazala suchej pastel.","A także kruki, które próbowałam zrobić temperą, a potem posmarowałam suchą pastelą.",1-1
26,"Děcka úplně koukaly, protože vlastně si mejch obrázků ve škole nikdy moc nevšímaly, až teď.","Dzieci całkowicie się gapiły, ponieważ tak naprawdę nigdy nie zwracały uwagi na moje zdjęcia w szkole, aż do teraz.",1-1
27,"Jasně že jsem vybrala ty nejhezčí, a nepovedený matlanice jsem nechala doma.","Oczywiście wybrałam te najładniejsze, a nieudane matlanice zostawiłam w domu.",1-1
28,"Dokonce Marek Roseckej pořád žadonil, ať mu jeden dám, ale já řekla, že nemůžu.","Nawet Marek Roseckej błagał, żebym mu dała, ale powiedziałam, że nie mogę.",1-1
29,"I když ve skutečnosti jsem spíš nechtěla, protože jsem je měla všechny pro Froda.","Chociaż tak naprawdę nie chciałem, bo miałem je wszystkie dla Froda.",1-1
30,"Hned jak zazvonilo, běžela jsem do šatny, ale naštěstí tam obrázky byly.","Gdy tylko zadzwonił dzwonek, pobiegłem do szatni, ale na szczęście zdjęcia tam były.",1-1
31,"Rychle jsem desky vzala a odnesla je do třídy, i když teda holky na mě čuměly, co jako táhnu, jestli jsou to fakt ty výkresy pro Froda.","Szybko wziąłem talerze i zaniosłem je do klasy, mimo że dziewczyny patrzyły na mnie, zastanawiając się, czy to naprawdę rysunki Froda.",1-1
32,"Sice mně vadilo, že minulej tejden slyšely, jak mně Frodo říkal, abych mu je přinesla, ale na druhou stranu se mi líbilo, že se před nima můžu trochu pochlubit.","Chociaż przeszkadzało mi to, że usłyszeli, jak Frodo kazał mi ich do niego przyprowadzić któregoś dnia, ale z drugiej strony podobało mi się, że mogę się trochę przed nimi przechwalać.",1-1
33,"Dneska jsem šla do školy o dost dřív, protože jsem nechtěla, aby děcka ve škole viděly, že nesu desky s výkresama.","Dzisiaj poszłam do szkoły dość wcześnie, bo nie chciałam, żeby dzieciaki w szkole widziały, że niosę deski kreślarskie.",1-1
